,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,198.41,206.23,195.24,201.74,201.74,3950186,0.0
1,2022-04-08,213.88,220.41,198.2,202.25,202.25,7294773,0.0
2,2022-04-01,212.87,223.81,210.56,213.04,213.04,8541628,0.0
3,2022-03-25,211.73,218.87,204.58,212.14,212.14,9533944,0.0
4,2022-03-18,192.31,215.31,186.29,213.3,213.3,11300173,0.0
5,2022-03-11,207.9,209.69,192.11,192.31,192.31,9200523,0.0
6,2022-03-04,218.19,222.62,206.52,207.66,207.66,9144069,0.0
7,2022-02-25,216.5,226.71,199.6317,219.62,219.62,13404805,0.0
8,2022-02-18,227.66,234.82,216.19,216.84,216.84,9451854,0.0
9,2022-02-11,242.54,251.42,226.61,227.13,227.13,8305906,0.0
10,2022-02-04,239.71,252.34,235.51,241.24,241.24,7344841,0.0
11,2022-01-28,234.25,246.29,226.4,239.54,239.54,12009914,0.0
12,2022-01-21,253.9,262.4873,238.82,239.19,239.19,7998309,0.0
13,2022-01-14,256.54,274.945,250.6,259.1,259.1,7347474,0.0
14,2022-01-07,280.73,284.96,258.49,262.32,262.32,6784216,0.0
15,2021-12-31,282.95,285.3799,279.26,281.19,281.19,3285154,0.0
16,2021-12-23,270.0,284.515,268.04,280.99,280.99,4814223,0.0
17,2021-12-17,267.89,279.7,260.945,277.65,277.65,9166716,0.0
18,2021-12-10,259.53,279.9999,254.16,269.0,269.0,9621800,0.0
19,2021-12-03,257.21,266.43,249.41,259.02,259.02,13468967,0.0
20,2021-11-26,324.14,325.21,245.05,254.17,254.17,16768839,0.0
21,2021-11-19,330.74,335.48,320.98,322.52,322.52,5978534,0.0
22,2021-11-12,327.15,334.51,319.29,329.32,329.32,4593193,0.0
23,2021-11-05,318.5,325.64,302.01,324.52,324.52,5359748,0.0
24,2021-10-29,308.69,318.74,307.27,317.61,317.61,4752496,0.0
25,2021-10-22,290.21,312.48,289.36,308.58,308.58,4792866,0.0
26,2021-10-15,276.65,291.88,275.105,291.19,291.19,4412525,0.0
27,2021-10-08,282.87,285.4425,271.09,278.94,278.94,5349038,0.0
28,2021-10-01,294.0,295.29,279.79,284.06,284.06,7590603,0.0
