,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,293.76,297.9,285.74,292.74,292.74,1408017,0.0
1,2022-04-08,298.6,303.53,284.98,293.04,293.04,2957339,0.0
2,2022-04-01,314.78,318.49,295.42,297.41,297.41,3015363,0.0
3,2022-03-25,302.35,316.18,296.3,314.63,314.63,2996581,0.0
4,2022-03-18,276.72,301.515,272.11,300.82,300.82,3641329,0.0
5,2022-03-11,278.43,279.215,258.17,271.87,271.87,3463015,0.0
6,2022-03-04,293.45,303.1413,276.595,281.49,281.49,3610106,0.0
7,2022-02-25,299.47,303.47,278.91,302.77,302.77,2891886,0.0
8,2022-02-18,304.31,313.749,296.1,300.56,300.56,3235425,0.0
9,2022-02-11,307.95,323.97,302.26,304.0,304.0,3776431,1.13
10,2022-02-04,296.63,313.77,295.31,308.1,307.0018,4287946,0.0
11,2022-01-28,290.88,317.43,283.81,298.09,297.0275,4363289,0.0
12,2022-01-21,324.34,324.555,298.56,299.38,298.3129,2394325,0.0
13,2022-01-14,321.0,332.37,312.13,328.58,327.4088,2682077,0.0
14,2022-01-07,303.68,323.35,302.415,319.33,318.1918,3046279,0.0
15,2021-12-31,304.45,310.0,301.08,301.66,300.5848,1747841,0.0
16,2021-12-23,290.45,304.13,278.685,302.28,301.2026,1873361,0.0
17,2021-12-17,297.37,305.5,290.14,294.63,293.5798,4109728,0.0
18,2021-12-10,293.84,304.38,290.92,297.81,296.7485,2691388,0.0
19,2021-12-03,297.65,299.355,284.72,290.2,289.1656,5260129,0.0
20,2021-11-26,303.22,306.41,285.51,291.74,290.7001,2027923,0.0
21,2021-11-19,308.85,312.145,295.09,299.55,298.4823,2594492,0.0
22,2021-11-12,307.15,309.095,302.195,308.53,307.4303,1911133,0.0
23,2021-11-05,303.48,311.18,301.59,305.24,304.152,2181936,1.13
24,2021-10-29,299.3,307.55,295.5,302.13,299.9427,2620164,0.0
25,2021-10-22,289.24,298.94,286.9,298.2,296.0412,1923251,0.0
26,2021-10-15,278.83,292.3,272.979,289.87,287.7715,2076760,0.0
27,2021-10-08,266.82,281.67,263.45,279.1,277.0794,2309403,0.0
28,2021-10-01,272.18,279.0,262.89,268.53,266.586,2398902,0.0
29,2021-09-24,262.53,272.18,251.49,271.4,269.4352,2583177,0.0
30,2021-09-17,270.01,273.71,265.84,269.55,267.5986,2930083,0.0
31,2021-09-10,271.97,274.11,266.65,266.73,264.799,1431602,0.0
32,2021-09-03,277.63,277.95,268.58,272.35,270.3783,2070282,0.0
33,2021-08-27,263.08,276.59,262.0,276.42,274.4188,1997777,0.0
34,2021-08-20,270.84,272.41,258.67,261.6,259.7061,2110862,0.0
35,2021-08-13,264.93,273.59,262.53,272.17,270.1996,1835530,0.0
36,2021-08-06,259.62,266.43,254.61,265.59,263.6673,1914934,1.13
37,2021-07-30,249.49,261.915,241.74,257.56,254.6121,2628670,0.0
38,2021-07-23,241.95,252.78,236.545,248.89,246.0413,2342740,0.0
39,2021-07-16,246.73,252.17,244.68,246.78,243.9555,2199622,0.0
40,2021-07-09,250.02,250.66,240.42,248.95,246.1006,2212332,0.0
41,2021-07-02,247.78,252.2,245.44,250.92,248.0481,2697613,0.0
42,2021-06-25,239.27,249.89,238.73,248.64,245.7942,4751320,0.0
43,2021-06-18,258.26,258.5,236.35,236.66,233.9513,4739602,0.0
44,2021-06-11,266.82,266.82,256.85,258.56,255.6006,2584025,0.0
45,2021-06-04,263.16,266.445,259.13,265.41,262.3722,1954813,0.0
46,2021-05-28,255.81,261.5,252.29,259.84,256.866,4416544,0.0
47,2021-05-21,256.76,259.045,247.31,254.27,251.3597,3061384,0.0
48,2021-05-14,266.48,269.29,249.6,258.34,255.3832,3003938,0.0
49,2021-05-07,261.23,266.41,252.08,265.65,262.6095,2953289,1.13
50,2021-04-30,249.63,261.84,247.17,258.4,254.3605,3306168,0.0
51,2021-04-23,248.7,250.0,240.36,249.14,245.2453,2499851,0.0
52,2021-04-16,241.75,249.27,240.86,248.77,244.881,2937818,0.0
53,2021-04-09,238.45,241.18,234.715,240.79,237.0258,2100097,0.0
54,2021-04-01,229.85,235.55,226.11,235.41,231.7299,2056354,0.0
55,2021-03-26,228.42,232.66,219.18,232.58,228.9441,3703661,0.0
56,2021-03-19,226.13,236.44,220.305,228.43,224.859,7740767,0.0
57,2021-03-12,225.0,230.0,221.3,225.49,221.965,4569241,0.0
58,2021-03-05,224.98,230.73,213.38,222.3,218.8248,4204273,0.0
59,2021-02-26,223.46,233.91,220.38,221.24,217.7814,3604294,0.0
60,2021-02-19,219.75,224.7,212.795,224.49,220.9806,3065246,0.0
61,2021-02-12,211.31,218.35,210.94,218.08,214.6708,2534299,1.04
62,2021-02-05,199.82,213.29,196.77,211.06,206.759,2889614,0.0
63,2021-01-29,210.33,213.47,197.81,197.87,193.8378,3856428,0.0
64,2021-01-22,209.6,214.5,209.27,211.79,207.4741,2469274,0.0
65,2021-01-15,199.22,208.53,199.11,208.28,204.0357,3465664,0.0
66,2021-01-08,195.3,202.18,185.71,201.55,197.4428,3016380,0.0
67,2020-12-31,191.16,194.66,188.83,194.33,190.3699,1594958,0.0
68,2020-12-24,186.55,189.88,182.83,189.7,185.8343,2016444,0.0
69,2020-12-18,194.61,194.61,185.63,186.94,183.1305,5376753,0.0
70,2020-12-11,195.14,196.42,189.48,191.74,187.8327,3528289,0.0
71,2020-12-04,188.35,198.158,184.735,196.28,192.2802,3930045,0.0
72,2020-11-27,181.73,193.19,181.08,190.75,186.8629,2254531,0.0
73,2020-11-20,188.46,188.57,179.77,179.8,176.136,2627722,0.0
74,2020-11-13,182.58,187.475,175.6701,184.88,181.1125,4278981,0.0
75,2020-11-06,163.86,174.63,161.94,169.78,166.3202,2960739,1.04
76,2020-10-30,167.76,168.24,155.33,160.83,156.5934,3149520,0.0
77,2020-10-23,171.4,173.11,166.21,170.39,165.9016,2682449,0.0
78,2020-10-16,169.75,172.93,164.11,169.95,165.4731,2921118,0.0
79,2020-10-09,161.04,171.67,159.435,170.34,165.8529,3012966,0.0
80,2020-10-02,149.72,160.69,147.0,158.85,154.6655,3360120,0.0
81,2020-09-25,153.62,155.14,141.82,146.74,142.8745,3025124,0.0
82,2020-09-18,153.5,159.75,153.21,157.71,153.5556,4271620,0.0
83,2020-09-11,154.36,154.5,148.39,152.1,148.0934,2934464,0.0
84,2020-09-04,158.89,163.5081,153.5,156.54,152.4164,3273939,0.0
85,2020-08-28,155.38,160.49,155.03,158.89,154.7045,3046240,0.0
86,2020-08-21,159.69,160.06,153.92,154.51,150.4399,2797742,0.0
87,2020-08-14,160.0,165.73,157.82,159.66,155.4542,2728036,0.0
88,2020-08-07,154.42,159.93,151.67,159.84,155.6295,3113036,1.04
89,2020-07-31,154.56,157.05,148.785,153.63,148.6161,3773337,0.0
90,2020-07-24,152.04,160.14,151.12,155.26,150.1929,3396149,0.0
91,2020-07-17,150.22,155.11,146.38,153.37,148.3646,3106304,0.0
92,2020-07-10,150.18,151.98,142.37,148.58,143.7309,3737229,0.0
93,2020-07-02,149.42,151.72,145.16,145.45,140.703,3575134,0.0
94,2020-06-26,148.75,152.72,140.79,147.03,142.2315,7563746,0.0
95,2020-06-19,141.92,158.04,141.51,148.35,143.5084,7849775,0.0
96,2020-06-12,158.31,162.75,138.7,146.64,141.8542,5963448,0.0
97,2020-06-05,141.01,164.71,140.12,155.57,150.4928,4713499,0.0
98,2020-05-29,138.63,148.57,137.88,140.07,135.4986,4616010,0.0
99,2020-05-22,126.05,134.38,126.05,132.46,128.137,4398097,0.0
100,2020-05-15,123.33,126.31,112.32,121.98,117.999,6549235,1.04
101,2020-05-08,109.52,130.63,106.78,125.61,120.4833,5605523,0.0
102,2020-05-01,108.87,119.43,108.29,111.26,106.719,4164320,0.0
103,2020-04-24,107.27,110.39,102.0,107.48,103.0933,4198899,0.0
104,2020-04-17,116.88,118.47,100.11,110.95,106.4216,4543349,0.0
105,2020-04-09,96.28,124.61,93.84,120.47,115.5531,4972659,0.0
106,2020-04-03,102.81,109.85,88.55,90.32,86.6336,5339872,0.0
107,2020-03-27,87.96,111.88,82.03,103.33,99.1127,6761881,0.0
108,2020-03-20,90.78,99.96,80.01,89.83,86.1636,8833127,0.0
109,2020-03-13,114.16,119.54,92.02,113.34,108.7141,8551435,0.0
110,2020-03-06,142.13,150.89,123.77,126.6,121.4329,7204247,0.0
111,2020-02-28,168.52,169.38,136.49,141.3,135.5329,6502208,0.0
112,2020-02-21,177.9,180.85,174.67,175.43,168.2699,2804165,0.0
113,2020-02-14,174.46,179.57,173.96,178.82,171.5216,2365540,0.97
114,2020-02-07,166.98,177.51,166.46,175.32,167.255,3179042,0.0
115,2020-01-31,163.56,170.77,162.04,165.41,157.8009,3904919,0.0
116,2020-01-24,171.25,172.33,166.5,167.57,159.8615,2376621,0.0
117,2020-01-17,169.82,173.75,167.02,172.43,164.498,3388251,0.0
118,2020-01-10,165.42,169.93,165.22,169.16,161.3784,3758413,0.0
119,2020-01-03,167.57,169.24,165.77,167.12,159.4322,2424399,0.0
120,2019-12-27,168.26,168.46,166.58,166.71,159.0411,1908314,0.0
121,2019-12-20,169.37,169.74,166.01,168.09,160.3576,5287499,0.0
122,2019-12-13,164.64,169.21,163.61,167.44,159.7375,4105478,0.0
123,2019-12-06,164.7,165.89,158.19,164.9,157.3144,4391671,0.0
124,2019-11-29,160.15,164.98,159.11,163.87,156.3317,2723774,0.0
125,2019-11-22,159.25,160.42,156.25,159.77,152.4203,3545656,0.0
126,2019-11-15,156.68,160.96,155.83,160.17,152.8019,4626972,0.0
127,2019-11-08,154.43,160.63,153.29,158.54,151.2469,4779349,0.0
128,2019-11-01,150.88,154.51,147.77,152.89,145.8568,3788414,0.97
129,2019-10-25,143.77,152.5,141.99,149.45,141.6762,4177094,0.0
130,2019-10-18,137.19,142.64,136.82,142.0,134.6137,3335236,0.0
131,2019-10-11,135.17,139.79,129.01,138.27,131.0778,4780609,0.0
132,2019-10-04,148.58,148.58,131.29,136.19,129.106,5665077,0.0
133,2019-09-27,143.84,148.41,143.07,147.54,139.8656,4992095,0.0
134,2019-09-20,146.1,149.52,144.06,145.78,138.1971,6081865,0.0
135,2019-09-13,136.4,149.31,135.64,147.43,139.7613,6627049,0.0
136,2019-09-06,127.31,135.3,125.86,134.75,127.7409,4067274,0.0
137,2019-08-30,126.29,130.03,123.95,128.98,122.271,4940892,0.0
138,2019-08-23,128.82,129.53,123.82,124.49,118.0145,4376167,0.0
139,2019-08-16,129.3,129.71,121.57,126.34,119.7683,8221143,0.0
140,2019-08-09,132.91,135.0,127.61,131.82,124.9633,6494889,0.0
141,2019-08-02,149.78,151.28,135.13,135.3,128.2623,5122929,0.97
142,2019-07-26,148.8,151.93,144.89,149.93,141.1195,4712499,0.0
143,2019-07-19,151.94,151.94,147.38,148.66,139.9242,3210741,0.0
144,2019-07-12,148.86,151.65,147.32,151.14,142.2584,3090218,0.0
145,2019-07-05,147.56,150.13,144.29,150.12,141.2984,3899048,0.0
146,2019-06-28,146.7,149.08,143.24,145.16,136.6298,5652192,0.0
147,2019-06-21,152.98,153.37,145.82,146.77,138.1452,5674943,0.0
148,2019-06-14,151.88,153.91,148.99,153.53,144.508,3462510,0.0
149,2019-06-07,137.96,150.99,137.24,149.87,141.0631,4297761,0.0
150,2019-05-31,146.04,146.95,137.65,138.23,130.1071,3366405,0.0
151,2019-05-24,142.89,149.43,142.3,146.39,137.7876,4398885,0.0
152,2019-05-17,143.99,146.05,139.24,143.79,135.3403,4391825,0.0
153,2019-05-10,145.48,147.9,140.24,144.56,136.0651,3775010,0.0
154,2019-05-03,147.32,149.24,144.97,147.85,139.1618,4819552,0.97
155,2019-04-26,143.42,146.78,142.32,146.63,137.1139,4460708,0.0
156,2019-04-18,142.32,144.76,140.69,143.27,133.972,3113530,0.0
157,2019-04-12,137.65,144.09,135.82,142.54,133.2893,3026946,0.0
