,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,123.13,124.99,121.96,124.84,124.84,1702488,0.0
1,2022-04-08,130.46,130.48,120.525,122.7,122.7,3507125,0.0
2,2022-04-01,129.54,133.11,127.88,130.24,130.24,3298641,0.98
3,2022-03-25,125.1,129.89,122.961,129.78,128.8153,3175996,0.0
4,2022-03-18,124.67,125.68,121.41,124.55,123.6242,3957285,0.0
5,2022-03-11,122.8,126.42,120.44,123.44,122.5224,3731220,0.0
6,2022-03-04,121.01,123.4,119.48,123.16,122.2445,3627821,0.0
7,2022-02-25,121.07,123.665,114.59,123.46,122.5423,4484717,0.0
8,2022-02-18,118.14,123.4,116.715,121.2,120.2991,5393001,0.0
9,2022-02-11,112.8,118.85,112.495,117.67,116.7953,5747329,0.0
10,2022-02-04,111.98,117.39,110.43,112.7,111.8623,6459904,0.0
11,2022-01-28,111.85,118.7,107.69,113.3,112.4578,6281269,0.0
12,2022-01-21,125.01,125.54,113.63,114.44,113.5893,3243037,0.0
13,2022-01-14,125.83,126.415,122.415,125.08,124.1502,3340987,0.0
14,2022-01-07,116.6,128.0,116.02,125.63,124.6962,5531100,0.0
15,2021-12-31,114.26,116.76,113.43,115.18,114.3238,2319829,0.98
16,2021-12-23,112.46,115.88,108.59,114.26,112.4583,3125862,0.0
17,2021-12-17,113.51,116.2,110.805,114.2,112.3992,5220188,0.0
18,2021-12-10,112.82,118.35,111.18,114.1,112.3008,4251750,0.0
19,2021-12-03,112.49,112.49,105.18,110.22,108.482,5095233,0.0
20,2021-11-26,117.0,119.66,109.645,111.68,109.919,2380440,0.0
21,2021-11-19,118.72,120.7,114.04,116.94,115.096,3182139,0.0
22,2021-11-12,117.97,119.23,116.505,118.0,116.1393,2033671,0.0
23,2021-11-05,114.23,118.19,112.63,116.91,115.0665,3532536,0.0
24,2021-10-29,117.94,120.11,112.34,113.64,111.8481,4343727,0.0
25,2021-10-22,116.34,119.28,115.23,117.83,115.972,2957078,0.0
26,2021-10-15,113.54,117.67,113.48,116.96,115.1157,3488221,0.0
27,2021-10-08,111.49,114.68,109.21,113.85,112.0548,3169927,0.0
28,2021-10-01,113.97,115.33,108.31,111.82,110.0568,3112988,0.98
29,2021-09-24,108.6,114.05,107.68,112.77,110.0223,3632597,0.0
30,2021-09-17,108.94,112.22,108.21,109.99,107.3101,3485251,0.0
31,2021-09-10,114.34,115.38,108.05,108.11,105.4759,2413105,0.0
32,2021-09-03,113.06,116.38,110.65,113.88,111.1053,3469550,0.0
33,2021-08-27,113.79,115.18,111.81,113.09,110.3346,2911482,0.0
34,2021-08-20,117.5,118.95,111.21,113.12,110.3638,3896442,0.0
35,2021-08-13,117.05,118.46,115.981,117.91,115.0371,2643828,0.0
36,2021-08-06,118.29,120.23,114.1,117.9,115.0274,2733734,0.0
37,2021-07-30,114.7,120.245,113.53,117.38,114.52,4282630,0.0
38,2021-07-23,114.2,119.23,109.5,114.9,112.1004,4955786,0.0
39,2021-07-16,116.53,119.0,115.81,116.14,113.3102,2897018,0.0
40,2021-07-09,115.88,117.24,112.375,117.17,114.3151,4846822,0.0
41,2021-07-02,119.6,119.81,113.56,116.07,113.2419,4931295,0.98
42,2021-06-25,118.25,120.24,117.39,119.8,115.8834,5905662,0.0
43,2021-06-18,123.5,124.24,117.22,117.26,113.4264,6876515,0.0
44,2021-06-11,120.67,123.72,120.19,123.17,119.1432,4877234,0.0
45,2021-06-04,118.0,121.47,117.81,120.27,116.338,3763271,0.0
46,2021-05-28,112.82,117.96,112.42,117.56,113.7166,6671525,0.0
47,2021-05-21,108.2,113.15,107.68,112.08,108.4158,6842227,0.0
48,2021-05-14,109.12,110.54,103.2,108.2,104.6626,5463481,0.0
49,2021-05-07,109.63,110.0,105.36,108.16,104.6239,4531600,0.0
50,2021-04-30,106.32,110.22,106.32,109.35,105.775,5588398,0.0
51,2021-04-23,105.79,107.91,104.391,106.05,102.5829,6052369,0.0
52,2021-04-16,105.11,106.71,103.8,105.44,101.9929,4976915,0.0
53,2021-04-09,104.77,105.42,102.24,104.74,101.3157,5238677,0.0
54,2021-04-01,106.46,106.74,100.53,104.26,100.8514,4631489,0.98
55,2021-03-26,104.01,107.19,100.713,107.07,102.5935,4957758,0.0
56,2021-03-19,107.44,108.53,104.17,104.39,100.0256,4620657,0.0
57,2021-03-12,102.89,110.36,102.095,108.59,104.05,6163724,0.0
58,2021-03-05,100.79,105.875,99.285,102.26,97.9846,6313723,0.0
59,2021-02-26,92.66,106.94,92.29,99.13,94.9855,8009232,0.0
60,2021-02-19,94.5,94.92,90.97,92.24,88.3836,3863971,0.0
61,2021-02-12,92.3,97.78,92.02,94.1,90.1658,4476962,0.0
62,2021-02-05,91.6,93.4,88.88,92.12,88.2686,5643214,0.0
63,2021-01-29,90.7,94.06,88.4492,91.27,87.4541,6844001,0.0
64,2021-01-22,95.54,95.54,90.15,91.3,87.4829,4368632,0.0
65,2021-01-15,89.05,95.44,88.78,95.15,91.1719,6146998,0.0
66,2021-01-08,95.3,95.96,89.14,90.04,86.2755,6703519,0.0
67,2020-12-31,93.96,96.445,92.33,94.53,90.5778,2829949,0.98
68,2020-12-24,94.73,94.84,91.47,93.93,89.073,4392164,0.0
69,2020-12-18,100.0,105.45,95.09,96.11,91.1402,8438443,0.0
70,2020-12-11,105.18,105.18,99.07,99.98,94.8101,5408958,0.0
71,2020-12-04,101.73,105.98,98.05,105.32,99.874,6350095,0.0
72,2020-11-27,99.43,105.93,99.16,102.43,97.1334,6007602,0.0
73,2020-11-20,96.05,99.89,94.12,98.38,93.2929,8082687,0.0
74,2020-11-13,83.28,96.445,83.28,91.62,86.8824,13188275,0.0
75,2020-11-06,73.26,78.33,72.32,73.41,69.614,6249484,0.0
76,2020-10-30,77.0,77.03,69.69,72.41,68.6658,6939218,0.0
77,2020-10-23,76.83,78.24,74.9,77.67,73.6538,3924279,0.0
78,2020-10-16,82.78,83.23,77.24,77.67,73.6538,5051860,0.0
79,2020-10-09,85.92,86.34,82.0,82.78,78.4995,5987795,0.0
80,2020-10-02,82.22,85.54,79.0,85.27,80.8608,5542499,0.98
81,2020-09-25,84.0,84.37,78.41,80.38,75.3044,7734965,0.0
82,2020-09-18,83.99,90.68,83.99,84.87,79.5108,7415988,0.0
83,2020-09-11,87.43,87.8792,82.5,83.21,77.9557,6499115,0.0
84,2020-09-04,88.62,90.25,84.88,87.81,82.2652,5183237,0.0
85,2020-08-28,83.85,89.31,83.16,88.94,83.3238,6316135,0.0
86,2020-08-21,86.43,86.43,83.42,84.26,78.9394,5194962,0.0
87,2020-08-14,90.39,93.12,85.68,86.43,80.9723,6921351,0.0
88,2020-08-07,88.01,90.06,85.88,90.04,84.3544,5799532,0.0
89,2020-07-31,89.51,91.47,86.12,89.09,83.4644,8264496,0.0
90,2020-07-24,91.99,93.29,89.39,90.67,84.9446,6442025,0.0
91,2020-07-17,88.19,94.63,87.43,93.07,87.1931,7590749,0.0
92,2020-07-10,93.7,93.74,83.39,87.39,81.8717,6290240,0.0
93,2020-07-02,87.99,93.26,86.89,91.55,85.769,4186917,0.98
94,2020-06-26,91.0,95.22,87.03,87.24,80.8476,8881401,0.0
95,2020-06-19,92.09,100.46,90.65,90.76,84.1097,9483754,0.0
96,2020-06-12,104.85,107.9,92.11,96.54,89.4662,9676255,0.0
97,2020-06-05,85.81,106.27,85.61,102.04,94.5632,9777607,0.0
98,2020-05-29,81.81,90.7,81.42,85.98,79.6799,9169542,0.0
99,2020-05-22,78.38,82.16,76.49,78.01,72.2939,10672993,0.0
100,2020-05-15,86.21,87.14,71.57,74.95,69.4581,13271840,0.0
101,2020-05-08,91.37,91.89,83.13,86.91,80.5418,8411561,0.0
102,2020-05-01,91.31,102.94,90.84,92.93,86.1207,6571376,0.0
103,2020-04-24,94.01,94.75,86.65,90.36,83.739,6323144,0.0
104,2020-04-17,104.83,106.33,93.31,95.5,88.5024,5991980,0.0
105,2020-04-09,88.01,107.15,86.16,106.0,98.233,7114414,0.0
106,2020-04-03,93.92,96.08,79.91,83.04,76.9554,8536164,0.98
107,2020-03-27,82.0,97.77,77.21,93.82,86.0384,10000404,0.0
108,2020-03-20,106.53,110.67,80.63,82.0,75.1988,8681686,0.0
109,2020-03-13,124.22,130.38,108.11,117.06,107.3509,8127311,0.0
110,2020-03-06,129.63,138.38,128.23,132.58,121.5836,5209771,0.0
111,2020-02-28,144.17,145.35,123.1,128.94,118.2455,6432595,0.0
112,2020-02-21,147.5,147.83,144.7,145.78,133.6888,2544092,0.0
113,2020-02-14,142.96,147.28,142.21,147.23,135.0185,3035493,0.0
114,2020-02-07,144.0,146.07,142.2,142.71,130.8734,3845438,0.0
115,2020-01-31,141.21,144.34,139.72,143.35,131.4604,3970752,0.0
116,2020-01-24,139.56,142.24,138.85,142.01,130.2315,2099417,0.0
117,2020-01-17,135.2,140.73,135.0,139.56,127.9847,2755007,0.0
118,2020-01-10,137.06,138.15,133.71,135.08,123.8763,2986148,0.0
119,2020-01-03,136.75,138.54,134.42,136.64,125.3069,1798837,0.98
120,2019-12-27,136.16,137.68,135.22,137.68,125.3617,1246810,0.0
121,2019-12-20,135.69,136.68,133.6,135.78,123.6317,4104974,0.0
122,2019-12-13,139.36,140.16,133.78,135.11,123.0217,3392763,0.0
123,2019-12-06,138.44,140.3,136.56,139.28,126.8186,2397253,0.0
124,2019-11-29,138.45,139.64,137.25,138.54,126.1448,1572825,0.0
125,2019-11-22,137.89,139.41,135.9,137.59,125.2798,1997253,0.0
126,2019-11-15,137.84,138.76,135.24,137.56,125.2525,2592032,0.0
127,2019-11-08,137.32,138.63,135.58,138.34,125.9627,3156188,0.0
128,2019-11-01,132.36,140.06,131.88,137.44,125.1432,4260862,0.0
129,2019-10-25,128.1,133.53,128.1,132.18,120.3538,3008610,0.0
130,2019-10-18,128.12,129.54,126.26,128.36,116.8756,2532590,0.0
131,2019-10-11,128.14,129.35,126.57,128.2,116.7299,3315985,0.0
132,2019-10-04,129.9,130.52,124.58,128.71,117.1943,4744608,0.0
133,2019-09-27,129.52,132.66,128.65,130.12,118.4781,4845731,0.95
134,2019-09-20,131.33,132.24,129.29,130.11,117.6103,6917537,0.0
135,2019-09-13,129.84,134.09,126.18,131.4,118.7764,4784056,0.0
136,2019-09-06,127.77,130.59,127.45,130.17,117.6646,2215679,0.0
137,2019-08-30,126.79,128.99,125.54,128.42,116.0827,2201213,0.0
138,2019-08-23,129.13,129.22,125.39,125.83,113.7415,2680220,0.0
139,2019-08-16,128.88,128.95,125.24,128.21,115.8929,3220846,0.0
140,2019-08-09,129.13,131.28,125.34,129.34,116.9143,3711885,0.0
141,2019-08-02,131.66,136.63,128.95,130.15,117.6465,3634967,0.0
142,2019-07-26,127.8,131.54,127.1,131.3,118.686,2666547,0.0
143,2019-07-19,132.86,132.86,127.97,128.07,115.7663,2341159,0.0
144,2019-07-12,131.71,134.8,131.23,132.3,119.5899,3130271,0.0
145,2019-07-05,129.76,133.23,127.26,131.87,119.2013,1971238,0.0
146,2019-06-28,136.4,136.4,126.9,129.0,116.607,4489908,0.95
147,2019-06-21,136.25,139.25,135.35,136.07,122.0918,4554633,0.0
148,2019-06-14,136.57,136.57,132.42,135.2,121.3112,2600059,0.0
149,2019-06-07,131.25,137.25,130.59,136.16,122.1726,3118758,0.0
150,2019-05-31,132.66,133.43,129.04,130.83,117.3901,3856785,0.0
151,2019-05-24,133.57,133.89,130.33,132.02,118.4579,2955310,0.0
152,2019-05-17,131.05,135.75,130.12,133.65,119.9204,3110711,0.0
153,2019-05-10,133.54,134.62,128.97,132.21,118.6284,2363168,0.0
154,2019-05-03,136.64,140.35,134.24,134.73,120.8895,3655593,0.0
155,2019-04-26,132.74,137.18,130.11,136.95,122.8814,2627841,0.0
156,2019-04-18,138.24,138.24,131.69,132.99,119.3282,2910242,0.0
157,2019-04-12,138.47,139.41,136.87,137.89,123.7249,3594239,0.0
158,2019-04-05,134.12,138.69,133.57,138.38,124.1645,3976574,0.0
159,2019-03-29,132.0,134.6,130.55,133.88,120.1268,4288565,0.95
160,2019-03-22,133.06,133.86,130.65,131.51,117.1671,3917653,0.0
161,2019-03-15,132.86,135.49,132.2,132.74,118.263,3797465,0.0
162,2019-03-08,132.21,134.07,131.35,132.43,117.9868,4254054,0.0
163,2019-03-01,136.1,136.22,131.23,131.83,117.4522,3513279,0.0
164,2019-02-22,133.54,135.99,132.07,135.67,120.8734,1687736,0.0
165,2019-02-15,132.58,134.24,132.19,133.62,119.047,2739427,0.0
166,2019-02-08,131.04,132.67,130.04,132.4,117.9601,4269222,0.0
167,2019-02-01,123.28,132.08,122.45,131.18,116.8731,4317674,0.0
168,2019-01-25,121.45,123.55,119.24,123.48,110.0129,2718327,0.0
169,2019-01-18,118.71,121.6,117.72,121.52,108.2667,2874937,0.0
170,2019-01-11,111.82,119.52,111.33,119.15,106.1551,3969112,0.0
171,2019-01-04,112.22,112.55,107.94,111.51,99.3484,2687984,0.0
172,2018-12-28,113.52,114.28,107.84,111.93,99.7226,2624176,0.95
173,2018-12-21,125.82,126.15,113.34,113.47,100.2438,5014589,0.0
174,2018-12-14,128.76,129.25,124.2,125.74,111.0836,3679219,0.0
175,2018-12-07,131.53,132.73,127.49,129.08,114.0343,4178752,0.0
176,2018-11-30,126.35,131.27,124.75,131.2,115.9072,5239336,0.0
177,2018-11-23,126.17,127.4,124.39,125.61,110.9687,2578147,0.0
178,2018-11-16,124.26,125.63,122.18,125.57,110.9334,2954345,0.0
179,2018-11-09,119.89,125.14,119.89,124.26,109.7761,3138773,0.0
180,2018-11-02,116.11,123.24,115.74,119.01,105.1381,5517881,0.0
181,2018-10-26,117.35,117.78,113.95,114.91,101.516,4133488,0.0
182,2018-10-19,115.55,118.65,115.5,116.95,103.3182,3694366,0.0
183,2018-10-12,118.94,121.02,113.98,114.7,101.3304,4020877,0.0
184,2018-10-05,122.97,123.67,118.52,118.86,105.0055,3523105,0.0
185,2018-09-28,126.49,126.73,120.62,123.09,108.7425,4103092,0.95
186,2018-09-21,126.38,127.73,123.85,126.86,111.198,3349295,0.0
187,2018-09-14,129.27,130.29,125.3,125.96,110.4091,2869412,0.0
188,2018-09-07,130.09,131.4,128.42,128.62,112.7407,3562015,0.0
189,2018-08-31,129.14,131.13,127.7,130.45,114.3448,2741812,0.0
190,2018-08-24,132.6,132.82,127.96,129.04,113.1088,3321188,0.0
191,2018-08-17,129.32,132.61,128.88,132.15,115.8349,4161023,0.0
192,2018-08-10,129.16,130.08,128.61,128.94,113.0212,3609796,0.0
193,2018-08-03,122.63,130.52,121.76,129.1,113.1614,4277957,0.0
194,2018-07-27,124.98,125.91,122.59,122.87,107.7006,2436355,0.0
195,2018-07-20,126.81,127.42,124.68,125.19,109.7342,2722717,0.0
196,2018-07-13,126.37,128.13,125.08,127.32,111.6012,2734131,0.0
197,2018-07-06,125.26,126.91,123.26,126.3,110.7071,2283993,0.0
198,2018-06-29,125.49,126.19,123.5,125.42,109.9358,3526993,0.8
199,2018-06-22,119.71,125.89,117.98,125.6,109.3931,5105245,0.0
200,2018-06-15,122.91,123.06,119.46,120.08,104.5854,3377263,0.0
201,2018-06-08,121.99,124.13,121.18,122.65,106.8237,2816017,0.0
202,2018-06-01,119.13,122.66,118.45,121.5,105.8221,2893152,0.0
203,2018-05-25,117.74,120.92,116.0,119.59,104.1586,3658838,0.0
204,2018-05-18,124.01,124.34,116.44,117.09,101.9812,5367456,0.0
205,2018-05-11,124.54,125.3,121.89,124.38,108.3305,3034249,0.0
206,2018-05-04,122.66,124.49,118.68,124.04,108.0344,3294829,0.0
207,2018-04-27,118.86,123.13,116.43,122.45,106.6495,4309002,0.0
208,2018-04-20,120.36,122.49,118.23,118.75,103.427,2869375,0.0
209,2018-04-13,121.16,122.15,118.29,119.9,104.4286,3550333,0.0
210,2018-04-06,123.44,123.73,120.2,120.96,105.3518,3661393,0.0
211,2018-03-29,119.78,124.47,118.71,123.22,107.3202,2892475,0.8
212,2018-03-23,127.3,127.54,117.94,118.43,102.4839,3710240,0.0
213,2018-03-16,123.3,127.31,123.3,127.16,110.0384,3688630,0.0
214,2018-03-09,119.27,123.76,118.92,123.62,106.9751,2844752,0.0
215,2018-03-02,121.41,122.23,117.08,118.93,102.9165,4277356,0.0
216,2018-02-23,119.49,121.17,115.85,120.97,104.6819,3423666,0.0
217,2018-02-16,115.59,120.19,111.57,119.64,103.531,4466481,0.0
218,2018-02-09,118.5,120.72,111.82,115.35,99.8186,5551733,0.0
219,2018-02-02,122.37,125.37,117.34,119.34,103.2713,5594195,0.0
220,2018-01-26,121.95,124.63,121.5,122.97,106.4126,4040973,0.0
221,2018-01-19,122.74,124.54,120.68,121.95,105.5299,3790774,0.0
222,2018-01-12,127.54,128.0,122.23,122.33,105.8588,2880170,0.0
223,2018-01-05,130.39,130.39,126.46,127.86,110.6442,4101771,0.0
224,2017-12-29,127.69,130.42,126.94,130.03,112.522,1968893,0.8
225,2017-12-22,129.45,132.0,126.71,127.34,109.5142,5468859,0.0
226,2017-12-15,124.46,129.78,124.27,129.41,111.2944,4450119,0.0
227,2017-12-08,127.08,128.52,123.29,124.66,107.2093,5112984,0.0
228,2017-12-01,125.49,127.13,124.15,127.13,109.3336,3068681,0.0
