,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,60.56,64.32,59.76,62.22,62.22,3265878,0.0
1,2022-04-08,69.46,71.18,60.57,61.43,61.43,12093744,0.0
2,2022-04-01,67.48,71.86,66.425,69.02,69.02,6818572,0.0
3,2022-03-25,69.07,70.26,65.73,67.37,67.37,4589499,0.0
4,2022-03-18,61.59,71.025,58.58,70.5,70.5,10748862,0.0
5,2022-03-11,67.15,67.81,61.3,61.38,61.38,8007721,0.0
6,2022-03-04,71.75,73.98,65.99,66.72,66.72,8397257,0.0
7,2022-02-25,66.26,71.87,62.33,71.85,71.85,6899612,0.0
8,2022-02-18,71.83,72.69,66.18,66.85,66.85,9120254,0.0
9,2022-02-11,77.06,81.07,71.02,71.85,71.85,12420474,0.0
10,2022-02-04,71.77,78.96,71.77,77.21,77.21,11449003,0.0
11,2022-01-28,74.17,78.06,67.58,71.87,71.87,13152202,0.0
12,2022-01-21,81.15,82.65,75.87,76.33,76.33,4966854,0.0
13,2022-01-14,87.93,95.06,80.31,82.83,82.83,5809924,0.0
14,2022-01-07,104.63,105.5,87.66,89.57,89.57,6667726,0.0
15,2021-12-31,103.89,106.76,103.7,104.46,104.46,2723054,0.0
16,2021-12-23,100.12,104.27,98.06,103.89,103.89,3668256,0.0
17,2021-12-17,103.28,105.11,96.92,101.85,101.85,5733949,0.0
18,2021-12-10,105.09,109.18,102.01,103.86,103.86,7461769,0.0
19,2021-12-03,113.12,113.755,103.09,105.07,105.07,5710317,0.0
20,2021-11-26,115.06,115.35,108.2,111.35,111.35,3100388,0.0
21,2021-11-19,119.6,121.22,114.83,114.88,114.88,3674849,0.0
22,2021-11-12,124.29,125.57,118.37,119.4,119.4,4128331,0.0
23,2021-11-05,125.05,130.37,119.01,123.47,123.47,7913547,0.0
24,2021-10-29,128.41,130.35,124.49,125.25,125.25,3838656,0.0
25,2021-10-22,122.83,129.24,121.85,128.07,128.07,3130027,0.0
26,2021-10-15,118.6,125.55,116.92,122.42,122.42,4785711,0.0
27,2021-10-08,113.61,120.25,110.19,118.9,118.9,4208634,0.0
28,2021-10-01,114.05,116.12,111.48,114.57,114.57,5170869,0.0
29,2021-09-24,107.43,114.97,104.89,114.92,114.92,6880332,0.0
30,2021-09-17,110.06,110.72,105.85,109.16,109.16,33312183,0.0
31,2021-09-10,116.1,116.7,109.81,109.85,109.85,4538926,0.0
32,2021-09-03,111.2,116.28,109.82,115.96,115.96,3028805,0.0
33,2021-08-27,106.6,111.46,106.41,110.75,110.75,2905501,0.0
34,2021-08-20,103.78,107.02,103.78,106.2,106.2,2711351,0.0
35,2021-08-13,103.11,108.74,102.53,106.38,106.38,6889545,0.0
36,2021-08-06,98.94,102.63,93.32,102.5,102.5,5335897,0.0
37,2021-07-30,100.23,100.23,96.76,98.4,98.4,2016192,0.0
38,2021-07-23,93.64,100.75,93.53,100.35,100.35,3059503,0.0
39,2021-07-16,99.48,99.85,94.325,95.31,95.31,2883036,0.0
40,2021-07-09,98.18,100.54,95.5544,99.22,99.22,1735621,0.0
41,2021-07-02,98.92,101.0,94.95,97.88,97.88,3464215,0.0
42,2021-06-25,91.3,98.32,90.06,98.05,98.05,6419551,0.0
43,2021-06-18,89.09,91.73,83.95,91.3,91.3,5436619,0.0
44,2021-06-11,86.04,88.88,85.1,88.81,88.81,3320200,0.0
45,2021-06-04,89.27,89.79,84.27,86.43,86.43,2841603,0.0
46,2021-05-28,89.17,90.5,87.38,89.46,89.46,3759273,0.0
47,2021-05-21,87.53,89.98,85.15,87.83,87.83,4232936,0.0
48,2021-05-14,84.8,89.02,81.0,88.31,88.31,4768844,0.0
49,2021-05-07,95.55,96.54,84.05,87.4,87.4,6813649,0.0
50,2021-04-30,94.0,99.28,92.62,94.48,94.48,4326562,0.0
51,2021-04-23,93.19,95.75,90.03,94.22,94.22,2973766,0.0
52,2021-04-16,89.03,95.48,88.535,93.94,93.94,3215780,0.0
53,2021-04-09,85.39,89.78,84.14,89.66,89.66,6250090,0.0
54,2021-04-01,83.37,87.0,79.26,84.58,84.58,3039306,0.0
55,2021-03-26,83.06,85.27,78.47,83.59,83.59,4546134,0.0
56,2021-03-19,87.45,91.69,82.34,82.98,82.98,5530090,0.0
57,2021-03-12,84.18,88.87,80.88,87.15,87.15,4492045,0.0
58,2021-03-05,91.75,93.6,78.2,84.28,84.28,7643976,0.0
59,2021-02-26,94.58,95.35,85.52,89.66,89.66,6605553,0.0
