,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,80.37,81.36,79.96,80.99,80.99,20465457,0.0
1,2022-04-08,75.82,80.62,74.88,80.25,80.25,33973243,0.0
2,2022-04-01,74.84,76.79,74.84,76.42,76.42,26665154,0.0
3,2022-03-25,73.6,75.0596,72.86,74.78,74.78,26759279,0.0
4,2022-03-18,74.31,75.9,72.2,72.2,72.2,31684679,0.0
5,2022-03-11,76.91,77.24,73.34,73.77,73.77,27238787,0.0
6,2022-03-04,77.13,77.92,75.73,77.36,77.36,20276185,0.0
7,2022-02-25,79.36,79.8,75.46,78.14,78.14,21169687,0.0
8,2022-02-18,79.56,79.94,77.38,79.55,79.55,21064396,0.0
9,2022-02-11,81.47,81.73,79.39,79.53,79.53,20660647,0.0
10,2022-02-04,82.24,83.27,80.81,81.12,81.12,27826976,0.0
11,2022-01-28,84.18,84.75,79.59,83.05,83.05,34669401,0.0
12,2022-01-21,82.78,85.04,81.98,83.67,83.67,23892993,0.45
13,2022-01-14,84.29,84.51,81.97,83.45,83.0036,23932167,0.0
14,2022-01-07,84.55,85.61,83.49,84.44,83.9883,21151048,0.0
15,2021-12-31,83.0,85.4,82.89,85.34,84.8835,13657372,0.0
16,2021-12-23,82.09,83.01,81.77,82.79,82.3471,17102565,0.0
17,2021-12-17,79.28,84.27,79.28,82.48,82.0388,35295460,0.0
18,2021-12-10,77.29,79.6,76.77,79.47,79.0449,22011787,0.0
19,2021-12-03,77.08,78.075,75.01,76.77,76.3593,26213844,0.0
20,2021-11-26,77.41,78.6,76.96,77.06,76.6478,11333168,0.0
21,2021-11-19,78.25,78.775,76.165,77.2,76.787,16944049,0.0
22,2021-11-12,77.85,78.53,77.0073,78.03,77.6126,15922294,0.0
23,2021-11-05,75.99,77.95,75.57,77.84,77.4236,19014224,0.0
24,2021-10-29,75.02,77.45,74.2,76.19,75.7824,27722525,0.0
25,2021-10-22,75.93,76.01,74.291,75.5,75.0961,26891553,0.45
26,2021-10-15,75.9,76.99,75.085,76.25,75.3904,18030297,0.0
27,2021-10-08,75.51,76.41,74.01,75.59,74.7378,19882244,0.0
28,2021-10-01,76.5,77.365,75.065,75.58,74.7279,19596302,0.0
29,2021-09-24,77.02,77.23,75.695,76.63,75.7661,16608797,0.0
30,2021-09-17,77.34,78.18,75.855,76.23,75.3706,21489430,0.0
31,2021-09-10,77.9,78.215,76.6,77.04,76.1715,14427878,0.0
32,2021-09-03,77.63,78.56,77.45,77.91,77.0316,13985658,0.0
33,2021-08-27,78.73,78.98,76.985,77.44,76.5669,14334895,0.0
34,2021-08-20,79.49,80.72,78.12,78.8,77.9116,19665008,0.0
35,2021-08-13,78.77,79.64,77.99,79.44,78.5444,15418485,0.0
36,2021-08-06,79.49,79.88,77.82,78.63,77.7435,20182099,0.0
37,2021-07-30,83.15,84.57,79.225,79.5,78.6037,26678663,0.0
38,2021-07-23,84.38,84.96,81.29,83.28,82.3411,20192105,0.45
39,2021-07-16,82.51,84.495,82.28,84.39,82.987,20903750,0.0
40,2021-07-09,81.67,83.09,81.45,82.43,81.0596,12757491,0.0
41,2021-07-02,81.6,82.3,80.815,81.7,80.3417,16828263,0.0
42,2021-06-25,81.27,81.69,80.21,81.46,80.1057,23985815,0.0
43,2021-06-18,83.66,83.9,81.0,81.02,79.673,19699957,0.0
44,2021-06-11,84.09,84.23,82.53,83.63,82.2396,19611071,0.0
45,2021-06-04,84.95,85.01,82.12,83.97,82.574,16964207,0.0
46,2021-05-28,84.44,84.91,83.69,83.78,82.3871,17928703,0.0
47,2021-05-21,83.79,84.68,82.44,84.23,82.8296,18089570,0.0
48,2021-05-14,82.65,84.01,81.45,83.56,82.1708,21847319,0.0
49,2021-05-07,80.84,82.54,80.1855,82.18,80.8137,16247532,0.0
50,2021-04-30,79.75,81.16,78.41,80.7,79.3583,23503164,0.0
51,2021-04-23,80.48,82.05,79.48,79.79,78.4635,20028701,0.45
52,2021-04-16,79.8,80.96,79.0,80.7,78.9216,24228059,0.0
53,2021-04-09,78.73,80.33,78.61,79.78,78.0219,20151510,0.0
54,2021-04-01,79.11,79.975,77.58,78.55,76.819,18028167,0.0
55,2021-03-26,74.98,79.26,74.84,79.22,77.4743,27416828,0.0
56,2021-03-19,76.04,76.5,74.67,74.98,73.3277,28289333,0.0
57,2021-03-12,75.76,77.34,74.141,75.51,73.846,26774799,0.0
58,2021-03-05,75.44,76.36,74.18,76.06,74.3839,31133760,0.0
59,2021-02-26,77.22,78.44,75.15,75.2,73.5428,20224342,0.0
60,2021-02-19,78.05,78.92,77.065,77.2,75.4988,15346089,0.0
61,2021-02-12,80.0,80.13,77.78,78.43,76.7017,18230603,0.0
62,2021-02-05,78.64,80.07,78.32,79.87,78.1099,22842382,0.0
63,2021-01-29,78.21,80.2,77.84,78.0,76.2811,35271764,0.0
64,2021-01-22,82.55,82.55,77.9,78.19,76.467,21490021,0.44
65,2021-01-15,82.35,83.06,81.62,81.88,79.6276,22947331,0.0
66,2021-01-08,84.78,85.555,81.14,82.35,80.0846,25749571,0.0
67,2020-12-31,85.28,86.21,84.53,85.51,83.1577,7663005,0.0
