,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,146.0,149.39,144.65,145.39,145.39,3165139,0.0
1,2022-04-08,141.93,147.91,140.55,146.5,146.5,7501441,0.0
2,2022-04-01,136.5,142.95,136.5,142.83,142.83,5696630,0.0
3,2022-03-25,134.02,138.48,132.77,136.46,136.46,5345996,0.0
4,2022-03-18,130.57,134.76,127.02,133.83,133.83,7536527,0.0
5,2022-03-11,144.4,147.5,130.06,130.16,130.16,8422441,0.0
6,2022-03-04,146.37,147.14,142.16,144.74,144.74,4916536,0.0
7,2022-02-25,150.45,151.29,140.82,147.58,147.58,5827510,0.0
8,2022-02-18,144.18,150.63,139.925,150.55,150.55,8139741,0.0
9,2022-02-11,140.26,146.63,138.61,144.04,144.04,10922732,0.0
10,2022-02-04,166.26,169.16,140.06,141.41,141.41,14348889,0.0
11,2022-01-28,179.5,182.34,162.92,166.94,166.94,9247644,1.16
12,2022-01-21,185.72,185.72,175.7601,178.6,177.4208,5508319,0.0
13,2022-01-14,180.58,186.8599,178.075,186.6,185.368,7509472,0.0
14,2022-01-07,174.0,180.57,171.11,179.9,178.7122,5388155,0.0
15,2021-12-31,169.5,174.81,169.4,174.36,173.2088,3246946,0.0
16,2021-12-23,174.86,179.51,169.36,169.83,168.7087,4560649,0.0
17,2021-12-17,167.67,180.73,166.21,174.16,173.0101,9105264,0.0
18,2021-12-10,168.16,169.58,163.895,168.53,167.4173,5248934,0.0
19,2021-12-03,171.96,173.365,162.24,168.16,167.0497,8629283,0.0
20,2021-11-26,166.43,174.46,165.93,174.21,173.0598,4880069,0.0
21,2021-11-19,166.04,172.185,164.78,166.98,165.8775,6023496,0.0
22,2021-11-12,163.13,166.98,162.03,166.04,164.9437,4405396,0.0
23,2021-11-05,162.68,168.67,161.29,163.26,162.1821,7563587,0.0
24,2021-10-29,160.75,164.1,158.605,163.01,161.9337,6304835,1.16
25,2021-10-22,163.23,163.2399,156.23,161.44,159.2283,7027373,0.0
26,2021-10-15,163.51,164.53,160.05,163.24,161.0037,4280557,0.0
27,2021-10-08,164.71,166.59,161.88,163.48,161.2404,4608129,0.0
28,2021-10-01,164.34,169.31,162.3,164.52,162.2662,6220551,0.0
29,2021-09-24,166.19,167.25,161.66,164.56,162.3056,6415483,0.0
30,2021-09-17,170.23,173.205,165.85,166.09,163.8146,8220565,0.0
31,2021-09-10,169.7,171.72,166.72,169.68,167.3555,3980864,0.0
32,2021-09-03,165.03,171.88,164.86,169.51,167.1878,7407306,0.0
33,2021-08-27,169.58,169.7,164.266,164.86,162.6015,5869636,0.0
34,2021-08-20,168.63,173.03,167.09,170.06,167.7303,6238668,0.0
35,2021-08-13,163.13,169.255,162.58,168.45,166.1423,5750398,0.0
36,2021-08-06,180.89,181.84,159.3202,162.58,160.3527,17448401,0.0
37,2021-07-30,184.44,187.45,180.4,180.89,178.4119,6232261,1.16
38,2021-07-23,186.28,191.75,177.34,184.77,181.0898,8554842,0.0
39,2021-07-16,180.0,187.13,178.05,186.32,182.6089,4878303,0.0
40,2021-07-09,179.61,187.39,179.22,180.88,177.2773,5544567,0.0
41,2021-07-02,177.1,181.96,177.0,179.29,175.7189,5467316,0.0
42,2021-06-25,173.23,176.81,170.5,176.65,173.1315,6845352,0.0
43,2021-06-18,176.0,176.38,172.35,172.98,169.5346,8394121,0.0
44,2021-06-11,179.0,179.57,175.25,176.16,172.6513,5683318,0.0
45,2021-06-04,177.5,180.11,175.98,179.01,175.4445,4669316,0.0
46,2021-05-28,178.26,180.71,175.55,176.73,173.2099,6496659,0.0
47,2021-05-21,181.25,183.23,178.07,178.35,174.7976,6046785,0.0
48,2021-05-14,184.0,189.17,181.14,181.32,177.7085,5294952,0.0
49,2021-05-07,177.0,186.42,177.0,183.01,179.3648,8315302,0.0
50,2021-04-30,188.54,188.725,177.5,182.5,178.865,9962556,0.0
51,2021-04-23,190.27,196.65,188.44,188.54,184.7847,7580874,1.11
52,2021-04-16,190.78,192.0,185.51,190.73,185.8702,6314742,0.0
53,2021-04-09,193.09,196.29,188.45,190.13,185.2854,6461542,0.0
54,2021-04-01,190.3,196.665,188.92,192.83,187.9166,5430704,0.0
55,2021-03-26,186.51,194.59,185.0,190.25,185.4024,6319906,0.0
56,2021-03-19,189.75,193.44,181.1,186.13,181.3874,8669794,0.0
57,2021-03-12,183.89,190.98,182.48,188.99,184.1745,7768427,0.0
58,2021-03-05,181.51,184.39,176.73,184.34,179.643,8037773,0.0
59,2021-02-26,186.73,189.09,180.11,181.05,176.4368,7140529,0.0
60,2021-02-19,185.34,191.95,181.2,187.05,182.2839,7200493,0.0
61,2021-02-12,191.67,192.31,182.9,185.97,181.2314,9606013,0.0
62,2021-02-05,209.61,212.46,190.39,191.25,186.3769,13847214,0.0
63,2021-01-29,203.6,231.1099,202.86,209.46,204.1229,15602288,1.11
64,2021-01-22,198.9,202.79,194.9342,202.35,196.1717,6245291,0.0
65,2021-01-15,198.65,199.28,191.83,197.52,191.4892,6828821,0.0
66,2021-01-08,201.9,203.0,194.08,197.84,191.7994,7619812,0.0
67,2020-12-31,203.73,203.92,199.9,201.92,195.7548,3330267,0.0
68,2020-12-24,204.07,204.67,200.22,203.8,197.5774,2989888,0.0
69,2020-12-18,204.21,205.5,200.81,203.17,196.9667,6903598,0.0
70,2020-12-11,200.39,205.8999,198.65,201.73,195.5707,6051439,0.0
71,2020-12-04,202.32,204.0,198.68,199.98,193.8741,9202721,0.0
72,2020-11-27,202.12,203.35,199.43,203.09,196.8891,5154205,0.0
73,2020-11-20,203.0,210.25,201.0,203.05,196.8503,8028612,0.0
74,2020-11-13,203.44,209.0,192.9,207.38,201.0481,12549458,0.0
75,2020-11-06,215.0,221.84,210.69,218.08,211.4214,9685210,1.11
76,2020-10-30,210.81,217.63,204.88,207.25,199.8768,7036039,0.0
77,2020-10-23,215.45,216.5918,206.05,211.14,203.6284,5023284,0.0
78,2020-10-16,215.63,223.36,214.69,214.99,207.3415,5123914,0.0
79,2020-10-09,209.02,217.5,207.825,214.79,207.1486,5988058,0.0
80,2020-10-02,212.59,216.0,207.52,209.22,201.7767,5811770,0.0
81,2020-09-25,208.98,215.39,206.06,211.51,203.9853,5839886,0.0
82,2020-09-18,214.49,217.93,204.61,208.15,200.7448,7770909,0.0
83,2020-09-11,211.63,221.59,207.35,214.0,206.3867,7465051,0.0
84,2020-09-04,217.29,225.38,208.0,212.52,204.9593,8284890,0.0
85,2020-08-28,227.33,227.33,215.62,217.13,209.4053,9802773,0.0
86,2020-08-21,224.25,229.63,222.39,226.33,218.278,5697426,0.0
87,2020-08-14,237.87,237.94,221.705,224.25,216.272,6194292,0.0
88,2020-08-07,230.22,239.87,227.6755,237.49,229.041,9922742,0.0
89,2020-07-31,226.8,238.0,226.8,236.51,228.0959,6104354,1.11
90,2020-07-24,228.0,232.21,224.47,227.04,217.9045,4138947,0.0
91,2020-07-17,230.57,232.1,224.06,228.38,219.1905,6091367,0.0
92,2020-07-10,222.79,230.53,219.1,229.76,220.515,5605102,0.0
93,2020-07-02,216.0,224.55,215.31,222.16,213.2208,5546203,0.0
94,2020-06-26,218.44,218.87,210.65,215.3,206.6369,8076895,0.0
95,2020-06-19,207.4,219.38,204.91,217.64,208.8827,9229231,0.0
96,2020-06-12,194.5,210.42,194.0,205.12,196.8665,11092523,0.0
97,2020-06-05,206.21,207.57,194.29,197.57,189.6203,7554296,0.0
98,2020-05-29,198.46,206.69,193.33,206.25,197.951,7741467,0.0
99,2020-05-22,207.28,208.43,197.69,198.59,190.5992,7797459,0.0
100,2020-05-15,204.45,210.49,201.6,209.83,201.387,7894820,0.0
101,2020-05-08,195.12,206.28,193.91,204.05,195.8395,10820871,0.0
102,2020-05-01,191.01,197.76,180.59,192.71,184.9558,13529583,0.0
103,2020-04-24,195.64,198.62,188.5,190.65,182.9787,8935313,1.06
104,2020-04-17,183.52,198.75,182.39,193.5,184.6878,9573883,0.0
105,2020-04-09,177.59,186.77,173.41,184.21,175.8209,9130476,0.0
106,2020-04-03,177.6,182.43,170.69,177.54,169.4547,12298143,0.0
107,2020-03-27,176.84,177.44,161.11,173.19,165.3028,16842524,0.0
108,2020-03-20,170.2,214.26,164.5,177.4,169.321,30002071,0.0
109,2020-03-13,167.95,178.88,156.68,167.77,160.1296,14870472,0.0
110,2020-03-06,163.1,177.32,162.81,173.26,165.3696,15264520,0.0
111,2020-02-28,165.89,174.17,155.83,159.42,152.1599,16299733,0.0
112,2020-02-21,165.26,165.72,163.59,164.64,157.1421,2707381,0.0
