,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,242.22,242.66,235.0,239.36,239.36,3854964,0.0
1,2022-04-08,240.07,247.015,233.17,242.5,242.5,6791982,0.0
2,2022-04-01,248.11,248.75,236.405,239.82,239.82,10026341,0.0
3,2022-03-25,248.5,251.99,243.77,247.72,247.72,7507972,0.0
4,2022-03-18,227.69,251.24,225.96,249.6,249.6,8896596,0.0
5,2022-03-11,243.77,244.37,222.18,225.96,225.96,9133929,1.0
6,2022-03-04,235.75,244.64,232.41,243.77,242.7151,8653933,0.0
7,2022-02-25,236.7,240.98,229.165,239.41,238.374,6835488,0.0
8,2022-02-18,241.63,243.15,235.84,236.62,235.5961,9157479,0.0
9,2022-02-11,246.17,256.94,237.13,241.03,239.987,10775275,0.0
10,2022-02-04,225.28,248.2,223.64,246.17,245.1047,10377491,0.0
11,2022-01-28,219.695,228.45,217.96,225.75,224.7731,10640507,0.0
12,2022-01-21,222.31,234.04,220.32,225.91,224.9324,9495791,0.0
13,2022-01-14,224.93,229.0,219.285,223.19,222.2242,7389177,0.0
14,2022-01-07,229.13,229.5,222.21,225.04,224.0662,5371525,0.0
15,2021-12-31,226.0,231.33,225.58,228.46,227.4714,2962829,3.25
16,2021-12-23,222.23,230.38,218.6367,228.96,224.785,3444739,0.0
17,2021-12-17,228.16,230.0,223.45,224.78,220.6812,7898793,0.0
18,2021-12-10,226.85,232.64,223.855,228.4,224.2352,5914891,0.9
19,2021-12-03,223.46,228.285,218.89,225.26,220.2816,8201616,0.0
20,2021-11-26,223.4,230.9,221.11,222.16,217.2501,4605451,0.0
21,2021-11-19,224.43,228.02,221.99,223.31,218.3747,6234433,0.0
22,2021-11-12,222.85,225.15,219.08,224.85,219.8806,5114940,0.0
23,2021-11-05,221.65,230.89,216.5,221.71,216.81,5759172,0.0
24,2021-10-29,218.0,221.43,215.53,220.55,215.6757,6924723,0.0
25,2021-10-22,211.05,218.67,210.6833,217.95,213.1331,6658304,0.0
26,2021-10-15,202.67,212.605,199.5,211.9,207.2168,6607913,0.0
27,2021-10-08,196.07,202.34,192.37,201.53,197.076,5957034,0.0
28,2021-10-01,198.45,201.76,191.61,196.59,192.2452,7235848,0.0
29,2021-09-24,187.69,198.54,185.79,198.01,193.6338,7849938,0.0
30,2021-09-17,191.01,191.66,187.0,188.65,184.4807,7428375,0.0
31,2021-09-10,194.79,195.2271,189.1,189.21,185.0283,5062292,0.9
32,2021-09-03,199.51,201.94,195.13,195.3,190.0948,6286299,0.0
33,2021-08-27,198.31,202.635,198.01,199.86,194.5332,4659294,0.0
34,2021-08-20,206.19,207.49,195.9,198.36,193.0732,10149571,0.0
35,2021-08-13,210.36,210.86,205.69,207.03,201.5121,4190941,0.0
36,2021-08-06,212.14,213.84,206.67,209.84,204.2472,7586069,0.0
37,2021-07-30,211.41,215.95,209.04,212.13,206.4762,4846867,0.0
38,2021-07-23,204.64,213.33,204.64,211.9,206.2523,5621064,0.0
39,2021-07-16,209.27,212.0699,208.52,209.33,203.7508,5247740,0.0
40,2021-07-09,212.44,214.2,205.16,209.62,204.0331,5394884,0.0
41,2021-07-02,218.78,218.8,211.22,213.52,207.8292,5588512,0.0
42,2021-06-25,213.25,218.54,211.3,218.12,212.3066,5177635,0.0
43,2021-06-18,214.17,220.27,210.02,210.71,205.0941,7158192,0.0
44,2021-06-11,219.33,219.4199,212.21,214.46,208.7441,4741305,0.9
45,2021-06-04,219.5,221.82,212.8875,218.37,211.666,3678821,0.0
46,2021-05-28,218.0,219.72,214.02,218.76,212.044,5104118,0.0
47,2021-05-21,217.73,218.05,208.85,217.78,211.0941,5526959,0.0
48,2021-05-14,204.46,218.7995,203.44,216.99,210.3283,10068565,0.0
49,2021-05-07,202.5,205.28,200.1,202.92,196.6903,6059746,0.0
50,2021-04-30,208.33,208.33,199.69,201.99,195.7888,6813511,0.0
51,2021-04-23,207.15,208.52,204.15,207.31,200.9455,5220102,0.0
52,2021-04-16,203.98,208.54,202.56,207.58,201.2072,6882074,0.0
53,2021-04-09,206.99,209.3899,201.81,204.63,198.3478,5529103,0.0
54,2021-04-01,206.85,209.47,203.25,206.09,199.763,4898331,0.0
55,2021-03-26,200.22,208.77,197.39,208.44,202.0408,6670269,0.0
56,2021-03-19,209.08,210.3,200.8,202.66,196.4383,10765414,0.0
57,2021-03-12,214.55,216.75,203.11,209.15,202.729,10471332,0.9
58,2021-03-05,202.06,215.64,202.05,213.92,206.4665,10741128,0.0
59,2021-02-26,194.005,207.44,191.505,199.7,192.742,12210042,0.0
60,2021-02-19,185.09,196.46,182.995,195.07,188.2733,7118882,0.0
61,2021-02-12,192.94,195.54,179.69,184.37,177.9461,10672487,0.0
62,2021-02-05,184.64,194.84,182.9063,191.39,184.7215,7632514,0.0
63,2021-01-29,183.69,185.335,177.73,181.74,175.4078,8205049,0.0
64,2021-01-22,193.22,194.35,183.89,184.04,177.6276,5305717,0.0
65,2021-01-15,198.52,205.05,191.14,191.82,185.1366,7709473,0.0
66,2021-01-08,183.1,200.86,177.51,199.68,192.7227,12229540,0.0
67,2020-12-31,179.15,182.2199,177.77,182.05,175.707,4031400,0.0
68,2020-12-24,181.57,183.305,177.15,178.48,172.2613,4589209,2.5
69,2020-12-18,181.71,187.0,177.54,183.98,175.1168,9582243,0.0
70,2020-12-11,180.53,184.5,179.465,180.27,171.5856,8005439,0.85
71,2020-12-04,173.55,185.11,172.95,184.03,174.3518,8726343,0.0
72,2020-11-27,168.72,176.125,167.72,174.77,165.5788,6573971,0.0
73,2020-11-20,168.53,169.645,163.52,167.47,158.6627,6513858,0.0
74,2020-11-13,160.84,170.27,159.46,165.96,157.2321,12565369,0.0
75,2020-11-06,153.0,156.283,149.3,150.59,142.6704,9946964,0.0
76,2020-10-30,162.13,163.055,146.89,150.72,142.7936,10445690,0.0
77,2020-10-23,168.8,168.8,162.23,163.86,155.2426,7885646,0.0
78,2020-10-16,169.18,171.08,164.45,167.99,159.1554,5649137,0.0
79,2020-10-09,168.29,172.4,166.33,169.41,160.5007,8228390,0.0
80,2020-10-02,167.94,170.97,164.13,168.49,159.6291,6902793,0.0
