,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,111.5,114.25,110.14,112.67,112.67,3265237,0.0
1,2022-04-08,110.44,112.86,107.3454,111.57,111.57,7063079,0.0
2,2022-04-01,111.56,114.85,108.75,110.12,110.12,6967693,0.0
3,2022-03-25,116.02,117.06,109.84,113.25,113.25,8198704,0.0
4,2022-03-18,107.2,116.41,105.99,115.84,115.84,13542295,0.0
5,2022-03-11,108.68,110.4999,100.074,104.47,104.47,11962440,0.0
6,2022-03-04,120.28,123.83,108.1204,110.22,110.22,10840513,0.0
7,2022-02-25,123.73,124.72,113.415,124.01,124.01,6683714,0.0
8,2022-02-18,125.48,129.115,122.18,123.81,123.81,7976664,0.5
9,2022-02-11,117.49,127.65,116.65,124.14,123.6525,8180778,0.0
10,2022-02-04,112.43,118.5,111.74,117.23,116.7696,7021165,0.0
11,2022-01-28,114.545,120.72,110.0,113.74,113.2933,10407740,0.0
12,2022-01-21,127.05,127.22,113.95,114.45,114.0005,10945403,0.0
13,2022-01-14,126.96,130.81,123.59,127.54,127.0391,9171520,0.0
14,2022-01-07,116.93,127.18,116.79,125.69,125.1964,8606098,0.0
15,2021-12-31,115.78,117.44,114.1901,115.56,115.1062,3685149,0.0
16,2021-12-23,111.1,117.2799,108.22,115.34,114.887,5642288,0.0
17,2021-12-17,115.97,117.57,111.73,114.11,113.6619,13090388,0.0
18,2021-12-10,111.2,117.24,110.27,116.77,116.3114,9799662,0.0
19,2021-12-03,116.27,117.19,106.0,108.67,108.2432,12142529,0.0
20,2021-11-26,115.79,120.64,111.04,114.57,114.1201,7073697,0.5
21,2021-11-19,119.29,120.605,112.45,114.38,113.4556,7284999,0.0
22,2021-11-12,117.54,119.78,114.37,119.44,118.4747,6259398,0.0
23,2021-11-05,114.5,117.74,113.93,116.47,115.5287,10452492,0.0
24,2021-10-29,125.17,127.3,113.0,113.32,112.4042,12673086,0.0
25,2021-10-22,128.21,133.4,123.51,125.18,124.1683,10852969,0.0
26,2021-10-15,128.53,130.61,121.0336,129.27,128.2253,7470466,0.0
27,2021-10-08,127.19,129.8,123.63,128.35,127.3127,6269629,0.0
28,2021-10-01,131.21,132.33,122.77,127.19,126.1621,7127236,0.0
29,2021-09-24,119.39,131.16,117.46,130.01,128.9593,8155443,0.0
30,2021-09-17,121.35,126.05,119.78,123.64,122.6408,9822662,0.0
31,2021-09-10,122.34,123.75,117.55,120.49,119.5162,6982648,0.0
32,2021-09-03,133.73,133.73,121.68,122.99,121.996,8534268,0.0
33,2021-08-27,128.48,133.78,128.04,133.48,132.4012,4042432,0.0
34,2021-08-20,134.14,134.94,124.71,127.26,126.2315,6766075,0.5
35,2021-08-13,128.78,135.69,127.0,135.38,133.768,6277646,0.0
36,2021-08-06,125.24,130.93,120.11,130.06,128.5113,7562260,0.0
37,2021-07-30,123.07,126.97,121.75,124.32,122.8396,7102853,0.0
38,2021-07-23,117.43,126.74,114.37,123.01,121.5452,11190145,0.0
39,2021-07-16,121.44,127.65,120.09,120.43,118.996,8452645,0.0
40,2021-07-09,119.26,122.5399,113.08,122.4,120.9425,7716884,0.0
41,2021-07-02,122.56,123.03,115.13,120.2,118.7687,7789390,0.0
42,2021-06-25,115.77,123.88,115.65,123.57,122.0986,11855636,0.0
43,2021-06-18,122.99,123.44,113.04,114.11,112.7512,10268932,0.0
44,2021-06-11,123.3,125.38,121.24,123.15,121.6836,8659896,0.0
45,2021-06-04,120.24,123.98,119.48,123.38,121.9108,7314581,0.0
