,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-14,59.46,59.71,58.18,58.25,58.25,4821308,0.0
1,2022-04-08,59.35,60.715,58.21,59.52,59.52,8153955,0.0
2,2022-04-01,56.85,59.49,56.55,59.23,59.23,9752495,0.0
3,2022-03-25,56.32,56.82,55.38,56.75,56.75,9000558,0.0
4,2022-03-18,53.93,56.43,53.48,56.28,56.28,9300734,0.0
5,2022-03-11,54.93,55.59,53.4062,53.63,53.63,8781547,0.0
6,2022-03-04,53.32,54.96,52.3529,54.91,54.91,11294931,0.0
7,2022-02-25,52.87,54.07,50.861,53.9,53.9,7703882,0.0
8,2022-02-18,55.29,55.92,52.72,52.92,52.92,9046440,0.28
9,2022-02-11,57.71,58.7,54.72,55.21,54.9252,9562977,0.0
10,2022-02-04,56.805,59.14,56.755,57.68,57.3825,9809847,0.0
11,2022-01-28,57.22,57.93,54.52,57.19,56.895,10402218,0.0
12,2022-01-21,58.95,59.7925,57.45,57.63,57.3327,6965693,0.0
13,2022-01-14,59.94,60.75,58.815,59.81,59.5015,6660248,0.0
14,2022-01-07,65.64,65.7995,59.875,60.21,59.8994,11683641,0.0
15,2021-12-31,62.89,66.22,62.77,65.64,65.3014,4737181,0.0
16,2021-12-23,61.68,63.11,61.2,62.59,62.2671,4778143,0.0
17,2021-12-17,61.77,63.515,61.4,62.09,61.7697,10597089,0.0
18,2021-12-10,60.11,62.08,60.01,61.59,61.2723,6609224,0.0
19,2021-12-03,58.77,60.64,58.17,59.68,59.3721,9834274,0.0
20,2021-11-26,58.93,60.07,58.18,58.37,58.0689,3899683,0.0
21,2021-11-19,57.35,59.0097,56.81,58.69,58.3873,6688950,0.28
22,2021-11-12,56.13,57.98,55.815,57.67,57.0963,5614922,0.0
23,2021-11-05,56.54,57.0,55.08,56.04,55.4825,7204977,0.0
24,2021-10-29,55.61,56.99,55.03,56.24,55.6805,8662035,0.0
25,2021-10-22,53.04,55.8,52.76,55.52,54.9676,6742867,0.0
26,2021-10-15,50.37,53.56,49.9904,53.22,52.6905,6036040,0.0
27,2021-10-08,48.68,51.375,48.68,50.4,49.8986,10246454,0.0
28,2021-10-01,48.73,49.23,47.4,48.8,48.3145,8274450,0.0
29,2021-09-24,49.11,49.68,48.42,48.85,48.364,7570723,0.0
30,2021-09-17,51.16,51.22,49.33,49.43,48.9382,7016351,0.0
31,2021-09-10,53.51,53.67,50.67,50.75,50.2451,7540472,0.0
32,2021-09-03,50.68,53.725,50.56,53.62,53.0865,12235006,0.0
33,2021-08-27,50.92,51.21,49.28,50.59,50.0867,7450809,0.0
34,2021-08-20,50.9,51.48,50.055,50.82,50.3144,6696084,0.0
35,2021-08-13,51.09,51.11,50.07,50.99,50.4827,6241326,0.255
36,2021-08-06,50.99,51.385,50.32,51.13,50.3694,7157018,0.0
