,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,137.69,138.51,135.45,136.63,136.63,2910576,0.0
1,2022-04-08,134.15,137.99,131.9,137.35,137.35,5450766,0.0
2,2022-04-01,129.75,134.97,128.429,134.94,134.94,4869429,0.0
3,2022-03-25,125.9,129.85,125.13,129.85,129.85,5277178,0.0
4,2022-03-18,127.79,128.67,125.29,126.07,126.07,6936059,0.885
5,2022-03-11,127.85,128.29,124.17,126.97,126.0849,6207064,0.0
6,2022-03-04,120.51,128.04,119.18,127.88,126.9886,6081139,0.0
7,2022-02-25,119.72,121.99,114.905,121.95,121.0999,5190301,0.0
8,2022-02-18,116.78,120.135,115.08,119.35,118.518,8479868,0.0
9,2022-02-11,119.99,121.19,115.565,116.16,115.3503,5134711,0.0
10,2022-02-04,119.38,121.39,117.19,120.0,119.1635,4929540,0.0
11,2022-01-28,118.0,120.93,113.82,120.24,119.4018,6330811,0.0
12,2022-01-21,118.64,120.23,117.14,118.46,117.6342,2872576,0.0
13,2022-01-14,119.94,121.0,117.665,119.38,118.5478,4307167,0.0
14,2022-01-07,119.75,120.83,117.73,119.69,118.8556,4068428,0.0
15,2021-12-31,117.32,120.12,116.5,119.54,118.7067,2316402,0.0
16,2021-12-23,115.8,118.338,114.48,116.82,116.0057,2942226,0.0
17,2021-12-17,115.93,120.83,115.58,116.6,115.7872,6191341,0.885
18,2021-12-10,112.97,116.52,112.72,116.22,114.5405,4152058,0.0
19,2021-12-03,111.33,111.91,108.22,111.89,110.273,8140787,0.0
20,2021-11-26,111.15,113.54,110.15,110.66,109.0608,4588253,0.0
21,2021-11-19,112.62,113.8,110.175,111.18,109.5733,7097891,0.0
22,2021-11-12,114.28,114.37,111.684,111.96,110.342,3705550,0.0
23,2021-11-05,113.46,114.835,111.76,114.13,112.4807,3510610,0.0
24,2021-10-29,115.84,117.29,112.6357,113.35,111.7119,4293654,0.0
25,2021-10-22,114.22,116.66,113.565,116.0,114.3236,3709434,0.0
26,2021-10-15,114.2,115.64,111.57,115.04,113.3775,3874369,0.0
27,2021-10-08,111.27,116.66,111.26,114.13,112.4807,4710951,0.0
