,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,70.65,73.66,70.0,71.3,71.3,5404675,0.0
1,2022-04-08,74.75,76.01,70.84,72.89,72.89,11127693,0.0
2,2022-04-01,77.79,81.89,73.5,74.9,74.9,8779224,0.0
3,2022-03-25,84.12,85.81,75.67,77.6,77.6,8242902,0.0
4,2022-03-18,84.67,87.44,82.16,86.93,86.93,6070683,0.0
5,2022-03-11,84.95,86.13,80.34,83.88,83.88,6194094,0.0
6,2022-03-04,86.65,88.255,83.03,84.79,84.79,7406301,0.0
7,2022-02-25,88.23,89.1,81.23,87.98,87.98,6004276,0.28
8,2022-02-18,89.14,91.82,88.04,88.79,88.4986,6362737,0.0
9,2022-02-11,89.41,93.6,88.46,88.8,88.5086,5744903,0.0
10,2022-02-04,92.21,95.08,87.43,89.41,89.1166,5798073,0.0
11,2022-01-28,92.62,98.17,87.95,92.5,92.1965,4712384,0.0
12,2022-01-21,100.4,100.68,94.34,94.41,94.1002,2973803,0.0
13,2022-01-14,100.0,106.39,98.6,101.48,101.147,3693920,0.0
14,2022-01-07,107.0,108.41,101.06,101.32,100.9875,4225791,0.0
15,2021-12-31,103.05,107.78,102.64,106.9,106.5492,2571042,0.0
16,2021-12-23,99.86,103.315,96.275,102.75,102.4128,2924151,0.0
17,2021-12-17,105.31,106.9,100.66,100.74,100.4094,4884451,0.0
18,2021-12-10,105.02,107.76,103.95,105.68,105.3332,4234489,0.0
19,2021-12-03,103.87,104.43,98.445,103.73,103.3896,6765000,0.0
20,2021-11-26,107.64,109.0,102.23,102.93,102.5922,3481474,0.26
21,2021-11-19,106.28,109.23,105.79,107.35,106.7349,3472670,0.0
22,2021-11-12,103.67,106.54,101.76,106.5,105.8898,3017137,0.0
23,2021-11-05,101.82,103.65,100.335,102.36,101.7735,3274020,0.0
24,2021-10-29,96.17,104.51,95.7,101.4,100.819,6096684,0.0
25,2021-10-22,94.78,98.43,93.71,96.21,95.6588,4548292,0.0
26,2021-10-15,94.38,96.55,91.8025,94.75,94.2071,5131578,0.0
27,2021-10-08,89.81,96.96,89.41,94.68,94.1375,4905712,0.0
