,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-14,40.59,41.48,38.875,39.01,39.01,19879993,0.0
1,2022-04-08,41.51,41.93,39.655,40.55,40.55,29263819,0.0
2,2022-04-01,46.3,47.02,41.57,41.8,41.8,33990702,0.3
3,2022-03-25,46.98,48.03,45.45,46.76,46.4453,27391513,0.0
4,2022-03-18,44.96,47.69,44.75,46.69,46.3758,41726458,0.0
5,2022-03-11,44.25,45.665,41.55,44.0,43.7039,37997690,0.0
6,2022-03-04,47.57,48.05,43.89,44.55,44.2502,36069172,0.0
7,2022-02-25,47.95,48.817,44.075,48.09,47.7664,31845227,0.0
8,2022-02-18,48.81,49.97,47.74,48.23,47.9054,24582797,0.0
9,2022-02-11,47.43,50.13,47.13,48.54,48.2134,28925096,0.0
10,2022-02-04,44.23,47.575,43.39,47.34,47.0214,34050456,0.0
11,2022-01-28,44.28,45.86,43.2301,44.47,44.1707,37008439,0.0
12,2022-01-21,50.48,50.64,44.88,45.04,44.7369,28927490,0.0
13,2022-01-14,49.12,50.5,47.95,50.45,50.1105,25265886,0.0
14,2022-01-07,43.99,48.95,43.99,48.8,48.4716,26209984,0.0
15,2021-12-31,43.07,44.21,42.78,43.55,43.2569,15736625,0.3
16,2021-12-23,41.62,43.54,40.37,43.07,42.4878,16018355,0.0
17,2021-12-17,43.56,44.44,41.9,42.26,41.6888,30773671,0.0
18,2021-12-10,43.71,44.89,43.155,43.76,43.1685,22066245,0.0
19,2021-12-03,43.15,44.325,41.7,43.05,42.4681,31846538,0.0
20,2021-11-26,44.25,45.27,41.5,42.48,41.9058,15633767,0.0
21,2021-11-19,44.28,45.195,42.72,43.55,42.9613,18135255,0.0
22,2021-11-12,44.29,44.655,43.68,44.21,43.6124,16278881,0.0
23,2021-11-05,43.93,44.93,43.485,44.08,43.4842,20646331,0.0
24,2021-10-29,45.77,45.92,43.21,43.53,42.9416,15708074,0.0
25,2021-10-22,43.35,45.81,43.35,45.49,44.8751,21099757,0.0
26,2021-10-15,44.35,44.49,41.92,43.6,43.0107,19041040,0.0
27,2021-10-08,43.78,44.39,42.74,43.95,43.3559,18763881,0.0
28,2021-10-01,42.0,44.18,42.0,43.66,43.0698,32404452,0.3
29,2021-09-24,39.08,41.6,37.86,41.51,40.6674,29201105,0.0
30,2021-09-17,39.15,40.89,38.85,40.12,39.3056,36297018,0.0
31,2021-09-10,38.58,39.15,38.09,38.66,37.8753,18413944,0.0
32,2021-09-03,39.56,39.56,38.2,38.51,37.7283,19250845,0.0
33,2021-08-27,37.94,39.655,37.8,39.46,38.659,19793471,0.0
34,2021-08-20,38.22,38.56,37.01,37.62,36.8564,27061062,0.0
35,2021-08-13,37.65,39.11,37.18,38.48,37.6989,20506788,0.0
36,2021-08-06,36.63,38.07,35.49,37.73,36.9641,22616192,0.0
37,2021-07-30,35.98,37.13,35.42,36.29,35.5534,26982438,0.0
38,2021-07-23,35.5,37.23,34.35,35.78,35.0537,30492430,0.0
39,2021-07-16,37.57,38.54,36.29,36.4,35.6611,18359795,0.0
40,2021-07-09,38.23,38.305,36.07,38.08,37.307,20061100,0.0
41,2021-07-02,39.33,39.48,38.01,38.44,37.6597,15359438,0.27
42,2021-06-25,37.28,39.625,37.02,39.5,38.4258,31767056,0.0
43,2021-06-18,40.39,41.0,36.7,36.91,35.9063,31376880,0.0
44,2021-06-11,42.1348,42.245,40.29,40.57,39.4667,19654460,0.0
45,2021-06-04,42.43,42.77,41.6,42.04,40.8967,14693520,0.0
46,2021-05-28,42.14,42.52,41.05,42.14,40.994,23274303,0.0
47,2021-05-21,42.38,43.025,40.82,41.92,40.78,21032427,0.0
48,2021-05-14,42.96,43.06,40.6,42.64,41.4804,27908632,0.0
49,2021-05-07,40.99,42.38,40.01,42.35,41.1983,23488872,0.0
50,2021-04-30,38.58,40.96,38.51,40.54,39.4375,28326128,0.0
51,2021-04-23,38.08,38.64,35.88,38.34,37.2974,28830847,0.0
52,2021-04-16,38.41,39.085,37.37,38.2,37.1612,24134818,0.0
53,2021-04-09,38.77,38.85,37.38,38.44,37.3946,20173698,0.0
54,2021-04-01,37.72,38.38,36.64,37.98,36.9472,24385653,0.27
55,2021-03-26,38.28,38.74,35.88,38.44,37.1316,32912363,0.0
56,2021-03-19,38.96,40.46,37.26,38.31,37.0061,60196022,0.0
57,2021-03-12,37.2,39.26,36.21,39.09,37.7595,36830980,0.0
58,2021-03-05,35.36,37.38,34.53,36.77,35.5185,43438717,0.0
59,2021-02-26,34.75,36.85,34.31,34.69,33.5093,38717703,0.0
60,2021-02-19,32.86,34.695,32.61,34.54,33.3644,20483639,0.0
61,2021-02-12,32.1,33.19,31.85,32.51,31.4035,16730061,0.0
62,2021-02-05,29.05,32.605,28.94,32.095,31.0026,23872707,0.0
63,2021-01-29,30.25,30.95,28.25,28.93,27.9453,28785184,0.0
64,2021-01-22,31.95,32.39,30.375,30.9,29.8483,17048814,0.0
65,2021-01-15,30.7,32.82,30.5,31.865,30.7804,25106241,0.0
66,2021-01-08,27.76,32.12,26.83,31.18,30.1188,30009280,0.0
67,2020-12-31,27.78,28.04,27.01,27.57,26.6316,10221522,0.27
68,2020-12-24,26.9,27.88,26.565,27.58,26.3802,16883116,0.0
69,2020-12-18,27.87,27.87,26.418,26.63,25.4715,23780962,0.0
