,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,38.95,39.54,38.54,39.11,39.11,5500623,0.0
1,2022-04-08,39.13,39.651,37.79,38.97,38.97,14806940,0.0
2,2022-04-01,41.03,41.14,38.99,39.36,39.36,13386417,0.0
3,2022-03-25,41.07,42.02,40.245,41.22,41.22,13460390,0.0
4,2022-03-18,39.44,41.0,38.58,40.87,40.87,33581359,0.0
5,2022-03-11,42.55,43.04,39.29,39.33,39.33,18208316,0.0
6,2022-03-04,41.11,43.57,40.81,42.69,42.69,16817426,0.24
7,2022-02-25,42.22,42.6,39.88,41.77,41.5284,13262742,0.0
8,2022-02-18,43.41,43.71,41.915,42.38,42.1349,16788430,0.0
9,2022-02-11,40.95,44.95,40.42,43.4,43.149,24966475,0.0
10,2022-02-04,39.98,41.13,39.45,40.69,40.4547,13300928,0.0
11,2022-01-28,38.0,40.115,37.6,40.1,39.8681,23267645,0.0
12,2022-01-21,41.04,41.46,37.46,37.69,37.472,17016774,0.0
13,2022-01-14,39.21,41.095,38.51,41.02,40.7828,12815826,0.0
14,2022-01-07,37.08,39.12,36.75,39.02,38.7943,16806431,0.0
15,2021-12-31,37.22,37.76,36.7,36.9,36.6866,7329254,0.0
16,2021-12-23,36.55,37.5,35.8,37.28,37.0644,9437828,0.0
17,2021-12-17,36.42,37.775,35.25,36.96,36.7463,37763505,0.0
18,2021-12-10,36.4,37.37,36.24,36.82,36.6071,14420710,0.0
19,2021-12-03,37.69,37.81,34.4,36.04,35.8316,24413182,0.0
20,2021-11-26,38.99,39.4,37.05,37.62,37.4024,11205761,0.0
21,2021-11-19,41.16,41.84,38.73,38.99,38.7645,12039530,0.0
22,2021-11-12,41.54,41.7251,39.52,41.1,40.8623,12209673,0.0
23,2021-11-05,40.04,42.57,39.4,41.48,41.2401,18657296,0.0
24,2021-10-29,42.6,42.68,39.4,39.74,39.5102,13639105,0.0
25,2021-10-22,41.63,43.58,41.39,42.52,42.2741,11264383,0.0
26,2021-10-15,42.36,42.82,40.391,41.61,41.3694,13878552,0.0
27,2021-10-08,40.78,43.325,40.6,42.25,42.0057,15878439,0.0
28,2021-10-01,39.15,41.11,39.01,40.78,40.5442,15962266,0.0
29,2021-09-24,37.29,39.81,36.59,39.26,39.033,12549525,0.0
30,2021-09-17,36.24,38.1,35.12,37.71,37.4919,16790894,0.0
31,2021-09-10,36.83,37.18,35.72,35.94,35.7322,8938673,0.0
32,2021-09-03,37.2,37.595,36.54,36.89,36.6767,9990704,0.24
33,2021-08-27,36.84,37.47,36.6,37.2,36.7493,10468009,0.0
34,2021-08-20,36.82,37.64,35.94,36.76,36.3146,8433021,0.0
35,2021-08-13,36.32,37.62,36.04,37.0,36.5517,9149002,0.0
36,2021-08-06,35.77,37.54,34.16,36.48,36.038,16602495,0.0
37,2021-07-30,36.11,36.93,35.54,35.66,35.228,10973591,0.0
38,2021-07-23,34.98,36.37,34.46,36.19,35.7515,15410544,0.0
39,2021-07-16,36.32,36.96,35.22,35.28,34.8526,11001096,0.0
40,2021-07-09,37.3,37.3,35.32,36.45,36.0084,9426366,0.0
41,2021-07-02,38.66,38.81,36.54,37.32,36.8678,12188859,0.0
42,2021-06-25,37.76,38.86,36.82,38.36,37.8952,13242510,0.0
43,2021-06-18,37.98,38.14,36.91,37.63,37.1741,15570999,0.0
44,2021-06-11,37.28,38.07,36.365,37.93,37.4705,11878928,0.0
45,2021-06-04,37.63,37.74,36.04,37.19,36.7394,11464333,0.0
46,2021-05-28,37.53,38.38,36.95,37.35,36.8975,13240030,0.0
47,2021-05-21,37.75,38.22,36.72,37.58,37.1247,16962802,0.0
48,2021-05-14,38.32,39.46,37.14,37.26,36.8086,14895202,0.0
49,2021-05-07,37.86,38.44,36.225,38.32,37.8557,17467606,0.0
50,2021-04-30,38.53,38.58,37.22,37.42,36.9666,15853722,0.0
51,2021-04-23,37.79,38.87,37.4126,38.41,37.9446,18037856,0.0
52,2021-04-16,37.76,38.56,37.07,37.945,37.4853,15459680,0.0
53,2021-04-09,36.625,38.0,35.41,37.46,37.0061,16708439,0.0
54,2021-04-01,37.75,38.2,35.76,36.31,35.8701,18264053,0.0
55,2021-03-26,42.87,43.71,35.33,37.8,37.342,28995830,0.0
56,2021-03-19,43.0,44.8,41.48,42.925,42.4049,23338353,0.0
57,2021-03-12,40.88,43.01,39.94,42.78,42.2617,20594330,0.23
58,2021-03-05,34.06,41.44,33.535,41.29,40.5584,44928377,0.0
59,2021-02-26,33.76,35.38,32.8,33.31,32.7198,23149487,0.0
60,2021-02-19,32.54,33.99,31.5012,33.78,33.1815,17260449,0.0
61,2021-02-12,31.66,32.9,30.48,32.59,32.0125,27448310,0.0
62,2021-02-05,31.25,32.06,30.03,31.42,30.8633,20197853,0.0
63,2021-01-29,30.2,40.73,30.095,31.18,30.6275,62330284,0.0
64,2021-01-22,31.66,31.66,29.84,30.16,29.6256,25426720,0.0
65,2021-01-15,29.97,31.74,29.33,31.49,30.932,36963358,0.0
66,2021-01-08,29.24,32.18,28.46,30.09,29.5568,26998047,0.0
67,2020-12-31,28.46,29.55,28.3,29.12,28.604,9856151,0.0
68,2020-12-24,27.78,28.53,27.12,28.31,27.8084,10446354,0.0
69,2020-12-18,29.74,29.77,27.85,28.16,27.661,22289107,0.0
70,2020-12-11,29.62,30.03,28.5101,29.32,28.8005,23750426,0.0
71,2020-12-04,29.06,31.01,28.71,29.84,29.3113,34276260,0.0
72,2020-11-27,28.0,29.75,27.75,29.16,28.6433,11248893,0.0
73,2020-11-20,26.83,28.215,26.665,27.83,27.3369,24356113,0.0
74,2020-11-13,26.97,27.61,25.33,26.635,26.1631,40923804,0.0
75,2020-11-06,26.66,29.28,24.98,25.95,25.4902,45795655,0.0
76,2020-10-30,26.82,26.84,24.935,26.52,26.0501,19720228,0.0
77,2020-10-23,27.09,27.665,25.78,27.08,26.6002,16752387,0.0
78,2020-10-16,29.44,29.52,26.37,26.86,26.3841,23457532,0.0
79,2020-10-09,28.23,30.0,27.81,29.19,28.6728,16409726,0.0
80,2020-10-02,27.09,28.52,26.915,28.08,27.5825,18755954,0.0
81,2020-09-25,27.53,27.67,25.57,26.7,26.2269,18636585,0.0
82,2020-09-18,28.29,29.92,27.59,27.96,27.4646,25510728,0.0
83,2020-09-11,27.53,28.745,27.38,28.14,27.6414,18883383,0.0
84,2020-09-04,28.0,28.62,26.8,27.66,27.1699,24646116,0.23
85,2020-08-28,26.08,27.83,26.0,27.815,27.095,19620605,0.0
86,2020-08-21,25.89,26.15,25.175,26.0,25.327,16938988,0.0
87,2020-08-14,24.61,26.045,24.175,25.74,25.0737,32154146,0.0
88,2020-08-07,25.77,27.2,24.22,24.67,24.0314,29951797,0.0
89,2020-07-31,26.58,26.76,25.17,25.77,25.103,16909588,0.0
90,2020-07-24,25.14,27.38,24.295,26.66,25.9699,19454210,0.0
91,2020-07-17,25.11,26.37,24.34,25.28,24.6257,22111523,0.0
92,2020-07-10,27.01,27.29,23.93,25.32,24.6646,22471564,0.0
93,2020-07-02,25.87,27.73,25.73,26.56,25.8725,15816576,0.0
94,2020-06-26,28.04,28.855,25.47,25.7,25.0348,29331496,0.0
95,2020-06-19,27.36,30.47,27.11,28.32,27.587,27344945,0.0
96,2020-06-12,31.03,32.785,27.66,28.29,27.5577,24942578,0.0
97,2020-06-05,29.13,32.35,29.07,30.85,30.0515,21050724,0.0
98,2020-05-29,28.74,30.16,28.36,29.17,28.415,17361564,0.0
99,2020-05-22,26.99,28.43,26.625,27.8,27.0804,17701823,0.0
100,2020-05-15,25.54,26.19,23.735,26.06,25.3855,20945385,0.0
101,2020-05-08,25.32,27.08,23.57,26.0,25.327,29216177,0.0
102,2020-05-01,25.21,28.62,24.975,25.43,24.7718,23556679,0.0
103,2020-04-24,26.17,26.78,23.92,24.835,24.1922,18829295,0.0
104,2020-04-17,25.83,26.955,24.85,26.875,26.1794,15259926,0.0
105,2020-04-09,23.42,27.11,23.32,25.99,25.3173,19026578,0.0
106,2020-04-03,22.3,24.82,21.81,22.3,21.7228,25300940,0.0
107,2020-03-27,21.13,25.55,19.81,22.51,21.9274,33281204,0.0
108,2020-03-20,23.81,25.58,20.78,20.99,20.4467,39060475,0.0
109,2020-03-13,26.93,29.26,24.6,26.15,25.4731,31529013,0.0
110,2020-03-06,30.73,32.63,28.16,28.84,28.0935,30507517,0.23
111,2020-02-28,35.65,35.65,30.16,30.74,29.7237,31458778,0.0
112,2020-02-21,37.76,38.28,35.75,35.99,34.8002,14234505,0.0
113,2020-02-14,36.87,38.275,36.66,37.8,36.5503,13450870,0.0
114,2020-02-07,37.3,39.42,36.48,37.0,35.7768,26008088,0.0
115,2020-01-31,36.44,37.43,36.05,37.08,35.8541,24014304,0.0
116,2020-01-24,39.0,39.38,36.18,36.61,35.3997,23160906,0.0
117,2020-01-17,36.72,39.735,36.47,39.34,38.0394,25519161,0.0
118,2020-01-10,36.66,37.51,36.36,36.72,35.506,15684086,0.0
119,2020-01-03,37.42,37.56,36.575,36.665,35.4528,13891538,0.0
120,2019-12-27,37.17,37.72,37.04,37.41,36.1732,11320978,0.0
121,2019-12-20,36.95,37.33,36.435,37.17,35.9411,20650210,0.0
122,2019-12-13,35.5,36.99,35.24,36.77,35.5544,26282182,0.0
123,2019-12-06,35.75,36.02,34.71,35.42,34.249,15230809,0.0
124,2019-11-29,35.7,36.19,35.35,35.76,34.5778,12155223,0.0
125,2019-11-22,34.31,36.41,34.21,35.66,34.4811,23614809,0.0
126,2019-11-15,34.95,35.105,33.93,34.27,33.137,20286040,0.0
127,2019-11-08,32.5,35.23,32.29,35.14,33.9783,25528860,0.0
128,2019-11-01,32.54,33.41,31.67,32.39,31.3192,25472323,0.0
129,2019-10-25,32.36,33.67,31.79,32.41,31.3385,32285752,0.0
130,2019-10-18,31.27,32.57,31.04,32.21,31.1451,29107530,0.0
131,2019-10-11,30.75,31.755,29.695,31.46,30.4199,20182506,0.0
132,2019-10-04,31.63,32.07,29.705,30.57,29.5593,20797953,0.0
133,2019-09-27,32.37,32.49,31.15,31.44,30.4006,23956041,0.0
134,2019-09-20,33.68,33.83,31.72,32.27,31.2031,27591743,0.0
135,2019-09-13,33.39,34.72,33.39,33.83,32.7116,18041582,0.0
136,2019-09-06,32.66,34.74,32.54,34.23,33.0983,10836332,0.23
137,2019-08-30,31.84,33.72,31.58,33.17,31.8498,16866163,0.0
138,2019-08-23,33.32,34.05,31.63,31.75,30.4864,17370071,0.0
139,2019-08-16,35.04,35.59,32.67,32.99,31.677,24904330,0.0
140,2019-08-09,36.47,37.25,34.98,35.4,33.9911,26315604,0.0
141,2019-08-02,37.16,37.98,36.33,36.63,35.1721,16082774,0.0
142,2019-07-26,36.51,37.8,35.84,37.21,35.7291,25340675,0.0
143,2019-07-19,37.03,37.16,35.96,36.43,34.9801,21039464,0.0
144,2019-07-12,36.53,37.04,35.82,36.96,35.489,12167613,0.0
145,2019-07-05,36.46,36.99,35.74,36.6,35.1433,15149083,0.0
146,2019-06-28,36.01,36.76,35.14,36.64,35.1817,32795812,0.0
147,2019-06-21,35.42,37.295,35.31,36.18,34.74,34243099,0.0
148,2019-06-14,34.05,35.5,33.9,35.24,33.8375,21961479,0.0
149,2019-06-07,35.05,35.3,33.78,34.01,32.6564,31479717,0.0
150,2019-05-31,36.97,37.34,34.7,35.23,33.8279,19508187,0.0
151,2019-05-24,37.18,38.0,36.63,36.92,35.4506,19080640,0.0
152,2019-05-17,37.77,38.68,36.55,37.32,35.8347,28991049,0.23
153,2019-05-10,37.17,39.25,36.855,38.53,36.7699,41442871,0.0
154,2019-05-03,38.54,39.525,37.08,37.47,35.7583,33384976,0.0
155,2019-04-26,38.36,38.53,37.54,38.48,36.7222,29934785,0.0
156,2019-04-18,37.46,39.0,36.99,38.44,36.684,21990257,0.0
157,2019-04-12,37.6,37.68,35.99,37.53,35.8156,25107425,0.0
158,2019-04-05,36.91,37.85,35.9,37.68,35.9587,32663040,0.0
159,2019-03-29,38.89,38.96,36.15,36.71,35.033,32425729,0.0
160,2019-03-22,41.95,41.95,37.69,38.72,36.9512,53472378,0.0
