,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,320.61,328.9,314.72,321.97,321.97,8135890,0.0
1,2022-04-08,330.0,331.87,308.2,321.39,321.39,15109720,0.0
2,2022-04-01,338.15,344.0,327.57,330.22,330.22,12288280,0.0
3,2022-03-25,345.26,346.3,334.3,337.49,337.49,11757272,0.0
4,2022-03-18,329.21,346.765,322.9,345.38,345.38,16023303,0.0
5,2022-03-11,326.82,337.465,318.55,327.0,327.0,15334488,0.0
6,2022-03-04,340.25,343.84,324.0,329.67,329.67,19035527,2.0
7,2022-02-25,342.46,350.7,326.9471,350.12,347.9993,12210985,0.0
8,2022-02-18,363.06,365.89,343.37,346.04,343.9441,12611313,0.0
9,2022-02-11,365.49,377.4,360.77,363.06,360.861,13856781,0.0
10,2022-02-04,344.6,370.95,343.44,367.6,365.3735,15493613,0.0
11,2022-01-28,337.32,350.48,326.23,347.01,344.9082,20570745,0.0
12,2022-01-21,360.04,361.57,340.72,343.91,341.827,29683704,0.0
13,2022-01-14,401.32,404.37,375.0,380.94,378.6327,16088445,0.0
14,2022-01-07,389.0,412.6599,386.4332,397.51,395.1023,16046144,0.0
15,2021-12-31,386.99,391.3328,380.835,382.55,380.2329,7036749,0.0
16,2021-12-23,375.52,387.61,366.65,385.04,382.7078,9790472,0.0
17,2021-12-17,391.19,399.84,380.598,381.8,379.4875,18550211,0.0
18,2021-12-10,388.67,401.75,383.49,391.06,388.6914,10071663,0.0
19,2021-12-03,394.0,396.37,376.03,382.73,380.4118,16082526,2.0
20,2021-11-26,393.16,407.48,382.715,389.39,384.9863,10339533,0.0
21,2021-11-19,406.0,407.34,381.04,387.39,383.0089,10135225,0.0
22,2021-11-12,409.89,413.65,397.245,404.91,400.3308,8663661,0.0
23,2021-11-05,417.07,426.1582,403.028,407.08,402.4762,14067620,0.0
24,2021-10-29,416.21,419.81,409.06,413.35,408.6753,9241596,0.0
25,2021-10-22,408.01,415.94,404.615,414.32,409.6344,13427245,0.0
26,2021-10-15,392.9,407.272,378.625,406.07,401.4777,16100488,0.0
27,2021-10-08,380.21,397.85,372.82,392.81,388.3676,11310481,0.0
28,2021-10-01,396.58,404.21,375.845,380.0,375.7025,12403396,0.0
29,2021-09-24,377.82,393.74,372.5,390.85,386.4298,13510696,0.0
30,2021-09-17,407.41,417.01,388.83,391.46,387.0329,14993770,0.0
31,2021-09-10,411.0,414.73,403.16,403.48,398.917,7585607,0.0
32,2021-09-03,419.95,420.7599,408.76,411.31,406.6584,8934254,2.0
33,2021-08-27,401.89,420.7297,399.0,419.69,412.9464,9912461,0.0
34,2021-08-20,408.99,408.99,390.91,395.87,389.5091,9710325,0.0
35,2021-08-13,396.59,418.62,393.58,410.78,404.1795,13768692,0.0
36,2021-08-06,376.17,398.8599,371.77,397.89,391.4966,10577830,0.0
37,2021-07-30,373.18,379.95,369.22,374.88,368.8564,7785588,0.0
38,2021-07-23,354.0,378.0,349.0,374.05,368.0397,13325560,0.0
39,2021-07-16,370.31,385.33,363.83,364.8,358.9383,18665606,0.0
40,2021-07-09,373.23,373.6313,355.5915,371.76,365.7865,9758025,0.0
41,2021-07-02,367.8,381.64,363.86,374.16,368.1479,10608331,0.0
42,2021-06-25,352.89,371.1499,351.04,368.77,362.8445,11800254,0.0
43,2021-06-18,377.43,378.75,348.125,348.83,343.2249,18548538,0.0
44,2021-06-11,393.0,393.2603,372.345,378.05,371.9754,12685589,0.0
45,2021-06-04,377.7,392.05,376.31,391.45,385.1601,11971645,0.0
46,2021-05-28,367.32,373.7696,361.91,372.02,366.0423,12638024,1.25
47,2021-05-21,367.78,373.08,353.35,366.26,359.1681,12117869,0.0
48,2021-05-14,373.5,376.98,353.25,368.77,361.6295,15847559,0.0
49,2021-05-07,350.34,371.65,342.57,370.89,363.7084,13916620,0.0
50,2021-04-30,341.94,353.83,340.89,348.45,341.7029,11086429,0.0
51,2021-04-23,340.0,344.43,327.56,339.35,332.7791,13954255,0.0
52,2021-04-16,332.67,344.4694,324.18,342.31,335.6818,24358073,0.0
53,2021-04-09,332.85,334.9,322.9652,330.81,324.4045,11944212,0.0
54,2021-04-01,320.35,335.75,317.72,327.64,321.2959,12534006,0.0
55,2021-03-26,341.06,342.88,321.92,327.39,321.0507,13771537,0.0
56,2021-03-19,349.44,356.85,337.75,344.2,337.5352,14549496,0.0
57,2021-03-12,331.36,350.0,325.57,348.81,342.0559,14669228,0.0
58,2021-03-05,325.0,340.1,316.465,327.37,321.0311,16803686,1.25
59,2021-02-26,313.0,335.8131,310.58,319.48,312.1113,17614482,0.0
60,2021-02-19,310.0,316.78,307.5841,315.62,308.3404,9944916,0.0
61,2021-02-12,295.0,306.7,294.5,306.32,299.2549,12115290,0.0
62,2021-02-05,272.66,297.24,272.0,293.5,286.7306,16098869,0.0
63,2021-01-29,285.53,286.35,270.62,271.17,264.9156,18954361,0.0
64,2021-01-22,305.0,306.6,285.5,289.39,282.7154,16606948,0.0
65,2021-01-15,286.8,309.41,284.2,301.01,294.0673,16905262,0.0
66,2021-01-08,267.0,295.8894,260.16,290.08,283.3894,20973168,0.0
67,2020-12-31,257.81,263.93,256.5,263.71,257.6277,7805204,0.0
68,2020-12-24,250.29,260.85,248.76,256.16,250.2518,15356429,0.0
69,2020-12-18,243.28,245.93,237.19,242.13,236.5454,13749219,0.0
70,2020-12-11,238.54,245.36,235.45,239.99,234.4547,11331818,0.0
71,2020-12-04,232.05,239.75,230.36,239.58,234.0542,11905561,1.25
72,2020-11-27,226.06,238.116,225.73,235.4,228.7386,10602242,0.0
73,2020-11-20,223.53,227.72,218.33,223.35,217.0296,11937935,0.0
74,2020-11-13,214.49,220.96,209.37,219.08,212.8804,19649608,0.0
75,2020-11-06,192.0,204.39,188.23,201.26,195.5647,16241476,0.0
76,2020-10-30,202.49,202.81,185.52,189.04,183.6905,18137036,0.0
77,2020-10-23,207.39,211.38,202.01,205.04,199.2377,13903549,0.0
78,2020-10-16,207.41,214.89,205.81,206.21,200.3746,21929210,0.0
79,2020-10-09,201.93,209.81,199.59,207.54,201.667,13083201,0.0
80,2020-10-02,197.78,203.13,195.29,199.9,194.2432,13587729,0.0
81,2020-09-25,189.9,197.4594,185.865,194.95,189.4333,19563764,0.0
82,2020-09-18,203.3,203.8,192.3848,194.86,189.3458,23387815,0.0
83,2020-09-11,209.51,209.96,198.95,200.92,195.2343,14142787,0.0
84,2020-09-04,205.5,215.23,203.01,210.94,204.9708,16272571,1.25
85,2020-08-28,203.11,213.0,201.32,207.71,200.6082,15678391,0.0
86,2020-08-21,207.0,207.85,199.82,202.43,195.5087,12967665,0.0
87,2020-08-14,209.59,216.95,206.61,207.97,200.8593,13422536,0.0
88,2020-08-07,198.49,208.8,196.53,208.27,201.149,11520850,0.0
89,2020-07-31,200.1,204.18,196.3,197.96,191.1915,12834910,0.0
90,2020-07-24,210.73,213.81,201.32,201.47,194.5815,17915399,0.0
91,2020-07-17,209.0,225.24,207.0,211.41,204.1817,31471649,0.0
92,2020-07-10,201.34,207.79,195.0,205.56,198.5317,16773248,0.0
93,2020-07-02,191.38,203.0,188.66,197.4,190.6507,12156802,0.0
94,2020-06-26,200.99,207.51,188.51,189.19,182.7214,19969519,0.0
95,2020-06-19,195.73,214.98,195.15,201.63,194.7361,15370950,0.0
96,2020-06-12,220.02,222.26,194.02,201.78,194.8809,17109941,0.0
97,2020-06-05,197.31,222.98,195.12,217.92,210.4691,18083668,0.0
98,2020-05-29,185.63,211.31,185.22,196.49,189.7718,22847490,1.25
99,2020-05-22,177.71,183.83,175.24,179.93,172.6795,13641001,0.0
100,2020-05-15,182.54,184.85,165.36,171.87,164.9443,16238623,0.0
101,2020-05-08,175.0,185.91,171.72,185.39,177.9195,13425633,0.0
102,2020-05-01,179.1,193.72,176.65,177.1,169.9635,14501801,0.0
103,2020-04-24,179.7,186.32,173.49,177.0,169.8676,14839017,0.0
104,2020-04-17,183.85,185.28,169.15,183.49,176.096,24985155,0.0
105,2020-04-09,155.47,187.33,153.77,184.26,176.835,21268360,0.0
106,2020-04-03,158.52,161.1,141.67,146.93,141.0093,19671673,0.0
107,2020-03-27,136.03,167.66,133.26,158.34,151.9595,31628046,0.0
108,2020-03-20,150.23,169.54,130.85,138.41,132.8326,37349702,0.0
109,2020-03-13,173.58,185.4,150.0,177.17,170.0307,33243436,0.0
110,2020-03-06,201.41,211.79,189.28,192.85,185.0789,23695897,0.0
111,2020-02-28,223.23,226.69,194.85,200.77,192.6797,26225152,1.25
112,2020-02-21,236.55,237.8,228.37,230.62,219.9574,11205457,0.0
113,2020-02-14,237.4,241.18,235.46,237.08,226.1187,10127782,0.0
114,2020-02-07,238.36,245.77,236.55,238.0,226.9962,14144151,0.0
115,2020-01-31,236.37,246.5,235.01,237.75,226.7578,16081706,0.0
116,2020-01-24,247.21,248.85,240.6,241.92,230.735,10206325,0.0
117,2020-01-17,244.44,250.46,239.16,249.46,237.9263,20137532,0.0
118,2020-01-10,229.93,243.4,229.49,242.11,230.9162,18502766,0.0
119,2020-01-03,231.68,234.64,228.67,231.58,220.873,8952390,0.0
120,2019-12-27,229.66,232.21,228.37,230.66,219.9956,5186008,0.0
121,2019-12-20,228.5,232.2,227.87,228.93,218.3455,15222527,0.0
122,2019-12-13,224.61,227.99,220.55,225.0,214.5972,10498711,0.0
123,2019-12-06,220.97,225.4,210.0,224.61,214.2253,12540023,0.0
124,2019-11-29,220.89,224.28,220.41,221.35,211.116,6492998,1.25
125,2019-11-22,219.73,220.71,216.4,220.28,208.9157,8747177,0.0
126,2019-11-15,220.9,221.41,217.01,220.25,208.8872,9591099,0.0
127,2019-11-08,219.7,224.77,216.55,222.91,211.41,12283917,0.0
128,2019-11-01,216.32,219.28,211.32,217.39,206.1748,10307310,0.0
129,2019-10-25,208.67,215.42,207.68,214.23,203.1778,9300025,0.0
130,2019-10-18,203.83,208.93,198.61,206.52,195.8656,19147704,0.0
131,2019-10-11,200.79,207.29,195.92,204.68,194.1205,12788092,0.0
132,2019-10-04,209.71,209.71,193.99,200.8,190.4407,14305995,0.0
133,2019-09-27,212.85,214.2,206.8,208.97,198.1892,9283568,0.0
134,2019-09-20,217.82,219.33,212.54,213.74,202.7131,14244049,0.0
135,2019-09-13,209.22,221.5,208.44,219.9,208.5553,12851192,0.0
136,2019-09-06,201.1,208.93,196.58,207.21,196.52,8030424,0.0
137,2019-08-30,198.27,205.21,196.25,203.91,193.3902,7740712,1.25
138,2019-08-23,203.81,204.45,195.19,196.2,184.9416,7831066,0.0
139,2019-08-16,203.28,206.6,193.71,199.42,187.9769,10464226,0.0
140,2019-08-09,205.82,208.3,199.05,206.9,195.0277,11730200,0.0
141,2019-08-02,221.0,222.13,205.31,209.37,197.3559,10581520,0.0
142,2019-07-26,213.4,222.24,212.31,222.14,209.3932,13499962,0.0
143,2019-07-19,214.11,217.33,209.79,213.52,201.2678,15148644,0.0
144,2019-07-12,206.36,214.19,203.54,213.94,201.6637,11763613,0.0
145,2019-07-05,208.0,209.85,204.16,207.9,195.9703,6585609,0.0
146,2019-06-28,196.53,205.84,194.01,204.6,192.8596,12642096,0.0
147,2019-06-21,192.02,198.34,190.67,195.94,184.6966,11830173,0.0
148,2019-06-14,191.4,197.0,189.31,191.66,180.6622,8879313,0.0
149,2019-06-07,181.7,190.74,180.73,189.81,178.9183,10739555,0.0
150,2019-05-31,192.0,193.31,182.31,182.49,172.0184,10415467,0.85
151,2019-05-24,197.09,199.32,189.56,193.0,181.1066,12060015,0.0
152,2019-05-17,197.9,200.0,193.42,197.43,185.2637,12277161,0.0
153,2019-05-10,202.8,206.98,197.91,202.05,189.599,11008475,0.0
154,2019-05-03,203.5,208.75,203.12,207.52,194.7319,10224581,0.0
155,2019-04-26,205.12,205.59,199.1,203.08,190.5655,11937450,0.0
156,2019-04-18,204.11,208.5,199.24,205.91,193.2211,18539829,0.0
157,2019-04-12,202.79,209.97,198.86,207.84,195.0322,14098618,0.0
158,2019-04-05,194.0,205.5,193.61,202.38,189.9086,14067087,0.0
159,2019-03-29,189.33,193.11,186.5,191.99,180.1589,13981371,0.0
160,2019-03-22,199.18,206.45,187.78,188.96,177.3156,21408153,0.0
161,2019-03-15,197.23,198.97,195.69,198.26,186.0425,11018552,0.0
162,2019-03-08,198.81,200.83,189.71,195.24,183.2086,14000493,0.0
163,2019-03-01,198.0,201.5,196.01,198.2,185.9862,12881703,0.8
164,2019-02-22,196.66,199.45,195.05,196.0,183.182,10236832,0.0
165,2019-02-15,192.88,198.89,189.44,198.5,185.5185,13137354,0.0
166,2019-02-08,195.8,199.33,188.22,191.67,179.1352,12770648,0.0
167,2019-02-01,197.99,203.29,196.54,196.54,183.6867,16615892,0.0
168,2019-01-25,200.5,201.47,194.53,200.74,187.612,13966625,0.0
169,2019-01-18,174.52,203.0,174.1,202.54,189.2943,35295649,0.0
170,2019-01-11,175.23,178.1,172.27,176.93,165.3592,15158241,0.0
171,2019-01-04,163.78,176.0,163.35,175.05,163.6021,16398158,0.0
172,2018-12-28,159.0,165.95,151.7,163.03,152.3682,19921637,0.0
173,2018-12-21,169.4,174.85,159.42,160.05,149.5831,34310896,0.0
174,2018-12-14,178.6,184.43,172.37,172.77,161.4712,22006395,0.0
175,2018-12-07,194.0,195.66,179.0,179.67,167.92,19009897,0.0
176,2018-11-30,191.17,198.45,188.12,190.69,178.2193,18137595,0.8
177,2018-11-23,201.83,202.3,188.94,189.1,176.0106,14907243,0.0
178,2018-11-16,222.0,222.31,198.44,202.12,188.1294,30836179,0.0
179,2018-11-09,228.32,234.06,222.3,222.65,207.2383,14482370,0.0
180,2018-11-02,214.15,231.69,212.05,229.69,213.791,17801800,0.0
181,2018-10-26,226.93,228.87,208.4,212.36,197.6606,16945435,0.0
182,2018-10-19,214.45,228.9,213.05,226.96,211.25,19966186,0.0
183,2018-10-12,224.26,226.92,210.95,213.87,199.0661,18720985,0.0
184,2018-10-05,226.22,231.4,223.97,225.71,210.0865,11924715,0.0
185,2018-09-28,234.74,235.74,223.8,224.24,208.7182,11982503,0.0
186,2018-09-21,229.4,238.52,226.57,235.34,219.0499,14396599,0.0
187,2018-09-14,235.01,235.5,227.3,229.24,213.3722,13477496,0.0
188,2018-09-07,237.76,239.45,232.68,233.91,217.7189,8780603,0.0
189,2018-08-31,236.99,245.08,236.56,237.81,221.3489,12899490,0.8
190,2018-08-24,234.13,239.67,234.08,235.11,218.113,10926541,0.0
191,2018-08-17,229.49,233.72,226.57,233.38,216.5081,12786738,0.0
192,2018-08-10,234.14,239.46,228.11,229.61,213.0106,13997639,0.0
193,2018-08-03,238.0,239.73,232.77,234.09,217.1667,13102333,0.0
194,2018-07-27,231.8,238.8,231.72,237.64,220.4601,11736067,0.0
195,2018-07-20,227.2,233.72,226.74,231.69,214.9403,26024739,0.0
196,2018-07-13,223.36,228.87,223.0,226.41,210.042,12562525,0.0
197,2018-07-06,219.75,224.64,218.89,221.79,205.756,6992704,0.0
198,2018-06-29,224.5,225.47,219.12,220.57,204.6242,16082128,0.0
199,2018-06-22,230.2,231.67,224.57,226.02,209.6802,14319185,0.0
200,2018-06-15,234.62,238.23,229.84,231.92,215.1536,15291864,0.0
201,2018-06-08,230.35,235.92,227.29,233.39,216.5174,11844310,0.0
202,2018-06-01,231.52,232.47,224.09,228.35,211.8417,17337923,0.8
203,2018-05-25,239.1,240.7,233.65,235.01,217.2618,11911489,0.0
204,2018-05-18,243.6,245.88,236.87,237.0,219.1015,11221086,0.0
205,2018-05-11,236.0,245.42,235.28,242.92,224.5744,11819551,0.0
206,2018-05-04,240.97,243.07,227.4,234.94,217.1971,16904778,0.0
207,2018-04-27,251.66,252.75,237.51,239.8,221.69,18548701,0.0
208,2018-04-20,257.13,262.25,251.48,251.96,232.9317,24837225,0.0
209,2018-04-13,251.48,262.5,249.17,255.92,236.5926,15978591,0.0
210,2018-04-06,251.26,258.0,243.77,249.97,231.092,14318020,0.0
211,2018-03-29,250.65,257.06,244.37,251.86,232.8392,12438656,0.0
212,2018-03-23,266.99,267.5,244.93,245.26,226.7377,14474458,0.0
213,2018-03-16,271.0,275.31,263.91,267.6,247.3905,13942957,0.0
214,2018-03-09,256.46,271.09,256.24,270.77,250.3211,14033875,0.0
215,2018-03-02,267.5,273.12,252.1,258.12,238.6265,15442052,0.75
216,2018-02-23,266.89,270.0,260.72,266.77,245.9217,10527767,0.0
217,2018-02-16,251.15,269.28,248.82,267.62,246.7053,16288717,0.0
218,2018-02-09,257.51,263.3,239.29,249.3,229.817,27350284,0.0
219,2018-02-02,269.04,273.79,259.35,260.04,239.7177,20327584,0.0
220,2018-01-26,255.45,270.5,255.19,268.14,247.1847,21170574,0.0
221,2018-01-19,259.25,262.0,248.84,256.12,236.104,22631199,0.0
222,2018-01-12,254.75,257.3,251.62,257.03,236.9429,13724173,0.0
223,2018-01-05,257.77,259.72,253.22,255.52,235.5509,10387146,0.0
224,2017-12-29,258.19,259.2,252.91,254.76,234.8503,6459995,0.0
225,2017-12-22,260.5,262.14,254.55,258.97,238.7313,12121674,0.0
226,2017-12-15,250.0,260.5,248.76,257.17,237.072,16159675,0.0
227,2017-12-08,254.89,254.9,244.4,250.35,230.785,12762014,0.0
228,2017-12-01,235.75,250.79,234.33,248.95,229.4944,20750324,0.75
229,2017-11-24,238.78,239.59,235.55,235.95,216.8365,7470222,0.0
230,2017-11-17,237.97,240.9,233.55,238.02,218.7389,12546810,0.0
231,2017-11-10,243.5,244.98,237.55,240.15,220.6963,10462180,0.0
232,2017-11-03,240.1,247.74,239.53,244.4,224.602,11683535,0.0
233,2017-10-27,244.39,246.5,239.67,241.71,222.1299,10862489,0.0
