,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-14,123.71,129.0,123.6269,125.43,125.43,5619227,0.0
1,2022-04-08,134.54,134.565,122.57,124.27,124.27,9584121,0.0
2,2022-04-01,129.61,134.55,126.94,134.33,134.33,6002849,0.0
3,2022-03-25,128.95,129.53,123.75,129.5,129.5,6840297,0.79
4,2022-03-18,119.47,129.71,116.2,129.13,128.3378,9167974,0.0
5,2022-03-11,122.9,123.45,113.4,118.14,117.4152,10801451,0.0
6,2022-03-04,138.12,138.68,123.42,123.5,122.7423,9368795,0.0
7,2022-02-25,135.25,140.12,129.99,139.56,138.7038,7009707,0.0
8,2022-02-18,133.52,137.7,130.335,134.79,133.9631,7183190,0.0
9,2022-02-11,127.28,143.14,126.5,133.84,133.0189,12105384,0.0
10,2022-02-04,130.28,134.77,125.39,127.1,126.3202,9123373,0.0
11,2022-01-28,136.36,137.32,128.37,130.71,129.9081,8289636,0.0
12,2022-01-21,144.52,145.65,138.32,139.29,138.4355,7881839,0.0
13,2022-01-14,140.92,148.82,137.3801,145.79,144.8956,6141347,0.0
14,2022-01-07,150.78,151.86,141.93,141.97,141.099,6435764,0.0
15,2021-12-31,143.1,151.23,142.49,150.65,149.7258,4023860,0.79
16,2021-12-23,142.42,144.3,139.62,143.09,141.4426,3326419,0.0
17,2021-12-17,146.72,148.25,142.51,144.43,142.7672,9581286,0.0
18,2021-12-10,142.14,148.89,141.66,147.12,145.4262,5802391,0.0
19,2021-12-03,145.38,147.93,138.61,140.77,139.1494,7710595,0.0
20,2021-11-26,150.46,151.92,143.67,144.57,142.9056,2779129,0.0
21,2021-11-19,152.38,154.03,149.44,150.03,148.3027,5376439,0.0
22,2021-11-12,144.22,155.0,143.96,152.58,150.8234,8109176,0.0
23,2021-11-05,147.51,147.9761,141.28,143.6,141.9468,6210047,0.0
24,2021-10-29,146.08,150.12,145.3,147.45,145.7524,5443161,0.0
25,2021-10-22,146.52,147.7,144.53,145.32,143.647,3632119,0.0
26,2021-10-15,138.81,149.2,138.11,147.58,145.881,5931717,0.0
27,2021-10-08,140.59,141.86,134.38,138.04,136.4508,6538008,0.0
28,2021-10-01,132.53,143.75,130.51,141.1,139.4756,10801838,0.0
29,2021-09-24,134.35,137.19,131.09,132.64,131.113,7807173,0.79
30,2021-09-17,148.94,149.0,134.66,135.21,132.8635,10182300,0.0
31,2021-09-10,150.04,152.27,147.39,147.59,145.0287,3955896,0.0
32,2021-09-03,151.94,152.37,149.7,150.91,148.2911,4037040,0.0
33,2021-08-27,150.16,152.4341,148.94,151.83,149.1951,4800474,0.0
34,2021-08-20,156.5,156.55,148.38,149.76,147.161,5230497,0.0
35,2021-08-13,151.6,157.08,150.53,156.75,154.0297,5448814,0.0
36,2021-08-06,151.49,151.99,147.18,151.06,148.4385,7101919,0.0
37,2021-07-30,148.34,150.77,147.24,150.64,148.0257,3926866,0.0
38,2021-07-23,142.58,148.47,139.62,148.33,145.7558,6088230,0.0
39,2021-07-16,147.06,149.03,142.68,143.42,140.931,7890958,0.0
40,2021-07-09,149.6,149.99,146.25,147.7,145.1368,4816783,0.0
41,2021-07-02,149.13,150.16,147.48,149.99,147.387,4968929,0.0
42,2021-06-25,146.29,150.03,145.66,148.96,146.3749,4093327,0.77
43,2021-06-18,147.5,148.24,143.6,144.86,141.6114,6208627,0.0
44,2021-06-11,143.44,148.77,142.24,147.78,144.4659,6157444,0.0
45,2021-06-04,143.18,144.65,140.835,143.0,139.7931,6369531,0.0
46,2021-05-28,141.52,143.36,140.27,141.67,138.4929,7359612,0.0
47,2021-05-21,140.88,144.0,139.175,140.54,137.3883,7644446,0.0
48,2021-05-14,147.0,147.0,135.27,141.21,138.0432,7811045,0.0
49,2021-05-07,143.38,147.04,141.9,146.45,143.1657,4963322,0.0
50,2021-04-30,144.82,145.53,141.62,142.17,138.9817,5377721,0.0
51,2021-04-23,142.82,144.85,141.11,144.54,141.2986,4495873,0.0
52,2021-04-16,140.56,143.03,139.5,142.86,139.6562,9047072,0.0
53,2021-04-09,140.38,141.0,137.2,140.28,137.1341,6566836,0.0
54,2021-04-01,140.03,142.16,138.42,138.85,135.7362,10662490,0.0
55,2021-03-26,135.47,140.95,135.13,140.52,137.3687,8169919,0.77
56,2021-03-19,134.55,138.69,134.55,137.31,133.4934,14737407,0.0
57,2021-03-12,129.7,138.3,129.7,134.84,131.092,12679838,0.0
58,2021-03-05,137.32,141.0,127.73,133.72,130.0032,11923811,0.0
59,2021-02-26,139.5,141.415,133.8,135.51,131.7434,12206944,0.0
60,2021-02-19,134.69,140.31,134.1,139.5,135.6225,17139022,0.0
61,2021-02-12,127.87,141.52,125.32,134.06,130.3337,27680555,0.0
62,2021-02-05,123.0,139.62,117.01,127.06,123.5283,101285827,0.0
63,2021-01-29,116.89,117.93,109.54,112.38,109.2563,62643173,0.0
64,2021-01-22,118.74,121.86,114.0,115.81,112.591,23897613,0.0
65,2021-01-15,117.67,127.13,116.17,117.72,114.4479,30741097,0.0
66,2021-01-08,109.55,121.0,103.94,119.0,115.6923,26885527,0.0
67,2020-12-31,110.55,111.655,107.75,108.84,105.8147,8631354,0.0
68,2020-12-24,113.01,116.12,109.26,110.06,107.0008,6336603,0.0
69,2020-12-18,112.52,114.95,108.88,114.29,111.1132,8914243,0.0
70,2020-12-11,115.75,116.8,109.53,111.04,107.9536,6268715,0.0
71,2020-12-04,112.2,116.24,110.17,116.0,112.7757,8867337,0.0
72,2020-11-27,112.67,115.44,110.755,112.87,109.7327,3821164,0.0
73,2020-11-20,114.15,115.96,110.55,112.06,108.9452,5191343,0.0
74,2020-11-13,114.12,117.36,107.57,112.17,109.0522,8594212,0.0
75,2020-11-06,104.29,109.19,103.75,108.56,105.5425,6653011,0.0
76,2020-10-30,109.84,110.2,99.54,102.66,99.8065,9643468,0.0
77,2020-10-23,116.67,116.67,108.51,110.57,107.4966,6215250,0.0
78,2020-10-16,120.18,120.18,115.14,116.27,113.0382,5296668,0.0
79,2020-10-09,119.56,121.715,114.85,119.41,116.0909,6812678,0.0
80,2020-10-02,120.8,124.98,118.81,119.17,115.8576,4666775,0.0
81,2020-09-25,120.4,121.47,113.54,118.97,115.6631,3965693,0.0
82,2020-09-18,122.0,126.0,121.68,122.54,119.1339,4265366,0.0
83,2020-09-11,121.7,125.09,119.14,121.03,117.6659,3378587,0.0
84,2020-09-04,124.17,126.54,121.5,123.12,119.6978,4810247,0.0
85,2020-08-28,121.52,126.12,120.9,124.47,121.0103,2811281,0.0
86,2020-08-21,123.62,124.602,118.83,120.55,117.1992,3046573,0.0
87,2020-08-14,126.6,132.75,122.55,123.17,119.7464,5447882,0.0
88,2020-08-07,126.22,128.8,122.15,126.8,123.2755,4270400,0.0
89,2020-07-31,127.18,129.9799,122.41,125.95,122.4491,4330312,0.0
90,2020-07-24,131.0,131.31,125.52,126.82,123.2949,4011871,0.0
91,2020-07-17,126.32,132.31,124.29,130.99,127.349,3277397,0.0
92,2020-07-10,127.81,128.78,120.16,125.25,121.7686,4160534,0.0
93,2020-07-02,120.08,127.49,119.73,126.88,123.3533,3550567,0.0
94,2020-06-26,124.96,126.72,118.89,119.05,115.7409,4740691,0.0
95,2020-06-19,123.97,132.79,123.66,126.09,122.5852,4153441,0.0
96,2020-06-12,134.41,136.61,124.53,126.85,123.3241,5536915,0.0
97,2020-06-05,132.36,139.0,130.52,137.86,134.0281,4187167,0.0
98,2020-05-29,132.95,138.0,131.55,133.19,129.4879,4256092,0.0
99,2020-05-22,131.6,134.68,125.74,129.42,125.8227,4877959,0.0
100,2020-05-15,133.99,143.09,122.7,128.22,124.656,7184045,0.0
101,2020-05-08,126.92,135.0,124.83,134.47,130.7323,4001090,0.0
102,2020-05-01,125.82,135.89,125.0,126.63,123.1102,3777528,0.0
103,2020-04-24,123.28,127.99,117.14,126.49,122.9741,3497802,0.0
104,2020-04-17,124.96,126.02,115.08,125.12,121.6422,3821463,0.0
105,2020-04-09,104.35,130.47,102.72,127.37,123.8297,5434610,0.0
106,2020-04-03,110.95,112.45,96.8,98.9,96.151,6310544,0.0
107,2020-03-27,102.05,114.55,92.14,110.22,107.1564,8231639,0.0
108,2020-03-20,100.33,111.94,98.0,102.41,99.5634,9547666,0.0
109,2020-03-13,116.76,118.76,94.98,109.02,105.9897,12617798,0.0
110,2020-03-06,120.37,127.85,118.96,122.73,119.3186,7273256,0.0
111,2020-02-28,129.33,129.51,115.34,119.78,116.4506,9421465,0.0
112,2020-02-21,135.5,136.74,131.28,132.18,128.506,5070997,0.0
113,2020-02-14,139.57,141.04,128.53,135.87,132.0934,7360146,0.0
114,2020-02-07,131.48,143.87,130.9,140.0,136.1086,5485291,0.0
115,2020-01-31,134.88,137.35,129.15,131.11,127.4657,5588606,0.0
116,2020-01-24,134.03,137.25,133.51,135.79,132.0156,3259482,0.0
117,2020-01-17,126.0,135.06,124.91,134.88,131.1309,5384828,0.0
118,2020-01-10,126.3,126.87,122.31,125.99,122.488,5297499,0.0
119,2020-01-03,127.67,129.47,125.75,126.35,122.838,3357903,0.0
120,2019-12-27,122.49,128.88,121.9,127.34,123.8005,3259095,0.0
121,2019-12-20,125.87,126.63,119.65,122.8,119.3867,14063033,0.0
122,2019-12-13,140.42,140.79,131.85,133.98,130.2559,8201010,0.0
123,2019-12-06,141.5,142.38,138.35,142.04,138.0919,5533245,0.0
124,2019-11-29,139.87,142.54,139.51,141.23,137.3044,3385937,0.0
125,2019-11-22,133.26,140.69,132.61,140.02,136.128,5324856,0.0
126,2019-11-15,132.44,135.34,129.22,133.92,130.1976,3449297,0.0
127,2019-11-08,123.24,136.0,122.67,132.81,129.1185,6664257,0.0
128,2019-11-01,120.83,123.7,118.92,121.74,118.3561,4771909,0.0
129,2019-10-25,118.44,120.93,117.22,119.96,116.6256,3636098,0.0
130,2019-10-18,117.99,120.39,117.09,117.84,114.5646,3094990,0.0
131,2019-10-11,118.75,120.28,112.87,118.15,114.8659,5698082,0.0
132,2019-10-04,121.25,123.53,114.58,119.15,115.8381,5769584,0.0
133,2019-09-27,119.6,123.65,117.31,120.81,117.452,4998020,0.0
134,2019-09-20,126.26,126.57,119.85,120.17,116.8298,5786954,0.0
135,2019-09-13,118.0,128.25,118.0,127.3,123.7616,7221255,0.0
136,2019-09-06,109.1,118.77,108.52,117.86,114.584,5386145,0.0
137,2019-08-30,107.54,110.23,106.91,109.75,106.6994,4743125,0.0
138,2019-08-23,113.37,113.74,104.86,106.5,103.5398,5203118,0.0
139,2019-08-16,122.79,122.79,109.63,112.78,109.6452,7853507,0.0
140,2019-08-09,142.49,143.34,116.87,122.54,119.1339,16845925,0.0
141,2019-08-02,146.43,147.2,141.85,143.82,139.8224,3132942,0.0
142,2019-07-26,142.99,146.65,141.21,146.32,142.2529,2858581,0.0
143,2019-07-19,143.48,145.93,140.61,142.43,138.4711,2763911,0.0
144,2019-07-12,144.86,145.0,140.9,143.26,139.278,3022531,0.0
145,2019-07-05,146.59,147.18,142.0,145.12,141.0863,3289574,0.0
146,2019-06-28,145.36,148.1,142.01,145.09,141.0571,5064769,0.0
147,2019-06-21,148.79,151.02,145.49,145.67,141.621,5452396,0.0
148,2019-06-14,151.69,152.76,148.26,148.79,144.6543,4363663,0.0
149,2019-06-07,134.89,152.95,134.15,151.32,147.114,7527665,0.0
150,2019-05-31,134.64,136.28,133.52,135.42,131.6559,2939644,0.0
