,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,33.99,34.62,33.7,34.32,34.32,8385633,0.0
1,2022-04-08,35.2,35.35,33.41,34.14,34.14,18201656,0.0
2,2022-04-01,36.34,37.37,35.095,35.46,35.46,16826414,0.0
3,2022-03-25,36.42,36.92,35.07,36.45,36.45,18052351,0.0
4,2022-03-18,33.34,36.62,33.3,36.04,36.04,34344694,0.0
5,2022-03-11,34.06,34.19,31.83,32.99,32.99,18999060,0.0
6,2022-03-04,36.39,37.165,33.97,34.2,34.2,20043083,0.29
7,2022-02-25,36.15,37.61,34.58,37.48,37.187,16942737,0.0
8,2022-02-18,34.92,36.845,34.605,36.11,35.8277,18982858,0.0
9,2022-02-11,36.59,39.98,33.055,34.94,34.6668,29896146,0.0
10,2022-02-04,34.92,36.915,34.7458,36.32,36.036,21017877,0.0
11,2022-01-28,34.63,36.2562,33.35,35.19,34.9149,23685026,0.0
12,2022-01-21,37.72,37.84,35.183,35.35,35.0736,12595044,0.0
13,2022-01-14,37.43,38.61,36.795,38.06,37.7624,13589710,0.0
14,2022-01-07,37.68,38.77,37.2,37.54,37.2465,17016942,0.0
15,2021-12-31,37.01,38.2,36.64,37.45,37.1572,8559190,0.0
16,2021-12-23,36.29,37.13,35.33,36.85,36.5619,10431676,0.0
17,2021-12-17,37.04,37.195,35.69,36.71,36.423,23200400,0.0
18,2021-12-10,34.81,37.1,34.65,37.04,36.7504,19173391,0.0
19,2021-12-03,34.16,35.1,32.71,34.42,34.1509,25281711,0.27
20,2021-11-26,34.49,34.81,32.93,33.79,33.2553,10530527,0.0
21,2021-11-19,36.38,36.72,34.055,34.35,33.8064,15512486,0.0
22,2021-11-12,36.79,37.22,35.505,36.34,35.7649,12062646,0.0
23,2021-11-05,36.93,37.0,35.07,36.42,35.8437,17106035,0.0
24,2021-10-29,36.97,37.13,35.93,36.57,35.9913,14350778,0.0
25,2021-10-22,38.01,38.705,36.09,36.96,36.3751,21165262,0.0
26,2021-10-15,37.2,38.585,36.415,38.22,37.6152,13632666,0.0
27,2021-10-08,37.66,38.3699,36.69,37.23,36.6408,14094320,0.0
28,2021-10-01,39.12,39.35,36.66,37.84,37.2412,15369534,0.0
29,2021-09-24,36.17,39.03,35.675,38.88,38.2647,19494393,0.0
30,2021-09-17,36.62,37.76,36.255,36.99,36.4046,16305067,0.0
31,2021-09-10,37.29,37.495,36.13,36.16,35.5878,11202045,0.0
32,2021-09-03,36.66,37.6,36.3,37.3,36.7097,15009023,0.27
33,2021-08-27,36.82,37.44,36.44,36.84,35.996,16446839,0.0
34,2021-08-20,37.39,37.75,35.825,36.45,35.6149,17164700,0.0
35,2021-08-13,36.72,37.88,35.985,37.52,36.6604,13841943,0.0
36,2021-08-06,35.67,37.048,34.98,36.93,36.0839,17275555,0.0
37,2021-07-30,35.42,35.95,34.8,35.36,34.5499,25443309,0.0
38,2021-07-23,30.97,35.64,30.45,35.29,34.4815,41639732,0.0
39,2021-07-16,32.77,33.34,31.375,31.44,30.7197,14997437,0.0
40,2021-07-09,33.09,33.17,31.54,33.08,32.3221,13862090,0.0
41,2021-07-02,32.63,33.45,31.64,33.04,32.283,16983436,0.0
42,2021-06-25,31.77,32.99,31.71,32.71,31.9606,14374059,0.0
43,2021-06-18,34.16,34.43,31.35,31.51,30.7881,20727231,0.0
44,2021-06-11,33.9,34.355,32.94,34.16,33.3774,18435235,0.0
