,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-14,249.31,251.79,235.27,238.48,238.48,4081781,0.0
1,2022-04-08,240.37,254.94,234.4301,252.29,252.29,6053443,0.0
2,2022-04-01,225.41,240.58,223.82,240.31,240.31,5256920,0.0
3,2022-03-25,224.78,231.21,219.02,224.76,224.76,4420284,0.0
4,2022-03-18,215.05,228.24,209.935,227.66,227.66,5244143,0.0
5,2022-03-11,223.87,224.68,208.61,213.61,213.61,6237576,0.0
6,2022-03-04,231.37,235.7,225.75,227.0,227.0,5339531,0.0
7,2022-02-25,226.83,234.38,216.3664,233.99,233.99,6001997,0.0
8,2022-02-18,243.52,245.08,223.8,228.27,228.27,9869230,0.0
9,2022-02-11,249.89,256.62,242.34,244.28,244.28,5808767,0.0
10,2022-02-04,238.93,255.72,238.93,249.89,249.89,4729030,0.0
11,2022-01-28,239.0,244.31,229.785,238.82,238.82,4860822,0.0
12,2022-01-21,243.18,249.51,239.85,240.95,240.95,4296218,0.0
13,2022-01-14,253.42,263.95,241.52,247.34,247.34,4059930,0.0
14,2022-01-07,282.1,282.522,254.86,256.91,256.91,5398367,0.0
15,2021-12-31,281.17,285.61,279.11,282.14,282.14,2257561,0.0
16,2021-12-23,266.58,279.68,260.58,278.01,278.01,2944322,0.0
17,2021-12-17,270.52,272.0,259.89,267.43,267.43,4575354,0.0
18,2021-12-10,262.55,272.93,259.24,270.32,270.32,4018166,0.0
19,2021-12-03,263.54,270.81,257.53,261.68,261.68,6384370,0.0
20,2021-11-26,269.11,269.6,261.49,262.06,262.06,2744815,0.0
21,2021-11-19,254.91,272.25,250.9,268.17,268.17,5308349,0.0
22,2021-11-12,248.57,256.57,246.83,254.68,254.68,3392537,0.0
23,2021-11-05,261.82,263.69,245.11,247.19,247.19,4373788,0.0
24,2021-10-29,256.79,261.96,253.68,261.42,261.42,2980142,0.0
25,2021-10-22,248.3,260.12,241.3,256.89,256.89,4230162,0.0
26,2021-10-15,241.17,250.3113,237.57,248.85,248.85,2480949,0.0
27,2021-10-08,241.49,246.18,234.77,242.23,242.23,3168269,0.0
28,2021-10-01,260.27,260.6,234.1,241.55,241.55,4946487,0.0
29,2021-09-24,252.81,264.01,249.8266,261.61,261.61,3117495,0.0
30,2021-09-17,262.14,262.535,253.17,256.33,256.33,3352827,0.0
31,2021-09-10,261.93,265.3,259.29,260.5,260.5,2022747,0.0
32,2021-09-03,259.08,265.34,258.25,263.22,263.22,2648807,0.0
33,2021-08-27,256.88,263.61,253.565,259.55,259.55,2667529,0.0
34,2021-08-20,248.4,259.08,248.23,254.7,254.7,3760836,0.0
