,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-14,37.78,38.04,37.185,37.24,37.24,21990204,0.0
1,2022-04-08,38.04,38.365,36.82,37.65,37.65,33272749,0.0
2,2022-04-01,37.68,38.46,37.36,38.24,38.24,18022879,0.1875
3,2022-03-25,37.8,38.14,36.81,37.58,37.395,19831022,0.0
4,2022-03-18,36.845,38.11,36.76,37.81,37.6239,36921573,0.0
5,2022-03-11,38.78,39.25,36.51,36.81,36.6288,38077915,0.0
6,2022-03-04,37.4,39.025,37.34,38.88,38.6886,29870715,0.0
7,2022-02-25,38.54,38.75,35.923,38.3,38.1115,29811266,0.0
8,2022-02-18,38.12,38.6217,37.61,38.48,38.2906,32389503,0.0
9,2022-02-11,38.33,39.13,37.94,38.03,37.8428,30243104,0.0
10,2022-02-04,37.32,39.05,37.31,38.24,38.0517,32868986,0.0
11,2022-01-28,38.01,38.52,37.06,37.64,37.4547,42011984,0.0
12,2022-01-21,39.05,39.11,37.8,37.83,37.6438,25618388,0.0
13,2022-01-14,37.36,39.35,37.0,39.28,39.0866,39043222,0.0
14,2022-01-07,36.64,37.885,36.25,37.3,37.1164,26036321,0.1875
15,2021-12-31,35.64,36.975,35.64,36.86,36.4938,16531628,0.0
16,2021-12-23,35.2,36.03,35.06,35.94,35.5829,21273310,0.0
17,2021-12-17,35.37,36.05,35.035,35.68,35.3255,38388961,0.0
18,2021-12-10,34.8,35.585,34.275,35.32,34.9691,27295110,0.0
19,2021-12-03,34.65,35.27,33.54,34.47,34.1275,28438181,0.0
20,2021-11-26,35.15,36.22,34.75,34.98,34.6324,17142993,0.0
21,2021-11-19,35.57,36.07,35.01,35.16,34.8106,18051041,0.0
22,2021-11-12,36.4,36.58,35.455,35.67,35.3156,27973033,0.0
23,2021-11-05,35.94,36.535,35.69,36.38,36.0185,23448288,0.0
24,2021-10-29,34.72,36.42,34.13,36.09,35.7314,23888401,0.0
25,2021-10-22,35.21,35.25,34.23,34.66,34.3156,18053560,0.0
26,2021-10-15,35.1,36.53,34.885,35.31,34.9592,40430791,0.0
27,2021-10-08,33.02,35.24,32.44,35.04,34.6918,39084672,0.0
28,2021-10-01,33.78,35.26,33.085,33.2,32.8701,46772952,0.1875
29,2021-09-24,34.92,34.92,33.825,33.87,33.3504,37984689,0.0
30,2021-09-17,34.94,35.58,34.47,34.91,34.3745,30073266,0.0
31,2021-09-10,35.04,35.32,34.615,34.83,34.2957,18536742,0.0
32,2021-09-03,35.0,35.965,35.0,35.24,34.6994,21046794,0.0
33,2021-08-27,34.8,35.225,34.605,35.13,34.5911,17197848,0.0
34,2021-08-20,34.48,35.17,34.29,34.82,34.2858,19004423,0.0
35,2021-08-13,34.29,34.725,34.175,34.45,33.9215,21581697,0.0
36,2021-08-06,34.3,34.9,33.96,34.29,33.764,30467421,0.0
37,2021-07-30,36.03,36.25,34.851,35.21,34.6699,22424089,0.0
38,2021-07-23,35.96,36.2,35.25,36.07,35.5167,19710110,0.0
39,2021-07-16,34.93,36.155,34.76,35.88,35.3296,31679106,0.0
40,2021-07-09,35.04,35.21,34.625,35.0,34.4631,19054716,0.0
41,2021-07-02,34.99,35.6118,34.72,35.18,34.6403,24455044,0.1875
42,2021-06-25,34.51,34.94,34.2,34.86,34.1436,24785774,0.0
43,2021-06-18,35.15,35.165,33.961,34.52,33.8105,43788123,0.0
44,2021-06-11,36.92,36.95,34.65,35.23,34.506,46391843,0.0
45,2021-06-04,37.0,37.1,36.52,36.91,36.1514,13770926,0.0
46,2021-05-28,36.51,37.11,36.39,36.96,36.2004,26371227,0.0
47,2021-05-21,36.05,36.73,35.57,36.24,35.4952,14127865,0.0
48,2021-05-14,36.59,36.81,35.25,36.05,35.3091,18078151,0.0
49,2021-05-07,35.97,36.65,35.51,36.6,35.8478,17142397,0.0
50,2021-04-30,36.02,36.15,35.17,35.85,35.1132,23368136,0.0
51,2021-04-23,36.1,36.45,35.83,36.18,35.4364,17337567,0.0
52,2021-04-16,35.24,36.05,35.11,36.01,35.2699,25621599,0.0
53,2021-04-09,34.47,35.485,34.43,35.17,34.4472,31510629,0.0
54,2021-04-01,35.22,35.565,34.23,34.5,33.791,23967429,0.15
55,2021-03-26,34.0,35.31,33.8535,35.24,34.3658,31786171,0.0
56,2021-03-19,33.83,34.63,33.2,34.14,33.2931,49983506,0.0
57,2021-03-12,31.75,34.05,31.56,33.37,32.5422,37181010,0.0
58,2021-03-05,30.78,31.74,30.45,31.53,30.7478,25138327,0.0
59,2021-02-26,31.26,32.24,30.28,30.52,29.7629,28372972,0.0
60,2021-02-19,31.75,31.805,31.1802,31.24,30.465,15007102,0.0
61,2021-02-12,32.5,32.74,31.55,31.77,30.9818,16599812,0.0
62,2021-02-05,32.0,32.83,31.36,32.53,31.723,18508266,0.0
63,2021-01-29,31.47,33.69,31.45,31.8,31.0111,31558704,0.0
64,2021-01-22,31.86,32.095,31.28,31.47,30.6893,13228110,0.0
65,2021-01-15,32.09,32.1,31.14,31.86,31.0696,24057698,0.0
66,2021-01-08,32.07,32.16,30.81,32.0,31.2061,25326013,0.15
67,2020-12-31,32.0,32.24,31.66,32.0,31.0596,10373992,0.0
68,2020-12-24,30.57,31.9,30.375,31.88,30.9432,10338170,0.0
69,2020-12-18,30.45,31.48,29.99,30.93,30.0211,31587663,0.0
70,2020-12-11,30.52,30.84,30.01,30.36,29.4678,23689092,0.0
71,2020-12-04,30.8,30.84,29.89,30.53,29.6328,31338381,0.0
72,2020-11-27,29.96,30.77,29.65,30.76,29.8561,17141604,0.0
73,2020-11-20,29.3,30.005,28.245,29.835,28.9583,65856001,0.0
74,2020-11-13,29.56,29.73,27.115,29.3,28.439,25051633,0.0
75,2020-11-06,27.3,29.02,26.715,28.66,27.8178,19715502,0.0
76,2020-10-30,29.15,29.21,26.665,26.9,26.1095,31579534,0.0
77,2020-10-23,29.7,30.14,28.8,29.21,28.3516,22387471,0.0
78,2020-10-16,30.1,30.32,29.27,29.76,28.8855,77907483,0.0
79,2020-10-09,28.3,29.3,27.61,29.25,28.3904,23048749,0.0
80,2020-10-02,28.11,28.26,27.09,28.09,27.2645,22847363,0.15
81,2020-09-25,27.76,28.215,27.0,27.875,26.9117,21902330,0.0
82,2020-09-18,28.99,29.12,27.865,28.05,27.0807,19732912,0.0
83,2020-09-11,29.36,29.69,28.47,28.83,27.8337,23511597,0.0
84,2020-09-04,30.1,30.555,29.05,29.54,28.5192,17930394,0.0
85,2020-08-28,28.99,30.23,28.82,30.07,29.0309,21170174,0.0
86,2020-08-21,29.9,30.15,28.35,28.93,27.9303,51828345,0.0
87,2020-08-14,29.49,30.54,29.33,29.89,28.8571,15268724,0.0
88,2020-08-07,30.01,30.22,29.55,29.63,28.6061,16008942,0.0
89,2020-07-31,30.54,31.47,29.99,30.59,29.5329,14424680,0.0
90,2020-07-24,29.78,30.42,29.68,30.34,29.2916,8669062,0.0
91,2020-07-17,29.32,29.8,28.75,29.78,28.7509,8293427,0.0
92,2020-07-10,28.65,29.9,28.34,29.2,28.1909,14030155,0.0
93,2020-07-02,28.34,28.86,27.92,28.53,27.5441,9883374,0.15
94,2020-06-26,28.7,29.58,28.06,28.22,27.103,19269588,0.0
95,2020-06-19,27.81,29.46,27.65,28.71,27.5736,13839829,0.0
96,2020-06-12,28.71,29.24,27.64,28.12,27.007,24407448,0.0
97,2020-06-05,28.18,29.22,27.93,28.69,27.5544,34363234,0.0
98,2020-05-29,27.52,28.45,26.87,27.92,26.8149,42842662,0.0
99,2020-05-22,26.76,27.86,26.6,27.16,26.085,33673265,0.0
100,2020-05-15,26.33,27.24,25.91,26.3,25.259,24526404,0.0
101,2020-05-08,25.55,27.01,25.55,26.34,25.2974,13253235,0.0
102,2020-05-01,27.16,28.0,25.73,25.9,24.8748,18941972,0.0
103,2020-04-24,25.87,26.7,25.27,26.29,25.2494,11573343,0.0
104,2020-04-17,26.66,27.82,25.95,26.15,25.1149,12022423,0.0
105,2020-04-09,24.37,27.6,24.21,26.86,25.7968,10889529,0.0
106,2020-04-03,24.59,24.87,23.29,23.8,22.858,17870765,0.15
107,2020-03-27,23.28,25.88,22.81,24.38,23.2687,25087824,0.0
108,2020-03-20,21.07,25.02,18.98,23.53,22.4575,35102167,0.0
109,2020-03-13,25.74,26.09,21.38,23.47,22.4002,34925511,0.0
110,2020-03-06,27.9,28.51,26.11,26.63,25.4162,50593617,0.0
111,2020-02-28,29.2,29.42,26.77,27.88,26.6092,20074130,0.0
112,2020-02-21,28.78,29.55,28.78,29.5,28.1553,7957573,0.0
113,2020-02-14,28.5,28.98,28.44,28.87,27.5541,8782927,0.0
114,2020-02-07,28.48,29.02,28.43,28.57,27.2677,6847948,0.0
115,2020-01-31,27.66,28.87,27.64,28.53,27.2296,13786115,0.0
116,2020-01-24,27.38,28.13,27.08,28.04,26.7619,21877394,0.0
117,2020-01-17,27.83,28.18,27.35,27.67,26.4088,17568338,0.0
118,2020-01-10,28.63,29.03,27.74,27.88,26.6092,17211509,0.0
119,2020-01-03,28.8,29.05,28.5,28.81,27.4968,5480169,0.15
120,2019-12-27,28.91,29.04,28.62,28.84,27.3825,3609427,0.0
121,2019-12-20,28.76,29.09,28.43,28.87,27.411,13152494,0.0
122,2019-12-13,29.25,29.4,28.66,28.76,27.3066,8570440,0.0
123,2019-12-06,30.87,30.87,29.19,29.29,27.8098,13275145,0.0
124,2019-11-29,30.44,31.31,30.28,30.94,29.3764,5754032,0.0
125,2019-11-22,29.93,30.72,29.49,30.3,28.7687,11033846,0.0
126,2019-11-15,29.15,30.08,28.88,30.02,28.5029,8034067,0.0
127,2019-11-08,28.22,32.0,27.73,29.2,27.7243,14979373,0.0
128,2019-11-01,27.52,28.43,27.48,28.21,26.7844,8112421,0.0
129,2019-10-25,27.58,27.86,27.23,27.51,26.1197,10703050,0.0
130,2019-10-18,27.55,27.86,27.2,27.59,26.1957,10422668,0.0
131,2019-10-11,27.52,28.07,26.93,27.81,26.4046,15633571,0.0
132,2019-10-04,27.04,27.71,26.61,27.61,26.2147,11044049,0.15
133,2019-09-27,27.32,27.59,26.77,27.0,25.4951,11520935,0.0
134,2019-09-20,27.55,28.1,27.29,27.32,25.7973,13210713,0.0
135,2019-09-13,26.82,28.53,26.42,27.55,26.0145,14638673,0.0
136,2019-09-06,27.11,27.24,25.94,26.86,25.3629,14252056,0.0
137,2019-08-30,26.75,27.39,26.55,27.28,25.7595,7942684,0.0
138,2019-08-23,28.08,28.25,26.63,26.72,25.2307,8970119,0.0
139,2019-08-16,29.06,29.12,27.41,28.01,26.4488,12803689,0.0
140,2019-08-09,27.91,29.59,27.36,29.09,27.4686,18819518,0.0
141,2019-08-02,28.08,28.55,27.86,28.1,26.5338,10434659,0.0
142,2019-07-26,27.65,28.3,27.52,28.1,26.5338,11981131,0.0
143,2019-07-19,28.82,28.94,27.4,27.63,26.09,14248494,0.0
144,2019-07-12,29.98,30.0,28.67,28.73,27.1287,8005344,0.0
145,2019-07-05,29.12,30.27,28.98,30.08,28.4034,10636664,0.15
146,2019-06-28,30.67,30.67,28.32,28.9,27.1543,25198521,0.0
147,2019-06-21,29.39,31.06,29.24,30.65,28.7986,18574532,0.0
148,2019-06-14,28.48,28.82,27.99,28.63,26.9006,10914195,0.0
149,2019-06-07,28.28,28.7,27.915,28.34,26.6282,8579018,0.0
150,2019-05-31,29.22,29.33,27.93,28.19,26.4872,7288459,0.0
151,2019-05-24,29.37,29.41,28.81,29.21,27.4456,9558423,0.0
152,2019-05-17,29.19,29.76,28.4,29.26,27.4926,13098855,0.0
153,2019-05-10,28.81,29.74,27.87,29.41,27.6335,13087013,0.0
154,2019-05-03,28.5,29.16,28.35,29.05,27.2953,10448314,0.0
155,2019-04-26,26.54,28.59,26.48,28.53,26.8067,15519646,0.0
156,2019-04-18,26.5,26.7,26.09,26.61,25.0027,5554264,0.0
157,2019-04-12,27.26,28.18,26.42,26.51,24.9087,16089526,0.0
158,2019-04-05,27.98,28.0,26.96,27.31,25.6604,10535045,0.15
159,2019-03-29,27.6,28.25,27.6,27.97,26.1367,8100048,0.0
