,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,20.78,21.36,20.2,20.58,20.58,29409244,0.0
1,2022-04-08,21.62,21.775,20.44,20.77,20.77,49380416,0.0
2,2022-04-01,23.68,23.955,21.55,21.66,21.66,43221893,0.0
3,2022-03-25,24.02,24.62,23.46,23.89,23.89,30039854,0.0
4,2022-03-18,23.4,24.71,23.38,23.93,23.93,62111411,0.0
5,2022-03-11,22.97,23.705,22.1,22.92,22.92,53155469,0.0
6,2022-03-04,24.24,25.07,22.84,23.22,23.22,58175859,0.195
7,2022-02-25,25.66,25.86,23.275,25.3,25.1047,37671398,0.0
8,2022-02-18,26.32,26.82,25.55,25.64,25.4421,33629132,0.0
9,2022-02-11,26.165,27.1,26.02,26.22,26.0176,44712415,0.0
10,2022-02-04,24.82,26.35,24.52,26.17,25.968,33537019,0.0
11,2022-01-28,24.35,25.79,23.92,25.13,24.936,51486587,0.0
12,2022-01-21,27.15,27.17,24.66,24.79,24.5987,41044369,0.0
13,2022-01-14,26.65,27.02,25.94,27.01,26.8015,49097387,0.0
14,2022-01-07,23.45,26.45,23.42,26.35,26.1466,45913327,0.0
15,2021-12-31,22.89,23.56,22.54,23.13,22.9515,18187068,0.0
16,2021-12-23,22.19,23.035,21.655,22.74,22.5645,27116692,0.0
17,2021-12-17,22.91,23.88,22.43,22.51,22.3363,56603670,0.0
18,2021-12-10,22.84,23.555,22.66,23.01,22.8324,34491811,0.0
19,2021-12-03,23.16,23.26,22.04,22.41,22.237,50162178,0.195
20,2021-11-26,23.72,24.185,22.44,22.9,22.5308,24657963,0.0
21,2021-11-19,24.2,24.24,23.055,23.37,22.9932,28894104,0.0
22,2021-11-12,23.82,24.36,23.3561,24.09,23.7016,33774991,0.0
23,2021-11-05,23.51,24.09,23.285,23.68,23.2982,26666377,0.0
24,2021-10-29,24.17,24.22,23.25,23.27,22.8948,29119039,0.0
25,2021-10-22,23.0,24.565,22.955,24.04,23.6524,41973284,0.0
26,2021-10-15,23.15,23.545,22.16,23.02,22.6489,38639770,0.0
27,2021-10-08,22.37,23.07,22.13,22.97,22.5997,45511944,0.0
28,2021-10-01,21.46,22.495,21.39,22.34,21.9798,40249104,0.0
29,2021-09-24,20.15,21.34,19.68,21.14,20.7992,42071666,0.0
30,2021-09-17,20.13,21.22,20.02,20.76,20.4253,61250075,0.0
31,2021-09-10,20.11,20.39,19.61,19.87,19.5497,22539228,0.0
32,2021-09-03,20.72,21.11,19.9,20.05,19.7268,29774662,0.185
33,2021-08-27,20.09,20.98,20.025,20.89,20.3664,23850316,0.0
34,2021-08-20,20.45,20.64,19.57,19.91,19.411,29349884,0.0
35,2021-08-13,20.19,20.99,19.995,20.68,20.1617,31434673,0.0
36,2021-08-06,19.75,20.56,19.295,20.33,19.8204,34803164,0.0
37,2021-07-30,19.16,20.065,18.99,19.66,19.1672,43483257,0.0
38,2021-07-23,18.85,19.66,17.9,19.1,18.6213,53357845,0.0
39,2021-07-16,19.88,20.48,19.295,19.35,18.865,34342125,0.0
40,2021-07-09,20.64,20.65,19.25,20.17,19.6645,32737266,0.0
41,2021-07-02,21.14,21.14,20.4,20.72,20.2007,33399308,0.0
42,2021-06-25,20.14,21.31,20.08,21.26,20.7271,36624464,0.0
43,2021-06-18,21.91,22.13,19.78,19.93,19.4305,43090961,0.0
44,2021-06-11,22.81,22.88,21.76,21.94,21.3901,26995157,0.0
45,2021-06-04,23.28,23.395,22.505,22.73,22.1603,22824391,0.0
46,2021-05-28,23.22,23.45,22.59,23.04,22.4625,29514386,0.185
47,2021-05-21,23.27,23.645,22.47,23.12,22.361,28706339,0.0
48,2021-05-14,23.26,23.45,22.1,23.39,22.6221,38269255,0.0
49,2021-05-07,22.0,23.08,21.72,23.07,22.3126,38703521,0.0
50,2021-04-30,21.04,22.13,21.02,21.76,21.0456,41279392,0.0
51,2021-04-23,20.78,20.96,19.58,20.77,20.0881,50295212,0.0
52,2021-04-16,20.73,20.985,20.22,20.68,20.0011,37507135,0.0
53,2021-04-09,20.57,20.83,19.91,20.61,19.9334,40234311,0.0
54,2021-04-01,19.84,20.33,19.2112,20.27,19.6045,44259148,0.0
55,2021-03-26,20.3,20.34,19.0,20.15,19.4885,58383751,0.0
56,2021-03-19,21.25,21.36,20.005,20.39,19.7206,89806813,0.0
57,2021-03-12,20.98,21.58,20.2,21.29,20.5911,51918312,0.0
58,2021-03-05,20.42,21.38,19.75,20.66,19.9817,42453775,0.185
59,2021-02-26,20.1,21.81,19.96,20.14,19.3066,43013879,0.0
60,2021-02-19,19.38,20.25,19.215,20.15,19.3162,28985795,0.0
61,2021-02-12,18.6,19.22,18.45,19.07,18.2809,24087647,0.0
62,2021-02-05,17.02,19.01,16.84,18.57,17.8016,35155621,0.0
63,2021-01-29,18.02,18.08,16.69,16.86,16.1623,47205266,0.0
64,2021-01-22,18.51,18.88,17.85,18.2,17.4469,29342678,0.0
65,2021-01-15,18.0,19.22,17.81,18.41,17.6482,38518378,0.0
66,2021-01-08,16.58,18.81,16.03,18.24,17.4852,45340596,0.0
67,2020-12-31,16.34,16.52,15.95,16.41,15.7309,18758033,0.0
68,2020-12-24,15.62,16.42,15.29,16.19,15.52,27045338,0.0
69,2020-12-18,16.13,16.13,15.25,15.42,14.7819,62158726,0.0
70,2020-12-11,15.97,16.38,15.64,15.84,15.1845,46597189,0.0
71,2020-12-04,16.02,16.31,15.38,16.12,15.4529,61439161,0.185
72,2020-11-27,15.64,16.76,15.49,16.33,15.4691,24382462,0.0
73,2020-11-20,15.6,16.02,15.16,15.33,14.5219,31782969,0.0
74,2020-11-13,14.23,15.61,14.22,14.87,14.0861,52335080,0.0
75,2020-11-06,13.13,13.94,12.54,12.82,12.1442,58033453,0.0
76,2020-10-30,13.09,13.23,12.12,12.98,12.2957,35298952,0.0
77,2020-10-23,12.99,13.49,12.29,13.45,12.741,43949124,0.0
78,2020-10-16,13.14,13.35,12.5,12.93,12.2484,27131706,0.0
79,2020-10-09,12.4,13.41,12.32,13.12,12.4284,37107608,0.0
80,2020-10-02,11.94,12.34,11.6,12.22,11.5758,40870508,0.0
81,2020-09-25,12.31,12.45,11.33,11.71,11.0927,38193009,0.0
82,2020-09-18,12.5,12.98,12.43,12.65,11.9831,44419941,0.0
83,2020-09-11,12.62,12.825,12.17,12.36,11.7084,31352571,0.0
84,2020-09-04,12.55,13.22,12.14,12.89,12.2105,54799835,0.185
85,2020-08-28,12.0,12.835,11.89,12.77,11.9179,51562221,0.0
86,2020-08-21,12.66,12.7,11.85,11.95,11.1526,36806203,0.0
87,2020-08-14,12.57,13.51,12.455,12.75,11.8992,29182692,0.0
88,2020-08-07,12.0,12.56,11.9,12.53,11.6939,35870371,0.0
89,2020-07-31,12.16,12.57,11.82,12.01,11.2086,44417859,0.0
90,2020-07-24,11.66,12.63,11.44,12.25,11.4326,64879114,0.0
91,2020-07-17,11.81,12.23,11.29,11.69,10.9099,48128822,0.0
92,2020-07-10,12.05,12.28,10.86,11.55,10.7793,41020386,0.0
93,2020-07-02,11.96,12.26,11.57,11.71,10.9286,56804254,0.0
94,2020-06-26,13.16,13.82,11.76,11.76,10.9752,50997634,0.0
95,2020-06-19,12.48,14.15,12.38,13.35,12.4591,78571609,0.0
96,2020-06-12,15.06,15.28,12.47,13.22,12.3378,100038670,0.0
97,2020-06-05,11.75,15.32,11.59,14.56,13.5884,71514597,0.185
98,2020-05-29,11.45,13.03,11.38,11.85,10.8892,51812869,0.0
