,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-14,21.625,22.69,20.83,21.01,21.01,82765922,0.0
1,2022-04-08,24.66,26.16,21.4593,21.67,21.67,93539018,0.0
2,2022-04-01,25.34,28.135,24.26,24.55,24.55,108103832,0.0
3,2022-03-25,25.85,27.25,24.52,25.16,25.16,100505581,0.0
4,2022-03-18,22.63,26.15,20.49,25.67,25.67,126311099,0.0
5,2022-03-11,22.94,25.71,22.61,22.92,22.92,121962100,0.0
6,2022-03-04,26.74,29.0499,22.01,22.63,22.63,200702668,0.0
7,2022-02-25,25.765,27.28,21.77,26.35,26.35,121726666,0.0
8,2022-02-18,25.812,30.12,25.68,26.59,26.59,132675380,0.0
9,2022-02-11,27.61,29.4,25.61,25.84,25.84,116762029,0.0
10,2022-02-04,28.115,30.85,26.21,27.55,27.55,166591692,0.0
11,2022-01-28,36.14,37.88,25.6327,27.15,27.15,258330226,0.0
12,2022-01-21,40.68,42.95,37.185,37.75,37.75,150006754,0.0
13,2022-01-14,40.63,47.59,40.43,42.22,42.22,223458311,0.0
14,2022-01-07,38.55,43.2899,33.76,41.98,41.98,256352582,0.0
15,2021-12-31,37.17,39.8,35.53,38.05,38.05,158078928,0.0
16,2021-12-23,38.03,40.19,36.75,37.64,37.64,142138740,0.0
17,2021-12-17,39.99,42.5,36.35,40.01,40.01,388292729,0.0
18,2021-12-10,40.025,47.25,35.8,37.66,37.66,424483145,0.0
19,2021-12-03,52.03,56.7,44.57,47.27,47.27,401552042,0.0
20,2021-11-26,53.035,57.44,49.4131,51.72,51.72,316693943,0.0
21,2021-11-19,44.6,57.75,43.0,55.21,55.21,822505112,0.0
22,2021-11-12,43.54,48.04,39.3405,43.93,43.93,433487216,0.0
23,2021-11-05,39.995,41.92,33.02,41.8,41.8,409766634,0.0
24,2021-10-29,24.88,41.6,24.7021,36.99,36.99,745464095,0.0
25,2021-10-22,23.99,25.66,23.41,24.11,24.11,95945483,0.0
26,2021-10-15,23.63,24.2199,22.11,24.08,24.08,101931212,0.0
27,2021-10-08,24.76,25.03,23.0408,23.23,23.23,112407576,0.0
28,2021-10-01,25.86,28.39,24.15,24.61,24.61,281064691,0.0
29,2021-09-24,22.025,28.21,21.66,25.43,25.43,335657875,0.0
30,2021-09-17,20.265,23.51,18.7,22.96,22.96,222220383,0.0
31,2021-09-10,19.8,20.62,18.7,19.93,19.93,78808809,0.0
32,2021-09-03,20.85,20.88,16.12,19.56,19.56,239875386,0.0
33,2021-08-27,22.01,22.97,20.9,21.03,21.03,50065537,0.0
34,2021-08-20,23.045,23.32,21.51,21.67,21.67,32367171,0.0
35,2021-08-13,23.4,25.24,23.03,23.48,23.48,39747952,0.0
36,2021-08-06,24.1934,24.24,22.54,23.38,23.38,37748946,0.0
37,2021-07-30,25.24,29.03,22.94,23.72,23.72,81796117,0.0
38,2021-07-23,21.99,24.9297,20.9,24.25,24.25,64204492,0.0
39,2021-07-16,25.91,27.4,22.3,22.79,22.79,53144266,0.0
40,2021-07-09,27.5,28.0,23.54,25.55,25.55,35055181,0.0
41,2021-07-02,26.23,29.81,25.68,27.02,27.02,74563987,0.0
42,2021-06-25,23.7,26.28,22.45,25.18,25.18,50110704,0.0
43,2021-06-18,25.16,25.16,22.05,23.4,23.4,40127044,0.0
44,2021-06-11,24.8,27.88,24.31,25.14,25.14,78386046,0.0
45,2021-06-04,20.0,24.59,19.78,23.95,23.95,75428137,0.0
46,2021-05-28,20.15,21.1,19.13,19.72,19.72,51815459,0.0
47,2021-05-21,18.23,20.37,18.03,19.81,19.81,38977418,0.0
48,2021-05-14,19.54,19.57,17.25,17.94,17.94,52144790,0.0
49,2021-05-07,21.19,21.19,18.58,19.28,19.28,55659139,0.0
50,2021-04-30,20.67,24.33,20.41,21.09,21.09,115166195,0.0
51,2021-04-23,19.87,20.73,17.62,20.55,20.55,90980246,0.0
52,2021-04-16,22.93,23.45,19.25,19.52,19.52,81262653,0.0
53,2021-04-09,24.55,24.96,22.66,22.97,22.97,63978764,0.0
54,2021-04-01,22.88,24.47,21.07,23.78,23.78,68003443,0.0
55,2021-03-26,27.48,27.63,21.02,23.02,23.02,112159957,0.0
56,2021-03-19,27.46,32.9696,25.79,26.88,26.88,174150213,0.0
57,2021-03-12,24.34,27.99,22.0,26.77,26.77,138661640,0.0
58,2021-03-05,32.49,32.54,20.4,24.4,24.4,237843793,0.0
59,2021-02-26,62.87,63.2,26.71,30.75,30.75,544632006,0.0
60,2021-02-19,38.27,64.86,36.52,52.94,52.94,296711090,0.0
61,2021-02-12,34.17,41.37,30.0,39.98,39.98,192329519,0.0
62,2021-02-05,23.64,36.0,22.73,34.65,34.65,337818565,0.0
63,2021-01-29,26.77,27.3,18.55,22.88,22.88,271507203,0.0
64,2021-01-22,18.05,22.67,17.11,22.35,22.35,213718975,0.0
65,2021-01-15,10.05,21.0,10.03,18.36,18.36,636955899,0.0
66,2021-01-08,10.03,10.08,10.0,10.03,10.03,4308654,0.0
67,2020-12-31,10.11,10.18,10.01,10.01,10.01,10210935,0.0
68,2020-12-24,9.98,10.1,9.96,10.04,10.04,5735098,0.0
69,2020-12-18,9.96,10.03,9.9,9.96,9.96,6689026,0.0
70,2020-12-11,9.88,9.98,9.83,9.94,9.94,16282745,0.0
71,2020-12-04,9.88,9.9,9.82,9.88,9.88,5377109,0.0
72,2020-11-27,9.79,9.85,9.7,9.83,9.83,1934267,0.0
73,2020-11-20,9.7,9.8,9.67,9.71,9.71,1539398,0.0
74,2020-11-13,9.7,9.8,9.66,9.69,9.69,3859392,0.0
75,2020-11-06,9.63,9.79,9.6,9.72,9.72,4394768,0.0
76,2020-10-30,9.65,9.74,9.6,9.63,9.63,7077646,0.0
77,2020-10-23,9.71,9.74,9.63,9.63,9.63,4228936,0.0
78,2020-10-16,9.82,9.85,9.6501,9.68,9.68,4627012,0.0
79,2020-10-09,9.8,9.8,9.67,9.75,9.75,9327682,0.0
80,2020-10-02,9.9,9.94,9.73,9.74,9.74,5802325,0.0
81,2020-09-25,9.9,9.96,9.75,9.81,9.81,3534124,0.0
