,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-14,74.4,79.69,74.13,76.77,76.77,10910025,0.0
1,2022-04-08,82.46,82.92,73.01,74.92,74.92,19749364,0.0
2,2022-04-01,82.71,86.18,81.09,82.33,82.33,18618605,0.0
3,2022-03-25,91.75,92.1879,81.92,82.78,82.78,16194268,0.0
4,2022-03-18,86.84,92.86,82.52,92.54,92.54,17559325,0.0
5,2022-03-11,89.33,90.12,82.03,86.57,86.57,11492164,0.0
6,2022-03-04,89.92,93.11,88.045,89.14,89.14,11396566,0.0
7,2022-02-25,88.0035,91.12,79.52,90.83,90.83,13400092,0.0
8,2022-02-18,91.21,92.7199,88.4,89.43,89.43,10094757,0.0
9,2022-02-11,91.14,97.5,90.24,91.54,91.54,12739181,0.0
10,2022-02-04,93.34,97.9,90.27,90.3,90.3,11100981,0.0
11,2022-01-28,93.9,100.12,89.1,93.42,93.42,17943565,0.375
12,2022-01-21,106.19,106.43,94.9,95.31,94.9278,14867980,0.0
13,2022-01-14,101.51,112.5,100.44,108.16,107.7263,14432591,0.0
14,2022-01-07,115.84,116.36,102.79,102.95,102.5372,14948067,0.0
15,2021-12-31,112.86,116.725,111.81,116.16,115.6942,5727840,0.0
16,2021-12-23,104.45,112.9771,103.42,112.05,111.6007,9121013,0.0
17,2021-12-17,117.33,117.54,104.74,105.84,105.4156,23782740,0.0
18,2021-12-10,113.41,117.25,112.49,116.91,116.4412,11800327,0.0
19,2021-12-03,107.88,114.6738,104.22,112.32,111.8696,11783058,0.0
20,2021-11-26,112.06,112.7,106.38,107.04,106.6108,6275811,0.0
21,2021-11-19,108.22,114.39,106.24,111.43,110.9832,8260247,0.0
22,2021-11-12,104.51,108.55,103.6,108.23,107.796,6909164,0.0
23,2021-11-05,100.07,104.79,99.13,104.29,103.8718,8807093,0.0
24,2021-10-29,100.33,104.07,99.09,99.93,99.5293,13163753,0.0
25,2021-10-22,97.65,103.03,97.27,100.5,100.097,10635106,0.0
26,2021-10-15,93.76,99.73,93.33,97.12,96.7306,10658933,0.25
27,2021-10-08,93.02,95.75,91.28,93.85,93.2285,13022884,0.0
28,2021-10-01,99.14,99.98,93.2381,93.7,93.0795,13681575,0.0
29,2021-09-24,98.72,100.65,95.51,99.96,99.298,15070073,0.0
30,2021-09-17,100.27,101.6699,97.1,101.28,100.6093,11580854,0.0
31,2021-09-10,104.84,106.13,99.46,99.74,99.0795,8214788,0.0
32,2021-09-03,108.01,109.95,104.62,105.61,104.9106,7877618,0.0
33,2021-08-27,105.76,108.88,102.44,107.96,107.245,6987365,0.0
34,2021-08-20,107.69,110.14,102.32,105.32,104.6225,7570939,0.0
35,2021-08-13,103.81,109.54,102.92,108.17,107.4537,5430790,0.0
36,2021-08-06,106.29,107.959,103.65,104.05,103.3609,7426783,0.0
37,2021-07-30,102.96,107.52,100.07,105.15,104.4537,9402475,0.0
38,2021-07-23,94.47,103.19,94.07,102.86,102.1788,9899446,0.0
39,2021-07-16,97.98,99.055,95.32,95.96,95.3245,8442505,0.0
40,2021-07-09,100.82,102.79,97.54,98.93,98.2748,12678890,0.0
41,2021-07-02,97.63,102.39,97.26,101.39,100.7186,11046311,0.25
42,2021-06-25,98.56,99.48,95.3,97.09,96.2107,14772163,0.0
43,2021-06-18,92.65,99.7613,90.92,98.17,97.2809,22940215,0.0
44,2021-06-11,96.7,96.82,90.53,92.74,91.9001,10355492,0.0
