,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,64.31,66.03,62.3,64.48,64.48,3140508,0.0
1,2022-04-08,65.48,66.11,61.77,64.21,64.21,6588006,0.45
2,2022-04-01,67.41,69.0,65.245,65.67,65.213,4614481,0.0
3,2022-03-25,66.88,68.1,64.29,67.77,67.2984,6801260,0.0
4,2022-03-18,61.79,66.21,61.2,66.05,65.5903,9120771,0.0
5,2022-03-11,60.81,63.975,58.07,60.58,60.1584,8538349,0.0
6,2022-03-04,66.63,68.41,60.78,61.69,61.2607,12499731,0.0
7,2022-02-25,69.22,70.27,64.0,69.13,68.6489,8000352,0.0
8,2022-02-18,72.98,74.04,69.24,69.65,69.1653,8877870,0.0
9,2022-02-11,71.3,76.4,71.24,72.97,72.4622,7906463,0.0
10,2022-02-04,67.65,72.35,66.83,71.55,71.052,10957362,0.0
11,2022-01-28,66.0,71.98,62.74,68.57,68.0928,10586715,0.0
12,2022-01-21,73.65,74.08,67.63,67.84,67.3679,4490588,0.0
13,2022-01-14,73.61,74.45,70.84,74.32,73.8028,5696376,0.0
14,2022-01-07,69.01,73.66,68.87,73.1,72.5913,6055362,0.45
15,2021-12-31,68.19,69.695,67.45,68.26,67.3702,3005093,0.0
16,2021-12-23,64.69,68.12,61.715,67.87,66.9853,4998602,0.0
17,2021-12-17,67.04,68.58,64.75,65.76,64.9028,9495060,0.0
18,2021-12-10,66.79,69.13,66.07,67.47,66.5905,5191727,0.0
19,2021-12-03,69.36,69.56,63.57,65.55,64.6955,11228678,0.0
20,2021-11-26,70.44,72.18,65.12,68.15,67.2617,6742118,0.0
21,2021-11-19,74.27,75.059,68.8473,69.55,68.6434,7903195,0.0
22,2021-11-12,73.24,74.25,71.3,73.71,72.7492,6438995,0.0
23,2021-11-05,73.03,77.57,69.65,72.46,71.5155,9886209,0.0
24,2021-10-29,75.73,76.765,71.75,72.15,71.2095,6483329,0.0
25,2021-10-22,71.78,76.29,71.47,75.72,74.733,6372900,0.0
26,2021-10-15,73.08,74.63,70.06,72.3,71.3576,4483026,0.0
27,2021-10-08,69.89,73.595,69.2825,72.63,71.6833,4866482,0.42
28,2021-10-01,69.59,72.9,68.25,70.21,68.8943,7101648,0.0
29,2021-09-24,64.88,69.16,62.525,68.53,67.2458,8117396,0.0
30,2021-09-17,66.29,70.17,65.18,67.54,66.2743,7317016,0.0
31,2021-09-10,67.6,68.28,65.23,65.44,64.2137,3614535,0.0
32,2021-09-03,70.82,70.82,67.01,67.56,66.294,4605314,0.0
33,2021-08-27,66.38,70.88,66.22,70.66,69.3359,4909466,0.0
34,2021-08-20,69.42,69.92,64.715,65.81,64.5768,6879347,0.0
35,2021-08-13,66.88,71.24,66.0,70.41,69.0906,5624215,0.0
36,2021-08-06,62.33,68.14,58.99,67.36,66.0977,7933812,0.0
37,2021-07-30,60.54,63.085,59.86,61.62,60.4653,6445545,0.0
38,2021-07-23,57.5,62.16,56.4107,60.28,59.1504,6648733,0.0
39,2021-07-16,61.34,63.895,59.4475,59.69,58.5714,6144669,0.0
40,2021-07-09,63.84,64.135,58.4,62.01,60.848,7204525,0.42
41,2021-07-02,65.12,65.12,61.91,64.26,62.6316,5904671,0.0
42,2021-06-25,60.16,65.92,60.035,65.58,63.9181,7476683,0.0
43,2021-06-18,67.56,68.04,59.07,59.43,57.924,8780853,0.0
44,2021-06-11,71.37,71.68,66.84,67.71,65.9942,5558012,0.0
45,2021-06-04,70.99,71.625,70.17,71.13,69.3275,4021926,0.0
