,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,487.14,488.03,464.765,472.61,472.61,4512761,0.0
1,2022-04-08,526.33,536.76,488.07,491.64,491.64,6479873,0.0
2,2022-04-01,549.57,574.786,517.07,525.45,525.45,5824798,0.0
3,2022-03-25,538.0,556.9285,525.87,554.82,554.82,5052492,0.0
4,2022-03-18,488.29,547.48,466.06,544.64,544.64,8013317,1.5
5,2022-03-11,527.6,533.53,479.05,483.39,481.8987,7889049,0.0
6,2022-03-04,566.41,571.14,519.61,525.78,524.158,6733963,0.0
7,2022-02-25,561.0,577.35,519.55,573.2,571.4317,5108257,0.0
8,2022-02-18,560.67,596.77,547.66,569.99,568.2316,6124582,0.0
9,2022-02-11,581.07,615.99,555.38,559.99,558.2624,6682361,0.0
10,2022-02-04,563.56,613.3044,556.83,579.07,577.2836,8151911,0.0
11,2022-01-28,585.0,623.24,530.0,561.14,559.4089,11835766,0.0
12,2022-01-21,716.655,717.4,604.45,605.79,603.9211,7970427,0.0
13,2022-01-14,658.62,730.75,643.21,729.82,727.5685,8315870,0.0
14,2022-01-07,721.13,731.8492,668.39,669.29,667.2252,6675642,0.0
15,2021-12-31,702.79,728.38,702.79,719.15,716.9314,3706090,0.0
16,2021-12-23,658.85,706.942,653.9,698.72,696.5644,4161357,0.0
17,2021-12-17,707.5454,708.05,660.64,669.17,667.1056,6938780,1.5
18,2021-12-10,664.9278,719.91,642.43,705.96,702.2313,5993740,0.0
19,2021-12-03,651.5,711.83,649.0201,661.47,657.9762,10903952,0.0
20,2021-11-26,650.9173,662.31,638.41,641.98,638.5892,5683534,0.0
21,2021-11-19,632.0,657.0,624.43,644.5,641.0959,5947265,0.0
22,2021-11-12,615.0,627.9,603.87,624.42,621.1219,5404391,0.0
23,2021-11-05,565.0,613.0,561.36,610.77,607.544,6623386,0.0
24,2021-10-29,558.05,579.94,546.19,563.57,560.5933,7210504,0.0
25,2021-10-22,560.0,578.0,535.01,556.74,553.7994,9382234,0.0
26,2021-10-15,548.13,568.5105,542.28,564.47,561.4886,6299036,0.0
27,2021-10-08,565.97,566.5,544.83,550.16,547.2542,6358157,0.0
28,2021-10-01,602.98,621.99,560.6,569.73,566.7208,7045605,1.5
29,2021-09-24,594.9,617.9389,578.298,612.48,607.7667,5791436,0.0
30,2021-09-17,602.91,617.16,597.09,608.98,604.2936,7003306,0.0
31,2021-09-10,599.15,612.12,576.38,598.11,593.5072,7150737,0.0
32,2021-09-03,614.79,617.8,596.0,610.71,606.0103,4640234,0.0
33,2021-08-27,572.64,613.19,572.395,609.59,604.8989,5582890,0.0
34,2021-08-20,579.87,590.52,559.83,565.97,561.6146,6224726,0.0
35,2021-08-13,650.0,650.33,577.17,580.41,575.9435,8437198,0.0
36,2021-08-06,646.2,659.489,636.469,647.96,642.9736,4391593,0.0
37,2021-07-30,641.23,647.96,597.06,637.41,632.5048,8143699,0.0
38,2021-07-23,577.99,644.65,575.3317,640.27,635.3428,6934400,0.0
39,2021-07-16,617.51,640.5,586.0,588.48,583.9513,6570048,0.0
40,2021-07-09,631.44,637.71,594.21,612.85,608.1338,3745951,0.0
41,2021-07-02,636.77,654.65,627.0,631.44,626.5807,4441501,0.0
42,2021-06-25,614.4535,637.61,608.58,630.44,625.5884,4410754,0.0
43,2021-06-18,641.72,654.0,608.89,612.66,607.9453,5690957,1.3
44,2021-06-11,651.62,658.29,631.8,642.11,635.884,4226775,0.0
45,2021-06-04,656.0,673.8,631.2,655.31,648.956,4418886,0.0
46,2021-05-28,625.35,655.32,622.02,649.85,643.5489,7260011,0.0
47,2021-05-21,590.39,634.0,566.03,614.1,608.1456,7872596,0.0
48,2021-05-14,621.41,624.07,555.8,602.99,597.1433,10631701,0.0
49,2021-05-07,629.2721,634.8,590.2,630.54,624.4262,5954109,0.0
50,2021-04-30,626.93,649.0,619.82,620.45,614.434,5289512,0.0
51,2021-04-23,643.7222,649.94,608.2,627.49,621.4057,9794385,0.0
52,2021-04-16,658.66,659.6,634.0,643.71,637.4685,6029789,0.0
53,2021-04-09,649.7029,669.0,639.56,662.0,655.5811,8615925,0.0
54,2021-04-01,582.34,640.0,559.75,639.3,633.1012,7497807,0.0
55,2021-03-26,554.0,584.77,525.02,584.23,578.5652,8161217,0.0
56,2021-03-19,521.6,560.17,520.25,542.31,537.0517,8849878,1.3
57,2021-03-12,542.81,554.52,501.67,524.82,518.4994,8659266,0.0
58,2021-03-05,576.56,600.5,511.43,547.7,541.1038,9621752,0.0
59,2021-02-26,589.39,597.87,536.41,567.19,560.3591,9212249,0.0
60,2021-02-19,590.0,603.5996,567.0864,598.41,591.2031,5680023,0.0
61,2021-02-12,515.0,597.7399,514.16,586.16,579.1006,8255488,0.0
62,2021-02-05,491.05,525.0,486.9225,509.76,503.6208,7370797,0.0
63,2021-01-29,571.35,575.61,481.0506,483.95,478.1216,10673978,0.0
64,2021-01-22,559.83,585.4161,551.7,563.85,557.0593,6327771,0.0
65,2021-01-15,495.52,570.52,493.55,547.53,540.9359,7945185,0.0
66,2021-01-08,478.15,522.25,473.32,501.63,495.5887,7453030,0.0
67,2020-12-31,485.58,488.34,465.5004,472.27,466.5823,4118059,0.0
68,2020-12-24,469.12,484.71,468.74,480.34,474.5551,3723498,0.0
69,2020-12-18,495.69,503.25,477.7,480.97,475.1775,7776512,0.0
70,2020-12-11,499.43,516.65,483.73,491.7,485.7783,7691899,1.3
71,2020-12-04,455.2,501.6,445.6,499.98,492.7067,7997881,0.0
72,2020-11-27,436.58,460.615,435.05,456.54,449.8986,3834640,0.0
73,2020-11-20,430.8,444.96,425.0,433.64,427.3318,6214214,0.0
74,2020-11-13,425.0,436.0,404.46,426.31,420.1084,6948759,0.0
75,2020-11-06,348.12,412.01,345.18,409.42,403.4641,7874219,0.0
76,2020-10-30,350.36,358.19,333.31,342.08,337.1037,7309890,0.0
77,2020-10-23,367.5,371.0,350.315,353.92,348.7715,7438291,0.0
78,2020-10-16,369.43,381.96,358.92,364.96,359.6509,7373198,0.0
79,2020-10-09,333.0,364.66,332.61,362.71,357.4336,6463374,0.0
80,2020-10-02,331.42,342.56,328.56,328.71,323.9282,8477401,1.3
81,2020-09-25,305.08,334.18,300.695,330.27,324.2174,9374840,0.0
82,2020-09-18,301.77,314.38,296.17,307.21,301.58,9658949,0.0
83,2020-09-11,310.96,316.46,292.28,293.99,288.6023,10013561,0.0
84,2020-09-04,348.55,365.141,319.69,333.12,327.0152,12411963,0.0
85,2020-08-28,359.4,360.67,338.59,350.78,344.3516,7686212,0.0
86,2020-08-21,376.55,384.17,350.33,353.44,346.9628,8300099,0.0
87,2020-08-14,372.44,384.99,367.39,373.64,366.7926,5684078,0.0
88,2020-08-07,380.8,387.695,366.45,372.44,365.6146,6598020,0.0
89,2020-07-31,347.44,381.48,346.675,377.16,370.2481,9860155,0.0
90,2020-07-24,346.27,367.56,336.28,345.72,339.3843,7722363,0.0
91,2020-07-17,343.0,350.24,331.4,346.27,339.9242,8128475,0.0
92,2020-07-10,330.01,340.29,327.5,339.98,333.7495,6773895,0.0
93,2020-07-02,303.75,327.45,300.61,323.7,317.7678,7504593,0.0
94,2020-06-26,312.0,319.06,300.36,302.52,296.976,10923772,0.0
95,2020-06-19,275.85,325.12,274.51,315.25,309.4727,10392382,1.15
96,2020-06-12,306.85,308.03,276.66,284.52,278.2583,9155269,0.0
97,2020-06-05,270.6,310.0,267.1,304.92,298.2094,10064564,0.0
98,2020-05-29,269.5,279.81,258.21,273.67,267.6471,9452985,0.0
99,2020-05-22,259.49,273.42,253.46,261.14,255.3929,10147078,0.0
100,2020-05-15,262.47,269.99,240.34,251.84,246.2976,13330870,0.0
101,2020-05-08,233.98,266.37,231.38,265.4,259.5591,11635887,0.0
102,2020-05-01,270.2,281.95,229.69,235.02,229.8477,15625995,0.0
103,2020-04-24,273.03,276.47,242.57,266.67,260.8012,12516216,0.0
104,2020-04-17,256.21,280.22,250.24,279.02,272.8794,8490276,0.0
105,2020-04-09,231.62,277.42,229.08,258.28,252.5958,10417848,0.0
106,2020-04-03,246.46,257.93,213.29,218.15,213.349,10764840,0.0
107,2020-03-27,190.68,262.88,185.84,241.22,235.9113,15157829,1.15
108,2020-03-20,223.82,245.77,181.38,187.89,182.8433,17616379,0.0
109,2020-03-13,273.0,287.86,237.45,261.78,254.7486,14543220,0.0
110,2020-03-06,296.64,309.65,284.02,294.41,286.5021,10860393,0.0
111,2020-02-28,299.2,306.9,273.66,293.43,285.5485,14103464,0.0
112,2020-02-21,323.24,335.41,315.24,316.8,308.2908,8342599,0.0
113,2020-02-14,313.98,344.32,313.0,339.3,330.1864,7517047,0.0
114,2020-02-07,300.0,332.53,300.0,315.4,306.9284,9501385,0.0
115,2020-01-31,297.03,319.0,292.69,298.21,290.2001,11921564,0.0
116,2020-01-24,308.19,316.73,303.71,306.54,298.3063,6181162,0.0
117,2020-01-17,294.38,308.49,292.51,308.0,299.7271,7671382,0.0
118,2020-01-10,289.79,303.88,287.54,294.34,286.434,7236728,0.0
119,2020-01-03,292.51,299.8,287.64,294.69,286.7746,4234607,0.0
120,2019-12-27,298.38,299.0,292.12,293.7,285.8112,2777820,0.0
121,2019-12-20,286.15,299.39,284.25,297.41,289.4216,9724044,0.0
122,2019-12-13,271.31,288.87,267.06,281.95,274.3768,7893163,1.15
123,2019-12-06,266.48,272.58,255.5,269.86,261.4936,6612655,0.0
124,2019-11-29,264.07,272.06,263.67,266.83,258.5575,5413273,0.0
125,2019-11-22,282.76,285.77,260.12,261.98,253.8579,7686313,0.0
126,2019-11-15,269.66,285.87,267.67,283.68,274.8852,6518823,0.0
127,2019-11-08,280.0,281.72,269.1,272.68,264.2262,6947693,0.0
128,2019-11-01,272.54,282.88,267.23,278.26,269.6332,10017399,0.0
129,2019-10-25,236.98,270.63,231.15,270.05,261.6777,12576585,0.0
130,2019-10-18,236.42,243.58,230.23,233.7,226.4547,7344079,0.0
131,2019-10-11,233.17,240.28,225.0,237.09,229.7396,6807971,0.0
132,2019-10-04,229.73,235.53,225.17,233.27,226.038,7045989,1.15
133,2019-09-27,235.0,244.98,227.46,230.08,221.843,9465516,0.0
134,2019-09-20,232.79,239.4,230.62,235.31,226.8858,8851512,0.0
135,2019-09-13,229.72,237.9,226.49,235.56,227.1268,8580269,0.0
136,2019-09-06,211.0,232.26,209.02,227.92,219.7603,8774645,0.0
137,2019-08-30,204.32,213.05,197.16,210.51,202.9736,6746656,0.0
138,2019-08-23,210.0,211.52,199.75,200.39,193.2159,6200489,0.0
139,2019-08-16,194.39,206.55,193.8,205.11,197.7669,8598596,0.0
140,2019-08-09,197.76,202.39,190.71,195.32,188.3274,10043586,0.0
141,2019-08-02,210.31,217.7,200.47,204.09,196.7835,10100181,0.0
142,2019-07-26,202.88,218.49,202.87,210.75,203.205,10657997,0.0
143,2019-07-19,192.36,200.8,188.11,198.47,191.3647,7338947,0.0
144,2019-07-12,179.2,192.81,178.92,191.24,184.3935,8607562,0.0
145,2019-07-05,194.57,197.95,181.1,183.64,177.0656,6902648,0.0
146,2019-06-28,182.09,189.74,175.58,187.84,181.1152,9980252,0.0
147,2019-06-21,176.79,186.49,172.38,183.03,176.4774,8694572,0.0
148,2019-06-14,188.09,195.29,173.5,176.8,170.4705,9689334,1.1
149,2019-06-07,175.48,189.26,171.04,186.68,178.9602,9966531,0.0
