,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,251.25,252.938,248.8,251.33,251.33,7185594,0.0
1,2022-04-08,246.79,255.475,242.38,251.46,251.46,14503999,0.0
2,2022-04-01,241.91,251.35,239.86,249.25,249.25,12753248,0.0
3,2022-03-25,239.58,241.85,234.07,241.58,241.58,13267680,0.0
4,2022-03-18,226.78,239.19,223.16,238.92,238.92,22563115,0.0
5,2022-03-11,234.31,234.31,217.675,226.87,226.87,27885542,0.0
6,2022-03-04,244.44,245.7199,231.641,235.81,235.81,21697066,1.38
7,2022-02-25,250.01,254.7,239.61,249.45,248.0515,16865575,0.0
8,2022-02-18,255.91,256.92,250.0,250.6,249.1951,13584815,0.0
9,2022-02-11,261.0,262.88,254.73,255.16,253.7295,14098230,0.0
10,2022-02-04,255.02,262.8,254.44,260.06,258.602,12274252,0.0
11,2022-01-28,252.38,256.3453,245.25,256.09,254.6543,21937064,0.0
12,2022-01-21,256.96,258.46,252.9,254.59,253.1627,11321508,0.0
13,2022-01-14,266.715,266.72,257.16,257.71,256.2652,15072303,0.0
14,2022-01-07,269.49,271.15,265.56,267.06,265.5628,12847623,0.0
15,2021-12-31,266.47,269.7198,266.0,268.07,266.5671,7335122,0.0
16,2021-12-23,259.63,267.37,258.43,265.95,264.459,8981393,0.0
17,2021-12-17,264.22,266.89,260.88,261.7,260.2328,17531133,0.0
18,2021-12-10,252.4,265.27,252.37,264.97,263.4845,15151320,0.0
19,2021-12-03,251.85,252.32,243.95,249.33,247.9322,15716492,1.38
20,2021-11-26,252.67,257.79,248.27,250.01,247.2136,10425462,0.0
21,2021-11-19,250.67,254.19,250.225,251.95,249.1319,9811293,0.0
22,2021-11-12,254.78,255.65,248.89,250.67,247.8662,9773144,0.0
23,2021-11-05,245.8,257.53,245.34,254.71,251.861,15106765,0.0
24,2021-10-29,239.23,246.09,236.14,245.55,242.8035,19272292,0.0
25,2021-10-22,242.42,243.93,238.0,238.44,235.773,13582684,0.0
26,2021-10-15,248.1,249.14,239.9,242.25,239.5404,12143003,0.0
27,2021-10-08,242.06,249.95,241.86,247.7,244.9295,10919227,0.0
28,2021-10-01,246.0,248.9,240.25,242.93,240.2128,12403488,0.0
29,2021-09-24,239.88,247.38,236.64,246.42,243.6638,15370768,0.0
30,2021-09-17,240.83,244.63,238.18,242.49,239.7777,14983318,0.0
31,2021-09-10,238.61,241.43,235.95,239.18,236.5047,9566160,0.0
32,2021-09-03,237.34,239.95,234.67,238.82,236.1488,10860698,1.29
33,2021-08-27,239.46,240.39,235.92,237.48,233.555,9234776,0.0
34,2021-08-20,239.0,241.05,236.065,238.49,234.5483,9488412,0.0
35,2021-08-13,235.79,239.0,233.235,238.82,234.8728,9244724,0.0
36,2021-08-06,244.24,244.676,233.05,236.26,232.3551,12023732,0.0
37,2021-07-30,242.0,247.05,239.35,242.71,238.6985,15577383,0.0
38,2021-07-23,232.51,245.05,226.42,242.96,238.9444,15732284,0.0
39,2021-07-16,234.59,239.05,234.38,234.75,230.8701,9883743,0.0
40,2021-07-09,233.66,236.23,231.0,235.68,231.7847,8325491,0.0
41,2021-07-02,232.67,234.11,230.01,233.63,229.7686,11347048,0.0
42,2021-06-25,230.63,235.1571,229.47,232.42,228.5786,10493219,0.0
43,2021-06-18,237.18,237.8099,228.82,229.62,225.8249,13035036,0.0
44,2021-06-11,234.0,237.5,231.16,236.93,233.0141,11154130,0.0
45,2021-06-04,235.98,235.99,230.15,233.38,229.5227,10611489,0.0
46,2021-05-28,231.52,235.08,230.71,233.89,230.0243,14166573,1.29
