,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,326.69,329.36,317.35,325.62,325.62,3088803,0.0
1,2022-04-08,305.44,327.815,302.22,325.84,325.84,6304671,0.0
2,2022-04-01,308.83,309.48,303.19,307.0,307.0,5537442,0.0
3,2022-03-25,299.05,310.48,298.42,310.48,310.48,7106832,0.0
4,2022-03-18,282.81,299.63,279.31,299.05,299.05,9074349,0.0
5,2022-03-11,279.59,284.28,271.12,281.23,281.23,6650410,0.0
6,2022-03-04,270.9,282.34,268.66,281.82,281.82,6612295,0.47
7,2022-02-25,270.81,276.44,260.73,275.38,274.9101,4765191,0.0
8,2022-02-18,269.07,277.14,266.14,270.81,270.3479,5152039,0.0
9,2022-02-11,266.4,282.73,261.29,271.19,270.7272,6868613,0.0
10,2022-02-04,256.26,271.63,252.6147,265.56,265.1068,6651135,0.0
11,2022-01-28,244.37,258.28,237.61,258.21,257.7694,5559026,0.0
12,2022-01-21,255.29,256.44,245.7392,246.62,246.1992,3913775,0.0
13,2022-01-14,245.1,256.85,240.42,256.52,256.0823,4261358,0.0
14,2022-01-07,247.54,251.49,244.065,249.76,249.3338,3998490,0.0
15,2021-12-31,241.0,251.04,241.0,248.57,248.1458,2843839,0.0
16,2021-12-23,232.22,241.54,229.04,240.78,240.3691,3149995,0.0
17,2021-12-17,233.17,236.82,228.19,233.09,232.6922,5434497,0.0
18,2021-12-10,221.89,233.74,219.23,233.09,232.6922,7406613,0.0
19,2021-12-03,222.87,225.62,215.27,218.66,218.2869,5845734,0.47
20,2021-11-26,220.36,229.13,220.02,221.61,220.7532,3612938,0.0
21,2021-11-19,224.84,227.87,219.6125,220.9,220.0459,5744968,0.0
22,2021-11-12,221.96,226.12,218.37,224.83,223.9607,3922047,0.0
23,2021-11-05,208.58,227.805,207.74,221.69,220.8329,6293110,0.0
24,2021-10-29,209.3,210.17,202.61,207.88,207.0763,3771975,0.0
25,2021-10-22,202.94,209.31,200.74,209.09,208.2816,2001330,0.0
26,2021-10-15,200.65,205.58,194.27,204.17,203.3806,3123092,0.0
27,2021-10-08,200.32,204.21,193.89,200.2,199.426,2965365,0.0
28,2021-10-01,202.67,208.48,195.31,200.02,199.2467,3433037,0.0
29,2021-09-24,205.87,205.87,199.775,203.15,202.3646,3334920,0.0
30,2021-09-17,203.22,209.69,202.18,207.75,206.9468,6256822,0.0
31,2021-09-10,205.52,206.91,201.48,202.73,201.9462,2660976,0.0
32,2021-09-03,200.96,207.88,199.78,206.28,205.4825,3397258,0.47
33,2021-08-27,202.01,203.07,195.64,201.12,199.8822,3503538,0.0
34,2021-08-20,197.95,203.81,197.0425,200.41,199.1766,3692721,0.0
35,2021-08-13,199.69,200.8004,192.38,198.43,197.2088,5443689,0.0
36,2021-08-06,203.84,210.0,197.15,199.93,198.6995,6612465,0.0
37,2021-07-30,202.87,206.48,200.56,203.83,202.5755,4367179,0.0
38,2021-07-23,187.37,204.12,186.61,202.63,201.3829,8453596,0.0
39,2021-07-16,187.98,190.87,187.83,189.22,188.0554,6367067,0.0
40,2021-07-09,191.66,191.86,186.66,189.1,187.9362,3801495,0.0
41,2021-07-02,191.39,194.54,190.44,192.58,191.3948,5234125,0.0
42,2021-06-25,185.51,192.94,185.32,191.34,190.1624,9539933,0.0
43,2021-06-18,195.08,195.08,184.43,184.89,183.7521,6561915,0.0
44,2021-06-11,195.8,197.97,190.44,195.5,194.2968,5358783,0.0
45,2021-06-04,189.12,195.32,188.07,194.94,193.7402,4389850,0.0
46,2021-05-28,203.53,203.74,191.0,192.39,191.2059,5747894,0.42
47,2021-05-21,194.56,204.45,192.5758,202.68,200.9938,6410855,0.0
48,2021-05-14,197.01,204.6597,194.02,195.0,193.3777,6884403,0.0
49,2021-05-07,189.51,198.35,180.415,197.61,195.966,7594289,0.0
50,2021-04-30,196.17,196.25,187.03,187.56,185.9996,4113513,0.0
51,2021-04-23,194.23,197.245,192.34,196.1,194.4686,3247572,0.0
52,2021-04-16,189.94,193.36,187.21,193.18,191.5729,4094816,0.0
53,2021-04-09,194.82,195.8778,189.44,190.87,189.2821,3649335,0.0
54,2021-04-01,193.35,198.43,189.66,193.57,191.9596,3812498,0.0
55,2021-03-26,189.93,194.15,186.16,194.09,192.4753,4597040,0.0
56,2021-03-19,186.66,191.77,185.445,189.77,188.1912,5664493,0.0
57,2021-03-12,176.34,187.68,175.41,187.55,185.9897,5151737,0.0
58,2021-03-05,171.15,175.78,169.75,175.11,173.6532,5904519,0.42
59,2021-02-26,177.34,182.45,169.34,169.52,167.7043,5623430,0.0
60,2021-02-19,183.27,184.0,177.385,177.62,175.7176,3964377,0.0
61,2021-02-12,182.23,186.62,180.37,182.24,180.2881,3999127,0.0
62,2021-02-05,176.44,187.37,175.4,183.06,181.0993,6799512,0.0
63,2021-01-29,183.17,185.98,172.77,174.47,172.6013,5428460,0.0
64,2021-01-22,183.98,186.6,180.75,185.01,183.0284,3110864,0.0
65,2021-01-15,182.6,185.4832,179.5779,184.42,182.4447,4017111,0.0
66,2021-01-08,174.28,184.39,170.5,183.55,181.584,7391878,0.0
67,2020-12-31,171.85,176.8937,171.26,173.92,172.0572,3080426,0.0
68,2020-12-24,171.1,172.945,169.09,170.78,168.9508,2438397,0.0
69,2020-12-18,176.5,176.5,170.7264,173.55,171.6911,5588413,0.0
70,2020-12-11,180.1,181.15,173.1,174.66,172.7893,4364636,0.0
71,2020-12-04,180.75,183.54,178.58,180.76,178.8239,5709108,0.42
72,2020-11-27,171.85,181.77,170.54,180.0,177.6573,4395245,0.0
73,2020-11-20,186.85,187.67,168.88,169.87,167.6592,10156198,0.0
74,2020-11-13,180.02,186.03,176.21,182.99,180.6084,6796793,0.0
75,2020-11-06,150.34,174.05,148.22,170.92,168.6955,6807792,0.0
76,2020-10-30,155.08,155.37,141.32,147.49,145.5704,4316262,0.0
77,2020-10-23,156.47,158.8,152.07,156.41,154.3743,3522436,0.0
78,2020-10-16,151.92,158.9175,149.66,156.67,154.631,3990953,0.0
79,2020-10-09,148.0,154.56,145.76,151.29,149.321,5478576,0.0
80,2020-10-02,150.85,151.61,144.58,146.98,145.0671,6723442,0.0
81,2020-09-25,149.04,151.15,145.0,148.51,146.5772,5919474,0.0
82,2020-09-18,151.14,154.685,149.44,152.13,150.15,7114342,0.0
83,2020-09-11,152.3,154.91,149.69,150.37,148.4129,3901376,0.0
84,2020-09-04,153.13,159.06,148.39,152.43,150.4461,6019259,0.42
85,2020-08-28,151.96,155.36,148.04,153.87,151.4528,3493246,0.0
86,2020-08-21,160.0,160.08,149.645,150.97,148.5984,4353848,0.0
87,2020-08-14,151.94,160.0,149.03,158.67,156.1774,6713050,0.0
88,2020-08-07,155.66,160.39,150.7292,152.0,149.6122,5523240,0.0
89,2020-07-31,154.49,157.38,146.77,150.16,147.8011,5354183,0.0
90,2020-07-24,154.81,158.08,151.79,155.34,152.8997,3960720,0.0
91,2020-07-17,143.92,155.65,142.39,154.81,152.3781,4966066,0.0
92,2020-07-10,154.43,154.82,139.76,143.02,140.7733,5567580,0.0
93,2020-07-02,149.35,155.83,149.06,152.73,150.3307,3866058,0.0
94,2020-06-26,156.43,157.48,147.2,148.21,145.8817,7746418,0.0
95,2020-06-19,145.84,158.44,144.4,156.7,154.2384,5982725,0.0
96,2020-06-12,161.21,165.13,144.56,148.25,145.9211,5959853,0.0
97,2020-06-05,158.33,165.04,156.42,161.62,159.0811,9197057,0.0
98,2020-05-29,152.45,159.31,148.82,158.67,156.1774,6037325,0.41
99,2020-05-22,140.14,151.32,139.17,149.42,146.6937,9331467,0.0
100,2020-05-15,138.0,141.79,125.65,136.45,133.9603,9345275,0.0
101,2020-05-08,134.0,138.22,131.35,135.97,133.4891,6074322,0.0
102,2020-05-01,141.55,145.41,132.98,134.7,132.2423,8092506,0.0
103,2020-04-24,140.19,142.25,131.27,139.94,137.3867,8171887,0.0
104,2020-04-17,132.95,141.76,129.16,141.61,139.0262,10209023,0.0
105,2020-04-09,131.12,141.57,128.13,133.32,130.8874,8278843,0.0
106,2020-04-03,127.24,139.64,121.15,125.49,123.2003,12747903,0.0
107,2020-03-27,123.23,132.03,113.71,125.7,123.4065,19865072,0.0
108,2020-03-20,119.39,147.11,112.6,124.97,122.6898,27972179,0.0
109,2020-03-13,132.27,139.87,120.52,132.57,130.1511,72448247,0.0
110,2020-03-06,141.57,154.79,137.1,141.49,138.9084,87767878,0.0
111,2020-02-28,167.03,169.26,137.94,139.86,137.3081,32148790,0.41
112,2020-02-21,168.38,172.18,166.17,170.96,167.3501,16505267,0.0
113,2020-02-14,161.61,169.67,159.78,168.03,164.482,24118043,0.0
114,2020-02-07,143.03,161.93,142.84,156.32,153.0192,9337233,0.0
115,2020-01-31,149.94,153.56,141.91,142.61,139.5987,5833752,0.0
116,2020-01-24,155.8,156.45,149.56,152.62,149.3973,5222041,0.0
117,2020-01-17,143.53,156.97,142.38,156.33,153.029,7249686,0.0
118,2020-01-10,136.04,145.42,135.22,143.81,140.7734,4712225,0.0
119,2020-01-03,139.52,139.85,135.57,136.72,133.8331,2956696,0.0
120,2019-12-27,137.97,139.92,136.96,139.44,136.4956,2539423,0.0
121,2019-12-20,140.97,143.42,134.66,137.64,134.7337,8394410,0.0
122,2019-12-13,142.35,144.98,140.03,140.6,137.6312,4265064,0.0
123,2019-12-06,144.41,144.51,140.37,142.27,139.2659,7320590,0.0
124,2019-11-29,152.88,153.77,144.05,144.64,141.5858,5173610,0.41
125,2019-11-22,148.34,154.79,148.0,152.61,148.9653,7304167,0.0
126,2019-11-15,138.95,148.83,137.81,148.32,144.7777,7939047,0.0
127,2019-11-08,137.28,142.68,134.1,140.2,136.8517,7703272,0.0
128,2019-11-01,146.22,149.5,131.46,137.11,133.8355,10350841,0.0
129,2019-10-25,149.79,153.3,143.9,145.96,142.4741,9055082,0.0
130,2019-10-18,134.73,152.53,133.7,152.26,148.6237,12581383,0.0
131,2019-10-11,130.58,136.18,128.97,134.74,131.5221,6131723,0.0
132,2019-10-04,135.0,138.4,128.26,130.68,127.559,8929943,0.0
133,2019-09-27,146.53,146.53,131.39,135.53,132.2932,9896299,0.0
134,2019-09-20,142.0,148.64,140.9,146.82,143.3136,6790277,0.0
135,2019-09-13,143.79,149.2,139.59,143.53,140.1021,8554619,0.0
136,2019-09-06,137.59,144.04,135.78,143.6,140.1705,5300119,0.0
137,2019-08-30,146.14,147.99,136.63,138.27,134.9678,8388519,0.41
138,2019-08-23,146.68,150.82,143.97,144.85,140.9726,9703145,0.0
139,2019-08-16,139.91,147.61,139.3,145.29,141.4008,7437658,0.0
140,2019-08-09,146.52,147.95,133.06,140.19,136.4373,12668531,0.0
141,2019-08-02,138.94,149.99,137.75,148.13,144.1648,7785614,0.0
142,2019-07-26,139.43,141.36,137.28,138.95,135.2305,4390438,0.0
