,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,156.0,172.46,152.1,169.66,169.66,17002818,0.0
1,2022-04-08,177.24,180.87,150.705,160.84,160.84,31117049,0.0
2,2022-04-01,167.37,187.7099,165.8,176.59,176.59,31289906,0.0
3,2022-03-25,179.91,188.0,163.031,165.92,165.92,36077722,0.0
4,2022-03-18,140.2,180.8,139.73,178.93,178.93,70375754,0.0
5,2022-03-11,135.12,145.8,122.01,138.2,138.2,33300468,0.0
6,2022-03-04,150.98,156.3793,135.91,136.46,136.46,26968681,0.0
7,2022-02-25,142.26,156.42,134.0,151.33,151.33,39594200,0.0
8,2022-02-18,157.5261,159.4999,138.14,145.74,145.74,44744702,0.0
9,2022-02-11,162.2027,168.79,147.57,161.32,161.32,28882400,0.0
10,2022-02-04,160.05,177.57,154.56,163.01,163.01,30883435,0.0
11,2022-01-28,153.47,168.26,138.17,159.47,159.47,52830757,0.0
12,2022-01-21,196.9142,198.82,157.29,160.07,160.07,44619077,0.0
13,2022-01-14,211.37,241.99,200.08,204.73,204.73,47913340,0.0
14,2022-01-07,247.12,249.42,205.23,213.86,213.86,44839277,0.0
15,2021-12-31,243.0,259.1989,233.2,253.98,253.98,40027594,0.0
16,2021-12-23,321.305,321.305,238.5,249.99,249.99,53319239,0.0
17,2021-12-17,257.4,296.39,256.9711,294.8,294.8,42904954,0.0
18,2021-12-10,280.85,288.28,233.51,257.06,257.06,60458167,0.0
19,2021-12-03,370.33,376.65,291.03,306.72,306.72,108816621,0.0
20,2021-11-26,268.07,350.15,264.2,329.63,329.63,61418148,0.0
21,2021-11-19,230.825,274.84,225.63,263.78,263.78,42032596,0.0
22,2021-11-12,233.06,250.57,221.6,231.19,231.19,49714444,0.0
23,2021-11-05,334.99,350.1,210.96,236.99,236.99,110855403,0.0
24,2021-10-29,327.36,356.77,323.27,345.21,345.21,30359588,0.0
25,2021-10-22,322.26,347.87,317.18,326.54,326.54,35675863,0.0
26,2021-10-15,299.32,341.5494,298.1,324.21,324.21,60680778,0.0
27,2021-10-08,308.88,338.0328,293.58,304.91,304.91,78849111,0.0
28,2021-10-01,430.6008,434.0,323.41,341.09,341.09,84663645,0.0
29,2021-09-24,417.5073,458.5,416.511,430.14,430.14,53893090,0.0
30,2021-09-17,448.0,448.8099,406.8704,430.05,430.05,83938714,0.0
31,2021-09-10,409.5,464.85,408.96,449.38,449.38,62267232,0.0
32,2021-09-03,369.0,416.81,362.8001,416.7,416.7,60839463,0.0
33,2021-08-27,390.34,413.8,378.72,382.22,382.22,66274535,0.0
34,2021-08-20,379.27,413.3,349.0,382.98,382.98,96178156,0.0
35,2021-08-13,411.3014,497.49,372.0,389.78,389.78,183361148,0.0
36,2021-08-06,360.0,443.99,343.2,413.72,413.72,110857771,0.0
37,2021-07-30,352.0,362.0,318.29,353.6,353.6,75075853,0.0
38,2021-07-23,284.54,349.45,283.14,348.83,348.83,229424204,0.0
39,2021-07-16,230.98,288.88,229.2,286.43,286.43,77072993,0.0
40,2021-07-09,229.62,234.6,214.07,232.81,232.81,23870223,0.0
41,2021-07-02,223.0,245.7,215.6,234.3,234.3,37060391,0.0
42,2021-06-25,200.86,226.51,200.0,219.94,219.94,53535347,0.0
43,2021-06-18,213.2727,213.4899,193.2016,199.19,199.19,37364208,0.0
44,2021-06-11,207.1026,227.71,202.5,218.85,218.85,56247628,0.0
45,2021-06-04,184.08,207.38,178.8,206.07,206.07,36526825,0.0
46,2021-05-28,162.8813,186.64,161.01,185.01,185.01,38558511,0.0
47,2021-05-21,159.0,169.28,154.51,161.45,161.45,22982257,0.0
48,2021-05-14,164.01,164.7599,146.85,161.38,161.38,34895759,0.0
49,2021-05-07,183.9,189.0,143.56,163.15,163.15,92084435,0.0
50,2021-04-30,171.79,186.8,168.88,178.82,178.82,51360756,0.0
51,2021-04-23,166.61,179.0,153.27,173.63,173.63,53291487,0.0
52,2021-04-16,142.37,171.92,136.36,170.81,170.81,64564391,0.0
53,2021-04-09,132.6,144.0,127.04,140.92,140.92,31484695,0.0
54,2021-04-01,130.11,136.6372,117.3411,132.55,132.55,39161814,0.0
55,2021-03-26,144.19,147.9199,126.42,133.28,133.28,28620024,0.0
56,2021-03-19,136.77,157.75,135.01,143.74,143.74,51326754,0.0
57,2021-03-12,129.15,140.85,122.48,136.99,136.99,33292667,0.0
58,2021-03-05,154.4631,157.7799,121.12,132.19,132.19,60634792,0.0
59,2021-02-26,167.8,170.35,136.0,154.81,154.81,64769174,0.0
60,2021-02-19,182.41,184.18,168.0,174.74,174.74,24996359,0.0
61,2021-02-12,177.0,189.26,176.2,183.74,183.74,39488012,0.0
62,2021-02-05,173.03,177.5,147.1,176.24,176.24,67882325,0.0
63,2021-01-29,138.4,185.98,137.25,173.16,173.16,120383178,0.0
64,2021-01-22,122.1,137.0,120.5,131.02,131.02,55478494,0.0
65,2021-01-15,112.75,133.29,112.62,129.65,129.65,75263762,0.0
66,2021-01-08,107.23,122.82,103.26,112.75,112.75,92472302,0.0
67,2020-12-31,120.04,122.88,102.66,104.47,104.47,101766568,0.0
68,2020-12-24,140.84,147.26,115.0,123.39,123.39,114673620,0.0
69,2020-12-18,163.4,163.7611,134.31,140.23,140.23,152957565,0.0
70,2020-12-11,155.03,170.8,147.2,156.93,156.93,144230076,0.0
71,2020-12-04,144.0,178.5,128.1,152.52,152.52,314941464,0.0
72,2020-11-27,100.77,130.06,93.54,127.03,127.03,98068772,0.0
73,2020-11-20,100.31,103.2,88.6103,97.61,97.61,150156786,0.0
74,2020-11-13,77.75,90.53,73.52,89.39,89.39,85269819,0.0
75,2020-11-06,68.02,74.16,66.55,72.45,72.45,24750160,0.0
76,2020-10-30,70.36,74.539,65.4899,67.47,67.47,34591899,0.0
77,2020-10-23,73.97,74.09,68.06,70.53,70.53,25934547,0.0
78,2020-10-16,73.61,81.37,72.92,73.94,73.94,37611963,0.0
79,2020-10-09,69.64,73.92,69.05,73.0,73.0,26792075,0.0
80,2020-10-02,69.59,75.39,67.25,68.81,68.81,44166309,0.0
81,2020-09-25,68.6,69.73,63.64,69.47,69.47,36201818,0.0
82,2020-09-18,60.15,70.9,60.115,69.87,69.87,55911361,0.0
83,2020-09-11,57.75,60.32,54.21,59.34,59.34,39868839,0.0
84,2020-09-04,67.14,69.35,59.01,62.6,62.6,59307691,0.0
