,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,223.38,225.19,216.855,218.89,218.89,651652,0.0
1,2022-04-08,226.55,228.75,220.04,224.42,224.42,810946,0.0
2,2022-04-01,227.22,234.765,225.39,227.93,227.93,954364,0.0
3,2022-03-25,229.9,231.94,225.25,227.4,227.4,939002,0.0
4,2022-03-18,216.8,231.48,213.61,230.97,230.97,1172124,0.0
5,2022-03-11,226.01,226.6792,214.75,215.05,215.05,1280205,0.0
6,2022-03-04,224.86,230.96,220.18,226.45,226.45,1339198,0.0
7,2022-02-25,228.2,230.982,215.43,227.49,227.49,1525312,0.0
8,2022-02-18,218.64,235.43,217.085,229.51,229.51,14610986,0.51
9,2022-02-11,230.57,236.9,214.905,217.71,217.2273,2101091,0.0
10,2022-02-04,227.39,237.615,223.935,230.69,230.1785,906889,0.0
11,2022-01-28,228.25,234.93,221.4505,227.77,227.265,1008622,0.0
12,2022-01-21,234.1612,240.045,230.995,231.44,230.9269,680645,0.0
13,2022-01-14,237.6,245.51,233.11,238.41,237.8814,824177,0.0
14,2022-01-07,255.1,256.135,237.435,238.09,237.5621,1003920,0.0
15,2021-12-31,253.62,258.765,253.1101,255.27,254.704,510212,0.0
16,2021-12-23,245.32,255.28,241.06,253.66,253.0976,828383,0.51
17,2021-12-17,271.49,271.9,246.05,248.43,247.3654,1893297,0.0
18,2021-12-10,261.5,271.19,261.5,270.67,269.5101,1044594,0.0
19,2021-12-03,261.47,264.26,251.36,260.1,258.9854,901657,0.0
20,2021-11-26,268.45,270.5514,257.28,258.22,257.1134,358855,0.0
21,2021-11-19,267.0,272.2805,263.18,266.96,265.816,521083,0.0
22,2021-11-12,262.48,267.8,248.8095,267.45,266.3039,513338,0.0
23,2021-11-05,254.9,269.87,253.57,261.28,260.1603,727924,0.0
24,2021-10-29,254.65,257.83,245.1942,254.21,253.1206,688276,0.0
25,2021-10-22,243.81,255.98,243.81,254.03,252.9414,672699,0.0
26,2021-10-15,237.33,247.38,235.3,244.72,243.6713,776969,0.0
27,2021-10-08,240.5,243.405,234.09,237.98,236.9602,935288,0.0
28,2021-10-01,243.72,245.71,235.27,239.5,238.4737,780647,0.0
29,2021-09-24,238.64,245.2246,237.8,243.89,242.8448,693966,0.0
30,2021-09-17,242.89,244.93,239.115,241.84,240.8036,1206903,0.0
31,2021-09-10,241.67,245.905,239.455,241.09,240.0568,793040,0.0
32,2021-09-03,233.27,245.61,233.05,241.45,240.4153,1509490,0.0
33,2021-08-27,231.07,235.78,230.07,233.54,232.5392,732726,0.51
34,2021-08-20,227.94,230.58,225.63,230.26,228.7682,518158,0.0
35,2021-08-13,224.18,229.12,220.74,228.59,227.109,709515,0.0
36,2021-08-06,227.05,229.795,224.3,224.92,223.4628,593867,0.0
37,2021-07-30,224.99,226.995,220.4,226.13,224.665,677150,0.0
38,2021-07-23,219.33,226.755,216.81,224.99,223.5324,659450,0.0
39,2021-07-16,220.51,224.16,219.4,221.87,220.4326,762444,0.0
40,2021-07-09,221.42,221.495,215.22,221.3,219.8663,1032410,0.0
41,2021-07-02,221.63,222.34,217.585,220.2,218.7734,982643,0.0
42,2021-06-25,217.31,223.12,216.34,220.67,219.2404,2143399,0.0
43,2021-06-18,221.85,223.61,212.52,215.26,213.8654,1032404,0.0
44,2021-06-11,224.37,224.71,220.7425,222.4,220.9591,910074,0.0
45,2021-06-04,223.54,224.88,218.2934,224.16,222.7077,796251,0.0
46,2021-05-28,201.81,223.49,200.085,221.69,220.2537,2166778,0.39
47,2021-05-21,205.97,206.98,197.2,201.83,200.1369,954731,0.0
48,2021-05-14,209.67,211.68,199.85,205.87,204.143,776377,0.0
49,2021-05-07,212.73,213.37,206.6,208.83,207.0782,947848,0.0
50,2021-04-30,214.98,223.37,210.24,211.41,209.6365,1033818,0.0
51,2021-04-23,205.87,215.0,204.7475,213.93,212.1354,855225,0.0
52,2021-04-16,203.14,206.97,201.14,206.22,204.4901,586538,0.0
53,2021-04-09,203.06,204.8,198.56,203.12,201.4161,774314,0.0
54,2021-04-01,202.69,207.62,198.07,202.38,200.6823,875268,0.0
55,2021-03-26,201.75,203.955,197.01,203.59,201.8821,1065464,0.0
56,2021-03-19,202.18,208.74,200.32,202.16,200.4641,1393953,0.0
