,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-14,83.25,85.29,80.32,84.77,84.77,22160256,0.0
1,2022-04-08,83.51,83.72,79.16,82.12,82.12,31731330,0.0
2,2022-04-01,77.86,83.02,75.13,82.78,82.78,31359936,0.0
3,2022-03-25,74.79,80.22,74.66,78.95,78.95,32014376,0.0
4,2022-03-18,74.66,74.86,70.91,73.96,73.96,62270308,0.0
5,2022-03-11,74.42,80.75,72.8,76.89,76.89,60166145,0.55
6,2022-03-04,68.29,74.67,65.69,74.28,73.7461,56020826,0.0
7,2022-02-25,68.0,70.37,65.42,67.9,67.412,41635929,0.0
8,2022-02-18,64.17,68.11,62.26,67.67,67.1836,42526656,0.0
9,2022-02-11,61.45,64.275,60.31,63.86,63.401,39267014,0.0
10,2022-02-04,60.0,62.66,59.84,60.93,60.4921,31484543,0.0
11,2022-01-28,62.01,63.92,58.941,59.86,59.4297,37030384,0.0
12,2022-01-21,60.92,65.49,60.35,63.09,62.6365,40558511,0.0
13,2022-01-14,59.21,61.87,58.93,61.22,60.78,24159849,0.0
14,2022-01-07,61.165,61.75,57.87,59.43,59.0028,35738362,0.0
15,2021-12-31,59.28,62.175,59.0903,62.02,61.5742,24384790,0.0
16,2021-12-23,58.7,59.715,57.155,59.53,59.1021,22580264,0.0
17,2021-12-17,56.5,60.57,53.16,59.24,58.8142,64477209,0.0
18,2021-12-10,54.8,56.765,54.79,56.1,55.6968,29042494,0.55
19,2021-12-03,55.67,56.52,52.6,54.67,53.7525,40233292,0.0
20,2021-11-26,55.56,56.505,54.61,55.94,55.0012,19991598,0.0
21,2021-11-19,58.8,59.47,56.35,56.55,55.6009,22322813,0.0
22,2021-11-12,56.83,59.38,55.676,58.73,57.7444,29379029,0.0
23,2021-11-05,53.78,56.415,53.54,56.36,55.4141,32176701,0.0
24,2021-10-29,58.38,58.6,53.99,54.0,53.0937,35307813,0.0
25,2021-10-22,56.8,59.26,56.17,57.61,56.6432,25536388,0.0
26,2021-10-15,54.65,57.94,54.01,57.03,56.0729,34065240,0.0
27,2021-10-08,53.67,55.75,53.0325,54.31,53.3985,29334385,0.0
28,2021-10-01,53.87,55.1,53.26,53.56,52.6611,31093149,0.0
29,2021-09-24,54.82,55.64,53.52,53.87,52.9659,32924517,0.0
30,2021-09-17,57.03,57.8901,54.54,55.22,54.2933,32226490,0.0
31,2021-09-10,59.12,59.37,56.92,56.99,56.0336,18997371,0.55
32,2021-09-03,58.43,60.13,57.27,59.67,58.1133,29314939,0.0
33,2021-08-27,57.16,58.245,56.33,58.19,56.6719,20558246,0.0
34,2021-08-20,58.84,59.2699,56.15,56.35,54.8799,26658404,0.0
35,2021-08-13,59.16,59.9,57.96,58.84,57.3049,28450092,0.0
36,2021-08-06,62.56,63.46,59.16,59.82,58.2594,23798701,0.0
37,2021-07-30,60.11,63.45,59.86,62.82,61.1811,23831072,0.0
38,2021-07-23,61.04,61.88,59.03,60.11,58.5418,31929443,0.0
39,2021-07-16,63.57,64.71,61.37,61.73,60.1196,24883635,0.0
40,2021-07-09,64.38,64.415,62.24,63.98,62.3109,19623907,0.0
41,2021-07-02,62.74,64.11,61.63,63.36,61.707,26568866,0.0
42,2021-06-25,63.24,63.88,62.265,62.68,61.0448,36501338,0.0
43,2021-06-18,69.39,70.181,62.535,62.62,60.9863,57206061,0.0
44,2021-06-11,70.93,71.72,69.89,70.31,68.4757,25092921,0.0
45,2021-06-04,73.6,74.23,70.42,71.45,69.586,24824702,0.55
46,2021-05-28,73.85,74.51,72.75,73.48,71.0257,32987071,0.0
47,2021-05-21,71.25,75.31,70.7102,73.53,71.074,50883198,0.0
48,2021-05-14,68.5,70.92,67.02,70.75,68.3869,32980858,0.0
49,2021-05-07,63.48,67.96,63.14,67.33,65.0811,32818188,0.0
50,2021-04-30,65.73,65.81,60.85,62.41,60.3254,27607805,0.0
51,2021-04-23,65.2,66.99,64.125,65.72,63.5249,26094304,0.0
52,2021-04-16,61.25,65.87,60.43,65.41,63.2252,29576511,0.0
53,2021-04-09,62.0,63.43,60.82,61.51,59.4555,29899551,0.0
54,2021-04-01,61.23,62.21,59.45,61.81,59.7455,26243224,0.0
55,2021-03-26,61.22,61.62,59.255,61.5,59.4458,30540461,0.0
56,2021-03-19,59.57,63.63,59.375,61.93,59.8615,67064211,0.0
57,2021-03-12,56.86,59.02,55.625,58.99,57.0197,32674397,0.0
58,2021-03-05,54.99,57.39,54.28,56.74,54.8448,39473113,0.55
59,2021-02-26,57.14,57.7,54.18,54.38,52.0463,40079764,0.0
60,2021-02-19,58.53,58.64,56.01,56.67,54.238,32565650,0.0
61,2021-02-12,59.97,60.92,57.55,58.94,56.4106,24278664,0.0
62,2021-02-05,61.11,61.21,56.6,59.3,56.7551,41953053,0.0
63,2021-01-29,62.03,62.43,58.64,59.6,57.0423,30794846,0.0
64,2021-01-22,62.4,64.05,60.39,61.75,59.1,21330881,0.0
65,2021-01-15,61.63,63.675,61.4129,61.86,59.2053,27144289,0.0
66,2021-01-08,61.9,65.78,61.66,62.79,60.0954,39060966,0.0
67,2020-12-31,61.28,61.635,59.42,59.89,57.3198,14770975,0.0
68,2020-12-24,60.61,61.24,59.14,60.48,57.8845,15701511,0.0
69,2020-12-18,58.86,62.29,57.53,60.5,57.9036,33766463,0.0
70,2020-12-11,59.66,62.12,58.58,58.87,56.3436,28772109,0.4
71,2020-12-04,57.88,60.61,57.46,59.44,56.5072,38325795,0.0
72,2020-11-27,60.88,61.22,56.55,58.48,55.5946,31529802,0.0
73,2020-11-20,65.4,66.1155,60.43,61.65,58.6082,26056289,0.0
74,2020-11-13,64.25,66.51,62.87,65.71,62.4678,34746520,0.0
75,2020-11-06,63.25,68.45,62.61,68.14,64.7779,37378475,0.0
76,2020-10-30,59.97,62.97,58.29,62.84,59.7394,34289391,0.0
77,2020-10-23,63.15,63.34,59.84,60.47,57.4864,21180038,0.0
78,2020-10-16,62.71,64.33,61.625,62.67,59.5778,19954697,0.0
79,2020-10-09,62.3,63.95,60.77,62.82,59.7204,24357748,0.0
80,2020-10-02,62.0,64.1,61.305,62.29,59.2166,27896524,0.0
81,2020-09-25,63.4,64.34,59.28,61.42,58.3895,35177339,0.0
82,2020-09-18,66.65,68.57,64.54,64.71,61.5172,34030673,0.0
83,2020-09-11,64.38,68.849,63.425,66.22,62.9527,20574537,0.25
84,2020-09-04,66.98,68.55,63.35,65.35,61.8986,33688016,0.0
85,2020-08-28,66.45,67.09,63.26,66.71,63.1868,22199036,0.0
86,2020-08-21,66.12,69.81,65.22,65.57,62.107,29860592,0.0
87,2020-08-14,69.25,70.4,62.65,63.85,60.4778,34786118,0.0
88,2020-08-07,69.2,72.22,67.3,68.91,65.2706,34304179,0.0
89,2020-07-31,68.69,70.3,64.53,69.2,65.5453,42954194,0.0
90,2020-07-24,63.48,67.08,63.21,66.75,63.2247,38573358,0.0
91,2020-07-17,62.57,63.16,59.05,62.92,59.5969,34031712,0.0
92,2020-07-10,61.85,64.54,60.5,61.88,58.6119,43212853,0.0
93,2020-07-02,59.48,61.99,58.66,60.96,57.7405,35461335,0.0
94,2020-06-26,58.34,60.09,57.47,59.34,56.206,59802295,0.0
95,2020-06-19,54.09,57.57,53.16,56.92,53.9138,61981714,0.0
96,2020-06-12,54.39,59.88,53.5,55.45,52.5215,58062368,0.0
97,2020-06-05,58.95,60.91,52.33,54.76,51.8679,50992855,0.25
98,2020-05-29,61.73,61.75,55.75,58.47,55.1359,58307243,0.0
99,2020-05-22,68.14,69.13,62.3,63.05,59.4547,35038176,0.0
100,2020-05-15,64.07,68.47,61.83,67.9,64.0282,34075286,0.0
101,2020-05-08,62.1,66.06,61.21,64.55,60.8692,36281945,0.0
102,2020-05-01,63.26,63.68,58.21,60.99,57.5122,32025794,0.0
103,2020-04-24,59.13,64.65,57.64,63.11,59.5113,40933657,0.0
104,2020-04-17,57.22,61.53,56.33,59.23,55.8526,48970604,0.0
105,2020-04-09,48.43,57.7,48.43,57.31,54.042,38622253,0.0
106,2020-04-03,46.4,49.75,44.59,47.15,44.4614,45041272,0.0
