,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-14,466.38,470.95,459.315,467.2,467.2,3184238,0.0
1,2022-04-08,455.43,477.26,444.365,463.66,463.66,3765904,0.0
2,2022-04-01,453.86,457.93,431.38,454.79,454.79,3526450,0.0
3,2022-03-25,435.24,460.43,432.11,458.18,458.18,3740210,0.0
4,2022-03-18,439.3,448.37,416.23,427.95,427.95,6407581,0.0
5,2022-03-11,472.42,490.8215,435.69,436.3,436.3,9199693,0.0
6,2022-03-04,414.31,472.94,413.93,468.57,468.57,9737613,0.0
7,2022-02-25,394.87,411.08,384.84,409.67,409.67,4186546,1.57
8,2022-02-18,397.0,401.36,380.3,391.25,389.7563,5944012,0.0
9,2022-02-11,370.54,401.22,368.205,399.32,397.7955,4528854,0.0
10,2022-02-04,376.76,378.14,364.62,369.75,368.3384,4013551,0.0
11,2022-01-28,398.0,408.75,369.34,380.2,378.7485,6121230,0.0
12,2022-01-21,403.335,408.97,395.89,398.81,397.2875,3114278,0.0
13,2022-01-14,405.0,406.84,393.65,403.45,401.9097,3937673,0.0
14,2022-01-07,386.95,401.15,382.74,400.42,398.8913,4148463,0.0
15,2021-12-31,381.49,388.21,381.19,387.07,385.5923,1813492,0.0
16,2021-12-23,376.21,384.17,367.0,381.17,379.7148,2984766,0.0
17,2021-12-17,371.22,383.07,370.9,377.46,376.019,4344586,0.0
18,2021-12-10,361.22,371.855,360.0101,371.06,369.6434,3716822,0.0
19,2021-12-03,355.32,358.8,345.91,357.84,356.4739,3968200,0.0
20,2021-11-26,354.44,368.3,351.73,353.98,352.6286,2850175,1.57
21,2021-11-19,360.5,361.59,345.9,353.13,350.2285,4775345,0.0
22,2021-11-12,365.0,366.898,357.0,359.65,356.6949,2563989,0.0
23,2021-11-05,357.0,366.5399,349.5,364.37,361.3761,4475660,0.0
24,2021-10-29,405.62,408.03,352.0,357.22,354.2849,6435734,0.0
25,2021-10-22,393.9,406.31,392.54,406.21,402.8724,2131431,0.0
26,2021-10-15,390.04,396.72,383.58,395.36,392.1115,3356235,0.0
27,2021-10-08,361.65,390.935,361.49,389.72,386.5178,3690133,0.0
28,2021-10-01,356.64,366.0,355.81,360.92,357.9545,3711977,0.0
29,2021-09-24,346.97,357.14,344.89,355.7,352.7774,3209908,0.0
30,2021-09-17,355.74,357.55,347.02,350.24,347.3622,4594275,0.0
31,2021-09-10,363.54,365.515,352.86,354.1,351.1905,3358037,0.0
32,2021-09-03,364.75,369.3,363.91,365.93,362.9233,2876857,0.0
33,2021-08-27,365.0,368.4576,360.78,364.84,361.8423,2503389,1.57
34,2021-08-20,362.46,371.76,359.26,363.0,358.4748,2980887,0.0
35,2021-08-13,361.72,367.35,358.87,363.11,358.5834,2272753,0.0
36,2021-08-06,363.82,367.36,356.51,362.11,357.5959,2417216,0.0
37,2021-07-30,357.92,369.84,355.3,363.02,358.4945,3498699,0.0
38,2021-07-23,361.37,363.32,350.64,361.31,356.8058,3438548,0.0
39,2021-07-16,370.16,373.98,361.34,362.81,358.2871,3472118,0.0
40,2021-07-09,368.03,373.51,362.75,371.82,367.1848,1908941,0.0
41,2021-07-02,373.39,373.39,360.0,369.2,364.5975,3117637,0.0
42,2021-06-25,369.8,375.41,367.54,373.31,368.6563,5671138,0.0
43,2021-06-18,372.45,378.18,365.24,367.19,362.6125,5544569,0.0
44,2021-06-11,376.4,378.0,368.13,375.06,370.3844,3805813,0.0
45,2021-06-04,369.22,379.0299,364.49,377.51,372.8039,3359069,0.0
46,2021-05-28,372.7,374.38,365.4,365.87,361.309,3521201,1.57
47,2021-05-21,372.5,377.02,363.52,370.46,364.2786,3539526,0.0
48,2021-05-14,373.3,378.61,362.54,371.61,365.4094,4187524,0.0
49,2021-05-07,352.04,375.93,352.04,370.63,364.4458,5658739,0.0
50,2021-04-30,342.05,356.88,336.0255,354.44,348.5259,4990396,0.0
51,2021-04-23,347.0,347.25,340.1101,342.04,336.3328,4107688,0.0
52,2021-04-16,340.0,347.82,337.71,346.43,340.6496,4968564,0.0
53,2021-04-09,322.9,340.65,322.9,339.95,334.2777,4871180,0.0
54,2021-04-01,319.7,326.1462,319.7,322.24,316.8632,3667839,0.0
55,2021-03-26,308.04,323.19,307.31,319.02,313.6969,5507536,0.0
56,2021-03-19,304.01,316.45,301.3,308.65,303.5,5784354,0.0
57,2021-03-12,303.39,310.17,295.87,301.79,296.7544,5391462,0.0
58,2021-03-05,292.55,304.98,292.55,300.91,295.8891,6167427,0.0
59,2021-02-26,295.1,306.48,291.6,291.66,286.7934,6194314,1.45
60,2021-02-19,296.87,298.85,288.08,297.24,290.8344,3972969,0.0
61,2021-02-12,301.0,306.65,296.11,297.36,290.9519,5404628,0.0
62,2021-02-05,288.43,304.65,287.6,298.79,292.351,6966557,0.0
63,2021-01-29,299.68,305.2,282.88,286.61,280.4335,6902172,0.0
64,2021-01-22,303.5,304.0,294.55,298.16,291.7346,4311286,0.0
65,2021-01-15,287.76,308.84,287.15,300.75,294.2688,6993473,0.0
66,2021-01-08,304.07,304.24,286.6,288.33,282.1165,6581465,0.0
67,2020-12-31,300.51,305.55,299.15,304.72,298.1532,2176211,0.0
68,2020-12-24,299.03,302.84,292.76,299.6,293.1436,3513490,0.0
69,2020-12-18,301.98,306.99,297.75,303.13,296.5975,6557539,0.0
70,2020-12-11,306.8,308.64,295.05,300.57,294.0927,4428480,0.0
71,2020-12-04,305.3,309.87,297.74,307.23,300.6092,4543334,0.0
72,2020-11-27,309.23,314.135,305.3,306.03,299.435,2757346,1.45
73,2020-11-20,315.38,316.42,305.2,306.42,298.4028,3972008,0.0
74,2020-11-13,315.0,317.6,300.07,311.71,303.5543,4502410,0.0
75,2020-11-06,294.48,324.257,292.745,301.36,293.4751,5758259,0.0
76,2020-10-30,305.4,312.35,285.13,289.82,282.2371,6103993,0.0
77,2020-10-23,316.04,318.89,302.99,308.43,300.3602,4892812,0.0
78,2020-10-16,314.52,319.725,311.405,316.24,307.9658,4838514,0.0
79,2020-10-09,315.85,322.47,308.89,315.28,307.0309,4858149,0.0
80,2020-10-02,330.54,333.56,307.12,313.95,305.7357,5307987,0.0
81,2020-09-25,337.93,338.56,321.1688,328.0,319.4181,3379552,0.0
82,2020-09-18,340.75,346.885,334.73,341.5,332.5649,2877771,0.0
83,2020-09-11,339.89,342.76,329.41,338.88,330.0135,2318218,0.0
84,2020-09-04,343.2,352.12,337.11,339.03,330.1595,3133942,0.0
85,2020-08-28,338.7,349.23,338.0223,344.75,335.7299,2661382,1.45
86,2020-08-21,341.77,344.0,336.03,337.86,327.6421,2394489,0.0
87,2020-08-14,330.36,345.41,330.36,342.06,331.7151,4069399,0.0
88,2020-08-07,324.58,332.0,320.86,329.27,319.3119,3898466,0.0
89,2020-07-31,311.01,329.46,305.88,325.01,315.1807,5240421,0.0
90,2020-07-24,306.75,318.785,301.25,312.69,303.2333,4252705,0.0
91,2020-07-17,294.42,307.69,287.52,306.84,297.5602,6127786,0.0
92,2020-07-10,313.05,313.5,285.49,292.0,283.169,5622194,0.0
93,2020-07-02,304.82,313.24,303.33,309.97,300.5956,2874537,0.0
94,2020-06-26,311.93,317.0,294.0,301.86,292.7309,5606486,0.0
95,2020-06-19,310.75,329.47,308.55,312.66,303.2042,4863243,0.0
96,2020-06-12,341.58,349.27,313.08,317.68,308.0724,4087809,0.0
97,2020-06-05,335.63,346.59,325.05,342.1,331.7539,6262282,0.0
98,2020-05-29,333.21,348.78,323.47,335.2,325.0625,3999355,1.45
99,2020-05-22,330.18,335.19,319.71,325.91,314.6922,3853855,0.0
100,2020-05-15,326.1,332.53,307.33,321.63,310.5595,5505568,0.0
101,2020-05-08,326.36,331.94,319.76,327.65,316.3723,3000680,0.0
102,2020-05-01,341.96,351.42,321.13,328.06,316.7682,5492144,0.0
103,2020-04-24,353.66,354.38,332.0,339.31,327.631,3849877,0.0
104,2020-04-17,336.71,357.12,334.14,356.3,344.0362,4106783,0.0
105,2020-04-09,320.0,343.31,319.5,336.65,325.0625,4180999,0.0
106,2020-04-03,317.41,322.92,290.62,313.61,302.8156,6364700,0.0
107,2020-03-27,280.85,321.92,263.31,312.15,301.4058,7697324,0.0
108,2020-03-20,274.59,325.85,274.59,284.02,274.2441,8892895,0.0
109,2020-03-13,306.94,335.14,280.0,314.5,303.6749,9499456,0.0
110,2020-03-06,330.46,347.99,315.84,328.96,317.6372,6523864,0.0
111,2020-02-28,357.99,365.85,313.98,328.84,317.5214,8364701,0.0
112,2020-02-21,367.7,374.39,358.03,365.01,352.4464,3550595,1.32
113,2020-02-14,361.05,371.98,357.62,370.94,356.8817,3833140,0.0
114,2020-02-07,367.33,370.0,358.8,361.42,347.7225,4836107,0.0
115,2020-01-31,378.36,385.005,369.18,374.57,360.3741,4463040,0.0
116,2020-01-24,379.38,384.18,373.96,381.64,367.1762,4122451,0.0
117,2020-01-17,375.73,384.68,373.08,379.97,365.5695,4135294,0.0
118,2020-01-10,379.95,382.26,367.1,374.39,360.2009,6231401,0.0
119,2020-01-03,347.7,375.82,342.73,375.01,360.7974,5025493,0.0
120,2019-12-27,348.54,350.9,345.42,346.44,333.3102,1671203,0.0
121,2019-12-20,344.33,347.27,338.01,345.91,332.8003,5775224,0.0
122,2019-12-13,344.76,349.84,338.63,344.65,331.5881,4354761,0.0
123,2019-12-06,351.97,352.99,338.73,344.76,331.6939,4801557,0.0
124,2019-11-29,350.33,356.62,348.86,351.77,338.4382,3289149,1.32
125,2019-11-22,355.88,358.56,346.79,349.16,334.6713,3981331,0.0
126,2019-11-15,348.6,359.83,347.42,356.66,341.8601,3152308,0.0
127,2019-11-08,353.65,353.65,335.94,350.11,335.5819,7760273,0.0
128,2019-11-01,345.74,355.96,344.28,352.13,337.518,5013825,0.0
129,2019-10-25,352.61,360.23,340.2,345.0,330.6839,6533499,0.0
130,2019-10-18,363.05,369.3,347.74,349.62,335.1122,5262556,0.0
