,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-14,77.68,79.495,77.37,78.69,78.69,5715826,0.0
1,2022-04-08,82.08,82.64,77.7,77.91,77.91,9163705,0.0
2,2022-04-01,85.36,87.51,82.22,82.7,82.7,7959573,0.0
3,2022-03-25,84.16,85.75,82.47,85.68,85.68,6532500,0.0
4,2022-03-18,76.06,85.48,75.81,84.22,84.22,17424798,0.0
5,2022-03-11,79.33,79.69,73.2,76.25,76.25,11684933,0.7
6,2022-03-04,82.75,84.785,79.385,79.73,79.0107,10383021,0.0
7,2022-02-25,83.79,84.97,80.4,84.26,83.4998,6979637,0.0
8,2022-02-18,85.03,87.07,83.55,84.12,83.3611,8215664,0.0
9,2022-02-11,76.97,91.61,76.57,84.8,84.035,16857809,0.0
10,2022-02-04,74.0,78.17,74.0,76.74,76.0477,8701588,0.0
11,2022-01-28,74.47,76.72,72.455,74.63,73.9567,8072911,0.0
12,2022-01-21,79.3,79.82,74.61,75.6,74.918,6717794,0.0
13,2022-01-14,78.515,79.67,76.3,79.6,78.8819,10221226,0.0
14,2022-01-07,73.64,79.24,73.33,78.39,77.6828,10942216,0.0
15,2021-12-31,72.07,74.47,71.735,73.27,72.609,5048676,0.0
16,2021-12-23,71.32,72.5,70.07,72.19,71.5387,7518084,0.7
17,2021-12-17,70.65,74.29,69.95,73.03,71.6592,15519305,0.0
18,2021-12-10,70.3,71.17,69.25,70.91,69.579,10187092,0.0
19,2021-12-03,68.16,70.51,66.1,69.04,67.7441,15079002,0.0
20,2021-11-26,67.33,69.5,65.76,67.75,66.4783,6333256,0.0
21,2021-11-19,69.0,69.9,66.425,67.12,65.8602,7296306,0.0
22,2021-11-12,69.2,70.78,68.16,68.93,67.6362,6260035,0.0
23,2021-11-05,68.67,69.415,66.43,68.8,67.5086,9468900,0.0
24,2021-10-29,70.8,71.415,67.79,68.08,66.8021,8356972,0.0
25,2021-10-22,76.03,77.39,70.4,70.96,69.6281,13870972,0.0
26,2021-10-15,75.4,77.639,73.16,76.57,75.1328,7145791,0.0
27,2021-10-08,73.79,76.37,73.76,75.22,73.8081,7487771,0.0
28,2021-10-01,75.2,76.46,72.375,74.13,72.7386,6979529,0.0
29,2021-09-24,71.61,75.18,70.8,74.73,73.3273,9738655,0.7
30,2021-09-17,72.35,74.469,71.87,73.09,71.0226,7285214,0.0
31,2021-09-10,73.72,74.26,71.62,71.67,69.6427,4322613,0.0
32,2021-09-03,73.56,74.425,72.02,73.74,71.6542,6241424,0.0
33,2021-08-27,72.17,73.3,71.43,73.19,71.1198,5357841,0.0
34,2021-08-20,75.04,76.06,70.34,71.64,69.6136,7975374,0.0
35,2021-08-13,73.76,76.57,72.81,75.45,73.3158,5102621,0.0
36,2021-08-06,73.22,74.74,71.4,74.08,71.9846,8105733,0.0
