,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,60.55,61.36,57.6,59.62,59.62,75797280,0.0
1,2022-04-08,58.71,62.09,55.1,61.8,61.8,136067718,0.0
2,2022-04-01,56.82,59.84,54.51,58.11,58.11,133341439,0.0
3,2022-03-25,57.975,63.24,57.18,58.71,58.71,192579050,0.0
4,2022-03-18,55.75,58.195,52.28,56.24,56.24,246030199,0.0
5,2022-03-11,57.71,59.6,51.03,57.95,57.95,427454201,0.13
6,2022-03-04,38.53,56.45,38.24,56.15,56.0233,315669558,0.0
7,2022-02-25,41.0,41.09,37.555,38.74,38.6526,98029709,0.0
8,2022-02-18,42.6,42.77,38.81,39.56,39.4708,93021647,0.0
9,2022-02-11,40.47,43.155,38.97,42.98,42.883,94497762,0.0
10,2022-02-04,37.69,42.31,36.51,40.8,40.708,98051701,0.0
11,2022-01-28,32.6,38.93,31.37,37.57,37.4853,115510898,0.0
12,2022-01-21,36.09,37.0,33.1,33.75,33.6739,76996647,0.0
13,2022-01-14,33.09,35.62,31.93,35.51,35.4299,87028404,0.0
14,2022-01-07,29.21,33.818,29.15,33.21,33.1351,96358214,0.0
15,2021-12-31,28.61,30.38,28.2,28.99,28.9246,47408370,0.0
16,2021-12-23,26.9,29.37,26.05,28.85,28.7849,51214985,0.0
17,2021-12-17,30.2,30.39,27.225,28.04,27.9767,82302002,0.0
18,2021-12-10,29.75,31.49,29.0,30.77,30.7006,55090256,0.01
19,2021-12-03,30.8,31.27,27.82,29.16,29.0846,89273074,0.0
20,2021-11-26,29.09,32.478,27.85,29.7,29.6232,72338713,0.0
21,2021-11-19,31.62,32.345,28.81,29.12,29.0447,67143082,0.0
22,2021-11-12,33.92,35.075,31.43,32.08,31.9971,65615443,0.0
23,2021-11-05,34.32,35.35,32.73,33.42,33.3336,78548661,0.0
24,2021-10-29,34.56,35.75,33.108,33.53,33.4433,80162227,0.0
25,2021-10-22,32.92,33.97,32.21,33.93,33.8423,84413836,0.0
26,2021-10-15,34.22,34.57,31.56,31.66,31.5781,84469494,0.0
27,2021-10-08,31.64,33.981,31.26,33.63,33.543,117492653,0.0
28,2021-10-01,29.02,31.17,29.0,31.15,31.0695,110805747,0.0
29,2021-09-24,25.74,28.45,24.96,28.1,28.0273,86031386,0.0
30,2021-09-17,25.4,28.08,25.39,26.94,26.8703,102852732,0.0
31,2021-09-10,25.65,26.38,24.39,24.98,24.9154,47606314,0.01
32,2021-09-03,25.83,26.93,24.855,25.92,25.8427,77565238,0.0
33,2021-08-27,22.875,25.79,22.8,25.66,25.5834,71748330,0.0
34,2021-08-20,25.2,25.26,21.62,21.95,21.8845,92519613,0.0
35,2021-08-13,25.62,26.975,25.34,25.79,25.7131,61631554,0.0
36,2021-08-06,26.1,27.08,25.22,26.39,26.3113,75714116,0.0
37,2021-07-30,26.69,27.6,25.89,26.1,26.0221,62517632,0.0
38,2021-07-23,24.39,27.55,23.9,26.58,26.5007,87039155,0.0
39,2021-07-16,29.63,30.63,25.87,25.94,25.8626,81906774,0.0
40,2021-07-09,32.51,32.57,28.5,30.24,30.1498,71193482,0.0
41,2021-07-02,32.61,33.5,30.99,32.58,32.4828,79640065,0.0
42,2021-06-25,28.16,33.01,28.16,32.91,32.8118,98291219,0.0
43,2021-06-18,28.66,30.72,27.82,27.99,27.9065,132789225,0.0
44,2021-06-11,29.32,29.79,27.915,28.33,28.2455,62610456,0.01
45,2021-06-04,26.67,30.05,26.66,29.14,29.0428,91613937,0.0
46,2021-05-28,25.38,26.251,24.545,25.96,25.8734,70977297,0.0
47,2021-05-21,25.24,26.828,24.49,25.12,25.0362,79148097,0.0
48,2021-05-14,27.71,28.13,23.32,25.1,25.0163,116961237,0.0
49,2021-05-07,25.65,27.54,25.1191,27.39,27.2987,80368370,0.0
50,2021-04-30,24.43,26.98,24.41,25.36,25.2754,80205457,0.0
51,2021-04-23,24.48,25.11,22.4,24.65,24.5678,76677712,0.0
52,2021-04-16,24.78,26.05,23.92,24.38,24.2987,77921622,0.0
53,2021-04-09,27.0,27.15,24.24,24.59,24.508,91958168,0.0
54,2021-04-01,27.31,27.8241,26.36,27.38,27.2887,67007029,0.0
55,2021-03-26,27.82,28.23,25.35,27.76,27.6674,84846752,0.0
56,2021-03-19,30.04,30.3076,26.51,28.1,28.0063,106701309,0.0
57,2021-03-12,31.68,31.9,28.21,30.63,30.5279,108753065,0.01
58,2021-03-05,27.37,32.52,27.01,31.23,31.115,134642866,0.0
59,2021-02-26,25.99,28.683,24.42,26.61,26.512,114890706,0.0
60,2021-02-19,26.66,27.18,25.0301,25.42,25.3264,64493981,0.0
61,2021-02-12,23.02,25.79,23.0,25.39,25.2965,101987258,0.0
62,2021-02-05,20.63,23.14,19.8,22.56,22.4769,73912957,0.0
63,2021-01-29,21.0,22.42,19.46,20.06,19.9861,96635056,0.0
64,2021-01-22,23.05,23.75,20.26,21.49,21.4109,73642334,0.0
65,2021-01-15,19.25,24.6,19.0,22.39,22.3075,126437454,0.0
66,2021-01-08,17.75,21.15,17.32,20.08,20.0061,135525159,0.0
67,2020-12-31,17.72,18.14,17.09,17.31,17.2463,63855450,0.0
68,2020-12-24,17.01,18.385,16.875,17.67,17.6049,84421750,0.0
69,2020-12-18,21.43,21.65,18.45,18.52,18.4518,135936709,0.0
70,2020-12-11,17.83,21.61,17.55,20.89,20.8131,193040077,0.01
71,2020-12-04,16.24,18.61,14.77,18.59,18.512,174772657,0.0
72,2020-11-27,13.85,17.27,13.83,16.56,16.4905,142020558,0.0
73,2020-11-20,12.5,13.715,12.25,13.49,13.4334,113018060,0.0
74,2020-11-13,11.55,12.7,11.185,11.8,11.7505,157017383,0.0
75,2020-11-06,9.26,10.62,9.03,10.01,9.968,126936719,0.0
76,2020-10-30,9.79,9.8368,8.52,9.13,9.0917,130347659,0.0
77,2020-10-23,10.19,10.36,9.66,10.02,9.978,107349889,0.0
78,2020-10-16,10.64,10.96,10.0,10.09,10.0477,92322931,0.0
79,2020-10-09,10.1,11.335,10.01,10.82,10.7746,125743298,0.0
80,2020-10-02,10.42,10.65,9.23,9.87,9.8286,137125688,0.0
81,2020-09-25,11.09,11.585,10.11,10.22,10.1771,118668657,0.0
82,2020-09-18,10.22,12.09,9.93,11.65,11.6011,181686700,0.01
83,2020-09-11,11.87,11.98,9.83,10.22,10.1671,137390398,0.0
