,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,82.92,85.02,82.03,83.24,83.24,4765267,0.0
1,2022-04-08,84.54,85.18,81.8,83.05,83.05,10421873,0.0
2,2022-04-01,88.66,91.245,84.45,85.22,85.22,7917932,0.0
3,2022-03-25,88.76,90.1418,87.47,88.97,88.97,6416248,0.0
4,2022-03-18,86.56,91.38,86.26,88.67,88.67,10571510,0.0
5,2022-03-11,87.79,88.29,82.97,85.56,85.56,10943159,0.0
6,2022-03-04,90.46,92.7,87.035,87.95,87.95,10198841,0.0
7,2022-02-25,93.93,94.825,89.43,91.71,91.71,7335853,0.0
8,2022-02-18,93.0,95.39,91.97,93.81,93.81,7388458,0.0
9,2022-02-11,94.53,95.19,92.31,92.81,92.81,7224626,0.34
10,2022-02-04,92.97,96.585,91.56,94.53,94.1904,9238771,0.0
11,2022-01-28,90.54,97.56,87.635,93.66,93.3235,14860615,0.0
12,2022-01-21,95.76,96.63,91.37,91.56,91.2311,6449756,0.0
13,2022-01-14,93.02,96.59,90.74,96.5,96.1533,8565876,0.0
14,2022-01-07,88.26,94.8,87.94,93.42,93.0844,9872627,0.0
15,2021-12-31,85.34,88.65,84.64,88.26,87.9429,3908825,0.0
16,2021-12-23,82.26,85.7,81.05,84.95,84.6448,7375133,0.0
17,2021-12-17,89.04,90.12,82.555,83.5,83.2,13617919,1.5
18,2021-12-10,86.3,90.13,86.08,89.14,87.2956,8240798,0.0
19,2021-12-03,86.98,87.015,82.35,85.67,83.8974,10342561,0.0
20,2021-11-26,86.32,90.14,85.9,86.54,84.7494,7225874,0.0
21,2021-11-19,89.65,90.365,85.44,86.37,84.5829,6739192,0.34
22,2021-11-12,91.24,91.5499,87.52,89.84,87.6472,7820532,0.0
23,2021-11-05,89.72,91.96,89.2,90.0,87.8033,7755986,0.0
24,2021-10-29,87.38,90.39,83.83,89.62,87.4326,11899055,0.0
25,2021-10-22,85.85,87.715,85.45,87.0,84.8765,7262214,0.0
26,2021-10-15,84.79,87.46,82.705,86.89,84.7692,8879311,0.0
27,2021-10-08,79.52,85.18,77.96,84.76,82.6912,10960788,0.0
28,2021-10-01,80.73,82.18,78.48,79.45,77.5108,7839909,0.0
29,2021-09-24,80.49,81.53,78.72,80.53,78.5644,15289521,0.0
30,2021-09-17,84.65,85.33,80.95,81.55,79.5595,18439720,0.0
31,2021-09-10,83.82,84.53,81.2,83.61,81.5693,10646057,0.0
32,2021-09-03,82.44,85.22,81.48,84.43,82.3692,9259098,0.0
33,2021-08-27,80.47,82.42,79.88,82.25,80.2424,8720182,0.0
34,2021-08-20,80.91,81.56,79.05,80.27,78.3108,11252922,0.34
35,2021-08-13,79.92,83.2,79.235,81.14,78.8251,12862871,0.0
36,2021-08-06,83.94,84.34,79.97,80.04,77.7565,16636384,0.0
37,2021-07-30,87.47,88.1,82.72,82.99,80.6223,16134109,0.0
38,2021-07-23,86.675,89.33,86.23,87.58,85.0814,8387615,0.0
39,2021-07-16,87.16,89.73,86.31,87.61,85.1105,7613794,0.0
40,2021-07-09,88.0,88.115,85.01,87.5,85.0037,6394463,0.0
41,2021-07-02,89.25,90.09,87.635,88.3,85.7808,6890423,0.0
42,2021-06-25,87.59,89.57,86.53,88.98,86.4414,12067123,0.0
43,2021-06-18,92.16,92.36,86.96,87.04,84.5568,9272213,0.0
44,2021-06-11,95.25,95.29,91.5,92.37,89.7347,5919688,0.0
45,2021-06-04,92.33,95.36,91.58,94.93,92.2217,5705967,0.0
46,2021-05-28,92.73,92.73,90.13,91.56,88.9478,5802357,0.0
47,2021-05-21,94.65,95.0,88.68,92.03,89.4044,8292824,0.0
48,2021-05-14,94.99,96.71,91.14,94.66,91.9594,9439889,0.34
49,2021-05-07,90.8,94.66,89.06,94.5,91.4757,10923685,0.0
50,2021-04-30,93.46,93.83,89.73,89.88,87.0036,13325095,0.0
51,2021-04-23,94.57,94.75,91.01,93.35,90.3625,9551242,0.0
52,2021-04-16,93.08,95.82,93.08,94.92,91.8823,7585651,0.0
53,2021-04-09,92.95,94.21,91.64,93.36,90.3722,6762995,0.0
54,2021-04-01,93.7,94.35,91.35,92.03,89.0848,6881627,0.0
55,2021-03-26,94.54,95.72,89.61,93.68,90.682,8500563,0.0
56,2021-03-19,96.91,99.48,93.64,95.06,92.0178,8945510,0.0
57,2021-03-12,93.25,98.26,92.41,96.95,93.8473,9563426,0.0
58,2021-03-05,91.84,96.47,90.15,94.15,91.1369,10316631,0.0
59,2021-02-26,95.0,95.57,90.84,90.99,88.0781,9788428,0.0
60,2021-02-19,98.68,98.8764,93.42,95.19,92.1437,5735502,0.0
61,2021-02-12,97.39,101.4004,95.83,98.0,94.8637,7802961,0.32
62,2021-02-05,91.8,98.37,90.05,96.58,93.181,11226413,0.0
63,2021-01-29,101.0,101.79,89.6901,91.22,88.0097,15009359,0.0
64,2021-01-22,88.165,103.19,87.99,98.85,95.3712,15500869,0.0
65,2021-01-15,87.52,89.9,86.38,88.16,85.0574,5080609,0.0
66,2021-01-08,86.61,89.93,84.23,87.8,84.71,7857072,0.0
67,2020-12-31,86.74,86.98,84.3,86.28,83.2435,2878020,0.0
68,2020-12-24,84.7,86.2,84.065,86.11,83.0795,3432077,0.0
69,2020-12-18,85.6666,87.58,84.38,86.01,82.983,9674646,0.7
70,2020-12-11,86.41,87.59,84.68,85.46,81.7849,6342434,0.0
71,2020-12-04,87.24,88.88,85.7,86.7,82.9716,8770384,0.0
72,2020-11-27,90.73,90.82,87.57,87.74,83.9669,4692532,0.0
73,2020-11-20,90.6,91.26,87.76,88.78,84.9621,6171994,0.0
74,2020-11-13,95.0,95.82,88.42,89.91,86.0436,8567965,0.32
75,2020-11-06,86.65,93.3,86.38,90.09,85.9124,7010766,0.0
76,2020-10-30,91.26,91.415,84.22,85.38,81.4208,7711029,0.0
77,2020-10-23,89.97,92.96,89.0,92.64,88.3441,12350743,0.0
78,2020-10-16,90.22,91.33,87.6,89.94,85.7693,7442460,0.0
79,2020-10-09,85.93,90.96,85.68,89.22,85.0827,6126483,0.0
80,2020-10-02,84.67,87.7,82.85,84.99,81.0489,6879454,0.0
81,2020-09-25,83.41,84.1,80.36,83.53,79.6566,6760776,0.0
82,2020-09-18,84.64,87.29,83.98,84.24,80.3336,8482130,0.0
83,2020-09-11,84.82,85.63,82.36,83.89,79.9999,8140771,0.0
84,2020-09-04,85.97,89.03,84.79,85.62,81.6497,7801777,0.0
85,2020-08-28,87.25,87.91,85.4201,86.49,82.4793,6378892,0.0
86,2020-08-21,89.25,89.53,86.46,87.02,82.9847,6466593,0.0
87,2020-08-14,88.58,91.3,87.36,88.95,84.8252,8277033,0.32
88,2020-08-07,84.97,88.63,84.5,88.6,84.1916,6988888,0.0
89,2020-07-31,85.74,86.8912,83.7,85.08,80.8468,7987753,0.0
90,2020-07-24,79.0,87.24,78.51,85.74,81.4739,14005698,0.0
