,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,118.59,119.09,113.37,113.91,113.91,7477610,0.0
1,2022-04-08,115.0,120.17,113.81,118.51,118.51,15413132,0.1
2,2022-04-01,117.0,117.58,113.42,115.19,115.0915,10204193,0.0
3,2022-03-25,111.78,116.74,110.91,116.67,116.5703,10359807,0.0
4,2022-03-18,106.87,111.53,104.01,111.22,111.1249,12639754,0.0
5,2022-03-11,106.16,108.81,102.295,105.54,105.4498,12593576,0.0
6,2022-03-04,103.73,107.25,103.19,107.19,107.0984,12578216,0.0
7,2022-02-25,106.82,107.69,100.81,107.24,107.1483,9309414,0.0
8,2022-02-18,105.36,107.99,104.11,106.41,106.319,16215449,0.0
9,2022-02-11,109.33,109.74,105.52,106.2,106.1092,12615962,0.0
10,2022-02-04,107.86,110.51,106.64,109.07,108.9768,11436626,0.0
11,2022-01-28,108.38,111.85,105.28,108.72,108.6271,20016390,0.0
12,2022-01-21,109.54,109.98,106.9,108.02,107.9277,12397993,0.0
13,2022-01-14,109.68,110.91,107.48,109.75,109.6562,18293653,0.0
14,2022-01-07,102.5,109.29,101.32,109.18,109.0867,16124189,0.1
15,2021-12-31,101.46,104.656,101.375,102.65,102.4649,7437996,0.0
16,2021-12-23,100.2,103.1,99.28,101.25,101.0674,9753119,0.0
17,2021-12-17,94.71,103.77,94.63,100.97,100.7879,21528137,1.5
18,2021-12-10,96.43,97.42,94.11,95.06,93.4996,13033210,0.0
19,2021-12-03,95.21,96.88,92.44,95.22,93.6569,16893469,0.0
20,2021-11-26,90.61,95.905,90.48,94.59,93.0373,10184561,0.0
21,2021-11-19,96.45,96.49,89.66,90.3,88.8177,14407090,0.0
22,2021-11-12,95.94,96.61,94.725,96.17,94.5913,9808000,0.0
23,2021-11-05,94.84,96.68,93.08,95.84,94.2668,11296221,0.0
24,2021-10-29,95.63,96.9,94.2,94.88,93.3225,9407664,0.0
25,2021-10-22,90.99,96.49,89.94,95.62,94.0504,13348202,0.0
26,2021-10-15,91.07,92.43,89.35,91.25,89.7521,12901503,0.0
27,2021-10-08,90.9,93.33,89.92,90.93,89.4374,13173029,0.1
28,2021-10-01,91.46,92.29,89.68,90.94,89.3504,13648825,0.0
29,2021-09-24,91.94,93.26,91.14,91.56,89.9595,10141982,0.0
30,2021-09-17,93.65,94.34,92.171,92.61,90.9912,13020581,0.0
31,2021-09-10,95.73,95.9,92.35,93.12,91.4922,8122328,0.0
32,2021-09-03,97.57,97.73,95.19,96.23,94.5479,9941402,0.0
33,2021-08-27,97.37,98.21,95.75,97.49,95.7859,10746689,0.0
34,2021-08-20,95.69,98.61,94.39,97.57,95.8645,16476357,0.0
35,2021-08-13,97.17,97.59,95.7789,96.12,94.4398,8909272,0.0
