,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,100.88,101.66,99.58,101.2,101.2,19228765,0.0
1,2022-04-08,95.99,100.95,95.4,100.07,100.07,29394218,0.0
2,2022-04-01,92.82,96.95,91.0,96.78,96.78,27283309,0.0
3,2022-03-25,94.55,95.42,91.16,93.45,93.45,23221792,1.25
4,2022-03-18,89.89,94.7,88.37,93.9,92.6311,46786568,0.0
5,2022-03-11,97.35,97.59,88.76,88.87,87.6691,49019995,0.0
6,2022-03-04,102.08,103.49,99.25,99.8,98.4514,32447920,0.0
7,2022-02-25,110.92,111.17,101.18,105.24,103.8178,29317748,0.0
8,2022-02-18,108.0,112.48,107.77,111.61,110.1018,38742704,0.0
9,2022-02-11,103.59,108.57,102.7,107.96,106.5011,31057470,0.0
10,2022-02-04,102.47,104.36,102.02,103.59,102.1901,33791386,0.0
11,2022-01-28,102.48,103.69,98.27,103.52,102.1211,34198568,0.0
12,2022-01-21,103.22,103.7493,100.68,102.92,101.5292,22687652,0.0
13,2022-01-14,99.7,103.54,98.742,103.38,101.983,30215274,0.0
14,2022-01-07,94.89,99.73,94.44,99.14,97.8003,28387609,0.0
15,2021-12-31,92.87,95.185,92.61,95.0,93.7162,14049657,0.0
16,2021-12-23,92.81,93.78,91.4163,92.93,91.6742,16672405,1.25
17,2021-12-17,89.86,94.65,89.67,93.45,90.9634,42001885,0.0
18,2021-12-10,90.06,92.23,89.21,90.04,87.6441,27516565,0.0
19,2021-12-03,88.11,89.51,85.64,89.38,87.0017,33865317,0.0
20,2021-11-26,90.79,91.41,88.03,88.68,86.3203,21897799,0.0
21,2021-11-19,95.0,95.53,89.47,90.4,87.9945,23136090,0.0
22,2021-11-12,94.58,95.94,92.58,94.76,92.2385,18649008,0.0
23,2021-11-05,94.64,95.25,92.9,94.3,91.7907,14496938,0.0
24,2021-10-29,97.47,97.47,94.31,94.54,92.0243,20638381,0.0
25,2021-10-22,97.34,97.745,95.7,96.88,94.3021,18741762,0.0
26,2021-10-15,95.3,99.7299,94.85,98.37,95.7524,19455434,0.0
27,2021-10-08,96.2,97.911,95.11,95.35,92.8128,19971088,0.0
28,2021-10-01,101.62,103.04,94.37,96.08,93.5234,25716238,1.25
29,2021-09-24,100.67,102.18,99.83,101.82,97.8676,21795118,0.0
30,2021-09-17,103.8,104.34,101.75,101.86,97.9061,24964778,0.0
31,2021-09-10,105.3,106.51,102.23,103.57,99.5497,21219697,0.0
32,2021-09-03,102.1,106.25,101.8,106.1,101.9815,16628162,0.0
33,2021-08-27,101.72,102.405,99.652,102.1,98.1368,12342026,0.0
34,2021-08-20,101.83,103.0,100.01,101.42,97.4832,14630113,0.0
35,2021-08-13,99.05,101.83,98.58,101.59,97.6466,12201041,0.0
36,2021-08-06,100.64,101.52,98.98,99.21,95.359,13432798,0.0
37,2021-07-30,98.08,100.63,98.05,100.09,96.2048,16290403,0.0
38,2021-07-23,98.68,98.82,93.94,98.4,94.5804,21747528,0.0
39,2021-07-16,98.89,99.76,97.37,98.9,95.061,19028329,0.0
40,2021-07-09,99.89,100.2,98.09,99.4,95.5416,15611035,0.0
41,2021-07-02,99.35,100.53,97.505,100.3,96.4066,17395098,0.0
42,2021-06-25,100.0,100.79,97.915,99.04,95.1956,36584803,1.2
43,2021-06-18,99.2,100.95,98.21,99.5,94.4927,42879781,0.0
44,2021-06-11,98.09,98.95,96.21,98.84,93.8659,20977734,0.0
45,2021-06-04,97.01,98.13,96.08,97.9,92.9732,14929212,0.0
46,2021-05-28,97.76,98.49,96.31,96.43,91.5772,16293595,0.0
47,2021-05-21,97.51,98.265,95.84,97.42,92.5174,16902442,0.0
48,2021-05-14,97.63,98.62,95.83,97.7,92.7833,18304432,0.0
49,2021-05-07,95.51,97.615,94.595,97.41,92.5079,21213315,0.0
50,2021-04-30,94.59,95.4,93.81,95.0,90.2191,20004367,0.0
51,2021-04-23,93.35,95.6,90.21,94.61,89.8488,29553167,0.0
52,2021-04-16,91.15,93.09,89.99,92.91,88.2343,23346592,0.0
53,2021-04-09,88.52,91.11,87.67,91.07,86.4869,20954210,0.0
54,2021-04-01,90.34,91.12,87.33,88.06,83.6284,17656692,0.0
55,2021-03-26,88.81,90.72,87.73,90.58,86.0216,23143446,0.0
56,2021-03-19,88.0,91.25,87.06,89.25,84.7585,37819463,1.2
57,2021-03-12,86.14,87.79,85.88,87.72,82.2003,22308435,0.0
58,2021-03-05,84.73,86.74,84.302,86.16,80.7385,18365535,0.0
59,2021-02-26,85.16,88.19,83.98,84.02,78.7331,21425333,0.0
60,2021-02-19,85.88,87.07,85.32,85.45,80.0731,20372658,0.0
61,2021-02-12,84.4,87.7263,84.15,86.12,80.701,21404378,0.0
62,2021-02-05,79.0,84.79,78.34,84.28,78.9768,25697762,0.0
63,2021-01-29,80.5,82.2892,79.44,79.65,74.6381,21577156,0.0
64,2021-01-22,81.44,82.29,80.52,80.68,75.6033,19742383,0.0
65,2021-01-15,83.1,83.69,79.84,80.94,75.8469,25266624,0.0
66,2021-01-08,82.82,83.75,79.86,83.09,77.8616,25908973,0.0
67,2020-12-31,82.94,83.57,81.29,82.79,77.5805,12719802,0.0
68,2020-12-24,84.77,84.77,81.27,82.51,77.3181,17613042,1.2
69,2020-12-18,85.72,86.61,84.15,86.09,79.512,49271511,0.0
70,2020-12-11,81.01,85.41,80.55,85.0,78.5052,31494028,0.0
71,2020-12-04,75.7,80.83,75.42,80.75,74.58,26693310,0.0
72,2020-11-27,76.04,78.3,75.71,75.9,70.1006,14403295,0.0
