,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,482.0,484.1,466.665,469.0,469.0,1328186,0.0
1,2022-04-08,477.61,488.23,471.28,482.16,482.16,2677587,0.62
2,2022-04-01,464.85,480.63,462.83,476.95,476.3363,1940624,0.0
3,2022-03-25,467.03,468.385,458.82,465.86,465.2606,1375424,0.0
4,2022-03-18,431.27,468.78,430.61,468.54,467.9372,2349582,0.0
5,2022-03-11,454.27,455.77,432.12,432.31,431.7538,2549235,0.0
6,2022-03-04,446.19,457.13,439.67,454.58,453.9951,2688782,0.0
7,2022-02-25,440.85,450.15,420.03,448.42,447.8431,1967791,0.0
8,2022-02-18,437.52,449.24,436.49,440.33,439.7635,2573580,0.0
9,2022-02-11,448.44,457.73,434.35,437.83,437.2667,2178032,0.0
10,2022-02-04,433.63,464.52,429.88,447.95,447.3737,3999833,0.0
11,2022-01-28,432.49,436.83,417.54,435.47,434.9097,3285351,0.0
12,2022-01-21,441.45,454.205,437.16,437.94,437.3765,2286795,0.0
13,2022-01-14,457.5,466.81,436.5,447.8,447.2238,2655172,0.0
14,2022-01-07,491.02,492.35,460.98,461.43,460.8363,2207008,0.62
15,2021-12-31,481.0,494.315,479.23,491.86,490.568,1467070,0.0
16,2021-12-23,470.77,481.06,461.51,478.33,477.0735,1503319,0.0
17,2021-12-17,474.5,488.45,461.61,475.52,474.2709,2696809,0.0
18,2021-12-10,468.67,478.61,464.46,473.42,472.1764,1761580,0.0
19,2021-12-03,477.44,482.855,459.58,466.07,464.8458,2274085,0.0
20,2021-11-26,500.0,501.54,473.69,475.37,474.1213,1232390,0.0
21,2021-11-19,486.85,501.49,484.405,498.43,497.1208,2179522,0.0
22,2021-11-12,485.94,489.7499,477.09,487.73,486.4489,1413329,0.0
23,2021-11-05,489.21,491.855,469.44,484.3,483.0279,1718191,0.0
24,2021-10-29,484.53,491.335,478.64,487.87,486.5885,1699984,0.0
25,2021-10-22,464.52,505.0,463.71,487.2,485.9202,1876202,0.0
26,2021-10-15,451.25,469.875,450.56,467.09,465.8631,1633719,0.0
27,2021-10-08,452.08,462.39,442.36,451.59,450.4038,2170009,0.5625
28,2021-10-01,463.33,465.41,439.4,447.58,445.8432,1630064,0.0
29,2021-09-24,461.98,467.68,457.91,466.0,464.1917,1571401,0.0
30,2021-09-17,478.46,478.46,465.92,466.65,464.8391,1721990,0.0
31,2021-09-10,486.55,487.2,473.59,473.96,472.1208,1228723,0.0
32,2021-09-03,479.0,489.25,478.615,486.22,484.3332,1228006,0.0
33,2021-08-27,481.9,484.89,475.93,478.55,476.693,1441364,0.0
34,2021-08-20,480.09,486.4,475.0,479.94,478.0776,2255776,0.0
35,2021-08-13,487.23,487.3,475.2,480.76,478.8944,2309072,0.0
36,2021-08-06,494.19,495.93,486.4,487.96,486.0665,1625939,0.0
37,2021-07-30,495.94,497.44,485.27,491.34,489.4333,2376434,0.0
38,2021-07-23,481.97,499.21,477.81,496.63,494.7028,2438212,0.0
39,2021-07-16,483.5,491.05,480.64,485.98,484.0941,1598363,0.0
40,2021-07-09,471.76,483.5,469.13,481.18,479.3128,1530741,0.5625
41,2021-07-02,463.66,473.96,462.43,472.6,470.2171,2204535,0.0
42,2021-06-25,452.15,466.66,450.18,466.07,463.72,1997282,0.0
43,2021-06-18,459.87,466.62,448.76,449.41,447.144,2681712,0.0
44,2021-06-11,450.92,460.3899,444.56,459.24,456.9245,1579232,0.0
45,2021-06-04,454.3,454.86,444.46,451.05,448.7758,1259399,0.0
46,2021-05-28,442.68,452.03,441.018,450.01,447.741,1738219,0.0
47,2021-05-21,438.1,443.69,425.135,439.82,437.6024,2860453,0.0
48,2021-05-14,445.93,450.5,427.22,438.35,436.1398,2018079,0.0
49,2021-05-07,447.08,452.24,441.85,444.46,442.219,1907372,0.0
50,2021-04-30,433.48,448.38,430.07,446.44,444.189,2338826,0.0
51,2021-04-23,424.3,435.9,421.28,434.22,432.0306,2083406,0.0
52,2021-04-16,420.54,428.56,418.12,423.29,421.1557,1917561,0.0
53,2021-04-09,412.2,422.99,412.2,421.58,419.4544,1778724,0.0
54,2021-04-01,407.7,411.5303,401.71,410.35,408.281,1809400,0.5625
55,2021-03-26,393.39,410.57,391.02,410.36,407.732,2805445,0.0
56,2021-03-19,387.12,407.99,385.02,395.0,392.4704,3742024,0.0
57,2021-03-12,378.34,396.06,375.92,386.37,383.8956,3085935,0.0
58,2021-03-05,379.73,388.23,365.23,376.94,374.526,3376284,0.0
59,2021-02-26,386.93,391.87,373.25,377.62,375.2017,4434396,0.0
60,2021-02-19,397.98,398.15,376.94,388.91,386.4194,3601308,0.0
61,2021-02-12,405.69,409.38,395.0,396.02,393.4838,2854620,0.0
62,2021-02-05,395.86,411.69,389.3465,404.95,402.3567,3257707,0.0
63,2021-01-29,420.43,429.57,392.56,392.91,390.3938,3130717,0.0
64,2021-01-22,416.0,423.86,412.28,419.22,416.5353,1690255,0.0
65,2021-01-15,426.82,439.5786,402.22,411.62,408.9839,3645220,0.0
66,2021-01-08,429.92,432.93,414.145,431.1,428.3392,2415263,0.5625
67,2020-12-31,422.52,431.95,416.45,431.09,427.7704,1077420,0.0
68,2020-12-24,419.25,424.005,410.36,420.12,416.8849,1710857,0.0
69,2020-12-18,422.59,433.02,420.48,426.19,422.9082,2828224,0.0
70,2020-12-11,418.37,423.14,412.31,420.45,417.2124,1889627,0.0
71,2020-12-04,418.0,433.09,408.14,417.95,414.7316,2759128,0.0
72,2020-11-27,408.83,421.47,403.42,418.8,415.5751,1480062,0.0
73,2020-11-20,399.0,411.12,396.42,405.26,402.1393,2871487,0.0
74,2020-11-13,410.91,417.25,386.19,396.39,393.3376,3399967,0.0
75,2020-11-06,377.72,398.41,375.53,388.42,385.429,3445387,0.0
76,2020-10-30,424.63,426.82,362.9,371.34,368.4805,4829515,0.0
77,2020-10-23,432.17,435.31,420.85,428.6,425.2996,1897523,0.0
78,2020-10-16,417.41,438.32,416.0,433.89,430.5489,2988256,0.0
79,2020-10-09,399.39,417.87,397.06,414.39,411.199,1945819,0.5125
80,2020-10-02,400.52,404.71,389.7333,395.72,392.1718,2449599,0.0
81,2020-09-25,387.5,401.71,380.07,398.12,394.5503,2298784,0.0
82,2020-09-18,403.52,409.79,390.15,391.37,387.8608,3004758,0.0
83,2020-09-11,401.54,406.34,390.005,399.6,396.017,2749587,0.0
84,2020-09-04,428.15,445.85,416.8,422.53,418.7414,2058674,0.0
85,2020-08-28,433.65,437.255,425.98,430.18,426.3228,1641372,0.0
86,2020-08-21,446.75,449.99,429.25,431.99,428.1166,2707160,0.0
87,2020-08-14,441.36,455.72,433.96,444.95,440.9604,2572482,0.0
88,2020-08-07,434.54,441.55,431.2,440.9,436.9467,1521168,0.0
89,2020-07-31,416.48,441.034,414.98,432.45,428.5725,2628007,0.0
90,2020-07-24,409.24,425.52,408.99,415.27,411.5465,2115791,0.0
91,2020-07-17,393.98,411.69,386.17,409.06,405.3922,2093456,0.0
92,2020-07-10,395.87,400.64,388.45,391.93,388.4158,2260259,0.5125
93,2020-07-02,390.43,396.75,382.145,391.17,387.1545,2512012,0.0
94,2020-06-26,392.94,403.0,381.32,387.21,383.2351,2545238,0.0
95,2020-06-19,382.31,406.86,380.98,390.56,386.5507,2718598,0.0
96,2020-06-12,404.25,406.79,382.23,389.81,385.8084,3490304,0.0
97,2020-06-05,392.93,410.41,387.47,405.83,401.664,2370445,0.0
98,2020-05-29,377.7,394.95,368.97,393.8,389.7575,2756178,0.0
99,2020-05-22,372.8,374.38,357.75,367.06,363.292,2296424,0.0
100,2020-05-15,355.87,368.55,344.76,361.5,357.7891,3980296,0.0
101,2020-05-08,337.45,362.32,333.67,358.36,354.6813,3133582,0.0
102,2020-05-01,309.52,354.94,308.17,339.38,335.8961,4400515,0.0
103,2020-04-24,318.99,324.95,304.55,306.41,303.2646,2714951,0.0
104,2020-04-17,313.3,324.93,306.85,321.97,318.6649,2944156,0.0
105,2020-04-09,312.78,327.59,303.29,315.45,312.2118,2411759,0.5125
106,2020-04-03,308.14,319.68,290.0,299.68,296.1111,2939299,0.0
107,2020-03-27,280.31,313.19,245.86,305.79,302.1484,5251926,0.0
108,2020-03-20,240.0,311.84,240.0,283.15,279.778,3908422,0.0
109,2020-03-13,327.32,341.97,290.48,313.52,309.7863,4727263,0.0
110,2020-03-06,354.09,371.1,341.0,350.33,346.1579,3190278,0.0
111,2020-02-28,378.67,382.52,341.13,351.7,347.5116,3321474,0.0
112,2020-02-21,390.82,394.39,381.76,387.25,382.6383,2004716,0.0
113,2020-02-14,384.0,395.0,383.75,392.73,388.053,1535163,0.0
114,2020-02-07,384.66,390.84,378.41,385.44,380.8498,1966584,0.0
115,2020-01-31,372.01,393.0,370.79,381.66,377.1148,2711630,0.0
116,2020-01-24,378.0,380.84,372.62,376.84,372.3522,1590858,0.0
117,2020-01-17,370.96,380.36,370.37,379.74,375.2177,1952123,0.0
118,2020-01-10,359.42,372.72,356.11,370.35,365.9395,2340427,0.5125
119,2020-01-03,357.3,365.17,352.47,363.03,358.2036,1845055,0.0
120,2019-12-27,354.11,357.76,350.91,357.3,352.5497,1060485,0.0
121,2019-12-20,351.5,356.99,346.52,352.63,347.9418,2482933,0.0
122,2019-12-13,345.1,352.7,342.82,350.5,345.8401,2194725,0.0
123,2019-12-06,360.33,361.88,345.0,346.22,341.617,3330850,0.0
124,2019-11-29,357.93,364.49,356.56,360.37,355.5789,2149269,0.0
125,2019-11-22,345.0,356.39,340.85,355.75,351.0203,3131880,0.0
126,2019-11-15,335.23,352.46,334.91,345.64,341.0448,2925545,0.0
127,2019-11-08,345.0,349.06,336.2,337.5,333.013,2728035,0.0
