,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-14,498.21,529.47,490.8828,507.06,507.06,2356715,0.0
1,2022-04-08,549.17,553.53,486.74,500.37,500.37,3521578,0.0
2,2022-04-01,583.3,597.16,537.985,547.75,547.75,2048060,0.0
3,2022-03-25,575.0,595.47,556.2845,586.4,586.4,1904235,0.0
4,2022-03-18,540.85,573.42,510.265,570.44,570.44,2763446,0.0
5,2022-03-11,542.55,553.1851,492.82,530.59,530.59,3526524,0.0
6,2022-03-04,595.08,620.04,532.93,543.12,543.12,3135186,0.0
7,2022-02-25,607.93,625.88,543.96,623.16,623.16,1898935,0.0
8,2022-02-18,628.3,658.4695,607.75,613.13,613.13,1776960,0.0
9,2022-02-11,611.55,657.67,607.16,627.25,627.25,2141641,0.0
10,2022-02-04,558.5,619.795,551.88,613.31,613.31,3140331,0.0
11,2022-01-28,557.6,584.78,530.6457,558.47,558.47,3536187,0.0
12,2022-01-21,699.28,704.99,581.76,581.76,581.76,3004307,0.0
13,2022-01-14,731.85,752.68,685.44,704.41,704.41,2132131,0.0
14,2022-01-07,683.7,746.7,678.25,733.15,733.15,1993301,0.0
15,2021-12-31,674.79,691.66,671.0,678.24,678.24,868512,0.0
16,2021-12-23,637.95,682.53,625.02,674.76,674.76,1145680,0.0
17,2021-12-17,702.3,712.75,647.79,654.01,654.01,2311172,0.0
18,2021-12-10,688.94,726.83,682.325,703.92,703.92,1432612,0.0
19,2021-12-03,724.86,733.25,661.64,674.57,674.57,2404809,0.0
20,2021-11-26,735.32,755.0,700.02,714.19,714.19,1342521,0.0
21,2021-11-19,746.08,763.22,715.42,727.79,727.79,1505520,0.0
22,2021-11-12,750.77,755.725,728.195,743.9,743.9,1102237,0.0
23,2021-11-05,724.19,762.95,718.45,747.52,747.52,1385455,0.0
24,2021-10-29,755.32,757.66,698.95,717.4,717.4,1646137,0.0
25,2021-10-22,685.9939,759.02,685.9939,753.12,753.12,1867717,0.0
26,2021-10-15,678.0,695.59,647.85,690.33,690.33,1577262,0.0
27,2021-10-08,663.99,679.0,643.22,670.49,670.49,1715794,0.0
28,2021-10-01,654.01,677.14,645.84,664.53,664.53,1786139,0.0
29,2021-09-24,591.07,653.54,574.24,649.96,649.96,2254654,0.0
30,2021-09-17,599.49,623.0,578.26,610.41,610.41,2331339,0.0
31,2021-09-10,577.81,598.0,575.575,591.6,591.6,1361142,0.0
32,2021-09-03,573.83,576.83,552.38,571.51,571.51,1451061,0.0
33,2021-08-27,555.79,580.79,555.79,574.48,574.48,1509778,0.0
34,2021-08-20,575.41,582.54,535.77,550.95,550.95,1538287,0.0
35,2021-08-13,584.41,601.35,561.325,581.73,581.73,4286539,0.0
36,2021-08-06,554.27,590.05,538.56,589.7,589.7,1349109,0.0
37,2021-07-30,571.94,577.45,547.07,549.96,549.96,1368589,0.0
38,2021-07-23,546.61,578.97,531.25,570.87,570.87,1749543,0.0
39,2021-07-16,574.38,597.3174,556.565,561.76,561.76,1972206,0.0
40,2021-07-09,563.04,576.68,536.9756,575.24,575.24,2118747,0.0
41,2021-07-02,565.01,569.43,551.63,565.21,565.21,1682726,0.0
42,2021-06-25,537.91,568.17,537.33,564.71,564.71,1700373,0.0
43,2021-06-18,553.73,573.9811,529.3,530.96,530.96,2725024,0.0
44,2021-06-11,599.3,608.84,560.67,561.79,561.79,1902800,0.0
45,2021-06-04,591.5,598.64,583.98,596.06,596.06,984591,0.0
46,2021-05-28,574.27,588.4456,568.4984,582.89,582.89,1565334,0.0
47,2021-05-21,578.42,587.8605,542.7,569.87,569.87,1536688,0.0
48,2021-05-14,586.87,595.9,545.31,578.42,578.42,2160858,0.0
49,2021-05-07,577.53,589.41,551.695,587.98,587.98,1770912,0.0
50,2021-04-30,564.38,586.78,556.06,571.83,571.83,2111900,0.0
51,2021-04-23,518.5,585.25,500.95,564.22,564.22,3789837,0.0
52,2021-04-16,500.0,521.85,491.36,518.94,518.94,2369217,0.0
53,2021-04-09,492.52,498.46,474.2,497.69,497.69,1606504,0.0
54,2021-04-01,479.78,501.44,467.22,483.33,483.33,3083995,0.0
55,2021-03-26,545.06,545.33,471.735,491.98,491.98,4802457,0.0
56,2021-03-19,547.735,577.06,517.93,544.61,544.61,3437535,0.0
57,2021-03-12,515.4,560.15,497.42,548.57,548.57,2631699,0.0
58,2021-03-05,518.48,538.53,470.87,507.88,507.88,1780158,0.0
59,2021-02-26,540.77,550.4,495.63,505.36,505.36,2087376,0.0
60,2021-02-19,510.0,540.91,509.65,540.4,540.4,1239838,0.0
61,2021-02-12,489.26,509.7,489.26,506.5,506.5,1543947,0.0
62,2021-02-05,444.66,497.35,438.03,490.91,490.91,2240913,0.0
63,2021-01-29,477.94,488.65,435.7719,437.78,437.78,2945423,0.0
64,2021-01-22,471.17,497.8519,453.11,480.15,480.15,2443054,0.0
65,2021-01-15,420.87,474.4,419.795,461.43,461.43,2682012,0.0
66,2021-01-08,385.66,437.56,376.4,424.03,424.03,2879996,0.0
67,2020-12-31,378.96,389.06,371.0,387.83,387.83,791086,0.0
68,2020-12-24,359.42,379.93,355.3728,375.99,375.99,987064,0.0
69,2020-12-18,356.62,366.1001,349.48,357.8,357.8,2270580,0.0
70,2020-12-11,352.0,358.58,337.83,349.9,349.9,1622160,0.0
71,2020-12-04,351.92,360.27,342.93,358.32,358.32,1522249,0.0
72,2020-11-27,360.83,363.1,344.67,353.79,353.79,1342084,0.0
73,2020-11-20,354.09,359.12,340.35,356.94,356.94,1820455,0.0
74,2020-11-13,332.71,349.4534,322.76,345.91,345.91,2343938,0.0
75,2020-11-06,292.64,320.0,291.62,313.37,313.37,2194751,0.0
76,2020-10-30,291.22,293.87,264.6007,290.7,290.7,1756013,0.0
77,2020-10-23,276.25,307.75,270.07,296.38,296.38,1978027,0.0
78,2020-10-16,274.56,277.87,263.34,273.21,273.21,1133134,0.0
79,2020-10-09,254.931,278.49,247.07,274.64,274.64,1523679,0.0
80,2020-10-02,235.42,248.35,233.69,245.65,245.65,1393971,0.0
81,2020-09-25,239.74,248.34,221.55,229.59,229.59,1686531,0.0
82,2020-09-18,250.11,255.33,242.94,246.37,246.37,1881601,0.0
83,2020-09-11,253.17,261.94,244.3,248.59,248.59,1681461,0.0
84,2020-09-04,254.52,267.81,250.6101,259.73,259.73,1629193,0.0
85,2020-08-28,240.38,256.98,239.43,255.01,255.01,1442661,0.0
86,2020-08-21,249.65,249.65,237.56,239.42,239.42,833353,0.0
87,2020-08-14,238.83,259.135,237.5871,250.38,250.38,1586532,0.0
88,2020-08-07,223.66,237.34,221.865,237.34,237.34,923339,0.0
89,2020-07-31,227.83,232.5,217.2263,224.27,224.27,1256489,0.0
90,2020-07-24,216.5,234.79,214.78,230.43,230.43,1526379,0.0
91,2020-07-17,215.55,223.74,204.78,217.57,217.57,1630900,0.0
92,2020-07-10,213.26,220.0,199.7,212.0,212.0,1544300,0.0
93,2020-07-02,207.6,217.44,203.47,208.34,208.34,1471800,0.0
94,2020-06-26,219.05,224.76,203.57,203.86,203.86,1648679,0.0
95,2020-06-19,204.2,229.53,200.41,221.84,221.84,2165761,0.0
96,2020-06-12,240.0,244.03,200.5,208.53,208.53,2376006,0.0
97,2020-06-05,213.41,242.965,208.0,235.2,235.2,2659596,0.0
98,2020-05-29,198.79,225.0,195.11,214.75,214.75,2784789,0.0
99,2020-05-22,182.87,195.84,180.59,189.49,189.49,2079390,0.0
100,2020-05-15,183.01,183.06,152.76,172.79,172.79,3049606,0.0
101,2020-05-08,181.42,192.43,175.26,185.85,185.85,1959498,0.0
102,2020-05-01,184.37,204.84,180.02,184.86,184.86,2321135,0.0
103,2020-04-24,167.95,185.82,165.067,184.0,184.0,2385870,0.0
104,2020-04-17,181.4,185.4,153.4481,173.69,173.69,2491202,0.0
105,2020-04-09,149.22,186.84,146.92,185.69,185.69,2448482,0.0
106,2020-04-03,155.85,163.45,136.63,139.34,139.34,2789273,0.0
107,2020-03-27,152.27,173.6353,135.63,159.34,159.34,4230874,0.0
108,2020-03-20,132.7,182.0,127.39,150.64,150.64,6127356,0.0
109,2020-03-13,153.73,165.37,127.5558,156.67,156.67,6268547,0.0
110,2020-03-06,209.56,218.43,169.24,174.44,174.44,4183656,0.0
111,2020-02-28,249.7,250.35,199.03,208.16,208.16,4309902,0.0
112,2020-02-21,264.33,270.95,258.775,261.42,261.42,1494538,0.0
113,2020-02-14,255.43,267.53,254.67,265.42,265.42,1579667,0.0
114,2020-02-07,244.0,266.52,242.835,257.15,257.15,2330258,0.0
115,2020-01-31,244.68,254.99,239.69,240.33,240.33,2671597,0.0
116,2020-01-24,256.81,270.395,250.01,252.66,252.66,2715561,0.0
117,2020-01-17,253.32,258.49,248.39,258.4,258.4,2127307,0.0
118,2020-01-10,246.84,257.94,245.06,251.73,251.73,2291978,0.0
119,2020-01-03,251.93,254.28,246.8,250.33,250.33,1237651,0.0
120,2019-12-27,252.0,254.21,248.7701,250.31,250.31,688258,0.0
121,2019-12-20,253.25,255.815,248.12,250.94,250.94,2741447,0.0
122,2019-12-13,236.15,257.07,234.61,249.31,249.31,2700751,0.0
123,2019-12-06,232.66,240.25,220.06,237.41,237.41,1691484,0.0
124,2019-11-29,232.42,236.33,230.8,231.73,231.73,789619,0.0
125,2019-11-22,234.14,234.14,224.18,231.02,231.02,2405475,0.0
126,2019-11-15,236.62,241.11,231.3,234.06,234.06,1417852,0.0
127,2019-11-08,233.02,241.94,231.36,238.6,238.6,2767000,0.0
128,2019-11-01,222.26,230.99,218.36,230.89,230.89,2493998,0.0
129,2019-10-25,207.98,221.745,206.34,219.79,219.79,2298712,0.0
130,2019-10-18,199.52,209.2489,198.71,204.72,204.72,2230566,0.0
131,2019-10-11,197.04,204.94,188.02,202.16,202.16,2730631,0.0
132,2019-10-04,208.18,213.485,189.18,197.67,197.67,2896041,0.0
133,2019-09-27,214.42,216.84,205.41,206.15,206.15,2692651,0.0
134,2019-09-20,221.43,223.0,210.75,216.58,216.58,2770614,0.0
135,2019-09-13,203.9,227.2875,201.75,224.01,224.01,3279490,0.0
136,2019-09-06,192.48,202.19,188.14,201.28,201.28,1352398,0.0
137,2019-08-30,189.35,198.2,183.04,194.62,194.62,1987157,0.0
138,2019-08-23,196.08,197.36,186.56,187.45,187.45,2362179,0.0
139,2019-08-16,195.86,202.55,185.52,191.71,191.71,2659921,0.0
140,2019-08-09,211.29,211.61,192.02,199.23,199.23,3621909,0.0
141,2019-08-02,233.59,234.95,211.96,215.05,215.05,2361277,0.0
142,2019-07-26,218.85,234.41,217.01,233.79,233.79,3587834,0.0
143,2019-07-19,223.15,223.25,212.4,219.31,219.31,2177304,0.0
144,2019-07-12,218.52,222.67,212.32,222.25,222.25,2373643,0.0
145,2019-07-05,227.56,228.96,214.89,222.9,222.9,1994603,0.0
146,2019-06-28,214.98,226.295,209.19,224.59,224.59,2936412,0.0
147,2019-06-21,217.79,224.87,208.67,216.19,216.19,2717340,0.0
148,2019-06-14,215.25,219.69,212.95,218.18,218.18,1928158,0.0
149,2019-06-07,200.42,216.385,197.34,212.94,212.94,3260429,0.0
150,2019-05-31,223.58,223.58,201.295,201.4,201.4,2005225,0.0
151,2019-05-24,227.92,237.545,219.555,224.6,224.6,1922127,0.0
152,2019-05-17,239.55,242.74,226.06,229.77,229.77,2382227,0.0
153,2019-05-10,251.76,259.55,242.995,247.89,247.89,1788544,0.0
154,2019-05-03,248.33,259.95,247.75,258.61,258.61,2309654,0.0
155,2019-04-26,242.47,251.39,234.77,247.63,247.63,2945572,0.0
156,2019-04-18,243.3,247.61,239.035,243.14,243.14,1769637,0.0
157,2019-04-12,236.68,246.895,231.4,243.74,243.74,1914274,0.0
158,2019-04-05,225.0,238.54,223.86,237.46,237.46,2449083,0.0
159,2019-03-29,212.41,226.0,211.83,222.36,222.36,2557125,0.0
160,2019-03-22,246.73,253.6,207.7,212.19,212.19,3212911,0.0
161,2019-03-15,240.64,248.54,238.72,246.21,246.21,2196195,0.0
162,2019-03-08,250.95,254.47,235.495,239.69,239.69,1624626,0.0
163,2019-03-01,248.19,254.98,244.0,249.67,249.67,1707513,0.0
164,2019-02-22,244.43,250.89,243.01,245.82,245.82,1657598,0.0
165,2019-02-15,234.55,247.85,234.315,246.95,246.95,2387369,0.0
166,2019-02-08,238.63,241.81,229.1,233.22,233.22,2036158,0.0
167,2019-02-01,239.39,244.98,229.01,238.28,238.28,3286184,0.0
168,2019-01-25,228.43,244.43,221.0,242.09,242.09,3204456,0.0
169,2019-01-18,211.65,232.63,211.65,230.99,230.99,2896896,0.0
170,2019-01-11,201.72,216.38,199.39,215.27,215.27,3004532,0.0
171,2019-01-04,190.78,201.06,186.43,200.41,200.41,2688570,0.0
172,2018-12-28,179.96,193.34,177.7,189.92,189.92,2638123,0.0
173,2018-12-21,190.27,197.19,182.77,183.13,183.13,4348143,0.0
174,2018-12-14,205.01,209.58,190.885,191.71,191.71,3949220,0.0
175,2018-12-07,260.47,263.16,203.491,205.8,205.8,6196460,0.0
176,2018-11-30,229.48,256.36,229.48,254.81,254.81,3506465,0.0
177,2018-11-23,240.28,243.55,225.0,226.67,226.67,2590741,0.0
178,2018-11-16,246.58,248.12,229.755,240.15,240.15,2996624,0.0
179,2018-11-09,244.37,256.1325,238.52,247.36,247.36,2943274,0.0
180,2018-11-02,235.83,249.19,216.32,244.16,244.16,6379888,0.0
181,2018-10-26,283.77,286.05,220.01,231.79,231.79,5916421,0.0
182,2018-10-19,289.54,298.415,281.5343,281.84,281.84,2845359,0.0
183,2018-10-12,319.38,320.0,282.62,290.01,290.01,3374979,0.0
184,2018-10-05,313.07,330.5,304.21,319.71,319.71,2207239,0.0
185,2018-09-28,324.1,324.91,310.1552,310.83,310.83,1819001,0.0
186,2018-09-21,319.73,329.88,314.17,324.09,324.09,2254026,0.0
187,2018-09-14,324.07,327.65,314.0275,319.29,319.29,1527732,0.0
188,2018-09-07,322.33,327.8005,319.67,322.72,322.72,1407662,0.0
189,2018-08-31,328.16,332.9,318.471,322.75,322.75,1690064,0.0
190,2018-08-24,320.35,330.27,318.5,326.53,326.53,1770625,0.0
191,2018-08-17,317.24,325.94,314.4575,320.76,320.76,1871152,0.0
192,2018-08-10,322.71,328.76,313.83,316.75,316.75,1627850,0.0
193,2018-08-03,317.69,324.86,301.03,321.66,321.66,3094250,0.0
194,2018-07-27,308.85,333.74,308.14,317.32,317.32,2859332,0.0
195,2018-07-20,296.61,312.13,296.61,308.72,308.72,2000427,0.0
196,2018-07-13,296.65,307.46,294.03,295.3,295.3,1971330,0.0
197,2018-07-06,285.45,296.98,284.42,295.42,295.42,1524364,0.0
198,2018-06-29,308.49,308.4901,287.57,288.76,288.76,3463724,0.0
199,2018-06-22,312.93,321.1,309.65,310.17,310.17,2168624,0.0
200,2018-06-15,327.91,329.65,311.38,315.82,315.82,2382715,0.0
201,2018-06-08,318.52,326.57,316.2501,325.72,325.72,2111800,0.0
202,2018-06-01,315.77,319.695,305.16,317.73,317.73,2767683,0.0
203,2018-05-25,324.63,327.91,317.6,319.46,319.46,1890243,0.0
204,2018-05-18,321.2,325.93,317.92,321.78,321.78,2350301,0.0
205,2018-05-11,306.0,324.7679,303.1,321.02,321.02,2034887,0.0
206,2018-05-04,305.92,309.4,294.23,305.82,305.82,3766690,0.0
207,2018-04-27,252.15,306.94,250.24,305.61,305.61,4150997,0.0
208,2018-04-20,249.51,253.74,241.3,250.83,250.83,2329417,0.0
209,2018-04-13,238.43,253.9,236.86,247.03,247.03,2436678,0.0
210,2018-04-06,240.0,244.98,227.781,236.06,236.06,3061293,0.0
211,2018-03-29,244.82,250.93,232.27,240.01,240.01,2905972,0.0
212,2018-03-23,265.51,268.97,238.5001,239.55,239.55,3263403,0.0
213,2018-03-16,269.0,271.48,258.13,263.8,263.8,10734313,0.0
214,2018-03-09,253.45,271.79,248.97,270.72,270.72,2031258,0.0
215,2018-03-02,249.26,257.3,244.85,255.86,255.86,1966122,0.0
216,2018-02-23,248.08,254.84,243.0,248.08,248.08,1307053,0.0
217,2018-02-16,239.9,254.38,232.41,248.81,248.81,1986244,0.0
218,2018-02-09,244.68,248.7427,226.61,238.65,238.65,2793144,0.0
219,2018-02-02,257.74,260.93,243.69,249.1,249.1,1907238,0.0
220,2018-01-26,256.78,263.09,250.0,257.83,257.83,2367838,0.0
221,2018-01-19,255.01,257.24,249.73,256.32,256.32,1387103,0.0
222,2018-01-12,243.89,254.1,241.16,253.18,253.18,1592240,0.0
223,2018-01-05,235.89,244.435,233.35,243.85,243.85,1845768,0.0
224,2017-12-29,241.0,241.0,233.0,233.77,233.77,1079960,0.0
225,2017-12-22,240.7,242.92,232.41,241.7,241.7,2173846,0.0
226,2017-12-15,232.26,239.4,227.46,237.55,237.55,4077267,0.0
227,2017-12-08,232.0,236.18,225.94,232.27,232.27,1823054,0.0
228,2017-12-01,213.0,233.46,212.3,228.17,228.17,2089492,0.0
229,2017-11-24,215.07,216.84,212.705,213.1,213.1,885234,0.0
230,2017-11-17,206.72,216.84,204.79,215.22,215.22,1740577,0.0
231,2017-11-10,219.49,220.1,204.32,208.88,208.88,2111946,0.0
232,2017-11-03,217.46,222.52,215.57,219.52,219.52,2798245,0.0
233,2017-10-27,189.59,223.82,185.4101,216.69,216.69,3123304,0.0
234,2017-10-20,184.63,190.99,180.325,189.47,189.47,1382701,0.0
235,2017-10-13,189.23,189.71,183.51,184.16,184.16,1824573,0.0
236,2017-10-06,186.54,191.47,182.41,189.1,189.1,1869983,0.0
237,2017-09-29,178.94,191.38,178.61,187.09,187.09,1782143,0.0
238,2017-09-22,170.83,180.37,169.98,179.82,179.82,2152414,0.0
239,2017-09-15,165.23,172.605,162.94,170.59,170.59,2255071,0.0
240,2017-09-08,170.81,171.66,159.44,162.46,162.46,1569551,0.0
241,2017-09-01,169.79,173.14,163.75,172.53,172.53,1574346,0.0
242,2017-08-25,166.67,171.49,163.91,169.64,169.64,1470188,0.0
243,2017-08-18,175.16,177.04,163.69,166.59,166.59,1902926,0.0
244,2017-08-11,185.83,187.71,170.27,172.03,172.03,1947312,0.0
245,2017-08-04,178.47,186.8,177.4175,184.89,184.89,2469724,0.0
246,2017-07-28,177.19,186.19,172.0,176.99,176.99,3119094,0.0
247,2017-07-21,180.55,182.19,176.73,177.42,177.42,1487670,0.0
248,2017-07-14,180.52,183.785,178.08,181.7,181.7,2252586,0.0
249,2017-07-07,177.17,182.51,176.01,181.72,181.72,1755393,0.0
250,2017-06-30,172.57,181.49,170.52,175.79,175.79,2242901,0.0
251,2017-06-23,180.47,182.91,170.62,170.84,170.84,1939716,0.0
252,2017-06-16,180.89,185.25,177.1,178.88,178.88,2623232,0.0
253,2017-06-09,168.99,183.54,165.08,180.66,180.66,2283005,0.0
254,2017-06-02,175.67,176.1,166.44,169.27,169.27,4423357,0.0
255,2017-05-26,176.07,182.23,173.671,176.5,176.5,2124527,0.0
256,2017-05-19,181.9,185.97,171.55,175.69,175.69,2841120,0.0
257,2017-05-12,182.9,187.0,177.14,181.91,181.91,2359255,0.0
258,2017-05-05,176.93,185.238,176.095,182.65,182.65,2711972,0.0
259,2017-04-28,188.43,194.87,173.0001,175.94,175.94,3255871,0.0
260,2017-04-21,176.01,184.69,173.08,183.12,183.12,1855693,0.0
261,2017-04-13,181.92,184.91,175.61,176.32,176.32,1826024,0.0
262,2017-04-07,187.11,187.89,177.1301,182.19,182.19,2509140,0.0
263,2017-03-31,174.28,189.84,170.0,186.09,186.09,2559512,0.0
264,2017-03-24,197.03,197.03,170.09,177.94,177.94,3778100,0.0
265,2017-03-17,193.05,197.97,190.27,197.19,197.19,4130505,0.0
266,2017-03-10,192.64,197.26,190.61,193.52,193.52,2074169,0.0
267,2017-03-03,189.17,198.83,187.6421,193.94,193.94,2850026,0.0
268,2017-02-24,185.69,189.29,184.49,188.23,188.23,2084615,0.0
269,2017-02-17,178.95,187.4799,178.95,184.58,184.58,1664064,0.0
270,2017-02-10,176.96,181.25,172.68,177.47,177.47,1908123,0.0
271,2017-02-03,175.89,178.47,169.47,178.05,178.05,3010710,0.0
272,2017-01-27,168.72,180.0,165.7,177.41,177.41,2730085,0.0
273,2017-01-20,174.1,174.76,165.05,170.11,170.11,2557624,0.0
274,2017-01-13,176.34,180.48,171.361,176.59,176.59,2098987,0.0
275,2017-01-06,174.66,179.97,169.41,177.52,177.52,2089863,0.0
276,2016-12-30,173.52,175.74,168.8,171.66,171.66,1015912,0.0
277,2016-12-23,168.65,173.76,166.07,173.5,173.5,1573944,0.0
278,2016-12-16,169.47,175.61,163.54,168.22,168.22,4152600,0.0
279,2016-12-09,164.02,173.58,162.31,170.8,170.8,2297191,0.0
280,2016-12-02,154.41,163.39,152.06,161.92,161.92,2542255,0.0
281,2016-11-25,152.0,156.76,150.64,155.97,155.97,1564901,0.0
282,2016-11-18,147.03,153.39,144.31,150.84,150.84,3637895,0.0
283,2016-11-11,122.08,145.36,121.12,145.03,145.03,4419406,0.0
284,2016-11-04,123.28,123.93,116.591,118.7,118.7,2613921,0.0
285,2016-10-28,126.3,128.5,122.42,122.68,122.68,2464078,0.0
286,2016-10-21,115.5,126.0,114.22,125.05,125.05,3441424,0.0
287,2016-10-14,119.98,121.75,112.0,116.3,116.3,2298059,0.0
288,2016-10-07,109.61,119.24,108.935,118.89,118.89,3549396,0.0
289,2016-09-30,108.35,110.91,104.84,110.54,110.54,1899083,0.0
290,2016-09-23,107.91,110.84,106.39,109.69,109.69,1779538,0.0
291,2016-09-16,106.87,108.07,103.12,106.84,106.84,2620742,0.0
292,2016-09-09,111.28,111.7195,106.745,107.81,107.81,1524063,0.0
293,2016-09-02,108.5,112.83,108.46,111.68,111.68,2479040,0.0
294,2016-08-26,104.98,109.83,104.64,108.51,108.51,1356873,0.0
295,2016-08-19,103.16,107.12,103.05,105.82,105.82,1650326,0.0
296,2016-08-12,104.58,106.95,101.2801,102.51,102.51,2206699,0.0
297,2016-08-05,100.77,104.08,96.865,103.73,103.73,2531129,0.0
298,2016-07-29,100.25,104.77,100.01,100.42,100.42,2035081,0.0
299,2016-07-22,102.6,105.26,98.055,101.01,101.01,2784545,0.0
300,2016-07-15,95.81,103.68,95.36,102.55,102.55,2816862,0.0
301,2016-07-08,92.85,96.72,87.28,94.89,94.89,2846793,0.0
302,2016-07-01,91.15,96.1099,82.9,93.85,93.85,6408720,0.0
303,2016-06-24,101.03,104.91,90.27,93.39,93.39,3689864,0.0
304,2016-06-17,102.73,104.95,95.9,98.61,98.61,3186661,0.0
305,2016-06-10,106.33,109.92,103.49,103.77,103.77,1968901,0.0
306,2016-06-03,109.4,110.97,103.07,106.14,106.14,2609712,0.0
307,2016-05-27,102.65,108.62,100.83,108.6,108.6,2440471,0.0
308,2016-05-20,92.61,103.64,92.5101,102.67,102.67,3892930,0.0
309,2016-05-13,96.38,99.69,91.37,92.1,92.1,2666589,0.0
310,2016-05-06,104.08,106.12,94.63,96.77,96.77,3138837,0.0
311,2016-04-29,106.94,107.6,101.71,104.28,104.28,3768209,0.0
312,2016-04-22,107.91,115.9299,101.0,107.16,107.16,4722052,0.0
313,2016-04-15,100.02,112.69,99.17,108.82,108.82,2684898,0.0
314,2016-04-08,102.8,103.98,96.34,99.11,99.11,2309039,0.0
315,2016-04-01,99.97,104.65,97.3,103.05,103.05,3485006,0.0
316,2016-03-24,98.95,101.45,96.85,99.77,99.77,1944933,0.0
317,2016-03-18,99.79,102.995,94.47,98.94,98.94,3632431,0.0
318,2016-03-11,101.0,103.04,92.55,100.31,100.31,3674470,0.0
319,2016-03-04,90.67,102.78,88.195,101.66,101.66,4566937,0.0
