,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,248.13,251.69,244.34,249.35,249.35,1089281,0.0
1,2022-04-08,247.32,250.885,241.02,249.12,249.12,2326661,0.0
2,2022-04-01,238.58,249.06,238.58,248.0,248.0,2204490,0.0
3,2022-03-25,234.01,238.4,229.69,238.22,238.22,1589186,0.0
4,2022-03-18,221.47,235.17,216.95,234.71,234.71,2776103,0.0
5,2022-03-11,244.41,245.135,218.58,218.76,218.76,3498641,0.0
6,2022-03-04,234.99,246.18,233.47,245.18,245.18,2540081,0.0
7,2022-02-25,225.54,237.76,219.58,237.32,237.32,1812721,0.43
8,2022-02-18,230.5,233.94,224.24,226.03,225.6068,2583546,0.0
9,2022-02-11,224.85,244.72,224.57,229.79,229.3597,3086129,0.0
10,2022-02-04,220.26,229.28,219.73,225.94,225.5169,2147522,0.0
11,2022-01-28,224.49,224.96,211.99,219.85,219.4383,2348748,0.0
12,2022-01-21,231.43,237.85,224.38,227.68,227.2537,2028561,0.0
13,2022-01-14,233.22,243.34,227.5,234.52,234.0809,2450613,0.0
14,2022-01-07,243.11,248.295,232.8,234.81,234.3703,2260605,0.0
15,2021-12-31,242.05,245.815,241.18,243.41,242.9542,1262367,0.0
16,2021-12-23,230.5,242.34,222.55,241.07,240.6186,1664364,0.0
17,2021-12-17,229.82,235.945,224.81,232.54,232.1046,2611935,0.0
18,2021-12-10,220.57,235.44,220.14,229.79,229.3597,1913492,0.0
19,2021-12-03,228.92,230.34,215.5,219.57,219.1589,2914307,0.0
20,2021-11-26,232.17,233.83,226.35,227.31,226.8844,1175914,0.43
21,2021-11-19,231.7,237.35,229.03,233.54,232.6695,2889145,0.0
22,2021-11-12,225.0,232.42,224.95,231.55,230.6869,1869291,0.0
23,2021-11-05,234.85,237.0,220.8638,224.58,223.7429,2731013,0.0
24,2021-10-29,235.46,237.27,229.76,233.74,232.8688,1803142,0.0
25,2021-10-22,224.16,235.45,221.58,235.31,234.4329,2210712,0.0
26,2021-10-15,220.0,225.66,217.05,225.09,224.251,2751177,0.0
27,2021-10-08,206.33,219.54,203.92,219.49,218.6719,3068061,0.0
28,2021-10-01,219.42,219.71,202.03,207.6,206.8262,2094396,0.0
29,2021-09-24,213.08,221.06,210.7,220.21,219.3892,2152539,0.0
30,2021-09-17,211.38,218.225,208.3371,215.09,214.2883,3629999,0.0
31,2021-09-10,216.67,217.39,209.58,209.71,208.9283,1576392,0.0
32,2021-09-03,213.86,219.15,213.23,217.82,217.0081,1929663,0.43
33,2021-08-27,215.99,216.47,212.23,213.61,212.395,1878643,0.0
34,2021-08-20,219.12,226.0,212.82,214.9,213.6777,2968340,0.0
35,2021-08-13,217.13,225.48,214.62,218.85,217.6052,2668526,0.0
36,2021-08-06,219.03,219.98,214.18,216.29,215.0597,2368458,0.0
37,2021-07-30,211.61,219.54,209.88,217.95,216.7103,1777878,0.0
38,2021-07-23,205.97,213.89,202.955,212.47,211.2615,1771861,0.0
39,2021-07-16,210.75,211.9,204.27,207.7,206.5186,1818380,0.0
40,2021-07-09,208.94,213.44,207.93,211.24,210.0385,1864885,0.0
41,2021-07-02,207.0,210.0,204.59,209.63,208.4376,2124550,0.0
42,2021-06-25,200.07,207.27,197.65,206.8,205.6237,2849090,0.0
43,2021-06-18,198.71,201.95,196.72,199.12,197.9874,3646183,0.0
44,2021-06-11,194.4,200.12,190.86,198.53,197.4008,4285900,0.0
45,2021-06-04,191.97,193.71,188.1,193.61,192.5088,6413776,0.0
46,2021-05-28,191.84,195.4,189.29,190.86,189.7744,3932398,0.4
47,2021-05-21,197.42,198.94,188.295,190.53,189.0501,4315183,0.0
48,2021-05-14,211.94,211.94,197.51,197.78,196.2438,2820794,0.0
49,2021-05-07,212.84,214.835,208.08,211.5,209.8572,3043147,0.0
50,2021-04-30,214.96,216.74,209.04,211.02,209.381,4376918,0.0
51,2021-04-23,207.94,215.47,206.67,214.82,213.1515,2797976,0.0
52,2021-04-16,198.62,208.65,198.62,208.14,206.5233,3222907,0.0
53,2021-04-09,194.59,200.69,192.44,199.15,197.6032,3032901,0.0
54,2021-04-01,193.69,195.635,187.49,193.5,191.9971,2153179,0.0
55,2021-03-26,185.77,193.775,184.68,193.68,192.1757,3073557,0.0
56,2021-03-19,183.97,188.7,183.16,187.24,185.7857,3511771,0.0
57,2021-03-12,176.83,185.295,170.63,184.05,182.6205,3568530,0.0
58,2021-03-05,176.05,179.51,170.36,177.15,175.774,3847974,0.0
59,2021-02-26,177.0,177.9,171.83,174.8,173.4423,3276338,0.4
60,2021-02-19,182.92,185.12,178.22,178.73,176.9333,2785579,0.0
61,2021-02-12,183.1,186.07,181.52,183.0,181.1604,2402069,0.0
62,2021-02-05,188.16,193.34,176.56,183.18,181.3386,3703170,0.0
63,2021-01-29,188.7,195.0,185.28,187.11,185.2291,3330006,0.0
64,2021-01-22,186.11,191.3,181.75,188.76,186.8625,2201749,0.0
65,2021-01-15,201.64,203.905,183.91,184.38,182.5265,2731988,0.0
66,2021-01-08,189.78,203.8936,186.1533,202.81,200.7713,2061416,0.0
67,2020-12-31,188.15,189.7,184.43,189.54,187.6347,807731,0.0
68,2020-12-24,182.64,186.21,178.085,186.19,184.3183,1123108,0.0
69,2020-12-18,186.93,190.68,180.59,184.9,183.0413,3235314,0.0
70,2020-12-11,193.05,194.42,185.53,186.22,184.348,1893943,0.0
71,2020-12-04,191.69,195.0,190.365,193.49,191.5449,1982066,0.0
72,2020-11-27,196.25,196.42,188.2768,191.69,189.763,1205943,0.4
73,2020-11-20,195.0,196.8,190.5386,196.05,193.6695,1810650,0.0
74,2020-11-13,190.23,195.24,184.17,192.79,190.4491,1832618,0.0
75,2020-11-06,178.24,186.58,174.18,181.67,179.4641,2235044,0.0
76,2020-10-30,185.81,188.01,172.9,177.19,175.0385,1559220,0.0
77,2020-10-23,189.34,191.52,185.66,187.54,185.2629,961136,0.0
78,2020-10-16,189.2,192.97,184.33,188.88,186.5866,1584970,0.0
79,2020-10-09,173.43,189.345,173.19,188.45,186.1618,2449974,0.0
80,2020-10-02,172.97,178.755,171.35,172.67,170.5734,2374843,0.0
81,2020-09-25,173.95,173.95,164.19,170.21,168.1433,2592760,0.0
82,2020-09-18,163.67,176.06,163.58,175.91,173.7741,3187018,0.0
83,2020-09-11,157.1,165.32,155.99,162.28,160.3096,2349484,0.0
84,2020-09-04,157.84,164.16,156.965,157.92,156.0025,1852192,0.0
85,2020-08-28,153.84,158.58,151.79,157.64,155.7259,1512859,0.4
86,2020-08-21,158.7,160.6943,152.385,153.46,151.2046,1516614,0.0
87,2020-08-14,154.1,160.97,153.52,158.7,156.3676,1970669,0.0
88,2020-08-07,159.94,164.12,152.37,154.22,151.9534,2365649,0.0
89,2020-07-31,156.35,163.34,155.85,159.63,157.2839,2344397,0.0
90,2020-07-24,159.94,160.5,154.86,156.35,154.0521,1717259,0.0
91,2020-07-17,151.62,160.81,149.82,159.96,157.6091,1980230,0.0
92,2020-07-10,155.51,156.21,147.32,150.51,148.298,2816231,0.0
93,2020-07-02,150.21,157.13,148.19,154.01,151.7465,2326406,0.0
94,2020-06-26,152.0,156.16,146.12,148.33,146.15,3786168,0.0
95,2020-06-19,149.08,157.35,148.08,152.24,150.0025,2324554,0.0
96,2020-06-12,162.66,165.8,148.91,151.82,149.5887,2571989,0.37
97,2020-06-05,165.49,166.98,159.99,163.91,161.1019,2793572,0.0
98,2020-05-29,159.65,166.39,156.94,165.89,163.0479,1979141,0.0
99,2020-05-22,154.58,160.57,153.64,157.48,154.782,2326731,0.0
100,2020-05-15,147.0,153.95,144.11,151.32,148.7276,4562413,0.0
101,2020-05-08,141.39,148.78,138.66,148.25,145.7101,3256347,0.0
102,2020-05-01,149.36,151.75,139.7,141.4,138.9775,2871221,0.0
103,2020-04-24,153.9,160.16,145.53,147.82,145.2875,3362412,0.0
104,2020-04-17,152.54,158.53,145.26,154.97,152.315,3862565,0.0
