,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,51.81,54.56,51.8,54.29,54.29,3784347,0.0
1,2022-04-08,52.25,52.4,49.77,51.56,51.56,6686102,0.0
2,2022-04-01,53.96,54.66,51.52,52.42,52.42,4966541,0.0
3,2022-03-25,53.16,53.985,52.16,53.96,53.96,4699215,0.0
4,2022-03-18,51.5,53.11,50.28,52.96,52.96,7628497,0.0
5,2022-03-11,50.39,53.81,50.025,50.82,50.82,12990555,0.0
6,2022-03-04,51.31,52.3,49.12,50.87,50.87,10138857,0.38
7,2022-02-25,48.82,52.95,47.64,52.92,52.5276,14074653,0.0
8,2022-02-18,50.07,50.365,48.45,49.0,48.6367,5131953,0.0
9,2022-02-11,47.94,50.0,47.349,49.79,49.4208,6610719,0.0
10,2022-02-04,47.55,49.28,47.25,47.71,47.3562,6715436,0.0
11,2022-01-28,48.13,50.56,47.21,48.21,47.8525,7171587,0.0
12,2022-01-21,51.6,52.15,48.41,48.62,48.2595,6879931,0.0
13,2022-01-14,50.695,51.91,48.28,51.69,51.3067,8542298,0.0
14,2022-01-07,46.54,50.98,46.47,50.64,50.2645,11558094,0.0
15,2021-12-31,45.54,46.51,45.21,46.35,46.0063,4869436,0.0
16,2021-12-23,44.27,45.65,42.6,45.59,45.252,9078590,0.0
17,2021-12-17,46.16,46.77,44.31,44.74,44.4083,10832589,0.0
18,2021-12-10,46.39,48.16,45.31,46.23,45.8872,6670014,0.0
19,2021-12-03,45.89,46.1,43.65,45.75,45.4108,9603996,0.34
20,2021-11-26,46.09,48.16,45.01,45.6,44.9253,4706968,0.0
21,2021-11-19,47.88,49.65,45.55,45.91,45.2307,6761360,0.0
22,2021-11-12,46.67,47.9,45.38,47.6,46.8957,5492896,0.0
23,2021-11-05,44.11,47.78,43.86,46.61,45.9204,9041818,0.0
24,2021-10-29,44.38,45.0,42.46,44.09,43.4376,13109306,0.0
25,2021-10-22,44.86,45.83,43.97,44.44,43.7825,7449396,0.0
26,2021-10-15,46.55,46.94,45.05,45.62,44.945,6529110,0.0
27,2021-10-08,47.22,48.425,46.28,46.77,46.078,7875965,0.0
28,2021-10-01,47.0,49.51,46.2,47.13,46.4327,8966294,0.0
29,2021-09-24,45.04,46.74,44.49,46.51,45.8218,7658241,0.0
30,2021-09-17,45.98,47.59,45.42,45.8,45.1223,8822355,0.0
31,2021-09-10,46.76,46.85,45.02,45.57,44.8957,6892777,0.0
32,2021-09-03,47.5,47.83,46.55,46.98,46.2849,6054641,0.0
33,2021-08-27,48.0,48.645,46.77,47.51,46.807,6048259,0.34
34,2021-08-20,50.56,51.02,47.605,47.79,46.7483,5949856,0.0
35,2021-08-13,49.0,52.16,48.89,50.54,49.4384,8150938,0.0
36,2021-08-06,48.89,50.5699,47.995,49.1,48.0298,8058176,0.0
37,2021-07-30,49.73,50.59,48.42,48.89,47.8244,10167966,0.0
38,2021-07-23,50.0,51.62,49.2,49.7,48.6167,10637128,0.0
39,2021-07-16,52.66,53.1699,50.36,50.49,49.3895,7213392,0.0
40,2021-07-09,53.54,53.74,51.42,53.18,52.0209,7324966,0.0
41,2021-07-02,55.17,55.21,53.31,53.81,52.6371,6908961,0.0
42,2021-06-25,54.61,55.8652,54.21,55.08,53.8795,9045319,0.0
43,2021-06-18,59.9,60.15,54.21,54.23,53.048,11506615,0.0
44,2021-06-11,60.44,61.48,59.33,59.96,58.6531,6463916,0.0
45,2021-06-04,58.79,60.4,58.03,60.11,58.7998,7279810,0.0
46,2021-05-28,57.15,58.93,56.8,58.32,57.0488,11321244,0.0
47,2021-05-21,58.47,58.9,53.7,57.15,55.9043,11107665,0.0
48,2021-05-14,60.2,61.11,57.059,58.18,56.9119,7887999,0.0
49,2021-05-07,55.24,60.055,55.02,59.51,58.2129,12178043,0.0
50,2021-04-30,52.24,55.71,51.62,54.95,53.7523,12686647,0.0
51,2021-04-23,53.5,54.45,52.02,52.27,51.1307,8867395,0.0
52,2021-04-16,50.28,53.59,49.83,53.47,52.3045,10923222,0.0
53,2021-04-09,52.35,53.37,49.92,50.0,48.9102,10749345,0.0
54,2021-04-01,51.0,53.26,50.16,51.9,50.7688,9506947,0.0
55,2021-03-26,49.2,51.4,48.025,51.37,50.2503,11528726,0.0
56,2021-03-19,46.61,50.27,46.51,49.2,48.1276,18078496,0.0
57,2021-03-12,46.48,48.14,45.7,46.63,45.6136,12929585,0.0
58,2021-03-05,45.32,46.7,44.37,46.16,45.1539,12564274,0.0
59,2021-02-26,44.6,47.42,44.36,44.45,43.4811,14204221,0.0
60,2021-02-19,44.69,45.79,43.62,44.4,43.4322,11789294,0.0
61,2021-02-12,48.93,49.28,43.43,44.01,43.0507,19661807,0.0
62,2021-02-05,50.54,50.95,48.58,48.98,47.9124,10030621,0.0
63,2021-01-29,50.0,56.1,49.81,50.16,49.0667,12778509,0.0
64,2021-01-22,52.94,53.19,49.95,50.52,49.4188,6630690,0.0
65,2021-01-15,48.92,53.715,48.8153,52.54,51.3948,11460881,0.0
66,2021-01-08,46.52,50.05,44.81,49.5,48.4211,10890204,0.0
67,2020-12-31,45.83,46.23,44.8154,45.19,44.205,6548982,0.0
68,2020-12-24,44.47,45.6,43.91,45.47,44.4789,5799264,0.0
69,2020-12-18,47.89,48.27,44.805,45.51,44.518,11854803,0.0
70,2020-12-11,47.36,48.6218,46.9,47.3,46.269,9717021,0.0
71,2020-12-04,46.33,47.56,44.8,47.54,46.5038,15575187,0.0
72,2020-11-27,43.9,47.3,43.39,46.8,45.7799,10895561,0.0
73,2020-11-20,45.26,45.4798,43.25,43.56,42.6105,12892008,0.0
74,2020-11-13,41.2,44.51,40.41,44.14,43.1779,14573344,0.0
75,2020-11-06,35.5,38.99,35.01,38.32,37.4848,19627688,0.0
76,2020-10-30,35.46,35.46,32.54,35.26,34.4915,17476065,0.0
77,2020-10-23,35.46,36.2,34.11,35.68,34.9023,7502801,0.0
78,2020-10-16,36.01,36.24,34.64,35.4,34.6284,12260705,0.0
79,2020-10-09,34.25,37.06,33.82,36.11,35.3229,11791490,0.0
80,2020-10-02,33.25,35.25,32.35,34.04,33.298,13939308,0.0
81,2020-09-25,33.87,34.165,32.11,32.65,31.9383,14675356,0.0
82,2020-09-18,35.33,35.51,33.92,34.31,33.5622,15013082,0.0
83,2020-09-11,38.23,38.445,34.59,35.09,34.3252,10414001,0.0
84,2020-09-04,37.69,38.71,36.685,38.32,37.4848,9332891,0.0
85,2020-08-28,36.98,38.42,36.6801,37.89,37.0641,4978651,0.0
86,2020-08-21,37.64,38.3,36.22,36.8,35.9979,6611823,0.0
87,2020-08-14,37.42,39.24,37.36,37.68,36.8587,7261349,0.0
88,2020-08-07,37.54,37.5567,36.11,37.27,36.4576,7961120,0.0
89,2020-07-31,36.33,39.02,35.8,37.52,36.7022,15005623,0.0
90,2020-07-24,35.92,36.77,34.79,36.49,35.6946,8593033,0.0
