,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,422.08,426.78,409.86,418.34,418.34,484509,0.0
1,2022-04-08,445.12,450.9648,425.09,425.76,425.76,823005,0.0
2,2022-04-01,431.21,453.03,430.17,443.94,443.94,888875,0.0
3,2022-03-25,432.28,446.03,422.9223,429.52,429.52,650377,0.0
4,2022-03-18,398.64,437.23,389.46,435.99,435.99,1214106,0.0
5,2022-03-11,421.1,422.32,397.735,398.31,398.31,1032098,0.0
6,2022-03-04,426.88,439.3199,411.65,416.68,416.68,893292,0.0
7,2022-02-25,407.6,430.71,385.0,429.92,429.92,1015106,0.0
8,2022-02-18,467.44,479.77,409.85,411.28,411.28,1420730,0.0
9,2022-02-11,471.34,492.59,462.63,467.67,467.67,958649,0.0
10,2022-02-04,450.17,480.92,450.17,470.75,470.75,964376,0.0
11,2022-01-28,447.41,467.45,428.68,450.52,450.52,1087625,0.0
12,2022-01-21,471.12,479.0,452.91,454.53,454.53,782261,0.0
13,2022-01-14,474.88,509.96,472.0,480.52,480.52,1045068,0.0
14,2022-01-07,536.41,538.955,481.14,483.59,483.59,911042,0.0
15,2021-12-31,527.94,544.045,526.52,537.95,537.95,564155,0.0
16,2021-12-23,496.66,528.99,492.78,523.11,523.11,487895,0.0
17,2021-12-17,516.49,523.63,495.23,501.67,501.67,1153424,0.0
18,2021-12-10,501.49,530.89,495.0,515.08,515.08,809342,0.0
19,2021-12-03,509.05,533.11,494.0,501.55,501.55,1137402,0.0
20,2021-11-26,548.34,549.99,500.5,501.43,501.43,614645,0.0
21,2021-11-19,550.89,557.55,538.55,547.88,547.88,623995,0.0
22,2021-11-12,534.45,551.22,529.82,550.19,550.19,668599,0.0
23,2021-11-05,543.0,549.08,530.62,533.1,533.1,985130,0.0
24,2021-10-29,528.43,546.98,522.26,543.22,543.22,951059,0.0
25,2021-10-22,503.29,528.95,501.16,527.79,527.79,668202,0.0
26,2021-10-15,474.5,504.88,473.09,503.58,503.58,544816,0.0
27,2021-10-08,460.89,477.39,452.26,475.91,475.91,710224,0.0
28,2021-10-01,479.47,479.47,450.2,464.33,464.33,799290,0.0
29,2021-09-24,463.32,484.99,455.99,482.51,482.51,701005,0.0
30,2021-09-17,474.68,474.68,462.6,467.56,467.56,855044,0.0
31,2021-09-10,486.53,488.59,471.3,471.68,471.68,351562,0.0
32,2021-09-03,476.71,491.335,476.21,488.1,488.1,713818,0.0
33,2021-08-27,474.04,481.15,469.53,476.17,476.17,587514,0.0
34,2021-08-20,477.33,478.495,464.33,472.68,472.68,723935,0.0
35,2021-08-13,495.0,495.0,471.15,477.78,477.78,876526,0.0
36,2021-08-06,492.17,496.835,485.8004,494.01,494.01,989291,0.0
37,2021-07-30,495.6,498.98,482.07,492.64,492.64,812428,0.0
38,2021-07-23,469.52,498.78,469.52,497.85,497.85,854195,0.0
39,2021-07-16,481.27,485.56,467.19,473.43,473.43,798635,0.0
40,2021-07-09,465.24,481.0,464.09,478.84,478.84,682619,0.0
41,2021-07-02,455.0,465.2,449.68,464.43,464.43,768753,0.0
42,2021-06-25,439.02,453.665,435.11,453.3,453.3,1150445,0.0
43,2021-06-18,432.35,451.28,425.53,440.21,440.21,1835123,0.0
44,2021-06-11,405.47,431.55,403.52,430.79,430.79,1169316,0.0
45,2021-06-04,402.75,406.21,394.61,403.22,403.22,937562,0.0
46,2021-05-28,406.12,411.47,399.835,403.16,403.16,1288191,0.0
47,2021-05-21,394.87,408.7,389.98,401.88,401.88,1390791,0.0
48,2021-05-14,397.62,401.93,384.38,398.95,398.95,1417920,0.0
49,2021-05-07,427.19,433.5,395.71,399.87,399.87,1345886,0.0
50,2021-04-30,450.84,456.8,422.1,424.86,424.86,1387565,0.0
51,2021-04-23,447.44,456.95,442.89,451.5,451.5,751699,0.0
52,2021-04-16,438.71,453.63,433.67,448.2,448.2,761217,0.0
53,2021-04-09,433.4,443.58,429.79,442.67,442.67,911952,0.0
54,2021-04-01,419.53,435.17,407.91,431.82,431.82,859142,0.0
55,2021-03-26,416.82,425.67,404.04,419.48,419.48,984927,0.0
56,2021-03-19,411.14,431.46,411.14,420.04,420.04,1472559,0.0
57,2021-03-12,398.54,414.42,390.78,411.82,411.82,1832015,0.0
58,2021-03-05,466.08,479.785,372.8,401.06,401.06,4038540,0.0
59,2021-02-26,468.57,475.11,447.99,463.42,463.42,1266035,0.0
60,2021-02-19,471.78,479.615,460.04,473.88,473.88,747013,0.0
61,2021-02-12,425.7,475.43,421.36,474.79,474.79,1485819,0.0
62,2021-02-05,426.99,432.98,416.63,422.12,422.12,1356266,0.0
63,2021-01-29,427.11,436.525,417.41,422.79,422.79,1802260,0.0
64,2021-01-22,426.08,432.901,419.5,424.4,424.4,587700,0.0
65,2021-01-15,433.41,434.9,417.18,422.32,422.32,900189,0.0
66,2021-01-08,438.77,447.24,424.33,436.39,436.39,1362143,0.0
67,2020-12-31,439.74,439.875,426.4,436.52,436.52,838246,0.0
68,2020-12-24,442.99,446.77,430.64,434.26,434.26,1446674,0.0
69,2020-12-18,450.62,466.21,443.93,448.81,448.81,2005566,0.0
70,2020-12-11,422.82,452.76,422.82,450.8,450.8,1553357,0.0
71,2020-12-04,424.66,435.26,414.365,420.44,420.44,1169219,0.0
72,2020-11-27,415.99,426.31,409.22,426.11,426.11,486103,0.0
73,2020-11-20,412.28,417.56,405.195,414.47,414.47,788608,0.0
74,2020-11-13,416.75,429.91,404.92,416.15,416.15,1177699,0.0
75,2020-11-06,385.32,428.85,383.11,414.45,414.45,1777249,0.0
76,2020-10-30,403.35,404.95,377.405,384.38,384.38,911551,0.0
77,2020-10-23,400.0,404.77,389.96,404.4,404.4,931561,0.0
78,2020-10-16,392.93,402.03,387.45,398.52,398.52,801390,0.0
79,2020-10-09,351.76,390.2,349.23,389.28,389.28,1079176,0.0
80,2020-10-02,346.29,358.435,340.84,350.72,350.72,1170222,0.0
81,2020-09-25,330.17,345.94,324.665,345.46,345.46,1264523,0.0
82,2020-09-18,329.25,339.27,324.09,332.51,332.51,1728530,0.0
83,2020-09-11,322.56,334.635,319.58,325.33,325.33,1060629,0.0
84,2020-09-04,339.58,351.88,322.0,329.81,329.81,1544157,0.0
85,2020-08-28,343.58,346.9,331.98,337.63,337.63,1149522,0.0
86,2020-08-21,337.2,344.5238,336.4,339.91,339.91,1508595,0.0
87,2020-08-14,356.78,356.78,325.13,335.57,335.57,1651830,0.0
88,2020-08-07,358.0,371.05,351.5,356.88,356.88,1124047,0.0
89,2020-07-31,360.67,361.9,339.3,357.25,357.25,1441037,0.0
90,2020-07-24,358.39,374.98,352.56,357.19,357.19,1046947,0.0
91,2020-07-17,361.28,361.84,341.33,355.8,355.8,1215200,0.0
92,2020-07-10,359.74,363.01,347.79,359.73,359.73,1502300,0.0
93,2020-07-02,339.95,357.34,332.38,355.22,355.22,1328100,0.0
94,2020-06-26,333.56,345.22,328.02,340.79,340.79,2885185,0.0
95,2020-06-19,337.04,355.155,330.38,333.21,333.21,10049177,0.0
96,2020-06-12,354.99,366.81,337.85,342.71,342.71,1566254,0.0
97,2020-06-05,373.34,382.92,355.19,358.43,358.43,1814080,0.0
98,2020-05-29,363.97,379.93,343.0,375.31,375.31,3072315,0.0
99,2020-05-22,356.13,368.98,350.4795,360.05,360.05,1585046,0.0
100,2020-05-15,328.67,354.93,326.164,354.75,354.75,1717237,0.0
101,2020-05-08,315.0,337.73,308.915,330.23,330.23,1221401,0.0
102,2020-05-01,316.23,326.0,305.3,314.78,314.78,1559920,0.0
103,2020-04-24,325.8,336.015,311.62,314.71,314.71,1577612,0.0
104,2020-04-17,308.72,331.68,304.51,326.72,326.72,1504065,0.0
105,2020-04-09,287.34,316.06,285.26,311.99,311.99,1267027,0.0
106,2020-04-03,286.66,308.31,275.38,284.82,284.82,1762234,0.0
107,2020-03-27,261.44,289.08,257.8012,282.83,282.83,1680829,0.0
108,2020-03-20,256.75,287.33,247.22,260.76,260.76,1826834,0.0
109,2020-03-13,304.64,312.39,264.45,287.13,287.13,2152235,0.0
110,2020-03-06,314.45,337.305,311.9,321.65,321.65,1659949,0.0
111,2020-02-28,321.05,329.72,302.375,313.35,313.35,1559041,0.0
112,2020-02-21,324.31,336.97,324.31,330.15,330.15,1560602,0.0
113,2020-02-14,329.32,340.8015,327.98,338.25,338.25,1377334,0.0
114,2020-02-07,325.68,338.41,324.7293,329.74,329.74,1175480,0.0
115,2020-01-31,304.91,324.39,304.05,323.68,323.68,1095877,0.0
116,2020-01-24,308.46,315.26,306.9383,309.9,309.9,841509,0.0
117,2020-01-17,307.72,315.005,307.54,309.03,309.03,1156933,0.0
118,2020-01-10,304.0,320.46,302.625,310.23,310.23,1250365,0.0
119,2020-01-03,300.16,308.42,294.78,306.67,306.67,1194157,0.0
120,2019-12-27,300.22,301.39,296.22,300.57,300.57,730059,0.0
121,2019-12-20,285.82,299.85,285.03,299.78,299.78,1741609,0.0
122,2019-12-13,286.27,287.235,277.19,284.7,284.7,1201655,0.0
123,2019-12-06,289.33,290.64,282.64,286.27,286.27,1710096,0.0
124,2019-11-29,288.57,293.84,287.95,290.17,290.17,3723396,0.0
125,2019-11-22,284.3,290.61,283.81,287.11,287.11,1427009,0.0
126,2019-11-15,276.29,286.74,275.01,284.83,284.83,1236130,0.0
127,2019-11-08,272.75,278.89,268.67,277.72,277.72,1147059,0.0
128,2019-11-01,262.23,275.0,245.0,271.97,271.97,1533117,0.0
129,2019-10-25,265.15,265.8096,257.69,260.93,260.93,862843,0.0
130,2019-10-18,268.29,271.8699,258.96,263.23,263.23,1057453,0.0
131,2019-10-11,261.39,270.6,255.1,268.24,268.24,1186335,0.0
132,2019-10-04,256.2,265.56,255.45,262.29,262.29,1416620,0.0
133,2019-09-27,258.85,265.0,255.37,256.26,256.26,1194400,0.0
134,2019-09-20,255.2,262.99,255.2,258.32,258.32,1157075,0.0
135,2019-09-13,258.96,259.95,248.03,256.7,256.7,1095078,0.0
136,2019-09-06,255.4,261.7,254.05,257.78,257.78,814422,0.0
137,2019-08-30,255.79,258.95,250.6373,256.54,256.54,961678,0.0
138,2019-08-23,257.18,260.04,250.4,253.42,253.42,918027,0.0
139,2019-08-16,254.97,258.5205,248.61,254.3,254.3,934600,0.0
140,2019-08-09,238.8,257.505,238.5658,255.54,255.54,1617392,0.0
141,2019-08-02,233.0,250.45,228.54,248.75,248.75,2045396,0.0
142,2019-07-26,221.85,233.87,218.0,232.58,232.58,683232,0.0
143,2019-07-19,226.5,227.16,220.87,221.02,221.02,799509,0.0
144,2019-07-12,221.57,227.75,217.24,227.27,227.27,681514,0.0
145,2019-07-05,220.19,222.23,217.1877,221.99,221.99,330982,0.0
146,2019-06-28,223.78,225.12,210.8,216.02,216.02,1048112,0.0
147,2019-06-21,217.52,228.47,217.005,223.8,223.8,744495,0.0
148,2019-06-14,220.32,224.0,216.6852,219.19,219.19,765339,0.0
149,2019-06-07,212.73,220.826,205.9,219.91,219.91,857469,0.0
150,2019-05-31,216.13,220.705,210.7,213.35,213.35,670440,0.0
151,2019-05-24,210.44,220.8,209.89,215.45,215.45,864247,0.0
152,2019-05-17,213.6,218.0,209.46,213.71,213.71,795142,0.0
153,2019-05-10,215.0,222.67,210.37,218.23,218.23,1234912,0.0
154,2019-05-03,227.12,233.15,207.53,218.29,218.29,1906230,0.0
155,2019-04-26,217.45,226.465,217.41,225.91,225.91,1055972,0.0
156,2019-04-18,217.01,221.7,215.48,218.48,218.48,842986,0.0
157,2019-04-12,209.15,218.315,206.25,217.0,217.0,922851,0.0
158,2019-04-05,205.98,210.33,203.77,209.44,209.44,942575,0.0
159,2019-03-29,199.07,206.03,196.88,204.4,204.4,1341445,0.0
160,2019-03-22,202.17,208.43,198.95,199.07,199.07,1383782,0.0
161,2019-03-15,199.5,203.61,198.525,202.39,202.39,2242011,0.0
162,2019-03-08,206.61,206.6753,197.1,199.19,199.19,1315213,0.0
163,2019-03-01,208.57,209.0,203.39,206.28,206.28,1680788,0.0
164,2019-02-22,215.4,216.99,201.2012,207.55,207.55,1747973,0.0
165,2019-02-15,208.93,217.89,206.57,216.04,216.04,1923345,0.0
166,2019-02-08,197.08,208.83,195.83,208.2,208.2,1557988,0.0
167,2019-02-01,188.81,197.3,187.64,196.67,196.67,989950,0.0
168,2019-01-25,188.42,191.48,183.14,189.76,189.76,859221,0.0
169,2019-01-18,182.85,190.83,181.22,189.45,189.45,1159578,0.0
170,2019-01-11,180.69,186.4722,177.85,183.96,183.96,1022602,0.0
171,2019-01-04,182.82,186.94,176.27,180.16,180.16,1304060,0.0
172,2018-12-28,176.01,185.02,173.26,181.51,181.51,797045,0.0
