,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,15.72,16.355,15.66,16.22,16.22,10367271,0.0
1,2022-04-08,16.84,17.2042,15.675,15.95,15.95,22571639,0.0
2,2022-04-01,17.38,18.175,16.61,16.77,16.77,23733472,0.0
3,2022-03-25,17.35,17.73,16.775,17.42,17.42,25162636,0.0
4,2022-03-18,15.38,17.57,15.38,17.5,17.5,35802449,0.0
5,2022-03-11,15.24,15.66,13.7,15.37,15.37,42669632,0.0
6,2022-03-04,17.43,17.94,15.17,15.26,15.26,42961489,0.0
7,2022-02-25,16.33,17.815,15.21,17.76,17.76,35570981,0.0
8,2022-02-18,17.44,17.92,16.38,16.54,16.54,35713199,0.0
9,2022-02-11,19.61,20.645,17.25,17.51,17.51,49181822,0.0
10,2022-02-04,18.23,20.13,18.18,19.57,19.57,35433879,0.0
11,2022-01-28,18.48,19.34,17.52,18.26,18.26,36719438,0.0
12,2022-01-21,19.1,19.48,18.345,18.77,18.77,26523688,0.0
13,2022-01-14,19.45,20.13,18.38,18.86,18.86,32715396,0.0
14,2022-01-07,21.37,22.01,19.8115,19.85,19.85,25748812,0.0
15,2021-12-31,20.63,21.47,20.495,21.19,21.19,18287067,0.0
16,2021-12-23,20.79,20.82,19.83,20.62,20.62,22708669,0.0
17,2021-12-17,23.68,23.74,20.65,20.9,20.9,30851745,0.0
18,2021-12-10,23.62,24.91,23.23,23.61,23.61,18534984,0.0
19,2021-12-03,24.395,24.77,22.46,23.47,23.47,29045577,0.0
20,2021-11-26,27.05,27.08,23.495,23.98,23.98,36450896,0.0
21,2021-11-19,25.3,27.28,25.11,26.96,26.96,22820731,0.0
22,2021-11-12,24.87,25.529,24.38,25.02,25.02,22427126,0.0
23,2021-11-05,22.0,27.275,21.88,25.02,25.02,74123708,0.0
24,2021-10-29,20.72,22.73,20.64,21.96,21.96,30321118,0.0
25,2021-10-22,20.25,21.16,20.12,20.68,20.68,25313695,0.0
26,2021-10-15,20.2,20.78,19.925,20.51,20.51,17182765,0.0
27,2021-10-08,20.7,21.86,20.31,20.44,20.44,26064691,0.0
28,2021-10-01,21.59,21.895,19.895,20.79,20.79,32506353,0.0
29,2021-09-24,20.52,21.77,20.145,21.5,21.5,35038227,0.0
30,2021-09-17,23.01,23.1173,20.931,21.07,21.07,27739995,0.0
31,2021-09-10,23.28,23.52,21.95,22.87,22.87,26064022,0.0
32,2021-09-03,24.24,24.335,22.595,23.15,23.15,21303955,0.0
33,2021-08-27,23.67,24.38,23.3,24.12,24.12,20415219,0.0
34,2021-08-20,25.27,25.31,22.5,23.45,23.45,22348454,0.0
35,2021-08-13,24.99,26.02,24.59,25.45,25.45,28104655,0.0
36,2021-08-06,21.17,25.175,20.995,25.0,25.0,62799429,0.0
37,2021-07-30,20.5,21.09,19.8532,20.45,20.45,20446165,0.0
38,2021-07-23,18.7,20.82,18.4699,20.5,20.5,25510096,0.0
39,2021-07-16,21.2,21.4,19.07,19.26,19.26,19816437,0.0
40,2021-07-09,21.17,21.3768,19.855,21.34,21.34,16476900,0.0
41,2021-07-02,21.59,21.67,20.76,21.25,21.25,20941262,0.0
42,2021-06-25,19.91,22.3,19.63,21.69,21.69,27233262,0.0
43,2021-06-18,21.5,21.57,19.28,19.8,19.8,26687753,0.0
44,2021-06-11,21.83,22.35,20.955,21.49,21.49,21082254,0.0
45,2021-06-04,22.86,23.21,21.35,21.72,21.72,24172193,0.0
46,2021-05-28,21.57,23.2162,21.26,22.58,22.58,22122278,0.0
47,2021-05-21,22.79,23.3309,21.1016,21.45,21.45,25171912,0.0
48,2021-05-14,24.57,24.57,21.6864,22.78,22.78,27674937,0.0
49,2021-05-07,24.54,26.45,23.13,24.47,24.47,42210143,0.0
50,2021-04-30,23.45,24.749,23.25,24.31,24.31,22621324,0.0
51,2021-04-23,21.84,23.28,20.73,23.03,23.03,24640396,0.0
52,2021-04-16,22.85,23.2,21.83,22.05,22.05,22625165,0.0
53,2021-04-09,22.21,23.495,22.005,23.0,23.0,38296934,0.0
54,2021-04-01,22.19,22.37,21.215,21.97,21.97,18144251,0.0
55,2021-03-26,23.57,23.745,20.72,22.36,22.36,22840905,0.0
56,2021-03-19,23.44,24.39,22.74,23.43,23.43,25970426,0.0
57,2021-03-12,22.85,23.57,22.31,23.38,23.38,23935710,0.0
58,2021-03-05,22.32,23.7254,21.46,22.66,22.66,34375774,0.0
59,2021-02-26,22.53,22.895,21.06,21.89,21.89,30994116,0.0
60,2021-02-19,22.37,23.12,21.975,22.81,22.81,21029867,0.0
61,2021-02-12,20.77,23.495,20.53,22.37,22.37,39442605,0.0
62,2021-02-05,17.65,20.968,17.37,20.7,20.7,23833277,0.0
63,2021-01-29,18.56,19.24,17.155,17.5,17.5,35537381,0.0
64,2021-01-22,18.29,19.55,17.941,18.51,18.51,20098449,0.0
65,2021-01-15,17.43,19.005,17.3089,18.09,18.09,22511815,0.0
66,2021-01-08,17.58,18.322,17.05,17.7,17.7,24054500,0.0
67,2020-12-31,17.42,17.66,16.715,17.17,17.17,17154503,0.0
68,2020-12-24,17.05,17.47,16.86,17.41,17.41,17091991,0.0
69,2020-12-18,17.43,17.85,17.085,17.37,17.37,21536219,0.0
70,2020-12-11,16.73,17.94,16.55,17.17,17.17,25750225,0.0
71,2020-12-04,16.7,17.16,16.215,16.83,16.83,35211297,0.0
72,2020-11-27,16.91,17.145,16.33,16.68,16.68,19449060,0.0
73,2020-11-20,15.41,16.89,15.205,16.73,16.73,31090494,0.0
74,2020-11-13,15.82,16.2,14.05,14.89,14.89,37935571,0.0
75,2020-11-06,14.14,15.25,14.01,14.81,14.81,35376632,0.0
76,2020-10-30,14.54,15.39,13.12,13.84,13.84,60255583,0.0
77,2020-10-23,12.93,14.67,12.84,14.66,14.66,37864487,0.0
78,2020-10-16,12.59,13.21,12.26,13.0,13.0,31460009,0.0
79,2020-10-09,12.25,12.708,11.64,12.55,12.55,24556321,0.0
80,2020-10-02,11.37,12.1,10.89,12.06,12.06,27845641,0.0
81,2020-09-25,11.19,11.985,10.51,11.16,11.16,42732517,0.0
82,2020-09-18,11.38,12.42,11.125,11.52,11.52,47766310,0.0
83,2020-09-11,10.22,11.4282,10.22,11.32,11.32,40551760,0.0
84,2020-09-04,10.09,10.76,9.66,10.43,10.43,29348396,0.0
85,2020-08-28,9.75,10.39,9.71,10.15,10.15,28513211,0.0
86,2020-08-21,10.67,10.71,9.7,9.73,9.73,26183719,0.0
87,2020-08-14,10.41,11.32,10.39,10.74,10.74,33866813,0.0
88,2020-08-07,10.62,10.645,9.63,10.33,10.33,39759700,0.0
89,2020-07-31,10.76,11.9,10.3,10.52,10.52,61286503,0.0
90,2020-07-24,10.16,11.245,9.86,10.91,10.91,35573749,0.0
91,2020-07-17,9.49,10.6,9.19,10.2,10.2,34914000,0.0
92,2020-07-10,9.79,10.04,9.07,9.52,9.52,30540100,0.0
93,2020-07-02,9.23,10.01,9.05,9.58,9.58,27340400,0.0
94,2020-06-26,9.5,9.93,8.945,9.11,9.11,38147844,0.0
95,2020-06-19,9.19,10.55,9.14,9.51,9.51,38607484,0.0
96,2020-06-12,11.63,11.8,9.255,9.7,9.7,45207145,0.0
97,2020-06-05,8.82,11.59,8.73,11.1,11.1,51966880,0.0
98,2020-05-29,8.75,10.0,8.59,8.75,8.75,45385701,0.0
99,2020-05-22,8.25,8.9383,7.66,8.34,8.34,76023140,0.0
100,2020-05-15,9.04,9.38,7.15,7.71,7.71,70386913,0.0
101,2020-05-08,9.5,10.05,9.01,9.98,9.98,45828702,0.0
102,2020-05-01,10.02,11.31,9.64,9.8,9.8,28838920,0.0
103,2020-04-24,9.63,10.25,9.32,10.0,10.0,19890256,0.0
104,2020-04-17,10.31,10.3586,9.2,9.85,9.85,21859075,0.0
105,2020-04-09,8.72,10.75,8.55,10.43,10.43,26110597,0.0
106,2020-04-03,9.37,9.83,7.385,8.22,8.22,29502806,0.0
107,2020-03-27,8.18,10.15,7.7,9.44,9.44,29551402,0.0
108,2020-03-20,9.17,10.44,7.61,8.17,8.17,34220827,0.0
109,2020-03-13,11.76,11.96,9.59,10.81,10.81,34660339,0.0
110,2020-03-06,14.36,14.37,12.49,12.63,12.63,47372628,0.0
111,2020-02-28,15.37,15.74,13.51,14.19,14.19,49089972,0.0
112,2020-02-21,17.02,17.185,16.0,16.04,16.04,33488941,0.0
113,2020-02-14,20.44,20.8,16.5,17.19,17.19,87770111,0.0
114,2020-02-07,20.33,21.16,20.09,20.25,20.25,24375587,0.0
115,2020-01-31,20.33,21.515,20.15,20.18,20.18,18847791,0.0
116,2020-01-24,20.4,21.39,20.09,20.99,20.99,22613327,0.0
117,2020-01-17,19.8,21.65,19.69,20.39,20.39,22252855,0.0
118,2020-01-10,21.51,21.53,19.55,19.77,19.77,31508018,0.0
119,2020-01-03,21.42,21.96,21.12,21.85,21.85,15259112,0.0
120,2019-12-27,21.55,21.89,21.38,21.45,21.45,9117458,0.0
121,2019-12-20,19.62,21.55,19.53,21.5,21.5,30809059,0.0
122,2019-12-13,18.9,19.9,18.82,19.53,19.53,16751222,0.0
123,2019-12-06,18.95,19.13,17.91,18.96,18.96,17274625,0.0
124,2019-11-29,17.62,19.39,17.23,18.89,18.89,22199319,0.0
125,2019-11-22,17.8,17.86,16.74,17.43,17.43,18809050,0.0
126,2019-11-15,17.45,17.89,17.0771,17.79,17.79,20348319,0.0
127,2019-11-08,17.83,18.57,16.83,17.56,17.56,78502813,0.0
128,2019-11-01,21.12,21.47,20.4,21.14,21.14,16583514,0.0
129,2019-10-25,19.82,21.45,19.77,21.06,21.06,18375819,0.0
130,2019-10-18,19.94,20.63,19.51,19.69,19.69,13164417,0.0
131,2019-10-11,19.17,20.385,18.7,19.99,19.99,18071797,0.0
132,2019-10-04,19.64,20.2,18.68,19.31,19.31,15056241,0.0
133,2019-09-27,19.64,20.14,19.21,19.57,19.57,14434981,0.0
134,2019-09-20,20.91,21.42,19.66,19.66,19.66,18357397,0.0
135,2019-09-13,19.55,21.88,19.51,21.18,21.18,27566228,0.0
136,2019-09-06,18.61,20.08,18.24,19.56,19.56,15337637,0.0
137,2019-08-30,18.22,18.96,17.64,18.61,18.61,19900446,0.0
138,2019-08-23,19.0,19.12,17.845,17.92,17.92,19754876,0.0
139,2019-08-16,20.0,20.4,18.29,18.65,18.65,24159119,0.0
140,2019-08-09,20.96,21.42,20.01,20.19,20.19,28827529,0.0
141,2019-08-02,27.32,27.515,21.225,21.57,21.57,60385685,0.0
142,2019-07-26,27.1,27.72,26.56,27.24,27.24,15647363,0.0
143,2019-07-19,27.4,27.69,26.695,26.95,26.95,14817725,0.0
144,2019-07-12,25.78,27.56,25.7555,27.3,27.3,18245956,0.0
145,2019-07-05,25.81,25.99,24.975,25.9,25.9,13683025,0.0
146,2019-06-28,26.15,26.42,24.8,25.35,25.35,21593161,0.0
147,2019-06-21,27.02,27.5,26.06,26.15,26.15,24311147,0.0
148,2019-06-14,26.01,27.11,25.78,27.07,27.07,17925704,0.0
149,2019-06-07,22.73,26.03,22.71,25.9,25.9,28680008,0.0
150,2019-05-31,23.65,24.02,22.42,22.8,22.8,16276577,0.0
151,2019-05-24,23.4,24.305,23.1,23.54,23.54,26602877,0.0
152,2019-05-17,21.32,23.71,20.835,23.58,23.58,32078119,0.0
153,2019-05-10,22.28,22.505,21.4,21.79,21.79,26404450,0.0
154,2019-05-03,22.88,24.1,21.98,22.74,22.74,40691157,0.0
155,2019-04-26,22.06,22.98,21.82,22.8,22.8,15516547,0.0
156,2019-04-18,21.92,22.36,21.68,22.16,22.16,12403029,0.0
157,2019-04-12,21.74,21.9,20.56,21.86,21.86,21429040,0.0
158,2019-04-05,21.28,22.15,20.94,21.83,21.83,18131033,0.0
159,2019-03-29,20.6,21.595,20.45,21.14,21.14,15813022,0.0
160,2019-03-22,22.26,22.46,20.7,20.72,20.72,14490305,0.0
161,2019-03-15,21.5,22.69,21.25,22.21,22.21,23847378,0.0
162,2019-03-08,22.85,23.02,21.22,21.47,21.47,18203956,0.0
163,2019-03-01,21.97,23.405,21.51,22.86,22.86,24342779,0.0
164,2019-02-22,21.05,21.79,20.86,21.68,21.68,18471778,0.0
165,2019-02-15,20.89,22.88,19.75,21.16,21.16,67551726,0.0
166,2019-02-08,20.6,21.14,20.18,20.75,20.75,29560235,0.0
167,2019-02-01,21.25,21.52,20.5,20.63,20.63,18427367,0.0
168,2019-01-25,20.96,21.46,20.13,21.44,21.44,18138373,0.0
169,2019-01-18,19.52,20.5,19.4,20.49,20.49,19387809,0.0
170,2019-01-11,18.22,19.87,17.99,19.67,19.67,19908248,0.0
171,2019-01-04,17.64,18.25,17.11,18.13,18.13,14451900,0.0
172,2018-12-28,16.74,18.05,16.52,17.52,17.52,13921644,0.0
173,2018-12-21,18.75,19.2,16.85,16.96,16.96,39682565,0.0
174,2018-12-14,23.41,23.59,18.33,18.99,18.99,52275637,0.0
175,2018-12-07,24.43,24.9586,22.71,23.45,23.45,25289754,0.0
176,2018-11-30,21.63,24.255,21.36,23.88,23.88,24012821,0.0
177,2018-11-23,21.55,21.785,20.29,21.5,21.5,14927877,0.0
178,2018-11-16,22.73,23.6585,21.33,21.75,21.75,20460424,0.0
179,2018-11-09,24.19,24.58,22.52,22.75,22.75,24960099,0.0
180,2018-11-02,18.28,23.92,17.75,23.7,23.7,68494558,0.0
181,2018-10-26,18.31,18.83,17.34,17.98,17.98,24598981,0.0
182,2018-10-19,18.71,19.69,18.09,18.2,18.2,17746594,0.0
183,2018-10-12,19.31,19.95,17.894,18.67,18.67,23171319,0.0
184,2018-10-05,21.38,21.56,19.08,19.42,19.42,25134614,0.0
