,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,41.22,45.38,41.21,45.14,45.14,37524171,0.0
1,2022-04-08,45.43,46.0394,41.08,41.96,41.96,56781717,0.0
2,2022-04-01,43.65,46.86,42.585,45.78,45.78,59879652,0.0
3,2022-03-25,41.615,43.95,40.46,43.18,43.18,61125518,0.0
4,2022-03-18,34.87,42.39,34.25,42.35,42.35,94349721,0.0
5,2022-03-11,36.14,36.5,30.54,34.87,34.87,147686584,0.0
6,2022-03-04,44.11,44.795,36.16,36.71,36.71,98252564,0.0
7,2022-02-25,46.6,47.54,40.43,45.85,45.85,58747058,0.0
8,2022-02-18,47.48,50.935,46.6,47.43,47.43,58720363,0.0
9,2022-02-11,43.37,50.25,43.21,46.97,46.97,70549858,0.0
10,2022-02-04,40.52,45.35,40.2,42.82,42.82,50594000,0.0
11,2022-01-28,40.15,43.06,38.79,40.91,40.91,72838169,0.0
12,2022-01-21,45.915,46.9799,41.27,41.65,41.65,52621848,0.0
13,2022-01-14,47.525,49.265,46.09,46.74,46.74,52074805,0.0
14,2022-01-07,44.6657,47.77,44.61,47.31,47.31,56002457,0.0
15,2021-12-31,43.56,45.8,43.08,43.78,43.78,46031165,0.0
16,2021-12-23,39.46,45.48,39.11,44.87,44.87,57519061,0.0
17,2021-12-17,42.84,42.99,39.48,40.78,40.78,70978588,0.0
18,2021-12-10,41.605,46.6,41.531,44.05,44.05,91313599,0.0
19,2021-12-03,43.18,44.11,38.88,40.61,40.61,102277982,0.0
20,2021-11-26,46.68,47.584,40.11,42.26,42.26,59943321,0.0
21,2021-11-19,50.2,50.83,45.2201,46.11,46.11,51029034,0.0
22,2021-11-12,53.87,54.52,49.28,49.83,49.83,45734686,0.0
23,2021-11-05,46.18,52.87,45.82,52.71,52.71,63023962,0.0
24,2021-10-29,46.54,47.63,45.44,46.14,46.14,41788101,0.0
25,2021-10-22,47.7,48.13,45.58,46.73,46.73,65342764,0.0
26,2021-10-15,48.75,50.14,47.46,48.0,48.0,44781933,0.0
27,2021-10-08,51.76,52.43,48.65,49.16,49.16,51971985,0.0
28,2021-10-01,49.51,51.48,47.18,51.34,51.34,67187950,0.0
29,2021-09-24,44.76,48.95,43.59,48.79,48.79,66640880,0.0
30,2021-09-17,44.73,45.5,43.02,44.54,44.54,59206085,0.0
31,2021-09-10,46.02,47.7357,44.18,44.34,44.34,47236678,0.0
