,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,240.91,248.15,239.57,244.63,244.63,9072039,0.0
1,2022-04-08,259.76,260.69,239.68,241.98,241.98,24671655,0.0
2,2022-04-01,272.72,278.94,257.0,259.96,259.96,18238481,0.0
3,2022-03-25,260.85,273.58,260.24,273.38,273.38,17691844,0.0
4,2022-03-18,263.36,264.93,255.65,261.32,261.32,20537948,0.0
5,2022-03-11,264.0,270.14,249.56,261.52,261.52,26603401,0.0
6,2022-03-04,240.53,264.79,239.6405,264.63,264.63,23358375,0.0
7,2022-02-25,251.0,252.28,236.81,246.41,246.41,14177426,1.18
8,2022-02-18,240.13,254.8481,238.38,251.19,249.9928,15188091,0.0
9,2022-02-11,244.16,246.62,237.71,238.81,237.6718,13644261,0.0
10,2022-02-04,245.0,251.7989,241.16,242.39,241.2348,15871115,0.0
11,2022-01-28,242.92,250.15,239.13,245.93,244.7579,17655624,0.0
12,2022-01-21,244.8,250.53,236.8,246.33,245.156,18877355,0.0
13,2022-01-14,254.53,254.53,244.53,246.27,245.0963,14045437,0.0
14,2022-01-07,253.25,256.105,246.5,254.78,253.5657,13438317,0.0
15,2021-12-31,246.21,253.33,245.42,251.93,250.7293,6038783,0.0
16,2021-12-23,239.98,246.81,238.07,245.64,244.4693,8794931,0.0
17,2021-12-17,247.57,249.9,242.23,242.69,241.5334,14982774,1.18
18,2021-12-10,243.31,249.94,241.77,248.46,246.0794,10630020,0.0
19,2021-12-03,241.5,243.03,233.21,240.43,238.1263,18916730,0.0
20,2021-11-26,241.7,247.76,237.66,239.79,237.4924,10098660,0.0
21,2021-11-19,242.52,244.34,238.03,241.31,238.9979,11986470,0.0
22,2021-11-12,240.0,244.04,237.5905,242.44,240.1171,8180944,0.0
23,2021-11-05,242.16,242.44,236.0,238.83,236.5416,12318467,0.0
24,2021-10-29,238.3,243.91,237.18,241.4,239.087,12839649,0.0
25,2021-10-22,224.0,239.65,222.9,237.59,235.3135,14845171,0.0
26,2021-10-15,216.86,225.7,213.0,225.16,223.0026,11801930,0.0
27,2021-10-08,203.95,216.72,203.6,216.48,214.4058,18791672,0.0
28,2021-10-01,203.59,206.49,195.93,201.74,199.807,17258979,0.0
29,2021-09-24,198.86,204.87,195.675,203.8,201.8473,17470632,0.0
30,2021-09-17,209.05,209.55,200.84,201.47,199.5396,23983233,0.0
31,2021-09-10,214.7,216.75,207.6,207.76,205.7693,14029355,0.0
32,2021-09-03,220.24,220.615,214.441,214.91,212.8508,20245137,1.07
33,2021-08-27,224.37,226.08,219.54,221.43,218.2425,11017455,0.0
34,2021-08-20,227.45,228.28,222.4,223.71,220.4896,10069384,0.0
35,2021-08-13,219.88,228.57,219.44,227.8,224.5208,10930511,0.0
36,2021-08-06,220.49,221.7,217.14,220.5,217.3258,11198948,0.0
37,2021-07-30,219.93,222.0,215.54,218.76,215.6109,12637683,0.0
38,2021-07-23,215.16,224.5,212.94,220.15,216.9809,17211118,0.0
39,2021-07-16,221.0,222.1264,217.81,218.42,215.2758,16504474,0.0
40,2021-07-09,225.23,228.74,217.41,221.69,218.4987,14772746,0.0
41,2021-07-02,221.25,225.93,217.77,224.72,221.4851,11235709,0.0
42,2021-06-25,216.03,221.5,215.57,221.27,218.0848,15723196,0.0
43,2021-06-18,220.58,223.89,214.505,214.81,211.7177,14281230,0.0
44,2021-06-11,226.71,226.71,219.4,221.33,218.1439,11662842,0.0
45,2021-06-04,226.35,227.38,222.88,226.17,222.9142,8480532,0.0
46,2021-05-28,222.52,225.81,221.78,224.73,221.4949,15523693,1.07
47,2021-05-21,226.71,227.3068,218.02,221.52,217.2927,13750912,0.0
48,2021-05-14,230.13,231.26,221.9,227.86,223.5117,9872492,0.0
49,2021-05-07,224.01,229.97,222.63,229.48,225.1008,11275429,0.0
50,2021-04-30,223.98,228.32,220.26,222.09,217.8519,13094525,0.0
51,2021-04-23,223.23,226.21,216.06,223.54,219.2742,15954975,0.0
52,2021-04-16,222.56,225.78,220.2,222.71,218.46,10150008,0.0
53,2021-04-09,222.24,224.62,219.97,223.24,218.9799,9551294,0.0
54,2021-04-01,222.8,223.95,219.02,220.21,216.0077,10679635,0.0
55,2021-03-26,210.08,223.21,204.78,222.92,218.666,19113390,0.0
56,2021-03-19,214.25,217.71,208.91,210.8,206.7773,18334410,0.0
57,2021-03-12,210.57,217.5,210.17,214.09,210.0045,13542638,0.0
58,2021-03-05,208.58,211.6,198.59,209.71,205.7081,15137423,0.0
59,2021-02-26,207.14,212.95,204.68,205.96,202.0297,15328840,0.97
60,2021-02-19,213.37,215.42,204.16,209.06,204.1217,12702730,0.0
61,2021-02-12,205.3,213.7,202.12,213.16,208.1248,11217674,0.0
62,2021-02-05,198.82,207.68,198.27,204.2,199.3765,12310582,0.0
63,2021-01-29,205.16,207.31,193.14,197.47,192.8054,19388712,0.0
64,2021-01-22,218.21,218.82,203.24,207.13,202.2372,16718424,0.0
