,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-14,225.02,233.84,223.41,224.67,224.67,5564316,0.0
1,2022-04-08,238.24,245.83,228.24,228.77,228.77,8125242,0.0
2,2022-04-01,237.37,248.92,235.45,237.93,237.93,9910567,0.0
3,2022-03-25,241.43,248.27,233.0,238.09,238.09,11593310,0.0
4,2022-03-18,224.5,245.15,217.15,243.6,243.6,11226970,0.0
5,2022-03-11,240.84,242.05,215.76,224.91,224.91,12818341,0.0
6,2022-03-04,225.54,250.0,223.66,240.21,240.21,19516603,0.0
7,2022-02-25,214.38,225.69,205.9,225.23,225.23,10748491,0.0
8,2022-02-18,232.44,238.62,212.23,214.47,214.47,11077966,0.0
9,2022-02-11,237.5,246.34,231.86,232.77,232.77,7582984,0.0
10,2022-02-04,239.45,257.0,231.39,236.79,236.79,12652161,0.0
11,2022-01-28,240.86,248.03,223.52,238.18,238.18,14985056,0.0
12,2022-01-21,246.71,260.46,243.95,245.69,245.69,7452164,0.0
13,2022-01-14,245.27,261.89,241.72,254.31,254.31,10326980,0.0
14,2022-01-07,271.96,272.495,245.02,250.24,250.24,15009855,0.0
15,2021-12-31,278.36,280.91,271.68,273.18,273.18,4956232,0.0
16,2021-12-23,268.2,280.65,266.34,278.05,278.05,4251616,0.0
17,2021-12-17,279.56,283.67,265.29,273.88,273.88,8008617,0.0
18,2021-12-10,266.02,285.58,258.22,279.68,279.68,7383766,0.0
19,2021-12-03,280.33,284.82,259.87,266.99,266.99,10180791,0.0
20,2021-11-26,285.51,286.71,268.365,277.55,277.55,8382180,0.0
21,2021-11-19,297.13,307.81,279.81,286.6,286.6,15226608,0.0
22,2021-11-12,291.55,300.78,287.87,296.45,296.45,7746585,0.0
23,2021-11-05,291.11,292.8643,285.95,289.92,289.92,4874320,0.0
24,2021-10-29,279.29,292.615,278.53,289.98,289.98,6176218,0.0
25,2021-10-22,267.96,284.8,267.0,280.79,280.79,5106164,0.0
26,2021-10-15,254.85,273.55,252.59,270.99,270.99,7570769,0.0
27,2021-10-08,253.82,262.2,246.45,255.9,255.9,5645938,0.0
28,2021-10-01,265.67,266.88,246.94,254.55,254.55,7764578,0.0
29,2021-09-24,266.71,274.98,262.575,268.43,268.43,9657520,0.0
30,2021-09-17,268.07,272.5452,262.19,268.51,268.51,6479058,0.0
31,2021-09-10,276.53,277.585,267.11,267.53,267.53,5257447,0.0
32,2021-09-03,270.8815,278.23,268.63,277.74,277.74,8080464,0.0
33,2021-08-27,235.95,274.94,235.62,269.28,269.28,14358016,0.0
34,2021-08-20,236.08,238.71,228.065,235.95,235.95,6696649,0.0
35,2021-08-13,236.58,238.98,229.01,236.68,236.68,4832417,0.0
36,2021-08-06,235.1,238.31,230.32,235.72,235.72,7551313,0.0
37,2021-07-30,240.55,240.55,220.01,234.4,234.4,12456491,0.0
38,2021-07-23,225.71,242.06,223.69,240.4,240.4,6090594,0.0
39,2021-07-16,241.54,242.46,226.16,227.53,227.53,6112252,0.0
40,2021-07-09,238.56,243.58,231.74,239.94,239.94,5199418,0.0
41,2021-07-02,243.36,246.61,233.5701,238.3,238.3,6870629,0.0
42,2021-06-25,235.92,243.4,233.0,243.0,243.0,5612985,0.0
43,2021-06-18,230.66,237.35,225.995,236.49,236.49,8731456,0.0
44,2021-06-11,223.5,230.59,222.0,230.09,230.09,6759514,0.0
45,2021-06-04,229.23,232.89,220.82,223.31,223.31,7503719,0.0
46,2021-05-28,235.63,240.75,226.49,228.72,228.72,12961250,0.0
47,2021-05-21,225.84,236.9133,217.6,231.42,231.42,7594871,0.0
48,2021-05-14,235.19,239.205,219.86,228.77,228.77,9966771,0.0
49,2021-05-07,248.35,250.1915,231.14,236.71,236.71,7207808,0.0
50,2021-04-30,254.8,262.69,246.78,247.0,247.0,6081093,0.0
51,2021-04-23,254.64,257.49,248.02,254.8,254.8,5744422,0.0
52,2021-04-16,255.09,268.88,253.08,256.35,256.35,8566931,0.0
53,2021-04-09,255.35,260.42,251.22,257.61,257.61,5173588,0.0
54,2021-04-01,248.6,259.85,237.79,254.97,254.97,4789808,0.0
55,2021-03-26,254.085,261.98,243.11,249.66,249.66,5972330,0.0
56,2021-03-19,251.09,263.28,246.867,251.23,251.23,7642566,0.0
57,2021-03-12,236.47,258.99,230.64,252.73,252.73,11075667,0.0
58,2021-03-05,248.67,256.78,222.53,237.02,237.02,11092554,0.0
59,2021-02-26,271.37,273.39,242.815,245.18,245.18,12231922,0.0
60,2021-02-19,280.15,282.77,266.09,276.34,276.34,6583879,0.0
61,2021-02-12,269.0,282.11,267.43,281.36,281.36,8225525,0.0
62,2021-02-05,228.52,266.18,228.52,263.95,263.95,16881044,0.0
63,2021-01-29,237.59,240.6,221.265,227.53,227.53,11101203,0.0
64,2021-01-22,223.5,236.06,218.23,235.53,235.53,7916851,0.0
65,2021-01-15,226.95,235.6875,222.35,222.56,222.56,8298892,0.0
66,2021-01-08,240.11,240.68,217.8494,227.65,227.65,12005142,0.0
67,2020-12-31,250.75,251.02,235.52,239.61,239.61,5012026,0.0
68,2020-12-24,238.73,259.01,236.1,248.76,248.76,8161361,0.0
69,2020-12-18,219.01,244.7694,218.66,241.39,241.39,13204324,0.0
70,2020-12-11,222.06,230.71,214.7667,219.24,219.24,10021945,0.0
71,2020-12-04,223.44,229.16,218.54,222.18,222.18,9832764,0.0
72,2020-11-27,210.47,224.69,204.86,223.86,223.86,12405827,0.0
73,2020-11-20,219.08,231.94,209.05,209.4,209.4,22214520,0.0
74,2020-11-13,222.68,228.95,209.99,222.0,222.0,6702954,0.0
75,2020-11-06,209.73,231.43,201.615,225.0,225.0,8380180,0.0
76,2020-10-30,218.65,222.82,207.23,210.12,210.12,9849420,0.0
77,2020-10-23,229.76,233.78,218.21,224.14,224.14,5925229,0.0
78,2020-10-16,229.36,236.84,222.51,229.45,229.45,7424246,0.0
79,2020-10-09,219.67,230.27,215.72,225.73,225.73,6946368,0.0
80,2020-10-02,218.54,225.55,214.0,218.98,218.98,10328761,0.0
81,2020-09-25,197.73,216.13,195.81,215.78,215.78,7412328,0.0
82,2020-09-18,209.6,212.94,195.88,200.45,200.45,10022376,0.0
83,2020-09-11,208.89,216.33,201.39,206.2,206.2,8060189,0.0
84,2020-09-04,241.13,246.9,210.53,215.8,215.8,15245771,0.0
85,2020-08-28,194.15,248.75,189.32,243.88,243.88,26205477,0.0
86,2020-08-21,181.94,194.89,181.81,192.65,192.65,6228475,0.0
87,2020-08-14,177.56,185.87,174.9,181.58,181.58,5191306,0.0
88,2020-08-07,182.47,184.88,174.52,177.47,177.47,5580753,0.0
89,2020-07-31,184.33,184.74,176.8,180.92,180.92,6445000,0.0
90,2020-07-24,183.2,194.85,181.2101,182.78,182.78,6356230,0.0
91,2020-07-17,196.53,197.16,178.26,182.83,182.83,7798900,0.0
92,2020-07-10,191.54,200.0,189.29,195.88,195.88,8421700,0.0
93,2020-07-02,186.26,194.0,181.66,188.45,188.45,7777100,0.0
94,2020-06-26,183.85,188.69,178.31,187.48,187.48,9046519,0.0
95,2020-06-19,171.02,190.34,170.29,183.56,183.56,12403424,0.0
96,2020-06-12,178.18,185.02,169.7,173.55,173.55,8005050,0.0
97,2020-06-05,181.99,182.74,171.3,178.67,178.67,10640977,0.0
98,2020-05-29,171.18,187.0,162.66,183.43,183.43,19305770,0.0
99,2020-05-22,157.48,169.62,149.835,168.15,168.15,13980486,0.0
100,2020-05-15,165.85,168.75,149.2374,154.3,154.3,11090900,0.0
101,2020-05-08,145.67,165.79,144.81,165.55,165.55,8967754,0.0
102,2020-05-01,146.8,158.58,144.47,146.66,146.66,8550914,0.0
103,2020-04-24,148.01,153.66,137.62,144.96,144.96,9325162,0.0
104,2020-04-17,144.16,151.305,138.72,149.3,149.3,12962518,0.0
105,2020-04-09,121.17,148.85,118.985,145.41,145.41,13887512,0.0
106,2020-04-03,136.8,141.87,115.5,116.08,116.08,17190470,0.0
107,2020-03-27,125.66,146.67,123.0,136.21,136.21,16830735,0.0
108,2020-03-20,124.2,138.71,107.75,125.0,125.0,23988809,0.0
109,2020-03-13,148.75,151.5,125.04,137.76,137.76,15985290,0.0
110,2020-03-06,174.85,176.37,153.39,158.68,158.68,13037929,0.0
111,2020-02-28,175.0,180.72,164.7,173.25,173.25,14421004,0.0
112,2020-02-21,196.88,202.0,182.76,183.86,183.86,9994691,0.0
113,2020-02-14,191.92,198.96,190.91,196.99,196.99,5567233,0.0
114,2020-02-07,185.6,197.8685,184.29,192.08,192.08,8620531,0.0
115,2020-01-31,182.0,189.35,181.21,184.63,184.63,6287285,0.0
116,2020-01-24,180.3,188.3,179.7425,186.07,186.07,6737108,0.0
117,2020-01-17,180.92,183.8,178.18,181.06,181.06,8554350,0.0
118,2020-01-10,166.99,182.65,166.35,180.11,180.11,11894844,0.0
119,2020-01-03,165.5,168.86,161.7301,168.44,168.44,4781453,0.0
120,2019-12-27,167.33,167.82,163.9,165.85,165.85,4036969,0.0
121,2019-12-20,160.4,167.56,158.8,167.16,167.16,11898594,0.0
122,2019-12-13,165.31,167.59,157.61,159.46,159.46,11517102,0.0
123,2019-12-06,178.56,178.65,159.6874,166.22,166.22,17600360,0.0
124,2019-11-29,174.98,180.03,174.76,179.12,179.12,6919583,0.0
125,2019-11-22,162.54,174.37,161.38,172.84,172.84,10943857,0.0
126,2019-11-15,162.1,166.73,160.95,165.98,165.98,7397383,0.0
127,2019-11-08,166.89,167.66,158.7901,162.42,162.42,7092922,0.0
128,2019-11-01,161.31,165.71,157.87,165.33,165.33,6006548,0.0
129,2019-10-25,154.89,160.95,151.965,160.75,160.75,10460716,0.0
130,2019-10-18,179.1,185.62,151.06,154.54,154.54,22457147,0.0
131,2019-10-11,171.46,183.09,169.3,180.44,180.44,8768867,0.0
132,2019-10-04,169.0,175.46,163.75,173.88,173.88,8133575,0.0
133,2019-09-27,174.93,176.75,163.26,168.65,168.65,11183850,0.0
134,2019-09-20,166.24,176.81,165.8303,174.97,174.97,9588966,0.0
135,2019-09-13,172.87,175.32,166.0,167.59,167.59,11458067,0.0
136,2019-09-06,174.46,178.22,172.21,172.3,172.3,9587429,0.0
137,2019-08-30,193.5,196.43,173.2,177.28,177.28,16747300,0.0
138,2019-08-23,194.54,199.42,184.11,192.13,192.13,8060153,0.0
139,2019-08-16,190.01,193.7,182.72,192.39,192.39,6171082,0.0
140,2019-08-09,190.7,194.6,183.11,191.52,191.52,7748244,0.0
141,2019-08-02,216.58,217.0,194.89,195.83,195.83,10257679,0.0
142,2019-07-26,214.95,218.9499,208.36,215.89,215.89,5053214,0.0
143,2019-07-19,221.66,221.99,212.34,214.24,214.24,6944198,0.0
144,2019-07-12,213.89,226.83,212.15,222.17,222.17,7460480,0.0
145,2019-07-05,210.35,217.55,208.5014,216.01,216.01,4649539,0.0
146,2019-06-28,217.5,218.27,203.025,205.58,205.58,9753407,0.0
147,2019-06-21,209.0,221.0,207.04,216.33,216.33,7481361,0.0
148,2019-06-14,213.68,217.0,203.65,208.0,208.0,7407861,0.0
149,2019-06-07,203.85,211.82,189.62,211.47,211.47,11344539,0.0
150,2019-05-31,212.5,217.6294,199.36,204.12,204.12,12706916,0.0
151,2019-05-24,208.14,213.13,202.44,210.72,210.72,8330164,0.0
152,2019-05-17,198.49,213.98,193.8432,210.38,210.38,9328862,0.0
153,2019-05-10,196.69,204.23,191.25,203.53,203.53,6964060,0.0
154,2019-05-03,205.0,208.33,194.81,203.12,203.12,5179135,0.0
