,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,411.92,411.92,382.13,387.02,387.02,1107904,0.0
1,2022-04-08,416.85,424.0,398.6,413.58,413.58,1534054,0.0
2,2022-04-01,407.26,421.88,402.04,417.03,417.03,2120494,0.0
3,2022-03-25,412.62,418.01,398.5543,405.24,405.24,1399972,0.0
4,2022-03-18,365.35,418.75,363.94,414.69,414.69,2276725,0.0
5,2022-03-11,385.24,385.24,358.57,363.21,363.21,1462289,0.0
6,2022-03-04,385.27,392.26,378.53,387.19,387.19,1952482,0.0
7,2022-02-25,369.25,386.57,349.15,386.47,386.47,1956089,0.0
8,2022-02-18,390.82,395.0,367.59,369.49,369.49,2712976,0.0
9,2022-02-11,401.01,408.96,390.99,391.2,391.2,1609024,0.0
10,2022-02-04,394.94,408.98,387.22,400.75,400.75,1820613,0.0
11,2022-01-28,364.2,393.05,360.4,393.03,393.03,3642935,0.0
12,2022-01-21,367.04,389.02,365.61,367.8,367.8,2231039,0.18
13,2022-01-14,388.08,407.66,372.09,379.78,379.5964,2115391,0.0
14,2022-01-07,466.35,468.05,389.77,390.47,390.2812,2487091,0.0
15,2021-12-31,467.82,475.0,460.11,469.01,468.7833,1172029,0.0
16,2021-12-23,448.59,462.75,431.0,459.84,459.6177,1308488,0.0
17,2021-12-17,433.05,457.565,423.8053,449.81,449.5925,2004160,0.0
18,2021-12-10,433.51,440.11,419.21,431.57,431.3614,1743174,0.0
19,2021-12-03,439.92,457.99,426.92,434.13,433.9201,2804886,0.0
20,2021-11-26,449.31,455.41,423.37,438.88,438.6678,1170596,0.0
21,2021-11-19,418.0,455.81,417.815,448.45,448.2332,1655664,0.0
22,2021-11-12,405.68,420.86,399.67,419.21,419.0073,1665657,0.18
23,2021-11-05,430.94,441.14,401.27,403.78,403.4095,2944001,0.0
24,2021-10-29,422.52,432.52,403.84,429.88,429.4855,2296304,0.0
25,2021-10-22,402.95,424.8,402.44,421.19,420.8035,1550761,0.0
26,2021-10-15,404.5,412.89,399.16,404.81,404.4385,1325715,0.0
27,2021-10-08,416.7,422.77,405.235,407.14,406.7664,1901174,0.0
28,2021-10-01,453.73,454.55,406.84,419.73,419.3448,2093891,0.0
29,2021-09-24,444.12,459.62,440.12,457.11,456.6905,1241443,0.0
30,2021-09-17,461.18,462.08,437.62,448.62,448.2083,2021778,0.0
31,2021-09-10,463.46,475.35,457.0,459.03,458.6087,1192350,0.0
