,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,86.53,86.98,84.37,86.54,86.54,3311068,0.0
1,2022-04-08,86.08,88.79,84.18,86.67,86.67,5984675,0.0
2,2022-04-01,86.14,90.2801,85.04,86.23,86.23,4932112,0.0
3,2022-03-25,87.71,89.31,85.77,86.69,86.69,7022921,0.0
4,2022-03-18,85.03,88.92,83.6,88.07,88.07,9767629,0.0
5,2022-03-11,85.67,86.42,82.03,83.62,83.62,7420818,0.0
6,2022-03-04,89.06,89.99,84.88,85.25,85.25,7606594,0.0
7,2022-02-25,90.04,91.36,84.74,90.93,90.93,7455089,0.0
8,2022-02-18,89.97,91.9917,88.16,90.66,90.66,5722290,0.3
9,2022-02-11,90.52,95.4,88.12,89.24,88.9457,7870996,0.0
10,2022-02-04,101.15,106.1694,87.44,90.51,90.2115,10428448,0.0
11,2022-01-28,104.96,107.85,98.7,101.71,101.3746,6589926,0.0
12,2022-01-21,110.225,111.42,104.74,107.09,106.7368,8407154,0.0
13,2022-01-14,114.56,117.6,109.55,111.54,111.1722,5704457,0.0
14,2022-01-07,120.21,121.05,115.29,115.43,115.0493,4243050,0.0
15,2021-12-31,117.67,120.5,117.54,119.92,119.5245,2778693,0.0
16,2021-12-23,114.27,118.29,112.64,117.5,117.1125,3036268,0.0
17,2021-12-17,122.88,123.04,115.54,115.81,115.4281,8023735,0.0
18,2021-12-10,119.26,125.38,119.13,122.8,122.395,4888863,0.0
19,2021-12-03,123.75,124.525,115.71,118.09,117.7006,8093064,0.0
20,2021-11-26,129.47,130.42,121.48,122.64,122.2356,3396517,0.28
21,2021-11-19,130.67,131.5344,128.94,129.1,128.3925,2984363,0.0
22,2021-11-12,132.28,134.29,129.1,130.53,129.8147,2789617,0.0
23,2021-11-05,131.04,132.07,124.17,131.01,130.2921,3840957,0.0
24,2021-10-29,128.43,132.65,127.32,130.59,129.8744,2728864,0.0
25,2021-10-22,123.68,129.79,123.21,128.76,128.0544,2685005,0.0
26,2021-10-15,121.02,125.21,118.24,124.69,124.0067,3156641,0.0
27,2021-10-08,121.27,124.01,118.04,121.47,120.8044,4057519,0.0
28,2021-10-01,135.47,136.15,119.8,121.3,120.6353,5632442,0.0
29,2021-09-24,129.63,136.08,128.39,135.62,134.8768,2969183,0.0
30,2021-09-17,135.82,135.83,130.88,131.56,130.8391,3796343,0.0
31,2021-09-10,136.62,136.86,133.24,134.34,133.6038,3285668,0.0
32,2021-09-03,135.4,138.78,134.68,137.25,136.4979,3839605,0.0
33,2021-08-27,132.55,136.3,131.7996,134.94,134.2005,3504013,0.28
34,2021-08-20,131.05,132.97,128.8,131.57,130.5784,3172586,0.0
35,2021-08-13,128.82,132.0,127.865,131.53,130.5387,3206083,0.0
36,2021-08-06,126.67,129.04,122.015,128.8,127.8293,4385454,0.0
37,2021-07-30,123.25,126.03,121.835,125.85,124.9015,3304384,0.0
38,2021-07-23,117.9,123.535,115.95,123.26,122.331,3595809,0.0
39,2021-07-16,120.32,121.97,118.76,119.36,118.4604,3886345,0.0
40,2021-07-09,121.1,121.35,117.9,121.05,120.1377,4106887,0.0
41,2021-07-02,117.12,121.53,116.25,120.89,119.9789,3356065,0.0
42,2021-06-25,114.74,117.89,114.74,116.85,115.9693,5997476,0.0
43,2021-06-18,117.89,118.205,112.1742,113.42,112.5652,5711812,0.0
44,2021-06-11,119.33,120.04,117.14,118.16,117.2694,3323189,0.0
45,2021-06-04,119.36,119.865,117.37,119.24,118.3413,2561270,0.0
46,2021-05-28,116.35,118.61,114.96,118.12,117.2297,3256267,0.28
47,2021-05-21,117.66,118.45,112.02,115.47,114.3258,3776331,0.0
48,2021-05-14,120.12,121.0,112.6,118.4,117.2268,3471869,0.0
49,2021-05-07,111.51,119.6,110.42,119.34,118.1574,4405989,0.0
