"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHSAV","TOT","PC_HHDI","A","1970",14.8189782153655,
"AUS","HHSAV","TOT","PC_HHDI","A","1971",14.9811162400336,
"AUS","HHSAV","TOT","PC_HHDI","A","1972",17.0521999877608,
"AUS","HHSAV","TOT","PC_HHDI","A","1973",18.816933983609,
"AUS","HHSAV","TOT","PC_HHDI","A","1974",18.0399423512456,
"AUS","HHSAV","TOT","PC_HHDI","A","1975",16.5928052390778,
"AUS","HHSAV","TOT","PC_HHDI","A","1976",15.3238203189292,
"AUS","HHSAV","TOT","PC_HHDI","A","1977",14.4793895708976,
"AUS","HHSAV","TOT","PC_HHDI","A","1978",15.8738695918648,
"AUS","HHSAV","TOT","PC_HHDI","A","1979",15.1684253246753,
"AUS","HHSAV","TOT","PC_HHDI","A","1980",15.0565042067009,
"AUS","HHSAV","TOT","PC_HHDI","A","1981",14.3228374514388,
"AUS","HHSAV","TOT","PC_HHDI","A","1982",11.8847293124094,
"AUS","HHSAV","TOT","PC_HHDI","A","1983",13.8002045105948,
"AUS","HHSAV","TOT","PC_HHDI","A","1984",14.3057762423108,
"AUS","HHSAV","TOT","PC_HHDI","A","1985",11.5696952901912,
"AUS","HHSAV","TOT","PC_HHDI","A","1986",8.93628948622362,
"AUS","HHSAV","TOT","PC_HHDI","A","1987",7.87586313114459,
"AUS","HHSAV","TOT","PC_HHDI","A","1988",8.69081491208871,
"AUS","HHSAV","TOT","PC_HHDI","A","1989",8.65973548921377,
"AUS","HHSAV","TOT","PC_HHDI","A","1990",7.66969004233245,
"AUS","HHSAV","TOT","PC_HHDI","A","1991",5.8366362096091,
"AUS","HHSAV","TOT","PC_HHDI","A","1992",6.08159955196253,
"AUS","HHSAV","TOT","PC_HHDI","A","1993",6.00218299363993,
"AUS","HHSAV","TOT","PC_HHDI","A","1994",4.71866973636932,
"AUS","HHSAV","TOT","PC_HHDI","A","1995",4.77353039678739,
"AUS","HHSAV","TOT","PC_HHDI","A","1996",6.31139438469142,
"AUS","HHSAV","TOT","PC_HHDI","A","1997",3.37379257571475,
"AUS","HHSAV","TOT","PC_HHDI","A","1998",0.890078956402334,
"AUS","HHSAV","TOT","PC_HHDI","A","1999",0.431265026769069,
"AUS","HHSAV","TOT","PC_HHDI","A","2000",1.69895302880596,
"AUS","HHSAV","TOT","PC_HHDI","A","2001",2.79851326898539,
"AUS","HHSAV","TOT","PC_HHDI","A","2002",-1.27407804376294,
"AUS","HHSAV","TOT","PC_HHDI","A","2003",-0.705365565207597,
"AUS","HHSAV","TOT","PC_HHDI","A","2004",0.343268712171151,
"AUS","HHSAV","TOT","PC_HHDI","A","2005",-0.729743958225137,
"AUS","HHSAV","TOT","PC_HHDI","A","2006",-0.104477078411428,
"AUS","HHSAV","TOT","PC_HHDI","A","2007",1.04567903801092,
"AUS","HHSAV","TOT","PC_HHDI","A","2008",7.71166455961786,
"AUS","HHSAV","TOT","PC_HHDI","A","2009",5.73157969535277,
"AUS","HHSAV","TOT","PC_HHDI","A","2010",7.34146230470949,
"AUS","HHSAV","TOT","PC_HHDI","A","2011",7.87991582567769,
"AUS","HHSAV","TOT","PC_HHDI","A","2012",6.46858704104764,
"AUS","HHSAV","TOT","PC_HHDI","A","2013",7.32380377071877,
"AUS","HHSAV","TOT","PC_HHDI","A","2014",7.52994905954542,
"AUS","HHSAV","TOT","PC_HHDI","A","2015",6.00615129758227,
"AUS","HHSAV","TOT","PC_HHDI","A","2016",5.36146090788372,
"AUS","HHSAV","TOT","PC_HHDI","A","2017",4.76235752852199,
"AUS","HHSAV","TOT","PC_HHDI","A","2018",5.45643468330371,
"AUS","HHSAV","TOT","PC_HHDI","A","2019",12.3265659642916,
"AUS","HHSAV","TOT","PC_HHDI","A","2020",15.2231519281759,
"AUT","HHSAV","TOT","PC_HHDI","A","1995",14.650994839099,
"AUT","HHSAV","TOT","PC_HHDI","A","1996",11.9397096028179,
"AUT","HHSAV","TOT","PC_HHDI","A","1997",10.4232014998011,
"AUT","HHSAV","TOT","PC_HHDI","A","1998",10.3455205595328,
"AUT","HHSAV","TOT","PC_HHDI","A","1999",11.8836299861695,
"AUT","HHSAV","TOT","PC_HHDI","A","2000",10.6323620101249,
"AUT","HHSAV","TOT","PC_HHDI","A","2001",9.02211155348111,
"AUT","HHSAV","TOT","PC_HHDI","A","2002",9.40017464120189,
"AUT","HHSAV","TOT","PC_HHDI","A","2003",9.64812925464156,
"AUT","HHSAV","TOT","PC_HHDI","A","2004",9.52426830502389,
"AUT","HHSAV","TOT","PC_HHDI","A","2005",11.13639539683,
"AUT","HHSAV","TOT","PC_HHDI","A","2006",11.6196364290299,
"AUT","HHSAV","TOT","PC_HHDI","A","2007",12.4123757309681,
"AUT","HHSAV","TOT","PC_HHDI","A","2008",12.3545290786405,
"AUT","HHSAV","TOT","PC_HHDI","A","2009",11.3985751349722,
