,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,225.74,228.34,219.48,220.58,220.58,2161486,0.0
1,2022-04-08,207.53,227.535,205.94,225.74,225.74,3702495,0.0
2,2022-04-01,215.92,216.39,206.24,207.48,207.48,3431453,0.0
3,2022-03-25,206.4,216.27,203.27,215.58,215.58,4673450,0.0
4,2022-03-18,202.71,208.895,197.278,206.34,206.34,5779849,1.5
5,2022-03-11,206.38,207.495,198.26,204.08,202.6201,4170382,0.0
6,2022-03-04,202.0,210.75,198.45,206.62,205.1419,5006096,0.0
7,2022-02-25,217.9,217.95,190.79,205.57,204.0994,4766359,0.0
8,2022-02-18,222.99,225.84,214.4,218.8,217.2348,6863269,0.0
9,2022-02-11,228.44,234.23,221.09,222.94,221.3451,4704229,0.0
10,2022-02-04,226.73,237.39,223.34,226.99,225.3662,3141426,0.0
11,2022-01-28,221.48,233.24,221.48,228.22,226.5874,3025394,0.0
12,2022-01-21,238.17,242.96,224.94,226.15,224.5322,2835527,0.0
13,2022-01-14,237.0,244.2,230.572,239.6,237.886,2779202,0.0
14,2022-01-07,240.64,244.55,234.87,238.09,236.3868,3504669,0.0
15,2021-12-31,233.37,242.2,232.21,239.88,238.164,2702897,0.0
16,2021-12-23,230.28,234.41,224.22,232.13,230.4694,1904332,0.0
17,2021-12-17,239.75,242.29,231.755,232.82,231.1545,4607846,1.0
18,2021-12-10,229.99,240.24,229.0,240.04,237.3305,3353658,0.0
19,2021-12-03,228.36,231.685,218.22,226.86,224.2992,3326641,0.0
20,2021-11-26,231.21,235.99,225.07,226.73,224.1707,1645511,0.0
21,2021-11-19,240.02,243.05,228.27,230.0,227.4038,4679960,0.0
22,2021-11-12,229.55,240.96,224.56,239.04,236.3417,3069448,0.0
23,2021-11-05,226.29,232.7,223.46,229.73,227.1368,2798664,0.0
24,2021-10-29,232.31,233.8,220.931,225.52,222.9744,3149641,0.0
25,2021-10-22,216.3,235.32,215.69,231.97,229.3516,3389155,0.0
26,2021-10-15,214.0,218.82,205.5,215.43,212.9983,2603259,0.0
27,2021-10-08,207.26,215.3,205.8,214.15,211.7327,2214921,0.0
28,2021-10-01,216.85,220.12,205.26,208.0,205.6521,3505535,0.0
29,2021-09-24,203.01,215.905,200.775,215.66,213.2257,2871477,0.0
30,2021-09-17,201.41,208.78,197.5,205.8,203.477,2728993,1.0
31,2021-09-10,198.6,203.0,197.86,200.03,196.8244,2138936,0.0
32,2021-09-03,204.0,204.59,197.7,199.44,196.2439,3016931,0.0
33,2021-08-27,210.45,214.67,203.0062,203.82,200.5537,4981692,0.0
34,2021-08-20,205.5,212.32,204.62,209.68,206.3198,2406595,0.0
35,2021-08-13,205.08,212.3144,204.19,206.43,203.1218,2204600,0.0
36,2021-08-06,213.19,217.66,204.99,205.72,202.4232,2799329,0.0
37,2021-07-30,214.88,217.69,211.29,212.06,208.6616,2500193,0.0
38,2021-07-23,203.05,215.09,202.64,214.95,211.5053,2511077,0.0
39,2021-07-16,212.44,213.94,205.65,205.85,202.5511,2703487,0.0
40,2021-07-09,210.4,213.68,205.46,213.47,210.049,2545301,0.0
41,2021-07-02,204.07,211.16,202.25,211.05,207.6678,2825807,0.0
42,2021-06-25,195.5,205.46,194.76,204.43,201.1539,2941948,0.0
43,2021-06-18,199.06,200.94,191.4,193.33,190.2318,4976425,1.0
44,2021-06-11,193.76,200.55,191.32,199.44,195.2395,5027320,0.0
45,2021-06-04,191.5,198.0,188.79,192.76,188.7002,5089716,0.0
46,2021-05-28,194.92,194.93,187.16,189.73,185.734,4662186,0.0
47,2021-05-21,203.91,204.8257,191.67,194.94,190.8343,5287103,0.0
48,2021-05-14,204.81,210.18,199.625,202.81,198.5385,3558396,0.0
49,2021-05-07,201.34,205.2,201.34,204.47,200.1636,2888195,0.0
50,2021-04-30,199.07,202.4672,196.13,200.16,195.9443,2887815,0.0
51,2021-04-23,193.59,202.54,190.91,199.75,195.543,5366193,0.0
52,2021-04-16,184.05,193.17,184.05,192.92,188.8568,3298673,0.0
53,2021-04-09,187.5,187.8,179.6,183.97,180.0953,3721198,0.0
54,2021-04-01,187.48,187.91,181.57,185.96,182.0434,3052378,0.0
55,2021-03-26,185.02,187.68,179.03,187.32,183.3748,3948428,0.0
56,2021-03-19,179.06,187.18,177.22,186.0,182.0826,5724729,0.25
57,2021-03-12,172.52,179.75,170.91,179.58,175.5589,5378118,0.0
58,2021-03-05,162.13,172.105,161.19,171.51,167.6696,4099495,0.0
59,2021-02-26,165.13,169.41,160.0316,160.35,156.7595,4600076,0.0
60,2021-02-19,151.01,167.68,151.01,165.98,162.2634,6024725,0.0
61,2021-02-12,158.38,163.5,152.66,152.81,149.3883,5019349,0.0
62,2021-02-05,151.13,160.25,150.031,157.28,153.7582,6196278,0.0
63,2021-01-29,163.68,164.6736,143.15,149.14,145.8005,8967764,0.0
64,2021-01-22,165.11,167.78,163.15,163.76,160.0931,2580802,0.0
65,2021-01-15,167.95,177.92,164.94,165.25,161.5498,4952973,0.0
