,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,165.7,166.42,159.51,162.96,162.96,3597047,0.0
1,2022-04-08,156.01,166.9,153.83,165.44,165.44,6293567,0.0
2,2022-04-01,154.05,157.46,152.51,156.52,156.52,4173180,0.0
3,2022-03-25,152.6,155.76,150.54,154.69,154.69,4600357,0.0
4,2022-03-18,145.99,153.0548,143.19,152.0,152.0,7204894,0.0
5,2022-03-11,146.89,148.42,143.13,144.56,144.56,6505122,0.0
6,2022-03-04,139.31,147.51,138.39,147.3,147.3,4982550,0.0
7,2022-02-25,141.64,142.35,134.7,141.92,141.92,4961233,0.0
8,2022-02-18,140.0,144.22,137.7,141.5,141.5,6229832,0.0
9,2022-02-11,137.02,143.61,135.39,140.24,140.24,8016147,0.46
10,2022-02-04,135.85,139.315,132.0,136.61,136.1634,7278957,0.0
11,2022-01-28,130.08,136.88,127.94,136.8,136.3528,4992642,0.0
12,2022-01-21,135.93,135.95,131.0,131.52,131.09,2861650,0.0
13,2022-01-14,131.3,136.945,130.05,136.2,135.7547,5503148,0.0
14,2022-01-07,132.58,135.1,128.9,133.12,132.6848,4777919,0.0
15,2021-12-31,129.92,135.26,129.6001,132.89,132.4555,3008701,0.0
16,2021-12-23,124.71,129.92,123.205,129.53,129.1065,3411731,0.0
17,2021-12-17,123.13,126.3599,121.0,125.18,124.7707,4593012,0.0
18,2021-12-10,118.45,123.4994,117.77,123.13,122.7274,5085370,0.0
19,2021-12-03,120.75,121.63,113.68,116.76,116.3783,7896179,0.0
20,2021-11-26,120.34,124.96,119.79,120.23,119.8369,3512435,0.0
21,2021-11-19,125.34,126.15,120.39,120.52,120.126,4937800,0.0
22,2021-11-12,127.38,128.0,123.87,125.34,124.9302,3779831,0.46
23,2021-11-05,122.42,129.545,122.2,127.57,126.688,4771576,0.0
24,2021-10-29,123.35,123.96,119.54,122.02,121.1764,2513088,0.0
25,2021-10-22,119.1,123.67,117.8,123.32,122.4674,2529812,0.0
26,2021-10-15,119.72,123.75,115.96,119.86,119.0313,5184813,0.0
27,2021-10-08,120.0,121.48,114.74,119.37,118.5447,3921071,0.0
28,2021-10-01,122.12,123.84,118.59,119.81,118.9816,4225036,0.0
29,2021-09-24,122.74,123.65,120.51,122.3,121.4544,3719953,0.0
30,2021-09-17,123.31,126.97,121.9,123.47,122.6163,4175406,0.0
31,2021-09-10,125.14,125.445,121.89,122.81,121.9609,2110452,0.0
32,2021-09-03,119.57,125.56,119.3,125.14,124.2748,3100742,0.0
33,2021-08-27,120.16,120.29,115.81,119.89,119.0611,3899527,0.0
34,2021-08-20,119.7,121.18,117.7557,119.54,118.7135,3074608,0.0
35,2021-08-13,120.64,121.885,117.32,119.57,118.7433,4215881,0.44
36,2021-08-06,122.28,128.87,119.5,120.64,119.3666,6505665,0.0
37,2021-07-30,121.48,123.24,119.725,122.17,120.8805,3101653,0.0
38,2021-07-23,112.09,122.56,111.34,121.31,120.0296,6484305,0.0
39,2021-07-16,114.7,116.25,112.6,112.88,111.6885,3260685,0.0
40,2021-07-09,116.04,116.13,112.66,115.13,113.9148,2986707,0.0
41,2021-07-02,116.27,117.03,113.62,116.62,115.3891,4547568,0.0
42,2021-06-25,114.7,117.34,114.38,116.34,115.112,5893420,0.0
43,2021-06-18,119.83,119.83,114.31,114.42,113.2123,3409376,0.0
44,2021-06-11,117.39,121.32,116.5,119.84,118.5751,3540153,0.0
45,2021-06-04,114.54,117.25,113.47,116.92,115.6859,3530011,0.0
46,2021-05-28,120.48,120.81,112.68,114.74,113.5289,6555551,0.0
47,2021-05-21,116.31,122.31,113.87,120.07,118.8027,5650328,0.0
48,2021-05-14,120.52,124.85,116.41,116.52,115.2901,6599040,0.44
49,2021-05-07,121.52,125.86,114.0654,120.86,119.1344,9519571,0.0
50,2021-04-30,121.78,122.0943,117.78,120.8,119.0753,4471216,0.0
51,2021-04-23,120.0,121.82,118.92,121.65,119.9132,3594397,0.0
52,2021-04-16,116.56,119.91,116.26,119.69,117.9812,5709618,0.0
53,2021-04-09,117.26,118.09,114.8,116.81,115.1423,3858855,0.0
54,2021-04-01,118.15,120.54,114.72,116.89,115.2211,3959972,0.0
55,2021-03-26,115.87,118.85,113.18,118.73,117.0349,4207096,0.0
56,2021-03-19,113.14,117.12,111.8201,115.92,114.265,5734866,0.0
57,2021-03-12,105.59,113.565,105.565,112.92,111.3078,7011730,0.0
58,2021-03-05,101.92,105.45,101.84,104.83,103.3333,4660297,0.0
59,2021-02-26,105.28,108.0,100.71,101.22,99.7749,4984324,0.0
60,2021-02-19,105.62,106.32,102.68,105.87,104.3585,3273449,0.0
61,2021-02-12,109.7,110.42,103.61,105.18,103.6783,5319548,0.44
62,2021-02-05,104.86,112.88,103.4,109.69,107.6707,7788257,0.0
63,2021-01-29,107.09,109.76,103.8,104.2,102.2818,4696294,0.0
64,2021-01-22,107.49,108.72,102.725,107.76,105.7762,5479943,0.0
65,2021-01-15,109.17,110.49,104.53,106.8,104.8339,8140014,0.0
66,2021-01-08,97.85,112.48,94.89,110.03,108.0044,10267709,0.0
67,2020-12-31,97.71,98.26,96.08,97.76,95.9603,2753949,0.0
68,2020-12-24,97.32,98.38,95.765,96.97,95.1849,3118564,0.0
69,2020-12-18,99.07,99.85,97.09,98.61,96.7947,5465174,0.0
70,2020-12-11,103.0,103.3,97.58,98.06,96.2548,4813381,0.0
71,2020-12-04,103.72,104.515,100.41,102.98,101.0842,4485937,0.0
72,2020-11-27,101.28,103.94,100.08,103.2,101.3002,3601062,0.0
73,2020-11-20,109.08,110.56,99.74,100.46,98.6106,6659107,0.0
74,2020-11-13,108.42,111.25,104.1,108.12,106.1296,4561964,0.44
75,2020-11-06,97.36,109.62,95.71,103.95,101.6228,6728171,0.0
76,2020-10-30,98.57,99.77,92.235,96.07,93.9192,5950797,0.0
77,2020-10-23,99.53,100.715,97.18,99.38,97.1551,3240276,0.0
78,2020-10-16,97.38,100.61,95.59,99.52,97.292,4728075,0.0
79,2020-10-09,95.77,98.99,94.8,96.86,94.6915,4068076,0.0
