,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-14,98.6,99.59,92.92,93.06,93.06,335549588,0.0
1,2022-04-08,109.97,110.9391,100.4205,101.0,101.0,459423956,0.0
2,2022-04-01,117.7,125.67,106.102,108.19,108.19,545457987,0.0
3,2022-03-25,113.73,121.4,112.21,119.67,119.67,510790861,0.0
4,2022-03-18,102.99,115.42,101.04,113.46,113.46,524320553,0.0
5,2022-03-11,108.53,111.71,100.08,104.29,104.29,520400424,0.0
6,2022-03-04,120.31,124.61,106.81,108.41,108.41,594160955,0.0
7,2022-02-25,115.27,121.23,104.26,121.06,121.06,532146205,0.0
8,2022-02-18,115.51,121.88,109.89,113.83,113.83,610896584,0.0
9,2022-02-11,123.56,132.96,111.81,113.18,113.18,533187219,0.0
10,2022-02-04,107.93,130.06,106.9,123.6,123.6,589550336,0.0
11,2022-01-28,115.4,117.16,99.35,105.24,105.24,520860981,0.0
12,2022-01-21,134.5,136.3893,118.39,118.81,118.81,312490767,0.0
13,2022-01-14,129.08,141.25,125.03,136.88,136.88,378969023,0.0
14,2022-01-07,145.135,152.42,131.13,132.0,132.0,328325337,0.0
15,2021-12-31,147.51,156.73,143.55,143.9,143.9,256680653,0.0
16,2021-12-23,135.97,149.018,133.52,146.14,146.14,191558110,0.0
17,2021-12-17,138.25,147.93,130.6,137.75,137.75,284416218,0.0
18,2021-12-10,141.135,147.04,134.2,138.55,138.55,256357604,0.0
19,2021-12-03,157.5,164.4599,140.72,144.01,144.01,318877775,0.0
20,2021-11-26,157.14,161.8799,145.2996,154.81,154.81,218448913,0.0
21,2021-11-19,148.0,158.89,142.86,155.41,155.41,262181158,0.0
22,2021-11-12,137.7,155.65,137.7,147.89,147.89,442375836,0.0
23,2021-11-05,119.45,141.22,118.1301,136.34,136.34,316113142,0.0
24,2021-10-29,120.515,128.08,118.6,120.23,120.23,306860954,0.0
25,2021-10-22,111.9,121.56,111.37,119.82,119.82,195164151,0.0
26,2021-10-15,104.62,112.835,104.022,112.12,112.12,202059377,0.0
27,2021-10-08,101.742,107.95,99.82,105.06,105.06,184660257,0.0
28,2021-10-01,105.065,108.44,99.81,102.45,102.45,277348801,0.0
29,2021-09-24,101.58,106.86,99.51,105.8,105.8,174135459,0.0
30,2021-09-17,105.26,106.82,102.63,103.88,103.88,199074861,0.0
31,2021-09-10,109.955,110.58,104.98,105.2,105.2,136343309,0.0
32,2021-09-03,112.61,114.4899,108.5,109.92,109.92,226781524,0.0
33,2021-08-27,105.295,111.78,104.86,111.4,111.4,278032644,0.0
34,2021-08-20,110.2,111.58,101.975,104.65,104.65,353185842,0.0
35,2021-08-13,111.31,112.33,104.36,110.55,110.55,481002222,0.0
36,2021-08-06,105.93,122.49,103.83,110.11,110.11,780433586,0.0
37,2021-07-30,92.01,106.97,89.1,106.19,106.19,526344378,0.0
38,2021-07-23,84.99,92.37,84.24,92.15,92.15,162242593,0.0
39,2021-07-16,91.22,91.9,85.68,85.89,85.89,161808140,0.0
40,2021-07-09,94.875,95.44,87.45,90.9,90.9,177380470,0.0
41,2021-07-02,86.38,95.27,86.15,94.7,94.7,256566561,0.0
42,2021-06-25,83.49,87.1399,82.21,85.62,85.62,172539447,0.0
43,2021-06-18,81.51,85.77,78.96,84.65,84.65,220002879,0.0
44,2021-06-11,81.4,82.645,79.7,81.31,81.31,137335303,0.0
45,2021-06-04,81.01,82.91,80.26,81.58,81.58,134836034,0.0
46,2021-05-28,77.26,81.09,76.8,80.08,80.08,187737267,0.0
47,2021-05-21,74.215,78.81,72.76,77.17,77.17,236063988,0.0
48,2021-05-14,78.2,78.3,72.5,74.59,74.59,225676693,0.0
49,2021-05-07,81.97,82.0,76.47,78.81,78.81,243443254,0.0
50,2021-04-30,83.35,89.2,81.415,81.62,81.62,326321092,0.0
51,2021-04-23,82.13,83.3,78.51,82.76,82.76,197275497,0.0
52,2021-04-16,82.055,83.95,77.935,82.15,82.15,250353282,0.0
53,2021-04-09,81.74,83.79,80.35,82.76,82.76,172214578,0.0
54,2021-04-01,77.03,81.31,74.85,81.09,81.09,160155383,0.0
55,2021-03-26,79.99,81.265,74.96,77.41,77.41,217752653,0.0
56,2021-03-19,81.91,84.75,77.59,79.06,79.06,218977442,0.0
57,2021-03-12,78.03,81.89,73.86,81.05,81.05,221590495,0.0
58,2021-03-05,85.365,86.95,74.2,78.52,78.52,230213662,0.0
59,2021-02-26,88.15,88.3,79.36,84.51,84.51,230319030,0.0
60,2021-02-19,93.9,94.0,87.31,89.58,89.58,132433635,0.0
