,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,732.55,737.58,711.0783,715.74,715.74,2455679,0.0
1,2022-04-08,771.5,788.65,734.2,736.1,736.1,3769165,0.0
2,2022-04-01,744.5,784.4764,740.0,769.76,769.76,3651191,0.0
3,2022-03-25,739.88,749.125,727.93,741.04,741.04,2797504,0.0
4,2022-03-18,695.89,743.025,694.36,738.59,738.59,4270922,0.0
5,2022-03-11,696.0,705.82,660.15,687.04,687.04,5589642,0.0
6,2022-03-04,740.08,752.5,695.51,696.59,696.59,5463043,4.88
7,2022-02-25,750.0,758.4,705.37,750.87,745.6463,3344816,0.0
8,2022-02-18,765.0,787.75,752.4501,756.02,750.7605,3120904,0.0
9,2022-02-11,810.0,824.87,768.2566,772.49,767.1159,6092153,0.0
10,2022-02-04,805.21,831.32,797.3,809.82,804.1862,3523714,0.0
11,2022-01-28,779.56,819.97,754.05,808.14,802.5179,5151067,0.0
12,2022-01-21,835.0,846.67,798.79,800.92,795.3481,3833295,0.0
13,2022-01-14,888.7,899.97,832.87,848.6,842.6964,4212393,0.0
14,2022-01-07,918.34,927.48,884.0,892.27,886.0626,2820342,0.0
15,2021-12-31,918.8,929.055,906.47,915.56,909.1906,1718483,0.0
16,2021-12-23,899.9,923.34,884.325,913.92,907.562,1697790,0.0
17,2021-12-17,924.01,933.06,891.05,913.57,907.2145,2959188,0.0
18,2021-12-10,901.23,932.16,890.415,925.16,918.7238,2302575,4.13
19,2021-12-03,914.78,934.7599,887.78,899.57,889.2163,3648462,0.0
20,2021-11-26,920.0,939.415,896.85,901.64,891.2625,2188947,0.0
21,2021-11-19,971.01,971.5,910.03,914.95,904.4193,3248816,0.0
22,2021-11-12,960.0,973.16,951.26,971.49,960.3086,1711747,0.0
23,2021-11-05,947.19,967.94,929.68,955.11,944.1171,1832366,0.0
24,2021-10-29,918.54,947.86,912.02,943.46,932.6012,2120076,0.0
25,2021-10-22,902.0,916.06,894.51,914.97,904.4391,2035495,0.0
26,2021-10-15,841.08,915.2299,831.56,907.26,896.8178,4634844,0.0
27,2021-10-08,837.12,855.06,818.73,844.4,834.6813,2298157,0.0
28,2021-10-01,873.0,875.67,823.4901,841.89,832.2002,2646976,0.0
29,2021-09-24,853.08,881.325,839.275,874.62,864.5535,2757323,0.0
30,2021-09-17,923.25,924.2,868.805,876.63,866.5404,3491985,0.0
31,2021-09-10,933.29,935.5,915.02,916.62,906.0701,1426698,0.0
