,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-14,72.85,73.45,70.93,71.26,71.26,4128632,0.0
1,2022-04-08,72.41,73.865,71.6,72.96,72.96,5964365,0.0
2,2022-04-01,70.75,74.0,70.7,72.56,72.56,8051340,0.0
3,2022-03-25,69.61,70.4,68.55,70.37,70.37,8589460,0.0
4,2022-03-18,63.33,69.81,62.74,69.59,69.59,9937225,0.0
5,2022-03-11,67.82,68.01,61.12,62.71,62.71,12798003,0.0
6,2022-03-04,66.46,68.87,66.4,68.41,68.41,8541817,0.0
7,2022-02-25,66.09,67.75,62.41,67.59,67.59,6817272,0.0
8,2022-02-18,66.73,67.4,65.3282,66.14,66.14,7092290,0.0
9,2022-02-11,67.59,70.5,66.2,66.91,66.91,9621694,0.0
10,2022-02-04,64.36,68.52,64.05,67.53,67.53,13606986,0.1025
11,2022-01-28,62.72,67.36,61.3,64.38,64.2811,12531647,0.0
12,2022-01-21,66.32,66.81,63.11,63.13,63.033,6459951,0.0
13,2022-01-14,68.21,69.69,66.29,67.05,66.947,6993074,0.0
14,2022-01-07,70.395,70.6,67.15,68.6,68.4946,8342044,0.0
15,2021-12-31,68.41,70.75,68.23,70.28,70.1721,3267226,0.0
16,2021-12-23,65.2,68.38,64.41,68.03,67.9255,4171153,0.0
17,2021-12-17,67.12,68.53,65.62,65.87,65.7688,7949485,0.0
18,2021-12-10,65.79,67.91,65.48,67.21,67.1068,6194697,0.0
19,2021-12-03,65.47,66.315,63.68,65.21,65.1099,7738291,0.0
20,2021-11-26,64.91,66.43,64.36,64.76,64.6605,4450277,0.0
21,2021-11-19,64.61,65.558,63.65,64.54,64.4409,7529043,0.0
22,2021-11-12,62.36,64.72,61.78,64.52,64.4209,5855282,0.0
23,2021-11-05,63.28,63.52,61.01,61.97,61.8748,7696041,0.1025
24,2021-10-29,66.45,67.24,62.29,63.11,62.9103,8610173,0.0
25,2021-10-22,64.05,66.61,63.65,66.49,66.2796,7009702,0.0
26,2021-10-15,60.09,64.72,59.94,64.32,64.1165,5672651,0.0
27,2021-10-08,57.63,60.07,56.79,59.99,59.8002,5638228,0.0
28,2021-10-01,58.22,58.22,55.44,57.6,57.4177,7244026,0.0
29,2021-09-24,55.88,58.14,55.62,58.1,57.9161,7749045,0.0
30,2021-09-17,58.31,58.31,55.77,57.01,56.8296,54402101,0.0
31,2021-09-10,59.2,59.46,57.71,57.77,57.5872,6125041,0.0
32,2021-09-03,58.25,59.035,57.65,58.94,58.7535,4059409,0.0
33,2021-08-27,57.9,58.495,57.5,58.15,57.966,4246183,0.0
34,2021-08-20,55.78,57.88,55.6,57.76,57.5772,4740156,0.0
35,2021-08-13,54.42,55.88,54.24,55.75,55.5736,4065964,0.0925
36,2021-08-06,54.655,54.79,53.515,54.48,54.2162,5934824,0.0
37,2021-07-30,54.41,56.22,53.3575,54.4,54.1366,7709105,0.0
38,2021-07-23,53.3,54.42,52.22,54.35,54.0868,5376400,0.0
39,2021-07-16,52.83,53.99,52.364,53.74,53.4798,3957301,0.0
40,2021-07-09,53.67,53.801,52.18,52.95,52.6936,3806087,0.0
41,2021-07-02,53.56,53.88,52.79,53.67,53.4101,4506696,0.0
42,2021-06-25,52.08,53.68,51.58,53.49,53.231,4884458,0.0
43,2021-06-18,52.16,53.21,51.73,51.81,51.5591,5821518,0.0
44,2021-06-11,52.37,52.37,51.47,52.17,51.9174,2728967,0.0
45,2021-06-04,52.76,52.99,51.92,52.37,52.1164,3274879,0.0
46,2021-05-28,52.28,52.73,51.47,52.52,52.2657,5265171,0.0
47,2021-05-21,52.38,52.64,51.41,52.09,51.8378,3532587,0.0
48,2021-05-14,53.79,54.37,50.78,52.51,52.2557,4901905,0.0
49,2021-05-07,53.27,54.05,52.58,53.69,53.43,5929085,0.0925
50,2021-04-30,50.58,53.795,49.78,53.18,52.8315,7718822,0.0
51,2021-04-23,49.67,50.62,49.1501,50.48,50.1492,4791558,0.0
52,2021-04-16,47.88,49.75,47.62,49.55,49.2253,4105192,0.0
53,2021-04-09,46.76,47.86,46.46,47.83,47.5165,3529308,0.0
54,2021-04-01,45.92,46.56,45.53,46.52,46.2151,4055663,0.0
55,2021-03-26,44.54,46.29,44.54,46.19,45.8873,5427304,0.0
56,2021-03-19,46.89,47.21,44.61,44.76,44.4667,7595738,0.0
