,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-14,41.64,42.655,40.24,40.87,40.87,28992154,0.0
1,2022-04-08,43.79,43.99,40.88,41.83,41.83,73041057,0.0
2,2022-04-01,48.19,48.98,43.845,44.19,44.19,28571209,0.0
3,2022-03-25,49.49,50.8,47.98,48.7,48.7,24403009,0.0
4,2022-03-18,48.11,50.94,47.71,49.25,49.25,32855062,0.0
5,2022-03-11,47.7,48.56,45.1,46.88,46.88,28359871,0.0
6,2022-03-04,51.1,52.66,47.305,48.17,48.17,26098252,0.0
7,2022-02-25,53.47,53.78,48.63,52.98,52.98,17084932,0.0
8,2022-02-18,54.64,55.67,52.845,53.25,53.25,18471558,0.0
9,2022-02-11,54.08,56.11,53.68,54.47,54.47,19822197,0.0
10,2022-02-04,51.09,54.5,50.2,54.05,54.05,28543255,0.0
11,2022-01-28,49.57,53.52,48.86,51.7,51.7,31461296,0.39
12,2022-01-21,56.38,57.0,50.38,50.62,50.241,28231210,0.0
13,2022-01-14,54.99,56.4,53.13,56.35,55.9281,28946584,0.0
14,2022-01-07,48.36,54.46,48.02,54.22,53.8141,25328584,0.0
15,2021-12-31,46.73,47.84,46.4,47.25,46.8962,9596533,0.0
16,2021-12-23,44.68,47.24,43.56,46.63,46.2809,15864243,0.0
17,2021-12-17,47.18,48.27,45.42,45.46,45.1196,24121252,0.0
18,2021-12-10,47.33,48.87,46.68,47.4,47.0451,20302469,0.0
19,2021-12-03,49.26,49.71,46.02,46.35,46.003,28057860,0.0
20,2021-11-26,50.53,51.54,47.515,48.56,48.1964,14912144,0.0
21,2021-11-19,49.54,50.42,48.66,49.61,49.2386,23923763,0.0
22,2021-11-12,48.15,49.79,47.145,49.36,48.9904,17886431,0.0
23,2021-11-05,47.93,48.74,46.77,47.79,47.4322,17777221,0.0
24,2021-10-29,50.64,50.77,47.085,47.38,47.0253,20829378,0.39
25,2021-10-22,48.005,50.99,47.9,50.28,49.5005,21096396,0.0
26,2021-10-15,49.44,49.66,46.74,48.09,47.3445,18483898,0.0
27,2021-10-08,48.22,49.49,47.385,49.05,48.2896,22198035,0.0
28,2021-10-01,45.96,48.555,45.96,48.27,47.5217,31912656,0.0
29,2021-09-24,42.35,45.77,41.52,45.32,44.6174,22233974,0.0
30,2021-09-17,43.46,44.32,42.545,43.68,43.0028,21874364,0.0
31,2021-09-10,43.16,43.85,42.45,42.85,42.1857,16918703,0.0
