,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,194.69,198.35,191.5455,194.6,194.6,2979973,0.0
1,2022-04-08,200.13,203.03,193.335,194.69,194.69,6397000,0.0
2,2022-04-01,208.85,213.01,198.411,201.03,201.03,4527090,0.0
3,2022-03-25,205.61,211.84,204.44,209.66,209.66,4380101,0.0
4,2022-03-18,197.4,207.08,196.23,206.75,206.75,7499198,0.0
5,2022-03-11,201.51,202.16,189.5,195.29,195.29,7965807,0.0
6,2022-03-04,201.1,212.1,192.02,202.04,202.04,9488388,0.0
7,2022-02-25,220.72,220.72,198.13,203.85,203.85,6476111,0.0
8,2022-02-18,223.87,226.335,217.0,218.05,218.05,5001937,1.45
9,2022-02-11,229.12,229.4,220.44,222.17,220.7066,5568249,0.0
10,2022-02-04,219.21,234.2,215.8,228.6,227.0943,6952073,0.0
11,2022-01-28,219.89,232.95,214.29,220.99,219.5344,6373761,0.0
12,2022-01-21,235.79,237.15,222.75,223.36,221.8888,4468226,0.0
13,2022-01-14,235.51,238.05,228.51,237.54,235.9754,4610604,0.0
14,2022-01-07,218.71,234.995,218.27,234.35,232.8064,5753451,0.0
15,2021-12-31,213.41,220.57,213.18,218.14,216.7032,2692152,0.0
16,2021-12-23,208.32,214.57,203.38,213.97,212.5606,3760693,0.0
17,2021-12-17,217.19,220.76,210.16,211.03,209.64,6359313,0.0
18,2021-12-10,218.77,222.57,217.22,218.1,216.6634,4222392,0.0
19,2021-12-03,221.0,221.0015,209.09,217.03,215.6005,7818136,0.0
20,2021-11-26,224.84,230.73,216.73,219.68,218.233,4416481,0.0
21,2021-11-19,237.0,238.59,223.82,223.89,222.4153,5072882,1.45
22,2021-11-12,238.0,241.59,233.74,236.34,233.3002,3796499,0.0
23,2021-11-05,240.9,247.48,233.5,237.07,234.0208,4680839,0.0
24,2021-10-29,239.7,243.2573,234.235,239.84,236.7552,4033691,0.0
25,2021-10-22,235.89,243.22,235.5354,240.71,237.614,3608510,0.0
26,2021-10-15,237.1,241.5,227.235,238.28,235.2153,4065027,0.0
27,2021-10-08,228.33,238.48,223.58,236.0,232.9646,5106430,0.0
28,2021-10-01,227.56,233.08,223.75,227.96,225.028,3998896,0.0
29,2021-09-24,223.55,229.9682,217.5,227.66,224.7319,5557230,0.0
30,2021-09-17,235.79,237.08,226.335,227.69,224.7615,5470010,0.0
31,2021-09-10,238.01,238.235,231.45,233.32,230.3191,3395270,0.0
