,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,498.75,508.78,488.51,498.8,498.8,1619000,0.0
1,2022-04-08,530.49,539.06,500.82,505.99,505.99,3386208,0.0
2,2022-04-01,478.78,536.54,478.78,531.57,531.57,4011085,0.0
3,2022-03-25,465.02,486.655,442.0934,480.97,480.97,3442408,0.0
4,2022-03-18,388.4,469.43,388.37,468.05,468.05,4607439,0.0
5,2022-03-11,436.69,439.7699,390.06,390.26,390.26,4610888,0.0
6,2022-03-04,409.35,434.99,403.27,432.06,432.06,4068684,0.0
7,2022-02-25,384.66,412.405,365.73,411.34,411.34,3518921,0.0
8,2022-02-18,418.04,423.535,379.0,381.24,381.24,4291663,0.0
9,2022-02-11,419.39,455.23,413.16,420.56,420.56,4292706,0.0
10,2022-02-04,415.0,441.65,412.51,420.35,420.35,3911630,0.0
11,2022-01-28,415.395,427.55,382.02,413.39,413.39,5583941,0.0
12,2022-01-21,438.81,454.95,421.18,422.1,422.1,3514993,0.0
13,2022-01-14,444.17,501.395,435.47,447.34,447.34,5707009,0.0
14,2022-01-07,531.8,532.79,471.15,471.49,471.49,4367784,0.0
15,2021-12-31,574.29,575.13,526.755,536.95,536.95,2352014,0.0
16,2021-12-23,550.36,579.85,535.4501,572.01,572.01,1908243,0.0
17,2021-12-17,563.93,572.5883,526.97,555.34,555.34,6730098,0.0
18,2021-12-10,517.59,575.01,510.49,566.5,566.5,4081394,0.0
19,2021-12-03,591.95,598.06,514.53,519.49,519.49,5907667,0.0
20,2021-11-26,638.65,643.5799,580.01,591.96,591.96,2974801,0.0
21,2021-11-19,650.0,659.4518,633.94,641.18,641.18,2740800,0.0
22,2021-11-12,637.41,648.61,618.93,646.56,646.56,2190867,0.0
23,2021-11-05,627.27,649.54,612.52,635.46,635.46,3377123,0.0
24,2021-10-29,567.0,627.96,552.39,623.21,623.21,2883825,0.0
25,2021-10-22,536.86,570.0,531.98,566.57,566.57,2362608,0.0
26,2021-10-15,524.41,561.165,521.0784,544.47,544.47,2189562,0.0
27,2021-10-08,545.0,550.16,521.01,529.1,529.1,2443073,0.0
28,2021-10-01,557.15,558.44,522.92,549.92,549.92,2817930,0.0
29,2021-09-24,560.45,579.0,547.12,560.74,560.74,2652920,0.0
30,2021-09-17,541.47,567.8099,527.17,563.14,563.14,2811625,0.0
31,2021-09-10,545.41,559.75,538.26,549.38,549.38,1832524,0.0
32,2021-09-03,521.59,555.0,517.7,542.43,542.43,2875639,0.0
33,2021-08-27,517.96,528.3,508.0,520.71,520.71,2052477,0.0
34,2021-08-20,492.17,522.8437,488.85,518.99,518.99,2392683,0.0
35,2021-08-13,517.84,523.85,487.0,491.41,491.41,3569117,0.0
36,2021-08-06,517.19,527.1,497.5014,516.64,516.64,3406470,0.0
37,2021-07-30,458.79,524.31,445.27,515.51,515.51,4467768,0.0
38,2021-07-23,444.12,463.22,431.15,460.72,460.72,2960550,0.0
39,2021-07-16,445.42,451.43,433.91,448.69,448.69,2616951,0.0
40,2021-07-09,432.05,449.145,428.125,440.73,440.73,2629021,0.0
41,2021-07-02,431.49,433.0,418.6,431.59,431.59,3490880,0.0
42,2021-06-25,418.29,439.62,407.6203,430.36,430.36,6378866,0.0
43,2021-06-18,400.3131,419.19,397.87,418.29,418.29,3934577,0.0
44,2021-06-11,384.01,401.91,380.76,400.19,400.19,3320104,0.0
45,2021-06-04,371.2,387.95,361.58,382.91,382.91,2639113,0.0
46,2021-05-28,346.74,378.44,343.74,369.39,369.39,4642361,0.0
47,2021-05-21,331.2,351.5,321.93,342.09,342.09,3345799,0.0
48,2021-05-14,359.27,359.27,318.45,333.25,333.25,5596049,0.0
49,2021-05-07,386.1,386.545,350.645,358.74,358.74,4289257,0.0
50,2021-04-30,415.83,428.94,384.82,386.1,386.1,5267024,0.0
51,2021-04-23,396.6,416.59,383.265,415.0,415.0,2892788,0.0
52,2021-04-16,380.27,401.65,376.875,400.04,400.04,2650804,0.0
53,2021-04-09,367.5,383.17,361.54,382.89,382.89,2585600,0.0
54,2021-04-01,352.88,370.6459,341.27,365.5,365.5,2563113,0.0
55,2021-03-26,343.52,366.7,340.335,352.73,352.73,4385283,0.0
56,2021-03-19,353.76,367.54,337.14,344.63,344.63,4760498,0.0
57,2021-03-12,361.63,371.88,348.77,357.73,357.73,4333194,0.0
58,2021-03-05,400.4,401.99,347.23,364.09,364.09,4515540,0.0
59,2021-02-26,416.75,422.26,386.12,397.78,397.78,3304656,0.0
60,2021-02-19,411.0,423.4,400.19,418.94,418.94,3089397,0.0
61,2021-02-12,414.78,415.0,381.05,412.56,412.56,4943822,0.0
62,2021-02-05,376.35,412.24,373.0,411.03,411.03,3673138,0.0
63,2021-01-29,373.55,379.06,349.0,374.85,374.85,4569561,0.0
64,2021-01-22,358.49,373.99,348.025,370.12,370.12,3076598,0.0
65,2021-01-15,373.99,375.5,347.59,354.2,354.2,5207110,0.0
66,2021-01-08,366.07,396.98,351.84,388.09,388.09,6118305,0.0
67,2020-12-31,355.39,370.64,352.37,369.72,369.72,2925918,0.0
68,2020-12-24,352.67,364.99,345.43,355.02,355.02,2467136,0.0
69,2020-12-18,349.15,365.5,345.0,358.57,358.57,5557180,0.0
70,2020-12-11,350.74,353.827,329.6,347.71,347.71,5868590,0.0
71,2020-12-04,317.57,349.96,313.3805,348.03,348.03,7216737,0.0
72,2020-11-27,318.99,325.0,311.0107,318.21,318.21,3678969,0.0
73,2020-11-20,336.4,344.46,315.54,315.87,315.87,4992564,0.0
74,2020-11-13,361.33,366.04,326.86,336.4,336.4,5060608,0.0
75,2020-11-06,328.54,366.245,305.63,361.32,361.32,6765424,0.0
76,2020-10-30,405.66,418.99,317.5,319.58,319.58,14064517,0.0
77,2020-10-23,403.61,411.21,385.09,411.0,411.0,3534941,0.0
78,2020-10-16,392.52,417.99,388.02,405.0,405.0,4000942,0.0
79,2020-10-09,388.0,399.8,373.41,386.0,386.0,3957690,0.0
80,2020-10-02,399.0,420.0,379.11,384.52,384.52,4086592,0.0
81,2020-09-25,385.0,402.53,376.77,402.36,402.36,3002123,0.0
82,2020-09-18,386.21,403.97,375.62,389.31,389.31,4463706,0.0
83,2020-09-11,390.89,405.67,377.81,383.46,383.46,2877259,0.0
84,2020-09-04,418.04,449.98,377.35,398.24,398.24,5636297,0.0
85,2020-08-28,427.7369,433.52,411.0923,418.95,418.95,2765387,0.0
86,2020-08-21,428.97,446.311,424.0,426.9,426.9,2577010,0.0
87,2020-08-14,439.31,440.45,403.15,425.16,425.16,3628923,0.0
88,2020-08-07,440.62,456.23,429.56,440.7,440.7,3968971,0.0
89,2020-07-31,428.16,444.72,411.58,435.54,435.54,5537262,0.0
90,2020-07-24,430.76,437.67,402.65,421.75,421.75,3154627,0.0
91,2020-07-17,441.43,446.5,381.12,424.43,424.43,5262400,0.0
92,2020-07-10,412.2,445.52,408.81,439.64,439.64,5377800,0.0
93,2020-07-02,387.69,415.48,376.88,407.35,407.35,4210900,0.0
94,2020-06-26,415.03,415.49,375.24,383.06,383.06,6569523,0.0
95,2020-06-19,363.0,412.25,358.68,409.36,409.36,6508249,0.0
96,2020-06-12,362.25,389.325,352.27,370.23,370.23,6646695,0.0
97,2020-06-05,382.5,383.8775,336.02,364.49,364.49,6920159,0.0
98,2020-05-29,408.49,411.75,336.26,378.31,378.31,7445571,0.0
99,2020-05-22,425.02,428.59,387.12,405.25,405.25,5289083,0.0
100,2020-05-15,404.05,428.0,396.72,417.73,417.73,31511393,0.0
101,2020-05-08,343.06,414.63,339.43,405.5,405.5,11216617,0.0
102,2020-05-01,343.54,350.97,312.15,341.52,341.52,8004275,0.0
103,2020-04-24,322.87,334.27,307.0,332.44,332.44,5323069,0.0
104,2020-04-17,279.88,329.59,270.11,323.4,323.4,9256175,0.0
105,2020-04-09,272.37,280.0,250.01,275.27,275.27,6171547,0.0
106,2020-04-03,265.31,280.9695,250.0,260.75,260.75,6572670,0.0
107,2020-03-27,209.55,270.0,196.565,262.96,262.96,6787753,0.0
108,2020-03-20,215.0,225.0,182.07,209.5,209.5,9089125,0.0
109,2020-03-13,261.78,281.8,215.0,244.02,244.02,8120769,0.0
110,2020-03-06,278.1,291.8548,268.2,286.56,286.56,5295518,0.0
111,2020-02-28,278.19,301.83,266.6677,276.0,276.0,6684081,0.0
112,2020-02-21,284.4,306.71,281.38,291.25,291.25,6792331,0.0
113,2020-02-14,240.59,295.0,240.0656,283.91,283.91,6359759,0.0
114,2020-02-07,241.04,245.26,235.01,240.22,240.22,2902718,0.0
115,2020-01-31,229.01,247.34,226.725,240.75,240.75,3375464,0.0
116,2020-01-24,230.7,239.3213,229.8,233.94,233.94,2690925,0.0
117,2020-01-17,235.0,241.955,224.01,230.79,230.79,4575229,0.0
118,2020-01-10,217.92,242.14,216.75,237.3,237.3,4337295,0.0
119,2020-01-03,217.21,222.63,213.65,218.7,218.7,2378786,0.0
120,2019-12-27,213.67,219.3274,212.47,218.11,218.11,1323875,0.0
121,2019-12-20,206.14,221.025,205.36,213.42,213.42,5781501,0.0
122,2019-12-13,224.95,227.63,199.52,203.83,203.83,6752860,0.0
123,2019-12-06,218.15,232.0,217.1,224.76,224.76,3475761,0.0
124,2019-11-29,224.0,229.69,221.7,227.31,227.31,2449914,0.0
125,2019-11-22,209.21,223.5162,208.82,221.85,221.85,6498722,0.0
126,2019-11-15,196.0,208.38,194.6,208.37,208.37,5908637,0.0
