,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,107.4,110.32,106.88,108.39,108.39,2831535,0.0
1,2022-04-08,111.01,112.28,105.14,108.19,108.19,5926012,0.0
2,2022-04-01,110.05,114.97,108.64,111.38,111.38,5490526,0.0
3,2022-03-25,108.62,111.815,108.23,110.69,110.69,5773886,0.0
4,2022-03-18,105.84,108.925,104.37,107.9,107.9,9159722,0.76
5,2022-03-11,114.39,114.515,104.11,105.42,104.6701,9801161,0.0
6,2022-03-04,118.17,119.45,113.64,114.86,114.043,6056779,0.0
7,2022-02-25,121.62,122.75,114.935,120.8,119.9407,3909971,0.0
8,2022-02-18,121.88,124.845,120.16,121.28,120.4173,4168894,0.0
9,2022-02-11,119.91,124.46,118.14,121.93,121.0627,4025429,0.0
10,2022-02-04,117.38,122.81,115.47,119.22,118.3719,5356962,0.0
11,2022-01-28,117.13,122.4999,114.83,118.18,117.3393,8257005,0.0
12,2022-01-21,127.14,129.475,119.82,120.09,119.2357,6743810,0.0
13,2022-01-14,122.03,128.0,118.95,127.54,126.6328,7940438,0.0
14,2022-01-07,121.5,124.83,119.38,122.41,121.5392,6225538,0.0
15,2021-12-31,117.72,121.44,117.06,120.91,120.0499,2523262,0.0
16,2021-12-23,116.76,118.44,113.875,117.39,116.555,4544221,0.0
17,2021-12-17,116.6,121.2,112.7,118.68,117.8358,10144789,0.76
18,2021-12-10,109.57,119.26,108.65,117.3,115.7067,6523603,0.0
19,2021-12-03,111.88,112.28,102.61,107.76,106.2963,5739560,0.0
20,2021-11-26,113.32,117.19,107.345,110.5,108.999,2810745,0.0
21,2021-11-19,116.22,116.35,111.86,113.18,111.6426,3506583,0.0
22,2021-11-12,112.97,116.55,110.8,115.86,114.2862,4009918,0.0
23,2021-11-05,101.99,111.86,101.4273,111.83,110.311,5771312,0.0
24,2021-10-29,108.44,110.2592,103.4,104.03,102.6169,5288736,0.0
25,2021-10-22,106.7,108.77,106.02,107.57,106.1088,3484944,0.0
26,2021-10-15,105.28,108.64,102.57,107.37,105.9115,4486286,0.0
27,2021-10-08,103.06,106.22,100.94,105.22,103.7908,5554361,0.0
28,2021-10-01,102.84,106.46,100.69,102.5,101.1077,4986567,0.0
29,2021-09-24,100.41,103.46,98.241,102.2,100.8118,4128977,0.0
30,2021-09-17,110.56,111.22,101.925,103.09,101.6897,5982532,0.69
31,2021-09-10,112.12,112.7199,107.8414,109.47,107.2747,3037244,0.0
32,2021-09-03,115.66,116.0,111.56,112.56,110.3027,3905652,0.0
33,2021-08-27,110.91,115.75,110.815,115.27,112.9584,2766778,0.0
34,2021-08-20,114.58,115.215,108.48,109.9,107.6961,2641888,0.0
35,2021-08-13,111.88,116.99,111.25,115.7,113.3798,2501316,0.0
36,2021-08-06,113.58,115.82,108.9,112.82,110.5575,2895787,0.0
37,2021-07-30,110.42,114.24,108.535,112.72,110.4595,2990098,0.0
38,2021-07-23,106.71,111.09,104.81,110.05,107.8431,3768220,0.0
39,2021-07-16,114.37,115.94,108.77,109.2,107.0101,3261520,0.0
40,2021-07-09,116.47,116.79,110.63,114.95,112.6448,2688262,0.0
41,2021-07-02,116.65,118.5747,114.36,116.71,114.3695,2538996,0.0
42,2021-06-25,117.09,119.7,116.4,116.78,114.4381,4151662,0.0
