,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,71.27,71.43,70.2112,70.6,70.6,2358110,0.0
1,2022-04-08,68.57,71.48,67.73,71.11,71.11,6018617,0.0
2,2022-04-01,66.98,69.08,66.44,69.06,69.06,4773401,0.0
3,2022-03-25,64.83,66.89,64.53,66.85,66.85,6030696,0.0
4,2022-03-18,64.66,65.505,64.0,64.77,64.77,7379100,0.0
5,2022-03-11,63.72,65.18,62.8,64.35,64.35,7457096,0.0
6,2022-03-04,62.12,63.74,60.57,63.7,63.7,8757634,0.5725
7,2022-02-25,61.06,63.12,59.46,62.55,61.9928,9149244,0.0
8,2022-02-18,62.8,63.14,60.48,60.97,60.4269,10862809,0.0
9,2022-02-11,65.19,66.02,62.415,62.73,62.1712,8855975,0.0
10,2022-02-04,64.12,66.57,63.96,65.23,64.649,9158085,0.0
11,2022-01-28,63.89,64.83,61.99,64.77,64.1931,8225228,0.0
12,2022-01-21,65.48,65.8,63.94,64.12,63.5489,8495935,0.0
13,2022-01-14,67.68,67.94,65.61,65.84,65.2535,7272430,0.0
14,2022-01-07,68.59,68.86,66.69,67.55,66.9483,5596540,0.0
15,2021-12-31,66.79,68.86,66.42,68.61,67.9989,2759574,0.0
16,2021-12-23,66.81,67.6,65.7,66.75,66.1554,4190995,0.0
17,2021-12-17,66.86,68.689,66.73,66.89,66.2942,7064363,0.0
18,2021-12-10,65.57,67.4071,65.27,66.94,66.3437,4088724,0.0
19,2021-12-03,64.69,65.45,63.1,64.89,64.312,5672277,0.0
20,2021-11-26,65.68,67.8,64.41,64.51,63.9354,5254974,0.0
21,2021-11-19,64.99,66.0725,63.89,65.61,65.0256,8722985,0.5725
22,2021-11-12,64.88,65.329,63.235,64.5,63.3679,4258480,0.0
23,2021-11-05,63.75,64.96,62.32,64.88,63.7413,5805734,0.0
24,2021-10-29,64.55,64.95,63.3,63.75,62.6311,4560194,0.0
25,2021-10-22,62.8,64.82,62.51,64.64,63.5055,4286285,0.0
26,2021-10-15,61.81,63.9,61.2,63.31,62.1988,5627870,0.0
27,2021-10-08,61.71,63.93,61.64,62.01,60.9217,5409360,0.0
28,2021-10-01,63.39,64.4,61.52,61.8,60.7153,7608521,0.0
29,2021-09-24,64.17,65.47,62.57,63.15,62.0416,7942337,0.0
30,2021-09-17,67.29,67.58,63.9,64.2,63.0732,8839003,0.0
31,2021-09-10,68.38,68.66,66.61,66.69,65.5195,4070064,0.0
32,2021-09-03,68.15,69.18,67.84,68.5,67.2977,5633233,0.0
33,2021-08-27,69.24,69.45,67.97,68.31,67.1111,7491403,0.0
34,2021-08-20,68.23,69.29,68.11,69.26,68.0444,8025685,0.535
35,2021-08-13,66.72,68.14,66.4,68.1,66.387,4643383,0.0
36,2021-08-06,65.65,67.3,65.12,66.72,65.0417,5117040,0.0
37,2021-07-30,64.94,66.53,64.45,65.22,63.5795,7487118,0.0
38,2021-07-23,64.195,65.09,63.375,65.08,63.443,9134941,0.0
39,2021-07-16,61.67,64.8,61.1,64.56,62.9361,5409437,0.0
40,2021-07-09,61.34,62.08,60.77,61.79,60.2357,3988664,0.0
41,2021-07-02,61.89,62.25,60.11,61.58,60.031,4026509,0.0
42,2021-06-25,62.59,63.78,60.81,61.66,60.109,7757183,0.0
43,2021-06-18,64.36,65.64,62.5,62.54,60.9669,7266471,0.0
44,2021-06-11,62.88,64.22,62.1,64.19,62.5754,4771192,0.0
45,2021-06-04,61.99,62.88,61.14,62.72,61.1424,2648167,0.0
46,2021-05-28,62.66,62.85,61.07,61.99,60.4307,6000752,0.0
47,2021-05-21,62.6,62.83,61.8,62.53,60.9571,6518379,0.535
48,2021-05-14,63.83,65.0,61.39,62.67,60.5701,7345553,0.0
49,2021-05-07,64.0,64.505,62.41,63.82,61.6816,5911850,0.0
50,2021-04-30,63.6,63.97,62.62,63.97,61.8265,4981222,0.0
51,2021-04-23,63.9,65.26,62.96,63.48,61.353,6714666,0.0
52,2021-04-16,60.81,63.41,60.3,63.29,61.1693,5442290,0.0
53,2021-04-09,60.05,61.6,59.8005,60.66,58.6275,7115955,0.0
54,2021-04-01,59.15,60.55,58.91,59.93,57.9219,5950619,0.0
55,2021-03-26,59.3,60.23,58.19,59.14,57.1584,9482267,0.0
56,2021-03-19,57.91,59.81,57.88,59.54,57.545,10401301,0.0
57,2021-03-12,55.45,57.8,55.11,57.68,55.7473,9602379,0.0
58,2021-03-05,54.17,55.6,52.87,55.35,53.4954,9929872,0.535
59,2021-02-26,54.2,55.56,51.92,53.63,51.3368,13170118,0.0
60,2021-02-19,54.5,55.6,54.14,54.23,51.9111,5361892,0.0
61,2021-02-12,54.83,55.47,53.76,54.43,52.1026,4515783,0.0
62,2021-02-05,53.9,55.38,53.13,54.89,52.5429,7960292,0.0
63,2021-01-29,53.5,54.9,52.4,53.73,51.4325,12616249,0.0
64,2021-01-22,54.58,54.58,53.0,53.8,51.4995,6744246,0.0
65,2021-01-15,52.74,54.525,52.13,54.3,51.9781,7462276,0.0
66,2021-01-08,55.36,55.64,52.29,53.0,50.7337,9973270,0.0
67,2020-12-31,53.87,55.56,53.36,55.51,53.1364,14920302,0.0
68,2020-12-24,52.93,53.61,51.88,53.43,51.1454,14149146,0.0
69,2020-12-18,55.79,56.3,53.15,53.35,51.0688,8661654,0.0
70,2020-12-11,54.89,55.84,54.66,55.13,52.7727,8381426,0.0
71,2020-12-04,55.51,56.75,54.71,54.92,52.5716,9414167,0.0
72,2020-11-27,54.63,56.36,54.064,55.77,53.3853,10361629,0.0
73,2020-11-20,57.95,58.02,53.27,54.51,52.1792,10461575,0.535
74,2020-11-13,56.85,62.53,55.03,57.11,54.1286,16596946,0.0
75,2020-11-06,56.01,57.85,54.24,55.04,52.1667,7966624,0.0
76,2020-10-30,55.89,57.2,54.16,55.2,52.3183,8550358,0.0
77,2020-10-23,54.71,57.13,54.44,56.37,53.4273,8536416,0.0
78,2020-10-16,53.04,55.11,52.085,54.92,52.053,7635703,0.0
79,2020-10-09,51.91,53.805,51.52,52.93,50.1668,6942657,0.0
80,2020-10-02,50.43,52.45,49.73,51.98,49.2664,10303026,0.0
81,2020-09-25,50.38,51.0198,48.61,50.29,47.6647,7593363,0.0
82,2020-09-18,52.17,53.79,50.73,50.94,48.2807,6566177,0.0
83,2020-09-11,51.76,53.49,50.8,51.94,49.2285,5145589,0.0
84,2020-09-04,52.94,53.66,51.16,51.87,49.1622,10099993,0.0
85,2020-08-28,50.71,53.1,50.05,52.98,50.2142,11812621,0.0
