,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,138.94,142.78,133.54,140.34,140.34,5677046,0.0
1,2022-04-08,140.0,142.99,132.93,141.99,141.99,9011472,0.0
2,2022-04-01,142.03,142.52,133.3,138.44,138.44,9488598,0.0
3,2022-03-25,135.0,147.99,134.27,146.51,146.51,13997587,0.0
4,2022-03-18,127.87,135.46,119.4335,131.45,131.45,17659055,0.0
5,2022-03-11,139.11,140.72,125.89,129.67,129.67,18161618,0.0
6,2022-03-04,132.25,142.09,131.26,137.8,137.8,15938119,0.6
7,2022-02-25,134.95,136.32,123.16,133.27,132.6765,15962216,0.0
8,2022-02-18,134.08,135.5,123.12,131.47,130.8845,12378500,0.0
9,2022-02-11,131.0,136.55,122.08,135.57,134.9662,13213368,0.0
10,2022-02-04,128.0,135.7,122.6,132.06,131.4718,12800859,0.0
11,2022-01-28,112.98,134.06,109.21,128.72,128.1467,15119036,0.0
12,2022-01-21,130.39,131.75,115.42,117.99,117.4645,12363839,0.0
13,2022-01-14,121.6,129.3425,117.68,129.21,128.6345,13793238,0.0
14,2022-01-07,107.58,124.69,107.55,121.52,120.9788,15675673,0.0
15,2021-12-31,105.93,112.33,104.115,107.85,107.3697,7249775,0.0
16,2021-12-23,97.615,107.4,95.02,105.94,105.4682,8310651,0.0
17,2021-12-17,109.89,110.91,99.0317,102.43,101.9738,16122804,0.0
18,2021-12-10,108.14,116.8682,105.55,111.18,110.6848,11057997,0.0
19,2021-12-03,111.71,115.76,99.52,106.0,105.5279,29673970,0.0
20,2021-11-26,102.3,114.93,102.24,107.48,107.0013,10912685,0.0
21,2021-11-19,109.74,112.75,100.775,102.17,101.715,12773012,0.0
22,2021-11-12,115.27,117.71,105.67,109.95,109.4603,10601874,0.5
23,2021-11-05,109.825,116.3876,108.1,113.79,112.7841,15344079,0.0
24,2021-10-29,111.26,112.89,105.47,107.19,106.2425,10666499,0.0
25,2021-10-22,111.0,114.73,107.76,109.33,108.3636,10692273,0.0
26,2021-10-15,112.03,114.1,104.84,108.28,107.3228,13366272,0.0
27,2021-10-08,100.44,110.5,99.0501,109.9,108.9285,17030048,0.0
28,2021-10-01,91.54,98.96,91.53,98.86,97.9861,15491358,0.0
29,2021-09-24,78.78,90.87,77.21,88.72,87.9357,13138770,0.0
30,2021-09-17,76.16,84.35,75.05,82.62,81.8897,16352818,0.0
31,2021-09-10,75.25,77.43,73.31,75.04,74.3767,7277065,0.0
32,2021-09-03,77.98,78.2,73.26,75.56,74.8921,11347030,0.0
33,2021-08-27,71.49,77.07,70.9154,76.65,75.9724,11448153,0.0
34,2021-08-20,74.27,74.52,65.9304,68.18,67.5773,12567762,0.0
35,2021-08-13,78.27,79.86,75.2101,75.64,74.9714,9309401,0.45
36,2021-08-06,77.64,82.29,75.5,80.05,78.893,13654542,0.0
37,2021-07-30,78.25,81.43,76.25,77.13,76.0152,10140460,0.0
38,2021-07-23,74.23,80.3589,71.35,78.24,77.1092,14029406,0.0
39,2021-07-16,88.07,91.378,78.01,78.36,77.2275,9784864,0.0
40,2021-07-09,98.26,98.6128,85.35,89.42,88.1276,11934952,0.0
41,2021-07-02,95.53,102.53,91.88,98.06,96.6427,13512790,0.0
42,2021-06-25,86.63,96.64,86.51,96.31,94.918,13737598,0.0
43,2021-06-18,88.46,91.75,84.14,86.18,84.9344,13008666,0.0
44,2021-06-11,86.31,92.11,85.1,87.27,86.0087,9926334,0.0
45,2021-06-04,82.88,89.07,82.4,85.82,84.5797,11271549,0.0
46,2021-05-28,76.82,80.25,75.15,80.07,78.9128,9349749,0.0
47,2021-05-21,78.4,81.19,74.6,76.31,75.2071,12497177,0.0
48,2021-05-14,85.46,87.18,75.1,78.7,77.5626,13884744,0.4
