,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,218.42,222.03,211.33,214.99,214.99,59877229,0.0
1,2022-04-08,225.98,236.86,218.56,222.33,222.33,126033890,0.0
2,2022-04-01,222.13,231.151,219.54,224.85,224.85,126967068,0.0
3,2022-03-25,214.5,225.5,207.63,221.82,221.82,155942191,0.0
4,2022-03-18,187.03,216.8,185.82,216.49,216.49,184107129,0.0
5,2022-03-11,200.79,200.89,186.11,187.61,187.61,167510962,0.0
6,2022-03-04,207.675,213.1508,198.79,200.06,200.06,150196640,0.0
7,2022-02-25,202.34,211.32,190.22,210.48,210.48,171770071,0.0
8,2022-02-18,219.31,221.15,205.18,206.16,206.16,202562936,0.0
9,2022-02-11,237.7,238.3,216.15,219.55,219.55,365374072,0.0
10,2022-02-04,300.68,328.0,230.11,237.09,237.09,375523722,0.0
11,2022-01-28,297.84,309.53,289.01,301.71,301.71,135895698,0.0
12,2022-01-21,323.29,327.82,303.04,303.17,303.17,88552375,0.0
13,2022-01-14,325.31,336.365,315.43,331.9,331.9,86904480,0.0
14,2022-01-07,338.295,343.0854,322.72,331.79,331.79,93810173,0.0
15,2021-12-31,338.845,352.71,336.27,336.35,336.35,68289517,0.0
16,2021-12-23,329.775,336.67,322.53,335.24,335.24,64770831,0.0
17,2021-12-17,330.95,344.46,323.98,333.79,333.79,130738667,0.0
18,2021-12-10,308.13,336.13,306.34,329.75,329.75,91897246,0.0
19,2021-12-03,336.89,340.67,299.5,306.84,306.84,124292219,0.0
20,2021-11-26,349.05,353.83,331.902,333.12,333.12,72658715,0.0
21,2021-11-19,344.34,353.65,335.3,345.3,345.3,100836297,0.0
22,2021-11-12,344.42,344.789,325.51,340.89,340.89,95160268,0.0
23,2021-11-05,326.04,346.79,323.2,341.13,341.13,129578076,0.0
24,2021-10-29,320.3,330.2099,308.11,323.57,323.57,221900985,0.0
25,2021-10-22,328.95,343.98,321.11,324.61,324.61,105589765,0.0
26,2021-10-15,327.625,330.52,317.37,324.76,324.76,97026902,0.0
27,2021-10-08,335.53,338.84,322.7,330.05,330.05,148959498,0.0
28,2021-10-01,349.805,355.15,338.15,343.01,343.01,82820775,0.0
29,2021-09-24,359.3,361.03,340.6901,352.96,352.96,115875745,0.0
30,2021-09-17,381.68,381.75,361.59,364.72,364.72,77911324,0.0
31,2021-09-10,375.88,383.79,373.15,378.69,378.69,42514622,0.0
32,2021-09-03,372.56,384.33,370.52,376.26,376.26,59809404,0.0
33,2021-08-27,359.44,373.74,359.1,372.63,372.63,48969499,0.0
34,2021-08-20,362.52,366.95,351.0,359.37,359.37,54305589,0.0
35,2021-08-13,363.7623,365.775,357.11,363.18,363.18,38028702,0.0
36,2021-08-06,358.1,365.15,347.7,363.51,363.51,58939289,0.0
37,2021-07-30,369.58,377.5499,352.94,356.3,356.3,108494684,0.0
