,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,330.69,342.7,324.65,340.86,340.86,2466781,0.0
1,2022-04-08,342.48,347.6299,328.52,335.83,335.83,4243663,0.0
2,2022-04-01,333.0,352.98,329.61,339.01,339.01,4717540,0.0
3,2022-03-25,315.34,336.35,305.8102,332.73,332.73,5515313,0.0
4,2022-03-18,276.33,321.16,265.275,319.97,319.97,9228731,0.0
5,2022-03-11,333.72,337.96,272.5,279.13,279.13,9729359,0.0
6,2022-03-04,322.55,351.515,321.52,335.46,335.46,7555684,0.0
7,2022-02-25,302.03,325.56,275.9419,324.97,324.97,6522164,0.0
8,2022-02-18,311.12,323.36,303.94,304.85,304.85,4545251,0.0
9,2022-02-11,311.4164,332.36,304.45,310.27,310.27,5893739,0.0
10,2022-02-04,282.16,317.33,279.555,314.33,314.33,9137184,0.0
11,2022-01-28,282.66,290.75,262.84,282.16,282.16,9534814,0.0
12,2022-01-21,304.08,323.16,288.25,288.65,288.65,5684967,0.0
13,2022-01-14,304.2224,330.2527,302.42,312.54,312.54,7699226,0.0
14,2022-01-07,362.1241,362.1241,293.69,314.66,314.66,10439523,0.0
15,2021-12-31,353.89,371.77,353.76,359.4,359.4,3658923,0.0
16,2021-12-23,323.65,354.84,320.73,349.02,349.02,4158683,0.0
17,2021-12-17,334.56,339.3763,306.08,333.83,333.83,15980183,0.0
18,2021-12-10,297.79,334.275,289.24,332.63,332.63,6767600,0.0
19,2021-12-03,333.0,347.77,296.67,302.82,302.82,8869263,0.0
20,2021-11-26,343.7,344.54,318.265,327.39,327.39,3333965,0.0
21,2021-11-19,344.7523,350.64,331.79,342.51,342.51,3595714,0.0
22,2021-11-12,345.0,355.35,329.4,342.17,342.17,4718110,0.0
23,2021-11-05,336.34,349.23,319.06,341.19,341.19,5447328,0.0
24,2021-10-29,337.6,345.25,320.0,336.34,336.34,4553980,0.0
25,2021-10-22,315.46,338.8192,315.46,335.29,335.29,3624245,0.0
26,2021-10-15,305.16,318.88,302.8528,315.29,315.29,3396983,0.0
27,2021-10-08,292.54,313.24,284.77,307.17,307.17,4111148,0.0
28,2021-10-01,308.46,309.88,287.07,298.0,298.0,5195679,0.0
29,2021-09-24,292.01,312.825,284.14,311.9,311.9,4087792,0.0
30,2021-09-17,310.56,311.44,294.2683,299.49,299.49,6252271,0.0
31,2021-09-10,321.0,322.0,308.05,310.49,310.49,3370156,0.0
32,2021-09-03,319.12,321.9,304.4279,320.19,320.19,5049788,0.0
33,2021-08-27,301.89,317.44,299.12,316.06,316.06,4407603,0.0
34,2021-08-20,309.0,309.0,286.26,297.94,297.94,4084426,0.0
35,2021-08-13,305.15,309.79,293.7076,309.33,309.33,4181667,0.0
36,2021-08-06,274.27,306.51,270.14,303.68,303.68,6877506,0.0
37,2021-07-30,276.6,276.9976,250.0,272.24,272.24,5033584,0.0
