,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,84.14,85.51,82.65,83.8,83.8,2410600,0.0
1,2022-04-08,84.37,85.99,83.28,84.36,84.36,6145395,0.0
2,2022-04-01,84.93,87.76,81.16,84.45,84.45,10443899,0.0
3,2022-03-25,89.4,90.5328,84.39,84.88,84.88,6588662,0.0
4,2022-03-18,87.06,90.5325,86.31,89.33,89.33,7347459,0.0
5,2022-03-11,91.5,92.45,86.38,86.47,86.47,5117427,0.0
6,2022-03-04,96.17,99.85,91.31,92.45,92.45,5096277,0.0
7,2022-02-25,97.35,97.88,89.66,96.71,96.71,4390838,0.0
8,2022-02-18,94.74,105.1255,94.35,97.98,97.98,8497168,0.0
9,2022-02-11,93.84,97.786,89.96,94.39,94.39,7515483,0.0
10,2022-02-04,88.78,96.4,88.5,93.92,93.92,7472782,0.68
11,2022-01-28,94.66,97.52,85.97,89.97,89.3133,7374668,0.0
12,2022-01-21,99.58,100.7,95.73,95.92,95.2199,3522602,0.0
13,2022-01-14,101.78,103.055,98.94,100.12,99.3892,4972232,0.0
14,2022-01-07,102.22,105.73,100.9,102.78,102.0298,4322678,0.0
15,2021-12-31,98.11,101.92,97.43,101.78,101.0371,1984254,0.0
16,2021-12-23,97.86,98.37,95.1,97.92,97.2053,3092291,0.0
17,2021-12-17,100.62,102.79,98.69,98.85,98.1285,5037561,0.0
18,2021-12-10,98.47,102.15,98.33,100.82,100.0841,3234835,0.0
19,2021-12-03,99.23,99.96,96.26,98.37,97.652,4409063,0.0
20,2021-11-26,100.54,101.2,97.73,98.75,98.0292,2183016,0.0
21,2021-11-19,98.75,101.04,98.33,100.48,99.7466,3109963,0.0
22,2021-11-12,96.0,99.9,95.0,98.2,97.4832,2818148,0.0
23,2021-11-05,95.88,96.19,92.07,96.0,95.2993,3841949,0.0
24,2021-10-29,89.53,96.67,88.02,95.76,95.061,7779145,0.68
25,2021-10-22,92.18,93.96,88.76,89.5,88.2203,4715910,0.0
26,2021-10-15,88.0,93.15,86.9,92.47,91.1478,4360323,0.0
27,2021-10-08,89.54,90.76,86.05,90.0,88.7131,4039675,0.0
28,2021-10-01,94.27,95.52,86.63,89.09,87.8161,3850747,0.0
29,2021-09-24,96.7,97.53,91.425,94.43,93.0798,3369608,0.0
30,2021-09-17,98.28,99.09,96.53,97.53,96.1354,3221171,0.0
31,2021-09-10,99.79,100.95,97.7,98.02,96.6184,1977605,0.0
32,2021-09-03,98.99,99.77,97.74,99.36,97.9393,1848413,0.0
33,2021-08-27,96.07,98.87,96.07,98.45,97.0423,2004763,0.0
34,2021-08-20,99.85,100.77,94.29,95.84,94.4696,2653447,0.0
35,2021-08-13,98.28,100.27,97.73,100.26,98.8264,2386717,0.0
36,2021-08-06,100.07,101.6,97.68,97.99,96.5889,3171996,0.0
37,2021-07-30,98.1,104.8899,96.88,99.44,98.0181,9397234,0.68
38,2021-07-23,93.04,95.285,90.82,92.41,90.47,3371926,0.0
39,2021-07-16,97.59,98.42,93.61,94.04,92.0658,3131397,0.0
40,2021-07-09,96.46,98.25,94.57,97.98,95.9231,2018688,0.0
41,2021-07-02,94.0,96.84,93.37,96.65,94.621,3803232,0.0
42,2021-06-25,91.26,93.78,90.8,93.54,91.5763,3201973,0.0
43,2021-06-18,97.23,97.63,90.55,91.03,89.119,3979829,0.0
44,2021-06-11,95.62,97.635,94.41,97.47,95.4238,2218974,0.0
45,2021-06-04,96.5,96.76,94.14,95.24,93.2406,2509553,0.0
46,2021-05-28,94.45,96.43,93.67,95.97,93.9552,2945492,0.0
47,2021-05-21,96.36,96.48,92.75,94.06,92.0853,3264411,0.0
48,2021-05-14,99.76,101.1,94.58,96.3,94.2783,3367753,0.0
49,2021-05-07,99.71,100.48,97.815,99.15,97.0685,3261624,0.0
50,2021-04-30,97.2112,99.85,95.59,99.45,97.3622,4740256,0.68
51,2021-04-23,98.0,100.51,96.15,97.15,94.4646,3595151,0.0
52,2021-04-16,94.79,100.47,94.36,98.0,95.2911,5392272,0.0
53,2021-04-09,95.7,97.65,94.73,95.24,92.6074,4627422,0.0
54,2021-04-01,98.0,98.65,95.0,95.46,92.8213,3871888,0.0
55,2021-03-26,96.628,99.49,94.58,98.5,95.7772,3704160,0.0
56,2021-03-19,95.22,98.0,92.76,95.93,93.2783,6019260,0.0
57,2021-03-12,94.64,98.95,94.03,94.89,92.267,4236076,0.0
58,2021-03-05,94.14,96.18,90.32,94.79,92.1698,4190374,0.0
59,2021-02-26,89.65,95.07,89.19,93.71,91.1197,6902532,0.0
60,2021-02-19,91.6,92.6,89.16,90.0,87.5122,2859762,0.0
61,2021-02-12,99.61,99.68,89.7513,91.48,88.9513,7212579,0.0
62,2021-02-05,93.75,98.46,92.75,97.28,94.591,3699280,0.68
63,2021-01-29,97.47,98.45,91.26,93.82,90.5739,4668760,0.0
64,2021-01-22,97.58,97.95,94.12,97.48,94.1073,2578638,0.0
65,2021-01-15,96.5,101.24,96.13,97.2,93.837,4139563,0.0
66,2021-01-08,93.74,97.53,90.39,97.26,93.8949,3777271,0.0
67,2020-12-31,93.51,94.84,92.21,93.54,90.3036,2001222,0.0
68,2020-12-24,92.65,94.8,91.33,93.15,89.9271,2551766,0.0
69,2020-12-18,90.17,96.07,89.14,93.81,90.5642,5992590,0.0
70,2020-12-11,90.67,91.54,87.52,89.0,85.9207,4821448,0.0
71,2020-12-04,92.01,97.13,90.69,91.07,87.919,6712481,0.0
72,2020-11-27,93.22,94.0,90.9,92.32,89.1258,2612572,0.0
73,2020-11-20,89.86,94.3,87.776,93.02,89.8016,4027281,0.0
