,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,90.19,92.2341,89.9,91.96,91.96,2667728,0.0
1,2022-04-08,89.04,90.47,86.75,90.4,90.4,4192802,0.0
2,2022-04-01,87.86,89.48,87.14,89.34,89.34,3607885,0.0
3,2022-03-25,87.27,89.44,87.1702,87.85,87.85,3358541,0.0
4,2022-03-18,84.63,87.41,84.3,87.26,87.26,5382566,0.0
5,2022-03-11,86.72,88.615,84.01,84.17,84.17,6389390,0.0
6,2022-03-04,85.67,87.56,85.23,86.98,86.98,5155107,0.0
7,2022-02-25,83.67,87.55,81.93,87.32,87.32,4766447,0.0
8,2022-02-18,76.38,84.71,74.98,83.47,83.47,7428531,0.0
9,2022-02-11,76.07,78.43,73.14,76.13,76.13,4903753,0.0
10,2022-02-04,74.42,76.86,73.73,76.13,76.13,4003379,0.0
11,2022-01-28,72.9,77.02,71.21,75.7,75.7,8234443,0.0
12,2022-01-21,77.03,77.23,73.29,73.54,73.54,3090966,0.0
13,2022-01-14,78.74,80.67,76.36,77.78,77.78,4381302,0.0
14,2022-01-07,77.39,80.63,76.79,78.95,78.95,4418914,0.0
15,2021-12-31,75.29,78.67,74.99,77.53,77.53,2315935,0.0
16,2021-12-23,73.14,75.17,71.42,74.93,74.93,2101186,0.0
17,2021-12-17,75.65,76.29,72.67,73.75,73.75,4576544,0.0
18,2021-12-10,71.88,76.6,71.36,75.68,75.68,6192260,0.0
19,2021-12-03,74.0,74.36,70.25,71.16,71.16,4771602,0.0
20,2021-11-26,76.16,77.41,73.49,73.64,73.64,2314140,0.0
21,2021-11-19,79.59,79.7,75.82,76.14,76.14,2169401,0.0
22,2021-11-12,80.25,80.9,76.945,79.25,79.25,2793295,0.0
23,2021-11-05,76.38,81.19,76.19,80.1,80.1,4993888,0.0
24,2021-10-29,78.73,78.85,73.51,76.35,76.35,4602196,0.0
25,2021-10-22,76.79,79.92,75.66,79.89,79.89,2516328,0.0
26,2021-10-15,80.14,80.5,76.59,77.44,77.44,3062471,0.0
27,2021-10-08,78.69,80.63,76.45,79.83,79.83,3149302,0.0
28,2021-10-01,78.13,79.335,75.83,78.53,78.53,3698388,0.0
29,2021-09-24,77.17,78.595,75.07,78.1,78.1,2801781,0.0
30,2021-09-17,77.21,78.96,76.31,77.47,77.47,3722392,0.0
31,2021-09-10,78.13,79.79,76.68,76.76,76.76,2533345,0.0
32,2021-09-03,75.12,79.81,74.9,78.38,78.38,3581145,0.0
33,2021-08-27,76.12,76.18,74.065,75.23,75.23,2152922,0.0
34,2021-08-20,75.73,77.49,75.13,75.63,75.63,2569169,0.0
35,2021-08-13,76.26,76.985,74.69,75.68,75.68,3774225,0.0
36,2021-08-06,80.64,81.5796,75.65,77.03,77.03,5808297,0.0
37,2021-07-30,77.25,80.62,76.88,80.15,80.15,2981696,0.0
38,2021-07-23,74.53,77.78,73.09,77.36,77.36,3904996,0.0
39,2021-07-16,76.54,77.17,75.03,75.12,75.12,3462015,0.0
40,2021-07-09,75.68,77.03,74.38,76.81,76.81,3134842,0.0
41,2021-07-02,74.98,76.16,73.74,75.97,75.97,3393490,0.0
42,2021-06-25,75.42,76.66,74.26,75.01,75.01,5271899,0.0
