,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,460.0,461.74,446.69,458.78,458.78,2905671,0.0
1,2022-04-08,441.04,461.22,435.19,457.81,457.81,4777094,0.0
2,2022-04-01,440.38,445.39,432.35,441.41,441.41,4477195,0.7875
3,2022-03-25,438.62,443.27,430.235,435.54,434.7608,4748608,0.0
4,2022-03-18,430.26,447.0,425.82,440.61,439.8217,6246445,0.0
5,2022-03-11,440.66,441.39,421.21,426.12,425.3576,3823082,0.0
6,2022-03-04,425.45,442.12,424.76,441.39,440.6003,3953893,0.0
7,2022-02-25,422.9,434.85,408.2,432.66,431.8859,3538118,0.0
8,2022-02-18,422.28,431.12,417.44,421.75,420.9955,4232148,0.0
9,2022-02-11,430.58,440.58,421.79,423.97,423.2115,6266619,0.0
10,2022-02-04,382.76,439.4,382.69,429.85,429.081,10609771,0.0
11,2022-01-28,374.0,389.37,363.73,386.18,385.4891,6996860,0.0
12,2022-01-21,387.65,401.625,372.3,375.25,374.5787,7147803,0.0
13,2022-01-14,358.5,399.9,358.5,391.66,390.9593,9196349,0.0
14,2022-01-07,461.38,465.855,351.2,363.17,362.5203,15172568,0.0
15,2021-12-31,461.98,472.0,457.51,463.86,463.0301,2042772,0.7
16,2021-12-23,449.65,462.72,445.8,460.54,459.027,2216645,0.0
17,2021-12-17,460.99,467.48,451.725,453.33,451.8406,4797784,0.0
18,2021-12-10,426.31,462.88,424.0,461.19,459.6748,4073443,0.0
19,2021-12-03,431.51,431.75,412.63,421.7,420.3146,3648605,0.0
20,2021-11-26,436.39,438.38,422.0,428.49,427.0823,2023589,0.0
21,2021-11-19,445.49,451.85,433.52,434.87,433.4413,3390883,0.0
22,2021-11-12,454.92,457.43,439.62,445.42,443.9566,2729258,0.0
23,2021-11-05,465.32,468.99,436.5,453.43,451.9403,4870205,0.0
24,2021-10-29,463.06,469.73,457.55,463.16,461.6384,3770748,0.0
25,2021-10-22,441.52,465.015,434.82,461.85,460.3327,3448384,0.0
26,2021-10-15,412.49,444.57,409.07,441.0,439.5512,6574424,0.0
27,2021-10-08,391.95,412.79,381.86,412.76,411.4039,3703824,0.0
28,2021-10-01,400.71,404.98,383.09,391.55,390.2636,2965875,0.7
29,2021-09-24,404.85,408.38,396.08,398.91,396.8967,2867824,0.0
30,2021-09-17,404.37,413.59,397.25,407.79,405.7319,5310972,0.0
31,2021-09-10,415.71,422.365,399.58,401.98,399.9512,3438362,0.0
32,2021-09-03,405.42,417.92,399.14,415.56,413.4627,3078709,0.0
33,2021-08-27,414.0,416.55,400.63,405.76,403.7121,2679287,0.0
34,2021-08-20,409.34,415.8,405.68,413.61,411.5225,3048270,0.0
35,2021-08-13,418.28,423.255,405.07,410.77,408.6968,3893225,0.0
36,2021-08-06,426.0,430.67,409.5,419.21,417.0942,5558006,0.0
37,2021-07-30,469.49,472.51,425.3533,425.86,423.7107,6254884,0.0
38,2021-07-23,467.91,472.68,456.15,471.22,468.8417,3188484,0.0
39,2021-07-16,454.97,472.43,454.135,470.9,468.5234,3431843,0.0
40,2021-07-09,451.0,458.64,448.56,455.65,453.3503,1936403,0.0
41,2021-07-02,442.76,452.42,439.01,451.77,449.4899,3031053,0.7
42,2021-06-25,424.99,444.82,423.18,441.71,438.7862,4487242,0.0
43,2021-06-18,420.1,435.61,412.93,423.5,420.6968,5514105,0.0
44,2021-06-11,428.32,428.32,411.36,419.18,416.4054,4415401,0.0
