,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,358.76,360.155,340.08,343.35,343.35,2040408,0.0
1,2022-04-08,364.4,371.16,351.0,362.68,362.68,4003461,0.0
2,2022-04-01,342.83,366.6,337.88,363.9,363.9,3880609,0.0
3,2022-03-25,341.56,351.73,332.33,341.72,341.72,2994524,0.0
4,2022-03-18,304.95,346.66,302.79,346.11,346.11,4857931,0.0
5,2022-03-11,323.0,329.05,303.495,303.87,303.87,3792713,0.0
6,2022-03-04,325.38,334.99,320.62,323.57,323.57,4307408,0.0
7,2022-02-25,311.0,331.81,306.66,329.49,329.49,3931622,0.0
8,2022-02-18,330.96,344.305,310.02,311.97,311.97,4763708,0.0
9,2022-02-11,357.98,369.87,330.69,330.9,330.9,4967546,0.0
10,2022-02-04,330.79,363.854,330.62,358.38,358.38,4772027,0.0
11,2022-01-28,360.91,365.52,318.0738,331.96,331.96,5531049,0.0
12,2022-01-21,402.11,402.11,365.78,365.94,365.94,3683273,0.0
13,2022-01-14,363.17,427.9999,346.15,405.14,405.14,9788243,0.0
14,2022-01-07,381.11,389.72,364.37,370.36,370.36,4512999,0.0
15,2021-12-31,382.05,389.89,375.5,380.44,380.44,2494277,0.0
16,2021-12-23,382.72,385.49,372.86,382.29,382.29,2510325,0.0
17,2021-12-17,374.52,397.44,371.97,384.92,384.92,8512800,0.0
18,2021-12-10,346.21,377.69,342.07,374.52,374.52,5801647,0.0
19,2021-12-03,373.5,374.42,341.03,347.28,347.28,5727525,0.0
20,2021-11-26,377.86,379.96,361.1,369.79,369.79,3601556,0.0
21,2021-11-19,384.48,388.84,366.51,379.34,379.34,4061686,0.0
22,2021-11-12,406.83,410.7,381.53,383.45,383.45,3957362,0.0
23,2021-11-05,415.48,425.0,397.85,408.14,408.14,4159490,0.0
24,2021-10-29,410.72,424.38,408.38,415.06,415.06,3310058,0.0
25,2021-10-22,409.0,417.982,403.49,409.15,409.15,3243531,0.0
26,2021-10-15,410.0,415.2,400.1,409.93,409.93,3756798,0.0
27,2021-10-08,393.75,411.58,378.5,410.0,410.0,5596504,0.0
28,2021-10-01,430.03,431.11,391.33,394.84,394.84,4804144,0.0
29,2021-09-24,440.67,449.99,427.1,432.82,432.82,4574298,0.0
30,2021-09-17,460.81,461.08,443.5,447.01,447.01,5039625,0.0
31,2021-09-10,465.7,469.87,452.21,458.21,458.21,2169502,0.0
32,2021-09-03,463.5,471.1,448.68,466.98,466.98,4084562,0.0
33,2021-08-27,489.1,492.2944,463.9,464.58,464.58,4573418,0.0
34,2021-08-20,519.15,526.0,457.8357,486.71,486.71,4709772,0.0
