,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,478.37,484.4899,460.0,470.42,470.42,4583134,0.0
1,2022-04-08,485.38,507.71,481.5142,482.84,482.84,9247930,0.68
2,2022-04-01,460.54,490.09,458.2,483.93,483.2494,9715130,0.0
3,2022-03-25,473.07,478.705,452.82,459.35,458.704,8616851,0.0
4,2022-03-18,439.92,483.315,423.03,479.87,479.1951,12543754,0.0
5,2022-03-11,464.22,469.96,432.15,439.32,438.7022,10991911,0.0
6,2022-03-04,478.84,492.87,460.96,464.95,464.2961,10037473,0.0
7,2022-02-25,479.93,498.3,450.26,487.18,486.4949,9532443,0.0
8,2022-02-18,536.14,539.3325,478.75,481.2,480.5233,9123074,0.0
9,2022-02-11,544.4,579.96,532.671,535.81,535.0565,6842925,0.0
10,2022-02-04,535.85,564.87,531.03,544.02,543.2549,8038376,0.0
11,2022-01-28,526.0,536.85,499.75,534.82,534.0679,12018426,0.0
12,2022-01-21,539.32,566.48,527.82,528.55,527.8067,8150711,0.0
13,2022-01-14,553.52,589.57,543.4,550.79,550.0154,9424914,0.0
14,2022-01-07,640.03,645.61,563.77,567.56,566.7618,9719995,0.68
15,2021-12-31,639.09,658.835,638.0,643.22,641.5468,4240170,0.0
16,2021-12-23,609.1,638.81,599.27,635.71,634.0563,5887001,0.0
17,2021-12-17,678.0,684.0699,612.19,620.27,618.6565,12142548,0.0
18,2021-12-10,649.99,680.25,639.53,677.95,676.1864,7092008,0.0
19,2021-12-03,674.33,697.27,634.98,647.96,646.2744,15619468,0.0
20,2021-11-26,691.96,693.51,648.8,666.91,665.1751,7284108,0.0
21,2021-11-19,628.19,716.86,622.55,692.34,690.539,9001500,0.0
22,2021-11-12,619.01,628.38,603.56,626.99,625.359,5480671,0.0
23,2021-11-05,628.53,631.56,607.31,614.99,613.3902,5972266,0.0
24,2021-10-29,590.8,626.6,589.75,625.99,624.3616,6085932,0.0
25,2021-10-22,552.76,591.63,548.27,590.8,589.2631,4857479,0.0
26,2021-10-15,528.75,553.28,524.14,552.16,550.7236,5436514,0.0
27,2021-10-08,539.69,544.75,519.0,531.12,529.7384,5284944,0.68
28,2021-10-01,572.85,573.83,533.28,543.97,541.8697,6902518,0.0
29,2021-09-24,553.01,579.17,547.51,577.92,575.6886,5373246,0.0
30,2021-09-17,570.19,574.72,551.2577,561.85,559.6807,6262323,0.0
31,2021-09-10,563.75,573.0,555.51,567.38,565.1893,3664120,0.0
32,2021-09-03,567.14,568.31,555.6443,563.25,561.0753,5233463,0.0
33,2021-08-27,548.85,582.96,546.1694,565.94,563.7549,8239048,0.0
34,2021-08-20,540.45,549.68,527.83,545.3,543.1946,5327068,0.0
35,2021-08-13,534.17,541.205,526.62,540.74,538.6522,3416549,0.0
36,2021-08-06,532.11,540.63,524.26,534.29,532.2271,4374720,0.0
37,2021-07-30,528.15,530.86,516.44,529.97,527.9238,3929028,0.0
38,2021-07-23,498.84,532.33,496.0,528.43,526.3897,5604677,0.0
39,2021-07-16,506.75,511.69,500.38,501.51,499.5736,5208145,0.0
40,2021-07-09,501.86,508.63,495.74,503.93,501.9843,4369137,0.59
41,2021-07-02,486.86,500.83,484.46,497.64,495.1389,4586285,0.0
42,2021-06-25,477.18,490.19,472.0,486.09,483.6469,6355953,0.0
43,2021-06-18,472.33,478.49,464.72,473.4,471.0207,6562750,0.0
44,2021-06-11,459.56,474.62,454.8,472.16,469.7869,5925222,0.0
45,2021-06-04,441.7,463.62,434.65,461.93,459.6084,5159911,0.0
46,2021-05-28,439.2,445.655,427.42,439.09,436.8832,9031487,0.0
47,2021-05-21,415.08,441.36,408.72,433.43,431.2516,6176205,0.0
48,2021-05-14,400.23,418.55,385.66,417.26,415.1629,6787767,0.0
49,2021-05-07,414.79,415.67,386.15,401.04,399.0244,4916749,0.0
50,2021-04-30,414.44,420.885,410.9,412.16,410.0885,3923864,0.0
51,2021-04-23,415.82,417.0,399.24,414.92,412.8346,4827247,0.0
52,2021-04-16,415.5284,422.77,410.44,415.82,413.7301,5706426,0.0
53,2021-04-09,397.57,418.3665,396.38,417.61,415.5111,5401085,0.59
54,2021-04-01,377.64,397.41,368.74,395.23,392.6888,5587150,0.0
55,2021-03-26,381.81,387.8,365.15,376.58,374.1587,7379658,0.0
56,2021-03-19,393.37,401.89,373.29,381.28,378.8285,10542900,0.0
57,2021-03-12,381.54,401.03,369.8,395.95,393.4042,7562814,0.0
58,2021-03-05,396.33,407.86,367.78,382.21,379.7525,7631650,0.0
59,2021-02-26,408.16,415.43,382.8,390.14,387.6315,10742974,0.0
60,2021-02-19,417.54,423.74,408.43,411.35,408.7052,4875721,0.0
61,2021-02-12,393.48,414.47,384.64,413.99,411.3282,5159586,0.0
62,2021-02-05,365.49,396.47,364.59,389.38,386.8764,5573806,0.0
63,2021-01-29,378.04,378.84,359.33,361.23,358.9074,7098953,0.0
64,2021-01-22,374.87,398.12,374.36,374.85,372.4398,6517660,0.0
65,2021-01-15,376.13,376.76,360.5,371.01,368.6245,6518733,0.0
66,2021-01-08,379.74,384.62,357.69,374.46,372.0523,6863338,0.59
67,2020-12-31,387.57,387.94,374.9527,379.85,376.814,3196494,0.0
68,2020-12-24,374.72,383.94,368.42,381.16,378.1135,3344065,0.0
69,2020-12-18,364.44,380.99,360.03,380.11,377.0719,9134417,0.0
70,2020-12-11,367.82,380.5,357.45,364.32,361.4081,8786113,0.0
71,2020-12-04,353.45,371.94,348.13,368.6,365.6539,6968959,0.0
72,2020-11-27,348.07,358.04,337.72,354.24,351.4087,4302226,0.0
73,2020-11-20,356.54,363.39,347.51,347.69,344.911,6929092,0.0
74,2020-11-13,365.95,377.15,339.35,356.95,354.097,6618511,0.0
75,2020-11-06,317.76,353.85,312.17,352.26,349.4445,5266789,0.0
76,2020-10-30,330.91,333.4,312.05,314.68,312.1649,5294659,0.0
77,2020-10-23,343.32,344.23,325.31,334.42,331.7471,4296173,0.0
78,2020-10-16,345.18,353.98,338.0,341.15,338.4233,5166685,0.0
79,2020-10-09,330.33,342.2,323.91,341.81,339.078,5210188,0.59
80,2020-10-02,325.43,333.98,319.67,321.89,318.7558,6055954,0.0
81,2020-09-25,296.29,318.79,295.37,318.5,315.3988,7563430,0.0
82,2020-09-18,320.17,326.23,296.77,300.13,297.2077,7749278,0.0
83,2020-09-11,320.79,332.66,311.41,315.0,311.9329,5091158,0.0
84,2020-09-04,345.89,355.67,324.61,333.11,329.8666,6372995,0.0
85,2020-08-28,325.27,360.0,324.63,346.11,342.74,9985643,0.0
86,2020-08-21,307.84,322.6,305.86,322.23,319.0925,4719766,0.0
87,2020-08-14,308.1,310.71,298.47,305.54,302.565,3568251,0.0
88,2020-08-07,309.84,313.45,306.22,309.43,306.4171,4781351,0.0
89,2020-07-31,290.47,306.49,290.46,306.37,303.3869,5276692,0.0
90,2020-07-24,289.5,300.71,286.35,288.68,285.8692,5638613,0.0
91,2020-07-17,309.0,311.23,280.99,289.27,286.4534,8041356,0.0
92,2020-07-10,308.0,314.73,303.0,307.55,304.5555,4859947,0.53
